ENTRY            D1063   20250324                             D149D106300000001 
SUBENT        D1063001   20250324                             D149D106300100001 
BIB                 11         24                                 D106300100002 
TITLE      Study of natB(3He,p) reactions cross sections using a  D106300100003 
            novel setup for 3He-NRA micro analyses                D106300100004 
AUTHOR     (T.Dunatov, G.Provatas, S.Fazinic, V.Foteinou,         D106300100005 
            F.Maragkos, K.I.Nizic, M.Micetic)                     D106300100006 
INSTITUTE  (3CRORBZ,2GERBOC)                                      D106300100007 
REFERENCE  (J,RPC,226,112298,2025)                                D106300100008 
FACILITY   (VDGT,3CRORBZ) 1 MV Tandetron accelerator              D106300100009 
SAMPLE     Boron deposited on Si3N4 (~100 nm thick).              D106300100010 
           A gold layer evaporated on top of the boron layer for  D106300100011 
            beam fluence normalization.                           D106300100012 
DETECTOR   (SISD) 5-strip annular Si detector (1.5 mm thick)      D106300100013 
ANALYSIS   (NTRTH) Helion backscattering by Au                    D106300100014 
ERR-ANALYS (EN-ERR) Quadratic sum of the energy loss and          D106300100015 
            uncertainty in beam energy from analyzing magnetic    D106300100016 
            calibration                                           D106300100017 
           (ERR-T) Total uncertainty propagated from the          D106300100018 
            uncertainties in:                                     D106300100019 
           (ERR-1)           Au and B thickness ratio       (2.6%)D106300100020 
           (ERR-2,2.3,3.0)   Finite detector acceptance (2.3-3.0%)D106300100021 
           (ERR-3,2.3,33.3)  Counting statistics, B    (2.3-33.3%)D106300100022 
           (ERR-4,0.10,0.25) Counting statistics, Au  (0.10-0.25%)D106300100023 
STATUS     (TABLE,,T.Dunatov+,J,NIM/B,562,165648,2025) Appendix   D106300100024 
           (APRVD) Proof read by Toni Dunatov (2025-04-30)        D106300100025 
HISTORY    (20250324C) On                                         D106300100026 
ENDBIB              24          0                                 D106300100027 
COMMON               1          3                                 D106300100028 
ERR-1                                                             D106300100029 
PER-CENT                                                          D106300100030 
 2.6                                                              D106300100031 
ENDCOMMON            3          0                                 D106300100032 
ENDSUBENT           31          0                                 D106300199999 
SUBENT        D1063002   20250324                             D149D106300200001 
BIB                  1          1                                 D106300200002 
REACTION   (5-B-10(HE3,P)6-C-12,PAR,DA)                           D106300200003 
ENDBIB               1          0                                 D106300200004 
NOCOMMON             0          0                                 D106300200005 
DATA                 6        100                                 D106300200006 
LVL-NUMB   ANG        EN         EN-ERR     DATA       ERR-T      D106300200007 
NO-DIM     ADEG       MEV        MEV        MB/SR      MB/SR      D106300200008 
 1.         137.       2.976      0.018      0.846      0.039     D106300200009 
 1.         137.       2.877      0.016      0.807      0.035     D106300200010 
 1.         137.       2.775      0.016      0.728      0.034     D106300200011 
 1.         137.       2.698      0.016      0.760      0.034     D106300200012 
 1.         137.       2.575      0.016      0.658      0.029     D106300200013 
 1.         137.       2.476      0.016      0.685      0.032     D106300200014 
 1.         137.       2.372      0.016      0.630      0.032     D106300200015 
 1.         137.       2.278      0.016      0.623      0.041     D106300200016 
 1.         137.       2.121      0.017      0.558      0.028     D106300200017 
 1.         137.       1.971      0.017      0.383      0.019     D106300200018 
 1.         141.       2.976      0.018      0.558      0.028     D106300200019 
 1.         141.       2.877      0.016      0.557      0.027     D106300200020 
 1.         141.       2.775      0.016      0.542      0.027     D106300200021 
 1.         141.       2.698      0.016      0.544      0.026     D106300200022 
 1.         141.       2.575      0.016      0.495      0.024     D106300200023 
 1.         141.       2.476      0.016      0.466      0.023     D106300200024 
 1.         141.       2.372      0.016      0.445      0.025     D106300200025 
 1.         141.       2.278      0.016      0.442      0.033     D106300200026 
 1.         141.       2.121      0.017      0.397      0.022     D106300200027 
 1.         141.       1.971      0.017      0.270      0.015     D106300200028 
 1.         146.       2.976      0.018      0.655      0.031     D106300200029 
 1.         146.       2.877      0.016      0.648      0.029     D106300200030 
 1.         146.       2.775      0.016      0.608      0.029     D106300200031 
 1.         146.       2.698      0.016      0.612      0.028     D106300200032 
 1.         146.       2.575      0.016      0.537      0.024     D106300200033 
 1.         146.       2.476      0.016      0.485      0.021     D106300200034 
 1.         146.       2.372      0.016      0.484      0.026     D106300200035 
 1.         146.       2.278      0.016      0.482      0.034     D106300200036 
 1.         146.       2.121      0.017      0.434      0.023     D106300200037 
 1.         146.       1.971      0.017      0.306      0.016     D106300200038 
 1.         152.       2.976      0.018      0.687      0.033     D106300200039 
 1.         152.       2.877      0.016      0.648      0.029     D106300200040 
 1.         152.       2.775      0.016      0.642      0.031     D106300200041 
 1.         152.       2.698      0.016      0.652      0.029     D106300200042 
 1.         152.       2.575      0.016      0.605      0.027     D106300200043 
 1.         152.       2.476      0.016      0.55       0.026     D106300200044 
 1.         152.       2.372      0.016      0.466      0.026     D106300200045 
 1.         152.       2.278      0.016      0.453      0.033     D106300200046 
