ENTRY            D1063   20250324                             D149D106300000001 
SUBENT        D1063001   20250324                             D149D106300100001 
BIB                 11         24                                 D106300100002 
TITLE      Study of natB(3He,p) reactions cross sections using a  D106300100003 
            novel setup for 3He-NRA micro analyses                D106300100004 
AUTHOR     (T.Dunatov, G.Provatas, S.Fazinic, V.Foteinou,         D106300100005 
            F.Maragkos, K.I.Nizic, M.Micetic)                     D106300100006 
INSTITUTE  (3CRORBZ,2GERBOC)                                      D106300100007 
REFERENCE  (J,RPC,226,112298,2025)                                D106300100008 
FACILITY   (VDGT,3CRORBZ) 1 MV Tandetron accelerator              D106300100009 
SAMPLE     Boron deposited on Si3N4 (~100 nm thick).              D106300100010 
           A gold layer evaporated on top of the boron layer for  D106300100011 
            beam fluence normalization.                           D106300100012 
DETECTOR   (SISD) 5-strip annular Si detector (1.5 mm thick)      D106300100013 
ANALYSIS   (NTRTH) Helion backscattering by Au                    D106300100014 
ERR-ANALYS (EN-ERR) Quadratic sum of the energy loss and          D106300100015 
            uncertainty in beam energy from analyzing magnetic    D106300100016 
            calibration                                           D106300100017 
           (ERR-T) Total uncertainty propagated from the          D106300100018 
            uncertainties in:                                     D106300100019 
           (ERR-1)           Au and B thickness ratio       (2.6%)D106300100020 
           (ERR-2,2.3,3.0)   Finite detector acceptance (2.3-3.0%)D106300100021 
           (ERR-3,2.3,33.3)  Counting statistics, B    (2.3-33.3%)D106300100022 
           (ERR-4,0.10,0.25) Counting statistics, Au  (0.10-0.25%)D106300100023 
STATUS     (TABLE,,T.Dunatov+,J,NIM/B,562,165648,2025) Appendix   D106300100024 
           (APRVD) Proof read by Toni Dunatov (2025-04-30)        D106300100025 
HISTORY    (20250324C) On                                         D106300100026 
ENDBIB              24          0                                 D106300100027 
COMMON               1          3                                 D106300100028 
ERR-1                                                             D106300100029 
PER-CENT                                                          D106300100030 
 2.6                                                              D106300100031 
ENDCOMMON            3          0                                 D106300100032 
ENDSUBENT           31          0                                 D106300199999 
SUBENT        D1063002   20250324                             D149D106300200001 
BIB                  1          1                                 D106300200002 
REACTION   (5-B-10(HE3,P)6-C-12,PAR,DA)                           D106300200003 
ENDBIB               1          0                                 D106300200004 
NOCOMMON             0          0                                 D106300200005 
DATA                 6        100                                 D106300200006 
LVL-NUMB   ANG        EN         EN-ERR     DATA       ERR-T      D106300200007 
 1.         152.       2.121      0.017      0.465      0.024     D106300200047 
 1.         152.       1.971      0.017      0.291      0.018     D106300200048 
 1.         158.       2.976      0.018      0.734      0.034     D106300200049 
 1.         158.       2.877      0.016      0.707      0.03      D106300200050 
 1.         158.       2.775      0.016      0.69       0.032     D106300200051 
 1.         158.       2.698      0.016      0.672      0.03      D106300200052 
 1.         158.       2.575      0.016      0.66       0.028     D106300200053 
 1.         158.       2.476      0.016      0.585      0.027     D106300200054 
 1.         158.       2.372      0.016      0.579      0.03      D106300200055 
 1.         158.       2.278      0.016      0.497      0.037     D106300200056 
 1.         158.       2.121      0.017      0.462      0.024     D106300200057 
 1.         158.       1.971      0.017      0.344      0.018     D106300200058 
 3.         137.       2.976      0.018      0.111      0.011     D106300200059 
 3.         137.       2.877      0.016      0.121      0.009     D106300200060 
 3.         137.       2.775      0.016      0.122      0.011     D106300200061 
 3.         137.       2.698      0.016      0.120      0.009     D106300200062 
 3.         137.       2.575      0.016      0.112      0.008     D106300200063 
 3.         137.       2.476      0.016      0.091      0.008     D106300200064 
 3.         137.       2.372      0.016      0.092      0.010     D106300200065 
 3.         137.       2.278      0.016      0.092      0.014     D106300200066 
 3.         137.       2.121      0.017      0.079      0.009     D106300200067 
 3.         137.       1.971      0.017      0.058      0.006     D106300200068 
 3.         141.       2.976      0.018      0.142      0.011     D106300200069 
 3.         141.       2.877      0.016      0.112      0.009     D106300200070 
 3.         141.       2.775      0.016      0.094      0.009     D106300200071 
 3.         141.       2.698      0.016      0.103      0.009     D106300200072 
 3.         141.       2.575      0.016      0.09       0.008     D106300200073 
 3.         141.       2.476      0.016      0.086      0.008     D106300200074 
 3.         141.       2.372      0.016      0.087      0.01      D106300200075 
 3.         141.       2.278      0.016      0.088      0.015     D106300200076 
 3.         141.       2.121      0.017      0.084      0.009     D106300200077 
 3.         141.       1.971      0.017      0.044      0.005     D106300200078 
 3.         146.       2.976      0.018      0.141      0.011     D106300200079 
 3.         146.       2.877      0.016      0.123      0.009     D106300200080 
 3.         146.       2.775      0.016      0.115      0.009     D106300200081 
 3.         146.       2.698      0.016      0.114      0.009     D106300200082 
 3.         146.       2.575      0.016      0.094      0.007     D106300200083 
 3.         146.       2.476      0.016      0.090      0.008     D106300200084 
 3.         146.       2.372      0.016      0.089      0.009     D106300200085 
 3.         146.       2.278      0.016      0.099      0.015     D106300200086 
 3.         146.       2.121      0.017      0.071      0.008     D106300200087 
 3.         146.       1.971      0.017      0.064      0.006     D106300200088 
 3.         152.       2.976      0.018      0.144      0.012     D106300200089 
 3.         152.       2.877      0.016      0.127      0.009     D106300200090 
 3.         152.       2.775      0.016      0.116      0.01      D106300200091 
 3.         152.       2.698      0.016      0.121      0.009     D106300200092 
 3.         152.       2.575      0.016      0.100      0.008     D106300200093 
 3.         152.       2.476      0.016      0.103      0.008     D106300200094 
 3.         152.       2.372      0.016      0.081      0.009     D106300200095 
 3.         152.       2.278      0.016      0.087      0.014     D106300200096 
 3.         152.       2.121      0.017      0.083      0.008     D106300200097 
 3.         152.       1.971      0.017      0.071      0.007     D106300200098 
 3.         158.       2.976      0.018      0.122      0.012     D106300200099 
 3.         158.       2.877      0.016      0.131      0.01      D106300200100 
 3.         158.       2.775      0.016      0.107      0.011     D106300200101 
 3.         158.       2.698      0.016      0.13       0.011     D106300200102 
 3.         158.       2.575      0.016      0.091      0.008     D106300200103 
 3.         158.       2.476      0.016      0.09       0.009     D106300200104 
 3.         158.       2.372      0.016      0.068      0.009     D106300200105 
 3.         158.       2.278      0.016      0.036      0.012     D106300200106 
 3.         158.       2.121      0.017      0.069      0.009     D106300200107 
 3.         158.       1.971      0.017      0.055      0.016     D106300200108 
ENDDATA            102          0                                 D106300200109 
ENDSUBENT          108          0                                 D106300299999 
SUBENT        D1063003   20250324                             D149D106300300001 
BIB                  1          1                                 D106300300002 
REACTION   (5-B-11(HE3,P)6-C-13,PAR,DA)                           D106300300003 
ENDBIB               1          0                                 D106300300004 
NOCOMMON             0          0                                 D106300300005 
DATA                 6        172                                 D106300300006 
LVL-NUMB   ANG        EN         EN-ERR     DATA       ERR-T      D106300300007 
NO-DIM     ADEG       MEV        MEV        MB/SR      MB/SR      D106300300008 
 0.         137.       2.976      0.018      0.223      0.01      D106300300009 
 0.         137.       2.877      0.016      0.202      0.009     D106300300010 
 0.         137.       2.775      0.016      0.178      0.008     D106300300011 
 0.         137.       2.698      0.016      0.156      0.007     D106300300012 
 0.         137.       2.575      0.016      0.132      0.006     D106300300013 
 0.         137.       2.476      0.016      0.11       0.005     D106300300014 
 0.         137.       2.372      0.016      0.103      0.006     D106300300015 
 0.         137.       2.278      0.016      0.096      0.008     D106300300016 
 0.         137.       2.121      0.017      0.07       0.004     D106300300017 
 0.         137.       1.971      0.017      0.045      0.003     D106300300018 
 0.         141.       2.976      0.018      0.177      0.009     D106300300019 
 0.         141.       2.877      0.016      0.163      0.008     D106300300020 
 0.         141.       2.775      0.016      0.141      0.007     D106300300021 
 0.         141.       2.698      0.016      0.115      0.006     D106300300022 
 0.         141.       2.575      0.016      0.107      0.005     D106300300023 
 0.         141.       2.476      0.016      0.089      0.005     D106300300024 
 0.         141.       2.372      0.016      0.076      0.005     D106300300025 
 0.         141.       2.278      0.016      0.065      0.006     D106300300026 
 0.         141.       2.121      0.017      0.046      0.003     D106300300027 
 0.         141.       1.971      0.017      0.042      0.003     D106300300028 
 0.         146.       2.976      0.018      0.189      0.009     D106300300029 
 0.         146.       2.877      0.016      0.167      0.007     D106300300030 
 0.         146.       2.775      0.016      0.143      0.007     D106300300031 
 0.         146.       2.698      0.016      0.126      0.006     D106300300032 
 0.         146.       2.575      0.016      0.102      0.005     D106300300033 
 0.         146.       2.476      0.016      0.086      0.004     D106300300034 
 0.         146.       2.372      0.016      0.063      0.004     D106300300035 
 0.         146.       2.278      0.016      0.059      0.006     D106300300036 
 0.         146.       2.121      0.017      0.053      0.003     D106300300037 
 0.         146.       1.971      0.017      0.035      0.002     D106300300038 
 0.         152.       2.976      0.018      0.190      0.010     D106300300039 
 0.         152.       2.877      0.016      0.166      0.007     D106300300040 
 0.         152.       2.775      0.016      0.143      0.007     D106300300041 
 0.         152.       2.698      0.016      0.133      0.006     D106300300042 
 0.         152.       2.575      0.016      0.099      0.005     D106300300043 
 0.         152.       2.476      0.016      0.078      0.004     D106300300044 
 0.         152.       2.372      0.016      0.064      0.004     D106300300045 
 0.         152.       2.278      0.016      0.061      0.006     D106300300046 
 0.         152.       2.121      0.017      0.043      0.003     D106300300047 
 0.         152.       1.971      0.017      0.031      0.002     D106300300048 
 0.         158.       2.976      0.018      0.206      0.009     D106300300049 
 0.         158.       2.877      0.016      0.171      0.008     D106300300050 
 0.         158.       2.775      0.016      0.143      0.007     D106300300051 
 0.         158.       2.698      0.016      0.125      0.006     D106300300052 
 0.         158.       2.575      0.016      0.092      0.005     D106300300053 
 0.         158.       2.476      0.016      0.078      0.004     D106300300054 
 0.         158.       2.372      0.016      0.055      0.004     D106300300055 
 0.         158.       2.278      0.016      0.054      0.006     D106300300056 
 0.         158.       2.121      0.017      0.044      0.004     D106300300057 
 0.         158.       1.971      0.017      0.032      0.002     D106300300058 
 1.         137.       2.976      0.018      0.198      0.009     D106300300059 
 1.         137.       2.877      0.016      0.195      0.009     D106300300060 
 1.         137.       2.775      0.016      0.178      0.008     D106300300061 
 1.         137.       2.698      0.016      0.165      0.008     D106300300062 
 1.         137.       2.575      0.016      0.15       0.007     D106300300063 
 1.         137.       2.476      0.016      0.132      0.006     D106300300064 
 1.         137.       2.372      0.016      0.108      0.006     D106300300065 
 1.         137.       2.278      0.016      0.105      0.008     D106300300066 
 1.         137.       2.121      0.017      0.074      0.005     D106300300067 
 1.         137.       1.971      0.017      0.053      0.003     D106300300068 
 1.         141.       2.976      0.018      0.177      0.009     D106300300069 
 1.         141.       2.877      0.016      0.179      0.008     D106300300070 
 1.         141.       2.775      0.016      0.164      0.008     D106300300071 
 1.         141.       2.698      0.016      0.153      0.007     D106300300072 
 1.         141.       2.575      0.016      0.127      0.006     D106300300073 
 1.         141.       2.476      0.016      0.118      0.006     D106300300074 
 1.         141.       2.372      0.016      0.104      0.006     D106300300075 
 1.         141.       2.278      0.016      0.084      0.007     D106300300076 
 1.         141.       2.121      0.017      0.072      0.004     D106300300077 
 1.         141.       1.971      0.017      0.042      0.003     D106300300078 
 1.         146.       2.976      0.018      0.181      0.008     D106300300079 
 1.         146.       2.877      0.016      0.171      0.008     D106300300080 
 1.         146.       2.775      0.016      0.172      0.008     D106300300081 
 1.         146.       2.698      0.016      0.160      0.007     D106300300082 
 1.         146.       2.575      0.016      0.140      0.006     D106300300083 
 1.         146.       2.476      0.016      0.122      0.006     D106300300084 
 1.         146.       2.372      0.016      0.105      0.006     D106300300085 
 1.         146.       2.278      0.016      0.096      0.007     D106300300086 
 1.         146.       2.121      0.017      0.063      0.004     D106300300087 
 1.         146.       1.971      0.017      0.053      0.003     D106300300088 
 1.         152.       2.976      0.018      0.177      0.008     D106300300089 
 1.         152.       2.877      0.016      0.178      0.008     D106300300090 
 1.         152.       2.775      0.016      0.161      0.008     D106300300091 
 1.         152.       2.698      0.016      0.167      0.008     D106300300092 
 1.         152.       2.575      0.016      0.146      0.007     D106300300093 
 1.         152.       2.476      0.016      0.125      0.006     D106300300094 
 1.         152.       2.372      0.016      0.098      0.006     D106300300095 
 1.         152.       2.278      0.016      0.091      0.008     D106300300096 
 1.         152.       2.121      0.017      0.07       0.004     D106300300097 
 1.         152.       1.971      0.017      0.048      0.003     D106300300098 
 1.         158.       2.976      0.018      0.173      0.008     D106300300099 
 1.         158.       2.877      0.016      0.18       0.008     D106300300100 
 1.         158.       2.775      0.016      0.172      0.008     D106300300101 
 1.         158.       2.698      0.016      0.151      0.007     D106300300102 
 1.         158.       2.575      0.016      0.137      0.006     D106300300103 
 1.         158.       2.476      0.016      0.12       0.006     D106300300104 
 1.         158.       2.372      0.016      0.104      0.006     D106300300105 
 1.         158.       2.278      0.016      0.092      0.008     D106300300106 
 1.         158.       2.121      0.017      0.062      0.004     D106300300107 
 1.         158.       1.971      0.017      0.055      0.003     D106300300108 
 2.         141.       2.976      0.018      0.281      0.013     D106300300109 
 2.         141.       2.877      0.016      0.273      0.012     D106300300110 
 2.         141.       2.775      0.016      0.247      0.013     D106300300111 
 2.         141.       2.698      0.016      0.282      0.013     D106300300112 
 2.         146.       2.976      0.018      0.287      0.013     D106300300113 
 2.         146.       2.877      0.016      0.278      0.012     D106300300114 
 2.         146.       2.775      0.016      0.273      0.013     D106300300115 
 2.         146.       2.698      0.016      0.260      0.012     D106300300116 
 2.         152.       2.976      0.018      0.299      0.013     D106300300117 
 2.         152.       2.877      0.016      0.273      0.012     D106300300118 
 2.         152.       2.775      0.016      0.269      0.013     D106300300119 
 2.         152.       2.698      0.016      0.268      0.012     D106300300120 
 2.         152.       2.575      0.016      0.257      0.011     D106300300121 
 2.         152.       2.476      0.016      0.244      0.011     D106300300122 
 2.         152.       2.372      0.016      0.204      0.010     D106300300123 
 2.         158.       2.976      0.018      0.276      0.012     D106300300124 
 2.         158.       2.877      0.016      0.276      0.011     D106300300125 
 2.         158.       2.775      0.016      0.279      0.012     D106300300126 
 2.         158.       2.698      0.016      0.272      0.011     D106300300127 
 2.         158.       2.575      0.016      0.260      0.011     D106300300128 
 2.         158.       2.476      0.016      0.226      0.010     D106300300129 
 2.         158.       2.372      0.016      0.188      0.010     D106300300130 
 3.         137.       2.976      0.018      0.180      0.009     D106300300131 
 3.         137.       2.877      0.016      0.192      0.009     D106300300132 
 3.         137.       2.775      0.016      0.184      0.009     D106300300133 
 3.         137.       2.698      0.016      0.198      0.009     D106300300134 
 3.         137.       2.575      0.016      0.183      0.008     D106300300135 
 3.         137.       2.476      0.016      0.173      0.008     D106300300136 
 3.         137.       2.372      0.016      0.163      0.008     D106300300137 
 3.         137.       2.278      0.016      0.171      0.011     D106300300138 
 3.         137.       2.121      0.017      0.149      0.008     D106300300139 
 3.         137.       1.971      0.017      0.115      0.006     D106300300140 
 3.         141.       2.976      0.018      0.186      0.009     D106300300141 
 3.         141.       2.877      0.016      0.187      0.009     D106300300142 
 3.         141.       2.775      0.016      0.174      0.009     D106300300143 
 3.         141.       2.698      0.016      0.172      0.008     D106300300144 
 3.         141.       2.575      0.016      0.16       0.008     D106300300145 
 3.         141.       2.476      0.016      0.145      0.007     D106300300146 
 3.         141.       2.372      0.016      0.158      0.009     D106300300147 
 3.         141.       2.278      0.016      0.139      0.010     D106300300148 
 3.         141.       2.121      0.017      0.138      0.007     D106300300149 
 3.         141.       1.971      0.017      0.117      0.006     D106300300150 
 3.         146.       2.976      0.018      0.194      0.009     D106300300151 
 3.         146.       2.877      0.016      0.200      0.009     D106300300152 
 3.         146.       2.775      0.016      0.187      0.009     D106300300153 
 3.         146.       2.698      0.016      0.183      0.008     D106300300154 
 3.         146.       2.575      0.016      0.182      0.008     D106300300155 
 3.         146.       2.476      0.016      0.162      0.007     D106300300156 
 3.         146.       2.372      0.016      0.143      0.007     D106300300157 
 3.         146.       2.278      0.016      0.150      0.010     D106300300158 
 3.         146.       2.121      0.017      0.128      0.007     D106300300159 
 3.         146.       1.971      0.017      0.119      0.006     D106300300160 
 3.         152.       2.976      0.018      0.197      0.009     D106300300161 
 3.         152.       2.877      0.016      0.193      0.008     D106300300162 
 3.         152.       2.775      0.016      0.187      0.009     D106300300163 
 3.         152.       2.698      0.016      0.19       0.008     D106300300164 
 3.         152.       2.575      0.016      0.186      0.008     D106300300165 
 3.         152.       2.476      0.016      0.17       0.008     D106300300166 
 3.         152.       2.372      0.016      0.155      0.008     D106300300167 
 3.         152.       2.278      0.016      0.147      0.01      D106300300168 
 3.         152.       2.121      0.017      0.14       0.007     D106300300169 
 3.         152.       1.971      0.017      0.125      0.006     D106300300170 
 3.         158.       2.976      0.018      0.206      0.009     D106300300171 
 3.         158.       2.877      0.016      0.203      0.009     D106300300172 
 3.         158.       2.775      0.016      0.199      0.009     D106300300173 
 3.         158.       2.698      0.016      0.2        0.009     D106300300174 
 3.         158.       2.575      0.016      0.177      0.008     D106300300175 
 3.         158.       2.476      0.016      0.176      0.008     D106300300176 
 3.         158.       2.372      0.016      0.152      0.008     D106300300177 
 3.         158.       2.278      0.016      0.161      0.011     D106300300178 
 3.         158.       2.121      0.017      0.148      0.008     D106300300179 
 3.         158.       1.971      0.017      0.137      0.006     D106300300180 
ENDDATA            174          0                                 D106300300181 
ENDSUBENT          180          0                                 D106300399999 
SUBENT        D1063004   20250324                             D149D106300400001 
BIB                  1          1                                 D106300400002 
REACTION   (5-B-11(HE3,D)6-C-12,PAR,DA)                           D106300400003 
ENDBIB               1          0                                 D106300400004 
COMMON               1          3                                 D106300400005 
E-LVL                                                             D106300400006 
MEV                                                               D106300400007 
 0.                                                               D106300400008 
ENDCOMMON            3          0                                 D106300400009 
DATA                 5         50                                 D106300400010 
ANG        EN         EN-ERR     DATA       ERR-T                 D106300400011 
ADEG       MEV        MEV        MB/SR      MB/SR                 D106300400012 
 137.       2.976      0.018      0.178      0.009                D106300400013 
 137.       2.877      0.016      0.173      0.008                D106300400014 
 137.       2.775      0.016      0.178      0.009                D106300400015 
 137.       2.698      0.016      0.174      0.008                D106300400016 
 137.       2.575      0.016      0.163      0.007                D106300400017 
 137.       2.476      0.016      0.146      0.007                D106300400018 
 137.       2.372      0.016      0.147      0.008                D106300400019 
 137.       2.278      0.016      0.105      0.009                D106300400020 
 137.       2.121      0.017      0.090      0.005                D106300400021 
 137.       1.971      0.017      0.067      0.004                D106300400022 
 141.       2.976      0.018      0.175      0.009                D106300400023 
 141.       2.877      0.016      0.177      0.008                D106300400024 
 141.       2.775      0.016      0.16       0.008                D106300400025 
 141.       2.698      0.016      0.172      0.008                D106300400026 
 141.       2.575      0.016      0.172      0.008                D106300400027 
 141.       2.476      0.016      0.136      0.007                D106300400028 
 141.       2.372      0.016      0.151      0.008                D106300400029 
 141.       2.278      0.016      0.126      0.009                D106300400030 
 141.       2.121      0.017      0.104      0.006                D106300400031 
 141.       1.971      0.017      0.061      0.004                D106300400032 
 146.       2.976      0.018      0.189      0.009                D106300400033 
 146.       2.877      0.016      0.185      0.008                D106300400034 
 146.       2.775      0.016      0.178      0.008                D106300400035 
 146.       2.698      0.016      0.174      0.008                D106300400036 
 146.       2.575      0.016      0.157      0.007                D106300400037 
 146.       2.476      0.016      0.153      0.007                D106300400038 
 146.       2.372      0.016      0.129      0.007                D106300400039 
 146.       2.278      0.016      0.116      0.008                D106300400040 
 146.       2.121      0.017      0.094      0.005                D106300400041 
 146.       1.971      0.017      0.066      0.004                D106300400042 
 152.       2.976      0.018      0.190      0.009                D106300400043 
 152.       2.877      0.016      0.178      0.008                D106300400044 
 152.       2.775      0.016      0.172      0.008                D106300400045 
 152.       2.698      0.016      0.18       0.008                D106300400046 
 152.       2.575      0.016      0.169      0.008                D106300400047 
 152.       2.476      0.016      0.144      0.007                D106300400048 
 152.       2.372      0.016      0.137      0.007                D106300400049 
 152.       2.278      0.016      0.124      0.009                D106300400050 
 152.       2.121      0.017      0.085      0.005                D106300400051 
 152.       1.971      0.017      0.066      0.004                D106300400052 
 158.       2.976      0.018      0.188      0.015                D106300400053 
 158.       2.877      0.016      0.182      0.008                D106300400054 
 158.       2.775      0.016      0.196      0.009                D106300400055 
 158.       2.698      0.016      0.181      0.008                D106300400056 
 158.       2.575      0.016      0.169      0.007                D106300400057 
 158.       2.476      0.016      0.148      0.007                D106300400058 
 158.       2.372      0.016      0.129      0.007                D106300400059 
 158.       2.278      0.016      0.124      0.01                 D106300400060 
 158.       2.121      0.017      0.097      0.006                D106300400061 
 158.       1.971      0.017      0.065      0.002                D106300400062 
ENDDATA             52          0                                 D106300400063 
ENDSUBENT           62          0                                 D106300499999 
ENDENTRY             4          0                                 D106399999999 
