EN         MASS-RATIO DATA       DATA-ERR                         D107300200008 
MEV        NO-DIM     PC/FIS     PC/FIS                           D107300200009 
 146.7      0.375      1.429      0.072                           D107300200061 
 146.7      0.385      1.951      0.084                           D107300200062 
 146.7      0.395      2.330      0.092                           D107300200063 
 146.7      0.405      2.702      0.099                           D107300200064 
 146.7      0.415      3.453      0.112                           D107300200065 
 146.7      0.425      4.518      0.128                           D107300200066 
 146.7      0.435      4.329      0.126                           D107300200067 
 146.7      0.445      4.850      0.133                           D107300200068 
 146.7      0.455      5.437      0.141                           D107300200069 
 146.7      0.465      5.419      0.141                           D107300200070 
 146.7      0.475      5.685      0.144                           D107300200071 
 146.7      0.485      5.671      0.144                           D107300200072 
 146.7      0.495      5.215      0.138                           D107300200073 
 146.7      0.505      5.211      0.138                           D107300200074 
 146.7      0.515      5.674      0.144                           D107300200075 
 146.7      0.525      5.681      0.144                           D107300200076 
 146.7      0.535      5.423      0.141                           D107300200077 
 146.7      0.545      5.437      0.141                           D107300200078 
 146.7      0.555      4.850      0.133                           D107300200079 
 146.7      0.565      4.329      0.126                           D107300200080 
 146.7      0.575      4.518      0.128                           D107300200081 
 146.7      0.585      3.453      0.112                           D107300200082 
 146.7      0.595      2.702      0.099                           D107300200083 
 146.7      0.605      2.330      0.092                           D107300200084 
 146.7      0.615      1.951      0.084                           D107300200085 
 146.7      0.625      1.429      0.072                           D107300200086 
 146.7      0.635      1.207      0.066                           D107300200087 
 146.7      0.645      0.912      0.058                           D107300200088 
 146.7      0.655      0.602      0.047                           D107300200089 
 146.7      0.665      0.430      0.040                           D107300200090 
 146.7      0.675      0.270      0.031                           D107300200091 
 146.7      0.685      0.142      0.023                           D107300200092 
 146.7      0.695      0.124      0.021                           D107300200093 
 146.7      0.705      0.080      0.017                           D107300200094 
 146.7      0.715      0.062      0.015                           D107300200095 
 151.3      0.285      0.064      0.009                           D107300200096 
 151.3      0.295      0.089      0.011                           D107300200097 
 151.3      0.305      0.119      0.012                           D107300200098 
 151.3      0.315      0.189      0.015                           D107300200099 
 151.3      0.325      0.292      0.019                           D107300200100 
 151.3      0.335      0.407      0.023                           D107300200101 
 151.3      0.345      0.699      0.030                           D107300200102 
 151.3      0.355      0.910      0.034                           D107300200103 
 151.3      0.365      1.137      0.038                           D107300200104 
 151.3      0.375      1.562      0.044                           D107300200105 
 151.3      0.385      1.970      0.050                           D107300200106 
 151.3      0.395      2.338      0.054                           D107300200107 
 151.3      0.405      3.049      0.062                           D107300200108 
 151.3      0.415      3.401      0.065                           D107300200109 
 151.3      0.425      4.284      0.073                           D107300200110 
 151.3      0.435      4.569      0.076                           D107300200111 
 151.3      0.445      4.674      0.076                           D107300200112 
 151.3      0.455      5.168      0.080                           D107300200113 
 151.3      0.465      5.384      0.082                           D107300200114 
 151.3      0.475      5.545      0.083                           D107300200115 
 151.3      0.485      5.544      0.083                           D107300200116 
 151.3      0.495      5.423      0.082                           D107300200117 
 151.3      0.505      5.422      0.082                           D107300200118 
 151.3      0.515      5.545      0.083                           D107300200119 
 151.3      0.525      5.545      0.083                           D107300200120 
 151.3      0.535      5.384      0.082                           D107300200121 
 151.3      0.545      5.168      0.080                           D107300200122 
 151.3      0.555      4.674      0.076                           D107300200123 
 151.3      0.565      4.568      0.076                           D107300200124 
 151.3      0.575      4.284      0.073                           D107300200125 
 151.3      0.585      3.402      0.065                           D107300200126 
 151.3      0.595      3.049      0.062                           D107300200127 
 151.3      0.605      2.336      0.054                           D107300200128 
 151.3      0.615      1.972      0.050                           D107300200129 
 151.3      0.625      1.561      0.044                           D107300200130 
 151.3      0.635      1.137      0.038                           D107300200131 
 151.3      0.645      0.911      0.034                           D107300200132 
 151.3      0.655      0.699      0.030                           D107300200133 
 151.3      0.665      0.407      0.023                           D107300200134 
 151.3      0.675      0.291      0.019                           D107300200135 
 151.3      0.685      0.190      0.015                           D107300200136 
 151.3      0.695      0.119      0.012                           D107300200137 
