EN         MASS-RATIO DATA       DATA-ERR                         D107300200008 
MEV        NO-DIM     PC/FIS     PC/FIS                           D107300200009 
 160.5      0.655      0.728      0.030                           D107300300202 
 160.5      0.665      0.554      0.026                           D107300300203 
 160.5      0.675      0.426      0.023                           D107300300204 
 160.5      0.685      0.373      0.021                           D107300300205 
 160.5      0.695      0.283      0.019                           D107300300206 
 160.5      0.705      0.246      0.017                           D107300300207 
 170.1      0.295      0.257      0.016                           D107300300208 
 170.1      0.305      0.295      0.017                           D107300300209 
 170.1      0.315      0.371      0.019                           D107300300210 
 170.1      0.325      0.492      0.022                           D107300300211 
 170.1      0.335      0.662      0.025                           D107300300212 
 170.1      0.345      0.818      0.028                           D107300300213 
 170.1      0.355      1.033      0.032                           D107300300214 
 170.1      0.365      1.225      0.034                           D107300300215 
 170.1      0.375      1.579      0.039                           D107300300216 
 170.1      0.385      1.960      0.044                           D107300300217 
 170.1      0.395      2.307      0.047                           D107300300218 
 170.1      0.405      2.805      0.052                           D107300300219 
 170.1      0.415      3.127      0.055                           D107300300220 
 170.1      0.425      3.770      0.060                           D107300300221 
 170.1      0.435      4.078      0.063                           D107300300222 
 170.1      0.445      4.517      0.066                           D107300300223 
 170.1      0.455      4.666      0.067                           D107300300224 
 170.1      0.465      4.778      0.068                           D107300300225 
 170.1      0.475      5.023      0.070                           D107300300226 
 170.1      0.485      5.073      0.070                           D107300300227 
 170.1      0.495      4.927      0.069                           D107300300228 
 170.1      0.505      4.927      0.069                           D107300300229 
 170.1      0.515      5.073      0.070                           D107300300230 
 170.1      0.525      5.023      0.070                           D107300300231 
 170.1      0.535      4.776      0.068                           D107300300232 
 170.1      0.545      4.666      0.067                           D107300300233 
 170.1      0.555      4.517      0.066                           D107300300234 
 170.1      0.565      4.079      0.063                           D107300300235 
 170.1      0.575      3.771      0.060                           D107300300236 
 170.1      0.585      3.127      0.055                           D107300300237 
 170.1      0.595      2.805      0.052                           D107300300238 
 170.1      0.605      2.308      0.047                           D107300300239 
 170.1      0.615      1.960      0.044                           D107300300240 
 170.1      0.625      1.578      0.039                           D107300300241 
 170.1      0.635      1.226      0.034                           D107300300242 
 170.1      0.645      1.033      0.032                           D107300300243 
 170.1      0.655      0.818      0.028                           D107300300244 
 170.1      0.665      0.662      0.025                           D107300300245 
 170.1      0.675      0.492      0.022                           D107300300246 
 170.1      0.685      0.371      0.019                           D107300300247 
 170.1      0.695      0.295      0.017                           D107300300248 
 170.1      0.705      0.257      0.016                           D107300300249 
 181.8      0.285      0.397      0.021                           D107300300250 
 181.8      0.295      0.426      0.021                           D107300300251 
 181.8      0.305      0.511      0.023                           D107300300252 
 181.8      0.315      0.572      0.025                           D107300300253 
 181.8      0.325      0.693      0.027                           D107300300254 
 181.8      0.335      0.835      0.030                           D107300300255 
 181.8      0.345      1.028      0.033                           D107300300256 
 181.8      0.355      1.265      0.037                           D107300300257 
 181.8      0.365      1.375      0.038                           D107300300258 
 181.8      0.375      1.727      0.043                           D107300300259 
 181.8      0.385      2.106      0.048                           D107300300260 
 181.8      0.395      2.397      0.051                           D107300300261 
 181.8      0.405      2.658      0.053                           D107300300262 
 181.8      0.415      3.113      0.058                           D107300300263 
 181.8      0.425      3.467      0.061                           D107300300264 
 181.8      0.435      3.874      0.065                           D107300300265 
 181.8      0.445      4.232      0.068                           D107300300266 
 181.8      0.455      4.465      0.069                           D107300300267 
 181.8      0.465      4.436      0.069                           D107300300268 
 181.8      0.475      4.611      0.070                           D107300300269 
 181.8      0.485      4.727      0.071                           D107300300270 
 181.8      0.495      4.846      0.072                           D107300300271 
 181.8      0.505      4.845      0.072                           D107300300272 
 181.8      0.515      4.728      0.071                           D107300300273 
 181.8      0.525      4.611      0.070                           D107300300274 
 181.8      0.535      4.434      0.069                           D107300300275 
 181.8      0.545      4.467      0.069                           D107300300276 
 181.8      0.555      4.233      0.068                           D107300300277 
 181.8      0.565      3.873      0.065                           D107300300278 
 181.8      0.575      3.468      0.061                           D107300300279 
 181.8      0.585      3.112      0.058                           D107300300280 
 181.8      0.595      2.658      0.053                           D107300300281 
 181.8      0.605      2.398      0.051                           D107300300282 
 181.8      0.615      2.106      0.048                           D107300300283 
 181.8      0.625      1.727      0.043                           D107300300284 
 181.8      0.635      1.375      0.038                           D107300300285 
 181.8      0.645      1.265      0.037                           D107300300286 
 181.8      0.655      1.028      0.033                           D107300300287 
 181.8      0.665      0.835      0.030                           D107300300288 
 181.8      0.675      0.693      0.027                           D107300300289 
 181.8      0.685      0.571      0.025                           D107300300290 
 181.8      0.695      0.513      0.023                           D107300300291 
 181.8      0.705      0.426      0.021                           D107300300292 
 181.8      0.715      0.397      0.021                           D107300300293 
ENDDATA            286          0                                 D107300300294 
ENDSUBENT          293          0                                 D107300399999 
ENDENTRY             3          0                                 D107399999999 
