ENTRY            D1079   20251001                             D151D107900000001 
SUBENT        D1079001   20251001                             D151D107900100001 
BIB                  8         16                                 D107900100002 
TITLE      Measurement of secondary neutron spectra and the       D107900100003 
            total yield from 18O(p,Xn) reaction                   D107900100004 
AUTHOR     (M.Zmeskal, M.Kostal, O.Lebeda, V.Zach, R.Behal,       D107900100005 
            T.Czakoj, J.Simon, E.Novak, Z.Matej)                  D107900100006 
REFERENCE  (J,RPC,229,112431,2025)                                D107900100007 
INSTITUTE  (3CZRUJV,3CZRCTI,3CZRUJF)                              D107900100008 
           (3CZRCZR) Masaryk University, Brno                     D107900100009 
FACILITY   (CYCLO,3CZRUJF) U-120M cyclotron                       D107900100010 
SAMPLE     (8-O-18,ENR=0.98)                                      D107900100011 
           Phial (5.5 mm inner diameter,  26 mm length, 2.3 ml    D107900100012 
            volume, 25 um havar window) filled with water         D107900100013 
            enriched to 98% with 18O and pressurized to 2E+5 Pa,  D107900100014 
            thicker than the full stopping length of protons      D107900100015 
STATUS     (APRVD) Proofread by Marek Zmeskal (2025-10-01)        D107900100016 
HISTORY    (20251001R) On. Data received from Marek Zmeskal.      D107900100017 
           (20251001C) On                                         D107900100018 
ENDBIB              16          0                                 D107900100019 
NOCOMMON             0          0                                 D107900100020 
ENDSUBENT           19          0                                 D107900199999 
SUBENT        D1079002   20251001                             D151D107900200001 
BIB                  4         11                                 D107900200002 
REACTION   (8-O-CMP(P,X)0-NN-1,,PY/DA/DE,,TT/CH)                  D107900200003 
            water enriched with 18O                               D107900200004 
DETECTOR   (SCIN) stilbene crystal (1 x 1 cm) which centre was    D107900200005 
            located at a distance of 203 cm from the entrance     D107900200006 
            of the water target                                   D107900200007 
ERR-ANALYS (DATA-ERR) Uncertainty due to                          D107900200008 
           - statistics                                           D107900200009 
           - deconvolution                                        D107900200010 
           - energy calibration                                   D107900200011 
STATUS     (TABLE,,M.Zmeskal,J,RPC,229,112431,2025)               D107900200012 
            Spectra in Fig.5 renormalized by Marek Zmeskal        D107900200013 
ENDBIB              11          0                                 D107900200014 
COMMON               1          3                                 D107900200015 
EN                                                                D107900200016 
MEV                                                               D107900200017 
 17.4                                                             D107900200018 
ENDCOMMON            3          0                                 D107900200019 
DATA                 5       1380                                 D107900200020 
ANG        E-MIN      E-MAX      DATA       DATA-ERR              D107900200021 
ADEG       MEV        MEV        P/MEVMUCSR PER-CENT              D107900200022 
   0.        0.8        0.9        1.243E+09 10.21                D107900200023 
   0.        0.9        1.         9.859E+08  6.40                D107900200024 
   0.        1.         1.1        8.094E+08  5.21                D107900200025 
   0.        1.1        1.2        7.135E+08  5.02                D107900200026 
   0.        1.2        1.3        6.374E+08  5.02                D107900200027 
   0.        1.3        1.4        5.844E+08  5.03                D107900200028 
   0.        1.4        1.5        5.385E+08  5.05                D107900200029 
   0.        1.5        1.6        5.097E+08  5.09                D107900200030 
   0.        1.6        1.7        4.829E+08  5.14                D107900200031 
   0.        1.7        1.8        4.595E+08  5.19                D107900200032 
   0.        1.8        1.9        4.374E+08  5.24                D107900200033 
   0.        1.9        2.         4.196E+08  5.27                D107900200034 
   0.        2.         2.1        4.023E+08  5.31                D107900200035 
   0.        2.1        2.2        3.878E+08  5.37                D107900200036 
   0.        2.2        2.3        3.736E+08  5.44                D107900200037 
   0.        2.3        2.4        3.629E+08  5.55                D107900200038 
   0.        2.4        2.5        3.522E+08  5.67                D107900200039 
   0.        2.5        2.6        3.424E+08  5.76                D107900200040 
   0.        2.6        2.7        3.325E+08  5.86                D107900200041 
   0.        2.7        2.8        3.207E+08  5.87                D107900200042 
   0.        2.8        2.9        3.089E+08  5.88                D107900200043 
   0.        2.9        3.         2.981E+08  5.81                D107900200044 
   0.        3.         3.1        2.872E+08  5.75                D107900200045 
   0.        3.1        3.2        2.777E+08  5.67                D107900200046 
   0.        3.2        3.3        2.682E+08  5.60                D107900200047 
   0.        3.3        3.4        2.583E+08  5.53                D107900200048 
   0.        3.4        3.5        2.486E+08  5.46                D107900200049 
   0.        3.5        3.6        2.398E+08  5.40                D107900200050 
   0.        3.6        3.7        2.311E+08  5.34                D107900200051 
   0.        3.7        3.8        2.235E+08  5.32                D107900200052 
   0.        3.8        3.9        2.159E+08  5.30                D107900200053 
   0.        3.9        4.         2.099E+08  5.28                D107900200054 
   0.        4.         4.1        2.037E+08  5.27                D107900200055 
   0.        4.1        4.2        1.976E+08  5.26                D107900200056 
   0.        4.2        4.3        1.915E+08  5.25                D107900200057 
   0.        4.3        4.4        1.864E+08  5.23                D107900200058 
   0.        4.4        4.5        1.813E+08  5.25                D107900200059 
   0.        4.5        4.6        1.766E+08  5.24                D107900200060 
