ENTRY            D1069   20250422                             D149D106900000001 
SUBENT        D1069001   20250422                             D149D106900100001 
BIB                 10         18                                 D106900100002 
TITLE      14N break-up alpha emission with 59Co, 93Nb, and       D106900100003 
            197Au targets at an incident energy of 250~MeV        D106900100004 
AUTHOR     (C.Bhuptani, D.Patel, V.K.Ojha, S.Mukherjee)           D106900100005 
INSTITUTE  (3INDIND) Sardar Vallabhbhai National Institute of     D106900100006 
            Technology, Surat                                     D106900100007 
           (3CZRCZR) Brno University of Technology, Brno          D106900100008 
REFERENCE  (J,JRN,333,5407,2024)                                  D106900100009 
REL-REF    (I,D0975001,J.Acharya+,J,NP/A,996,121695,2020)         D106900100010 
            59Co,93Nb(14N,a+x) DDX at 250 MeV                     D106900100011 
FACILITY   (CYCLO,3SAFITH)                                        D106900100012 
DETECTOR   (TELES,SIBAR,SIBAR)                                    D106900100013 
            Two telescopes (30 um-500 um thick and 100 um-2000 um D106900100014 
            thick)                                                D106900100015 
ERR-ANALYS (DATA-ERR) No information on the source of uncertainty D106900100016 
           (ERR-SYS,,10.) Overall systematic uncertainty (<10%)   D106900100017 
STATUS     (APRVD) Proof-ready by Dipika Patel (2025-04-23)       D106900100018 
HISTORY    (20250422R) On. Data received from Dipika Patel.       D106900100019 
           (20250422C) On                                         D106900100020 
ENDBIB              18          0                                 D106900100021 
COMMON               1          3                                 D106900100022 
EN                                                                D106900100023 
MEV                                                               D106900100024 
 250.                                                             D106900100025 
ENDCOMMON            3          0                                 D106900100026 
ENDSUBENT           25          0                                 D106900199999 
SUBENT        D1069002   20250410                             D149D106900200001 
BIB                  2          2                                 D106900200002 
REACTION   (79-AU-197(7-N-14,X)2-HE-4,,DA/DE)                     D106900200003 
STATUS     (TABLE,,C.Bhuptani+,J,JRN,333,5407,2024) Fig.5         D106900200004 
ENDBIB               2          0                                 D106900200005 
NOCOMMON             0          0                                 D106900200006 
DATA                 4        138                                 D106900200007 
ANG        E          DATA       DATA-ERR                         D106900200008 
ADEG       MEV        MB/SR/MEV  MB/SR/MEV                        D106900200009 
  8.         42.         5.65E+03   6.94E+01                      D106900200010 
  8.         46.         6.04E+03   7.18E+01                      D106900200011 
  8.         50.         6.31E+03   7.33E+01                      D106900200012 
  8.         54.         6.38E+03   7.38E+01                      D106900200013 
  8.         58.         6.76E+03   7.59E+01                      D106900200014 
  8.         62.         6.75E+03   7.59E+01                      D106900200015 
  8.         66.         6.60E+03   7.50E+01                      D106900200016 
  8.         70.         6.13E+03   7.23E+01                      D106900200017 
  8.         74.         5.54E+03   6.88E+01                      D106900200018 
  8.         78.         4.95E+03   6.50E+01                      D106900200019 
  8.         82.         4.23E+03   6.00E+01                      D106900200020 
  8.         86.         3.56E+03   5.51E+01                      D106900200021 
  8.         90.         2.87E+03   4.95E+01                      D106900200022 
  8.         94.         2.46E+03   4.58E+01                      D106900200023 
  8.         98.         1.95E+03   4.08E+01                      D106900200024 
  8.        102.         1.55E+03   3.64E+01                      D106900200025 
  8.        106.         1.23E+03   3.23E+01                      D106900200026 
  8.        110.         8.76E+02   2.73E+01                      D106900200027 
  8.        114.         6.51E+02   2.36E+01                      D106900200028 
  8.        118.         4.36E+02   1.93E+01                      D106900200029 
  8.        122.         3.25E+02   1.66E+01                      D106900200030 
  8.        126.         2.62E+02   1.49E+01                      D106900200031 
  8.        130.         1.80E+02   1.24E+01                      D106900200032 
  8.        134.         1.13E+02   9.83E+00                      D106900200033 
  8.        138.         8.87E+01   8.70E+00                      D106900200034 
  8.        142.         5.97E+01   7.13E+00                      D106900200035 
  8.        146.         4.26E+01   6.03E+00                      D106900200036 
  8.        150.         3.24E+01   5.26E+00                      D106900200037 
  8.        154.         2.30E+01   4.43E+00                      D106900200038 
  8.        158.         1.62E+01   3.72E+00                      D106900200039 
  8.        162.         4.26E+00   1.91E+00                      D106900200040 
  8.        166.         1.71E+00   1.21E+00                      D106900200041 
  8.        170.         3.41E+00   1.71E+00                      D106900200042 
  8.        174.         8.53E-01   8.53E-01                      D106900200043 
  8.        178.         1.71E+00   1.21E+00                      D106900200044 
  8.        182.         0.00E+00   0.00E+00                      D106900200045 
 10.         42.         1.49E+03   6.31E+01                      D106900200046 
 10.         46.         1.17E+03   5.61E+01                      D106900200047 
 10.         50.         1.28E+03   5.85E+01                      D106900200048 
 10.         54.         1.14E+03   5.52E+01                      D106900200049 
 10.         58.         1.21E+03   5.70E+01                      D106900200050 
 10.         62.         1.14E+03   5.53E+01                      D106900200051 
 10.         66.         1.15E+03   5.55E+01                      D106900200052 
 10.         70.         1.00E+03   5.19E+01                      D106900200053 
