LVL-NUMB   ANG        ANG-ERR    EN         DATA       ERR-S      D106200200009 
NO-DIM     ADEG       ADEG       KEV        MB/SR      MB/SR      D106200200010 
 0.         135.       1.0        1746.5      5.21      0.09      D106200200051 
 0.         135.       1.0        1756.5      4.81      0.08      D106200200052 
 0.         135.       1.0        1766.5      4.28      0.07      D106200200053 
 0.         135.       1.0        1776.5      3.94      0.08      D106200200054 
 0.         135.       1.0        1786.5      3.80      0.08      D106200200055 
 0.         135.       1.0        1796.6      3.56      0.07      D106200200056 
 0.         135.       1.0        1801.6      4.13      0.08      D106200200057 
 0.         135.       1.0        1806.6      3.88      0.08      D106200200058 
 0.         135.       1.0        1811.6      4.26      0.09      D106200200059 
 0.         135.       1.0        1816.6      4.41      0.09      D106200200060 
 0.         135.       1.0        1821.6      4.54      0.09      D106200200061 
 0.         135.       1.0        1826.6      4.93      0.11      D106200200062 
 0.         135.       1.0        1831.6      5.69      0.12      D106200200063 
 0.         135.       1.0        1836.6      5.83      0.12      D106200200064 
 0.         135.       1.0        1841.6      5.62      0.12      D106200200065 
 0.         135.       1.0        1846.6      6.00      0.13      D106200200066 
 0.         135.       1.0        1851.6      7.38      0.16      D106200200067 
 0.         135.       1.0        1856.6      6.51      0.14      D106200200068 
 0.         135.       1.0        1861.6      8.25      0.17      D106200200069 
 0.         135.       1.0        1866.6      9.23      0.19      D106200200070 
 0.         135.       1.0        1871.6     10.13      0.20      D106200200071 
 0.         135.       1.0        1876.6      9.67      0.19      D106200200072 
 0.         135.       1.0        1881.6      8.95      0.20      D106200200073 
 0.         135.       1.0        1886.6      9.03      0.19      D106200200074 
 0.         135.       1.0        1891.6      8.32      0.16      D106200200075 
 0.         135.       1.0        1896.6      7.67      0.15      D106200200076 
 0.         135.       1.0        1906.6      5.61      0.12      D106200200077 
 0.         135.       1.0        1916.6      4.99      0.10      D106200200078 
 0.         135.       1.0        1926.6      5.11      0.11      D106200200079 
 0.         135.       1.0        1936.6      4.87      0.10      D106200200080 
 0.         135.       1.0        1946.6      4.69      0.12      D106200200081 
 0.         135.       1.0        1956.6      5.26      0.12      D106200200082 
 0.         135.       1.0        1966.6      5.60      0.13      D106200200083 
 0.         135.       1.0        1976.6      6.12      0.14      D106200200084 
 0.         135.       1.0        1986.6      6.39      0.15      D106200200085 
 0.         135.       1.0        1996.6      7.17      0.18      D106200200086 
 0.         150.       0.5        1496.4      5.00      0.15      D106200200087 
 0.         150.       0.5        1506.4      5.20      0.14      D106200200088 
 0.         150.       0.5        1516.4      5.56      0.16      D106200200089 
 0.         150.       0.5        1526.4      6.59      0.18      D106200200090 
 0.         150.       0.5        1536.4      6.18      0.19      D106200200091 
 0.         150.       0.5        1546.4      6.14      0.18      D106200200092 
 0.         150.       0.5        1551.4      6.00      0.18      D106200200093 
 0.         150.       0.5        1556.4      6.62      0.19      D106200200094 
 0.         150.       0.5        1561.4      6.02      0.18      D106200200095 
 0.         150.       0.5        1566.4      6.19      0.16      D106200200096 
 0.         150.       0.5        1571.4      5.56      0.15      D106200200097 
 0.         150.       0.5        1576.4      6.20      0.18      D106200200098 
 0.         150.       0.5        1581.4      6.83      0.20      D106200200099 
 0.         150.       0.5        1586.4      7.04      0.20      D106200200100 
 0.         150.       0.5        1591.4      6.54      0.18      D106200200101 
 0.         150.       0.5        1596.4      6.69      0.14      D106200200102 
 0.         150.       0.5        1601.4      6.58      0.20      D106200200103 
 0.         150.       0.5        1606.4      7.35      0.22      D106200200104 
 0.         150.       0.5        1611.4      7.01      0.21      D106200200105 
 0.         150.       0.5        1616.4      6.04      0.18      D106200200106 
 0.         150.       0.5        1621.4      7.29      0.21      D106200200107 
 0.         150.       0.5        1626.4      7.76      0.22      D106200200108 
 0.         150.       0.5        1631.4      9.25      0.25      D106200200109 
 0.         150.       0.5        1636.4     10.05      0.27      D106200200110 
 0.         150.       0.5        1641.4      9.67      0.27      D106200200111 
 0.         150.       0.5        1646.4     11.6       0.3       D106200200112 
 0.         150.       0.5        1651.4     12.3       0.3       D106200200113 
 0.         150.       0.5        1656.4     12.6       0.3       D106200200114 
 0.         150.       0.5        1661.4     12.27      0.28      D106200200115 
 0.         150.       0.5        1666.4     11.19      0.25      D106200200116 
 0.         150.       0.5        1671.4      9.81      0.23      D106200200117 
 0.         150.       0.5        1676.4      8.41      0.20      D106200200118 
 0.         150.       0.5        1681.4      7.67      0.20      D106200200119 
 0.         150.       0.5        1686.4      7.35      0.18      D106200200120 
 0.         150.       0.5        1691.4      6.62      0.16      D106200200121 
 0.         150.       0.5        1696.4      6.21      0.16      D106200200122 
 0.         150.       0.5        1706.4      6.54      0.16      D106200200123 
 0.         150.       0.5        1716.4      5.71      0.15      D106200200124 
 0.         150.       0.5        1726.4      5.84      0.12      D106200200125 
 0.         150.       0.5        1736.4      5.10      0.12      D106200200126 
 0.         150.       0.5        1746.5      4.75      0.11      D106200200127 
 0.         150.       0.5        1756.5      4.06      0.09      D106200200128 
 0.         150.       0.5        1766.5      3.60      0.09      D106200200129 
 0.         150.       0.5        1776.5      3.08      0.08      D106200200130 
 0.         150.       0.5        1786.5      3.23      0.09      D106200200131 
 0.         150.       0.5        1796.6      2.75      0.08      D106200200132 
 0.         150.       0.5        1801.6      2.92      0.09      D106200200133 
 0.         150.       0.5        1806.6      3.41      0.09      D106200200134 
 0.         150.       0.5        1811.6      3.18      0.10      D106200200135 
 0.         150.       0.5        1816.6      3.48      0.11      D106200200136 
 0.         150.       0.5        1821.6      3.70      0.10      D106200200137 
 0.         150.       0.5        1826.6      3.83      0.12      D106200200138 
 0.         150.       0.5        1831.6      4.35      0.13      D106200200139 
 0.         150.       0.5        1836.6      4.57      0.14      D106200200140 
 0.         150.       0.5        1841.6      5.19      0.15      D106200200141 
 0.         150.       0.5        1846.6      5.26      0.15      D106200200142 
 0.         150.       0.5        1851.6      5.52      0.17      D106200200143 
 0.         150.       0.5        1856.6      5.64      0.17      D106200200144 
 0.         150.       0.5        1861.6      6.97      0.20      D106200200145 
 0.         150.       0.5        1866.6      7.90      0.22      D106200200146 
 0.         150.       0.5        1871.6      7.67      0.22      D106200200147 
 0.         150.       0.5        1876.6      8.44      0.23      D106200200148 
 0.         150.       0.5        1881.6      7.67      0.23      D106200200149 
 0.         150.       0.5        1886.6      7.85      0.23      D106200200150 
 0.         150.       0.5        1891.6      6.44      0.18      D106200200151 
 0.         150.       0.5        1896.6      6.00      0.17      D106200200152 
 0.         150.       0.5        1906.6      4.79      0.14      D106200200153 
 0.         150.       0.5        1916.6      4.26      0.12      D106200200154 
 0.         150.       0.5        1926.6      4.52      0.13      D106200200155 
 0.         150.       0.5        1936.6      4.75      0.12      D106200200156 
 0.         150.       0.5        1946.6      5.05      0.15      D106200200157 
 0.         150.       0.5        1956.6      5.73      0.17      D106200200158 
 0.         150.       0.5        1966.6      5.53      0.17      D106200200159 
 0.         150.       0.5        1976.6      6.43      0.19      D106200200160 
 0.         150.       0.5        1986.6      6.69      0.20      D106200200161 
 0.         150.       0.5        1996.6      7.41      0.23      D106200200162 
 0.         165.       1.0        1496.4      4.73      0.14      D106200200163 
 0.         165.       1.0        1506.4      5.33      0.13      D106200200164 
 0.         165.       1.0        1516.4      5.69      0.15      D106200200165 
