ENTRY            D1080   20251103                             D151D108000000001 
SUBENT        D1080001   20251103                             D151D108000100001 
BIB                  9         26                                 D108000100002 
TITLE      alpha-induced neutron emission from 27Al:              D108000100003 
            A cross-section study                                 D108000100004 
AUTHOR     (R.Roy, D.A.Testov, D.L.Balabanski, M.Kaur, A.Kusoglu, D108000100005 
            G.Lorusso, S.Singh, P.-A.Soederstroem, Y.Xu, S.Aogaki,D108000100006 
            S-R.Ban, M.Brezeanu, I.Burducea, R.Corbu, M.Cuciuc,   D108000100007 
            A.Dhal, N.Djourelov, N.Florea, A.Gavrilescu,          D108000100008 
            C.Gheorghiu, G.L.Guardo, D.Iancu, V.Lelasseux,        D108000100009 
            C.V.Nedelcu, H.Pai, P.Parlea, T.Petruse, A.Rotaru,    D108000100010 
            A.N.State, M.Straticiuc, V.Toma, T.Tozar,             D108000100011 
            D.Choudhury)                                          D108000100012 
REFERENCE  (J,PR/C,112,044613,2025)                               D108000100013 
INSTITUTE  (3INDIIR,2TUKSTU,2UK NPL,2UK SUR,3RUMBUC,2ITYLNS)      D108000100014 
           (3RUMRUM) Extreme Light Infrastructure - Nuclear       D108000100015 
            Physics, Magurele                                     D108000100016 
FACILITY   (VDGT,3RUMBUC) 3-MV Tandetron                          D108000100017 
SAMPLE     Two samples were irradiated:                           D108000100018 
           - 27Al (20 ug/cm2) evaporated on Ta backing (65 ug/cm2)D108000100019 
            irradiated at E=2.5-5.2 MeV in step of 10 keV         D108000100020 
           - 27Al (63 ug/cm2) irradiated at a few energies in     D108000100021 
            3.4-5.2 MeV                                           D108000100022 
DETECTOR   (HE3SP) 28 helium-3 proportional counters (ELEGANT-TN) D108000100023 
            arranged in three concentric rings positioned at      D108000100024 
            5.9 cm (inner ring), 13 cm (middle ring) and 15.5 cm  D108000100025 
            (outer ring) from the beam axis.                      D108000100026 
STATUS     (APRVD) Proofread by Rajat Roy (2025-11-11)            D108000100027 
HISTORY    (20251103C) On                                         D108000100028 
ENDBIB              26          0                                 D108000100029 
NOCOMMON             0          0                                 D108000100030 
ENDSUBENT           29          0                                 D108000199999 
SUBENT        D1080002   20251001                             D151D108000200001 
BIB                  4          8                                 D108000200002 
REACTION   (13-AL-27(A,N)15-P-30,,SIG)                            D108000200003 
INC-SPECT  (EN-RSL-HW) Energy loss                                D108000200004 
ERR-ANALYS (ERR-T) Uncertainties (~10%) due to                    D108000200005 
                       counting statistics (typically below 2%)   D108000200006 
           (ERR-1)     neutron detection efficiency        (8%)   D108000200007 
           (ERR-2)     target thickness                    (5%)   D108000200008 
           (ERR-3,,1.) number of incident alpha particles (<1%)   D108000200009 
STATUS     (TABLE,,R.Roy+,J,PR/C,112,044613,2025) Table II        D108000200010 
ENDBIB               8          0                                 D108000200011 
COMMON               2          3                                 D108000200012 
ERR-1      ERR-2                                                  D108000200013 
PER-CENT   PER-CENT                                               D108000200014 
 8.         5.                                                    D108000200015 
ENDCOMMON            3          0                                 D108000200016 
DATA                 4        269                                 D108000200017 
EN         EN-RSL-HW  DATA       ERR-T                            D108000200018 
MEV        MEV        MB         MB                               D108000200019 
 2.491      0.009       0.351     0.033                           D108000200020 
 2.501      0.009       0.343     0.033                           D108000200021 
 2.511      0.009       0.361     0.034                           D108000200022 
 2.521      0.009       0.349     0.033                           D108000200023 
 2.531      0.009       0.354     0.034                           D108000200024 
 2.541      0.009       0.372     0.035                           D108000200025 
 2.551      0.009       0.400     0.038                           D108000200026 
 2.561      0.009       0.441     0.042                           D108000200027 
 2.571      0.009       0.300     0.028                           D108000200028 
 2.581      0.009       0.245     0.023                           D108000200029 
 2.592      0.009       0.223     0.021                           D108000200030 
 2.601      0.009       0.210     0.020                           D108000200031 
 2.611      0.009       0.209     0.020                           D108000200032 
 2.621      0.009       0.242     0.023                           D108000200033 
 2.631      0.009       0.522     0.050                           D108000200034 
 2.641      0.009       0.390     0.037                           D108000200035 
 2.651      0.009       0.292     0.028                           D108000200036 
 2.661      0.009       0.286     0.027                           D108000200037 
 2.670      0.009       0.305     0.029                           D108000200038 
 2.682      0.009       0.276     0.026                           D108000200039 
 2.691      0.009       0.290     0.028                           D108000200040 
 2.701      0.009       0.285     0.027                           D108000200041 
 2.711      0.009       0.362     0.034                           D108000200042 
 2.721      0.009       0.409     0.039                           D108000200043 
 2.731      0.009       0.288     0.027                           D108000200044 
 2.741      0.009       0.296     0.028                           D108000200045 
 2.751      0.009       0.428     0.041                           D108000200046 
 2.761      0.009       1.077     0.102                           D108000200047 
 2.771      0.009       0.495     0.047                           D108000200048 
 2.781      0.009       0.378     0.036                           D108000200049 
 2.791      0.009       0.324     0.031                           D108000200050 
 2.801      0.009       0.295     0.028                           D108000200051 
 2.811      0.009       0.270     0.026                           D108000200052 
 2.821      0.009       0.263     0.025                           D108000200053 
 2.831      0.009       0.247     0.024                           D108000200054 
 2.841      0.009       0.243     0.023                           D108000200055 
 2.852      0.009       0.245     0.023                           D108000200056 
 2.862      0.008       0.253     0.024                           D108000200057 
 2.872      0.008       0.262     0.025                           D108000200058 
 2.882      0.008       0.254     0.024                           D108000200059 
 2.891      0.008       0.262     0.025                           D108000200060 
 2.903      0.008       0.241     0.023                           D108000200061 
 2.912      0.008       0.228     0.022                           D108000200062 
 2.924      0.008       0.219     0.021                           D108000200063 
 2.933      0.008       0.215     0.021                           D108000200064 
 2.942      0.008       0.221     0.021                           D108000200065 
 2.955      0.008       0.225     0.021                           D108000200066 
 2.961      0.008       0.236     0.023                           D108000200067 
 2.970      0.008       0.261     0.025                           D108000200068 
 2.982      0.008       0.277     0.026                           D108000200069 
 2.991      0.008       0.307     0.029                           D108000200070 
 3.000      0.008       0.330     0.031                           D108000200071 
 3.012      0.008       0.370     0.035                           D108000200072 
 3.021      0.008       0.392     0.037                           D108000200073 
 3.030      0.008       0.400     0.038                           D108000200074 
 3.042      0.008       0.392     0.037                           D108000200075 
 3.052      0.008       0.390     0.037                           D108000200076 
 3.061      0.008       0.389     0.037                           D108000200077 
