ENTRY            D8119   20260410                             D152D811900000001 
SUBENT        D8119001   20260410                             D152D811900100001 
BIB                 11         23                                 D811900100002 
TITLE      Revealing nucleon-nucleon correlation effects through  D811900100003 
            sub-Coulomb transfer reactions in 92Mo+54Fe           D811900100004 
AUTHOR     (T.Mijatovic, S.Szilner, L.Corradi, F.Galtarossa,      D811900100005 
            G.Pollarolo, G.Colucci, E.Fioretto, A.Goasduff,       D811900100006 
            A.Gottardo, D.Jelavic Malenica, M.Milin, G.Montagnoli,D811900100007 
            D.Montanari, N.Soic, A.M.Stefanini,                   D811900100008 
            J.J.Valiente Dobon)                                   D811900100009 
INSTITUTE  (3CRORBZ,2ITYPAD,2ITYUPV,2ITYTUR,3POLWWA,3CROZAG,      D811900100010 
            2SPNVAL)                                              D811900100011 
REFERENCE  (J,PL/B,872,140085,2026)                               D811900100012 
FACILITY   (LINAC,2ITYPAD) PIAVE-ALPI accelerator complex, or     D811900100013 
            Tandem+ALPI (346 MeV irradiation)                     D811900100014 
SAMPLE     (26-FE-54,ENR=0.999)                                   D811900100015 
           54Fe (100 ug/cm2) consisted of a strip of 2 mm         D811900100016 
            sandwiched between C layers (20 ug/cm2)               D811900100017 
METHOD     (TOF,EDE)                                              D811900100018 
DETECTOR   (MCPLT,MAGSP,PPAC,IOCH) for detection of Fe-like recoilD811900100019 
           (SIBAR) Monitor for absolute normalization.            D811900100020 
ERR-ANALYS (ERR-S) Statistical uncertainty                        D811900100021 
STATUS     (TABLE,,T.Mijatovic+,J,PL/B,872,140085,2026) Figure 3  D811900100022 
           (APRVD) Approved by Tea Mijatovic (2026-04-10)         D811900100023 
HISTORY    (20260223R) Received by e-mail from T.Mijatovic        D811900100024 
           (20260408C) M.Odsuren, N.Otsuka                        D811900100025 
ENDBIB              23          0                                 D811900100026 
NOCOMMON             0          0                                 D811900100027 
ENDSUBENT           26          0                                 D811900199999 
SUBENT        D8119002   20260410                             D152D811900200001 
BIB                  2          6                                 D811900200002 
REACTION   (42-MO-92(26-FE-54,X)ELEM/MASS,,IPA)                   D811900200003 
COMMENT    *Tea Mijatovic (2026-04-10):                           D811900200004 
           The central PRISMA angle is 22 degrees, and the        D811900200005 
            acceptance is +/-6 degrees in theta. Integration was  D811900200006 
            done in this forward-angle region, that covers most   D811900200007 
            of the transfer flux at these beam energies.          D811900200008 
ENDBIB               6          0                                 D811900200009 
COMMON               2          3                                 D811900200010 
ANG        ANG-RSL-HW                                             D811900200011 
ADEG       ADEG                                                   D811900200012 
 22.        6.                                                    D811900200013 
ENDCOMMON            3          0                                 D811900200014 
DATA                 5         68                                 D811900200015 
ELEMENT    MASS       EN         DATA       ERR-S                 D811900200016 
 27.        55.        362.        3.19443   0.144398             D811900200065 
 27.        55.        364.18      4.17357   0.231557             D811900200066 
 27.        55.        369.74      6.63566   1.0178               D811900200067 
 27.        56.        346.3       0.13569   0.0223021            D811900200068 
 27.        56.        356.0       0.524025  0.188491             D811900200069 
 27.        56.        369.74      1.89315   0.204695             D811900200070 
 27.        57.        356.0       0.521969  0.101907             D811900200071 
 27.        57.        369.74      1.58777   0.120493             D811900200072 
 28.        56.        346.3       0.13059   0.0515662            D811900200073 
 28.        56.        356.0       0.504621  0.0814367            D811900200074 
 28.        56.        362.        0.721884  0.0644048            D811900200075 
 28.        56.        364.18      0.76355   0.072624             D811900200076 
 28.        56.        369.74      0.784799  0.0793672            D811900200077 
 28.        57.        346.3       0.0518647 0.0406132            D811900200078 
 28.        57.        356.0       0.315368  0.0698908            D811900200079 
 28.        57.        369.74      0.61345   0.0392452            D811900200080 
 28.        58.        346.3       0.155588  0.0594912            D811900200081 
 28.        58.        356.0       0.465775  0.0570302            D811900200082 
 28.        58.        362.        0.8407    0.0756645            D811900200083 
 28.        58.        364.18      0.974756  0.117256             D811900200084 
 28.        58.        369.74      0.965221  0.0607046            D811900200085 
ENDDATA             70          0                                 D811900200086 
ENDSUBENT           85          0                                 D811900299999 
ENDENTRY             2          0                                 D811999999999 
