ENTRY            D1078   20250827                             D150D107800000001 
SUBENT        D1078001   20250827                             D150D107800100001 
BIB                 12         23                                 D107800100002 
TITLE      Elastic scattering of 10B + 119Sn: Optical model       D107800100003 
            analysis at energies around the coulomb barrier       D107800100004 
AUTHOR     (W A Y.Hatano, L R.Gasques, V.Scarduelli, L C.Chamon,  D107800100005 
            J K L.Chaves, L M.Martinis, G P.Cessel, M A G.Alvarez,D107800100006 
            J P.Fernandez-Garcia, L.Garrido-Gomez)                D107800100007 
REFERENCE  (J,JP/G,52,075102,2025)                                D107800100008 
INSTITUTE  (3BZLUSP,2SPNSEU)                                      D107800100009 
FACILITY   (VDGT,3BZLUSP) 8MV electrostatic tandem accelerator    D107800100010 
SAMPLE     - 119Sn film (~~50 ug/cm2) mounted at the center of    D107800100011 
             the 30B scattering chamber                           D107800100012 
           - 197Au (~20 ug/cm2) evaporated onto the 119Sn film    D107800100013 
DETECTOR   (TELES,SISD,SISD) Two 16x16 single-sided Si strip      D107800100014 
            telescopes placed at 12 cm from the target covering   D107800100015 
            an angular range of ~22 deg                           D107800100016 
           (SIBAR) Three surface barrier detectors at 30, 40 and  D107800100017 
            50 deg to detect elastic scattering of 10B with 119Sn D107800100018 
            and 197Au                                             D107800100019 
METHOD     (EDE)                                                  D107800100020 
ANALYSIS   (NTRTH)                                                D107800100021 
ERR-ANALYS (ERR-S) only statistics                                D107800100022 
STATUS     (TABLE,,W.A.Y.Hatano+,J,JP/G,52,075102,2025) Figs.2+3  D107800100023 
HISTORY    (20250827R) On. Data received from Leandro Gasques     D107800100024 
           (20250827C) On                                         D107800100025 
ENDBIB              23          0                                 D107800100026 
NOCOMMON             0          0                                 D107800100027 
ENDSUBENT           26          0                                 D107800199999 
SUBENT        D1078002   20250815                             D150D107800200001 
BIB                  1          1                                 D107800200002 
REACTION   (50-SN-119(5-B-10,EL)50-SN-119,,DA,,RTH)               D107800200003 
ENDBIB               1          0                                 D107800200004 
NOCOMMON             0          0                                 D107800200005 
DATA                 4        185                                 D107800200006 
EN         ANG-CM     DATA       ERR-S                            D107800200007 
MEV        ADEG       NO-DIM     NO-DIM                           D107800200008 
 33.4        32.4      1.008      0.027                           D107800200009 
 33.4        43.1      0.998      0.022                           D107800200010 
 33.4        53.7      1.009      0.023                           D107800200011 
 33.4        62.3      0.987      0.015                           D107800200012 
 33.4        64.6      0.998      0.009                           D107800200013 
 33.4        68.0      1.005      0.008                           D107800200014 
 33.4        70.5      1.001      0.012                           D107800200015 
 33.4        73.8      0.995      0.009                           D107800200016 
 33.4        76.4      1.012      0.009                           D107800200017 
 33.4        79.7      0.998      0.016                           D107800200018 
 33.4        82.4      1.006      0.014                           D107800200019 
 33.4        85.1      1.001      0.011                           D107800200020 
 33.4        88.4      1.018      0.009                           D107800200021 
 33.4        91.6      1.016      0.009                           D107800200022 
 33.4        94.8      1.011      0.014                           D107800200023 
 33.4        98.0      1.014      0.010                           D107800200024 
 33.4       100.4      1.012      0.014                           D107800200025 
 33.4       103.7      1.003      0.009                           D107800200026 
 33.4       106.3      0.999      0.006                           D107800200027 
 33.4       109.7      0.993      0.008                           D107800200028 
 33.4       112.8      0.991      0.008                           D107800200029 
 33.4       115.9      0.973      0.009                           D107800200030 
 33.4       119.1      0.971      0.009                           D107800200031 
 33.4       121.9      0.960      0.013                           D107800200032 
 33.4       124.8      0.954      0.008                           D107800200033 
 33.4       127.2      0.951      0.011                           D107800200034 
 33.4       130.3      0.929      0.018                           D107800200035 
 33.4       133.3      0.920      0.022                           D107800200036 
 33.4       136.3      0.899      0.011                           D107800200037 
 33.4       139.8      0.865      0.017                           D107800200038 
 33.4       142.9      0.853      0.008                           D107800200039 
 33.4       145.8      0.837      0.023                           D107800200040 
 33.4       148.7      0.821      0.010                           D107800200041 
 33.4       151.6      0.801      0.010                           D107800200042 
 33.4       154.5      0.782      0.011                           D107800200043 
 33.4       157.5      0.780      0.010                           D107800200044 
 33.4       160.9      0.768      0.014                           D107800200045 
 33.4       162.3      0.755      0.025                           D107800200046 
