ENTRY            D1057   20241121                             D149D105700000001 
SUBENT        D1057001   20241121                             D149D105700100001 
BIB                 11         23                                 D105700100002 
TITLE      Study of natB(3He,p) reactions cross sections using    D105700100003 
            a novel setup for 3He-NRA micro analyses              D105700100004 
AUTHOR     (T.Dunatov, G.Provatas, S.Fazinic, V.Foteinou,         D105700100005 
            F.Maragkos, K.I.Nizic, M.Micetic)                     D105700100006 
INSTITUTE  (3CRORBZ,2GERBOC)                                      D105700100007 
REFERENCE  (J,RPC,226,112298,2025)                                D105700100008 
FACILITY   (VDGT,3CRORBZ) 1 MV Tandetron                          D105700100009 
DETECTOR   (SISD) 1.5 mm thick 5-strip annular silicon detector   D105700100010 
SAMPLE     - A thin boron layer deposited on Si3N4 (100 nm).      D105700100011 
           - A thin Au evaporated on top of the boron layer for   D105700100012 
             ion beam fluence normalization.                      D105700100013 
ANALYSIS   (NTRTH) Normalized to Au Rutherford elastic            D105700100014 
            backscattering (RBS) cross section                    D105700100015 
ERR-ANALYS (EN-ERR) Total energy uncertainty                      D105700100016 
           (ERR-T)  Total cross section uncertainty   (4.3-35.0%) D105700100017 
           (ERR-1)           B/Au relative thickness       (2.6%) D105700100018 
           (ERR-2,2.3,3.0)   RBS detection solid angle (2.3-3.0%) D105700100019 
           (ERR-3,2.3,33.3)  B counts                 (2.3-33.3%) D105700100020 
           (ERR-4,0.10,0.25) Au counts               (0.10-0.25%) D105700100021 
STATUS     (TABLE) Data in R33 format converted to EXFOR          D105700100022 
           (APRVD) Proofread by Toni Dunatov (2024-12-02)         D105700100023 
HISTORY    (20241121R) On. Data received from Toni Dunatov in R33.D105700100024 
           (20241121C) On                                         D105700100025 
ENDBIB              23          0                                 D105700100026 
COMMON               1          3                                 D105700100027 
ERR-1                                                             D105700100028 
PER-CENT                                                          D105700100029 
 2.6                                                              D105700100030 
ENDCOMMON            3          0                                 D105700100031 
ENDSUBENT           30          0                                 D105700199999 
SUBENT        D1057002   20241121                             D149D105700200001 
BIB                  1          1                                 D105700200002 
REACTION   (5-B-10(HE3,P)6-C-12,PAR,DA)                           D105700200003 
ENDBIB               1          0                                 D105700200004 
NOCOMMON             0          0                                 D105700200005 
DATA                 6        100                                 D105700200006 
Q-VAL      ANG        EN         EN-ERR     DATA       ERR-T      D105700200007 
 10052.97   152.       2474.100   15.900     0.103      0.008     D105700200043 
 10052.97   152.       2575.100   15.982     0.100      0.008     D105700200044 
 10052.97   152.       2676.600   15.797     0.121      0.009     D105700200045 
 10052.97   152.       2776.600   15.939     0.116      0.010     D105700200046 
 10052.97   152.       2877.900   15.931     0.127      0.009     D105700200047 
 10052.97   152.       2977.500   18.160     0.144      0.012     D105700200048 
 10052.97   158.       1971.310   16.658     0.026      0.016     D105700200049 
 10052.97   158.       2121.450   16.695     0.069      0.009     D105700200050 
 10052.97   158.       2273.410   16.241     0.036      0.012     D105700200051 
 10052.97   158.       2373.410   16.268     0.068      0.009     D105700200052 
 10052.97   158.       2474.100   15.900     0.090      0.009     D105700200053 
 10052.97   158.       2575.100   15.982     0.091      0.008     D105700200054 
 10052.97   158.       2676.600   15.797     0.130      0.011     D105700200055 
 10052.97   158.       2776.600   15.939     0.107      0.011     D105700200056 
 10052.97   158.       2877.900   15.931     0.131      0.010     D105700200057 
 10052.97   158.       2977.500   18.160     0.122      0.012     D105700200058 
 15262.97   137.       1971.310   16.658     0.383      0.019     D105700200059 
 15262.97   137.       2121.450   16.695     0.558      0.028     D105700200060 
 15262.97   137.       2273.410   16.241     0.623      0.041     D105700200061 
 15262.97   137.       2373.410   16.268     0.630      0.032     D105700200062 
 15262.97   137.       2474.100   15.900     0.685      0.032     D105700200063 
 15262.97   137.       2575.100   15.982     0.658      0.029     D105700200064 
 15262.97   137.       2676.600   15.797     0.760      0.034     D105700200065 
 15262.97   137.       2776.600   15.939     0.728      0.034     D105700200066 
 15262.97   137.       2877.900   15.931     0.807      0.035     D105700200067 
 15262.97   137.       2977.500   18.160     0.846      0.039     D105700200068 
 15262.97   141.       1971.310   16.658     0.270      0.015     D105700200069 
 15262.97   141.       2121.450   16.695     0.397      0.022     D105700200070 
 15262.97   141.       2273.410   16.241     0.442      0.033     D105700200071 
 15262.97   141.       2373.410   16.268     0.445      0.025     D105700200072 
 15262.97   141.       2474.100   15.900     0.466      0.023     D105700200073 
 15262.97   141.       2575.100   15.982     0.495      0.024     D105700200074 
 15262.97   141.       2676.600   15.797     0.544      0.026     D105700200075 
 15262.97   141.       2776.600   15.939     0.542      0.027     D105700200076 
 15262.97   141.       2877.900   15.931     0.557      0.027     D105700200077 
 15262.97   141.       2977.500   18.160     0.558      0.028     D105700200078 
 15262.97   146.       1971.310   16.658     0.306      0.016     D105700200079 
 15262.97   146.       2121.450   16.695     0.434      0.023     D105700200080 
 15262.97   146.       2273.410   16.241     0.482      0.034     D105700200081 
 15262.97   146.       2373.410   16.268     0.484      0.026     D105700200082 
 15262.97   146.       2474.100   15.900     0.485      0.021     D105700200083 
 15262.97   146.       2575.100   15.982     0.537      0.024     D105700200084 
 15262.97   146.       2676.600   15.797     0.612      0.028     D105700200085 
 15262.97   146.       2776.600   15.939     0.608      0.029     D105700200086 
 15262.97   146.       2877.900   15.931     0.648      0.029     D105700200087 
 15262.97   146.       2977.500   18.160     0.655      0.031     D105700200088 
 15262.97   152.       1971.310   16.658     0.291      0.018     D105700200089 
 15262.97   152.       2121.450   16.695     0.465      0.024     D105700200090 
 15262.97   152.       2273.410   16.241     0.452      0.033     D105700200091 
 15262.97   152.       2373.410   16.268     0.467      0.026     D105700200092 
 15262.97   152.       2474.100   15.900     0.550      0.026     D105700200093 
 15262.97   152.       2575.100   15.982     0.605      0.027     D105700200094 
 15262.97   152.       2676.600   15.797     0.642      0.029     D105700200095 
 15262.97   152.       2776.600   15.939     0.643      0.031     D105700200096 
 15262.97   152.       2877.900   15.931     0.648      0.029     D105700200097 
 15262.97   152.       2977.500   18.160     0.688      0.033     D105700200098 
 15262.97   158.       1971.310   16.658     0.344      0.018     D105700200099 
 15262.97   158.       2121.450   16.695     0.462      0.024     D105700200100 
 15262.97   158.       2273.410   16.241     0.497      0.037     D105700200101 
 15262.97   158.       2373.410   16.268     0.579      0.030     D105700200102 
 15262.97   158.       2474.100   15.900     0.585      0.027     D105700200103 
 15262.97   158.       2575.100   15.982     0.660      0.028     D105700200104 
 15262.97   158.       2676.600   15.797     0.672      0.030     D105700200105 
 15262.97   158.       2776.600   15.939     0.690      0.032     D105700200106 
 15262.97   158.       2877.900   15.931     0.707      0.030     D105700200107 
 15262.97   158.       2977.500   18.160     0.734      0.034     D105700200108 
ENDDATA            102          0                                 D105700200109 
ENDSUBENT          108          0                                 D105700299999 
SUBENT        D1057003   20241121                             D149D105700300001 
BIB                  1          1                                 D105700300002 
REACTION   (5-B-11(HE3,P)6-C-13,PAR,DA)                           D105700300003 
ENDBIB               1          0                                 D105700300004 
NOCOMMON             0          0                                 D105700300005 
DATA                 6        172                                 D105700300006 
Q-VAL      ANG        EN         EN-ERR     DATA       ERR-T      D105700300007 
KEV        ADEG       KEV        KEV        MB/SR      MB/SR      D105700300008 
  9335.16   137.       1971.310   16.658     0.115      0.006     D105700300009 
  9335.16   137.       2121.450   16.695     0.149      0.008     D105700300010 
  9335.16   137.       2273.410   16.241     0.171      0.011     D105700300011 
  9335.16   137.       2373.410   16.268     0.163      0.008     D105700300012 
  9335.16   137.       2474.100   15.900     0.173      0.008     D105700300013 
  9335.16   137.       2575.100   15.982     0.183      0.008     D105700300014 
  9335.16   137.       2676.600   15.797     0.198      0.009     D105700300015 
  9335.16   137.       2776.600   15.939     0.184      0.009     D105700300016 
  9335.16   137.       2877.900   15.931     0.192      0.009     D105700300017 
  9335.16   137.       2977.500   18.160     0.180      0.009     D105700300018 
  9335.16   141.       1971.310   16.658     0.117      0.006     D105700300019 
  9335.16   141.       2121.450   16.695     0.138      0.007     D105700300020 
  9335.16   141.       2273.410   16.241     0.139      0.010     D105700300021 
  9335.16   141.       2373.410   16.268     0.158      0.009     D105700300022 
  9335.16   141.       2474.100   15.900     0.145      0.007     D105700300023 
  9335.16   141.       2575.100   15.982     0.160      0.008     D105700300024 
  9335.16   141.       2676.600   15.797     0.172      0.008     D105700300025 
  9335.16   141.       2776.600   15.939     0.174      0.009     D105700300026 
  9335.16   141.       2877.900   15.931     0.187      0.009     D105700300027 
  9335.16   141.       2977.500   18.160     0.186      0.009     D105700300028 
  9335.16   146.       1971.310   16.658     0.119      0.006     D105700300029 
  9335.16   146.       2121.450   16.695     0.128      0.007     D105700300030 
  9335.16   146.       2273.410   16.241     0.150      0.010     D105700300031 
  9335.16   146.       2373.410   16.268     0.143      0.007     D105700300032 
  9335.16   146.       2474.100   15.900     0.162      0.007     D105700300033 
  9335.16   146.       2575.100   15.982     0.182      0.008     D105700300034 
  9335.16   146.       2676.600   15.797     0.183      0.008     D105700300035 
  9335.16   146.       2776.600   15.939     0.187      0.009     D105700300036 
  9335.16   146.       2877.900   15.931     0.200      0.009     D105700300037 
  9335.16   146.       2977.500   18.160     0.194      0.009     D105700300038 
  9335.16   152.       1971.310   16.658     0.125      0.006     D105700300039 
  9335.16   152.       2121.450   16.695     0.140      0.007     D105700300040 
  9335.16   152.       2273.410   16.241     0.147      0.010     D105700300041 
  9335.16   152.       2373.410   16.268     0.155      0.008     D105700300042 
  9335.16   152.       2474.100   15.900     0.170      0.008     D105700300043 
  9335.16   152.       2575.100   15.982     0.186      0.008     D105700300044 
  9335.16   152.       2676.600   15.797     0.190      0.008     D105700300045 
  9335.16   152.       2776.600   15.939     0.187      0.009     D105700300046 
  9335.16   152.       2877.900   15.931     0.193      0.008     D105700300047 
  9335.16   152.       2977.500   18.160     0.197      0.009     D105700300048 
  9335.16   158.       1971.310   16.658     0.137      0.006     D105700300049 
  9335.16   158.       2121.450   16.695     0.148      0.008     D105700300050 
  9335.16   158.       2273.410   16.241     0.161      0.011     D105700300051 
  9335.16   158.       2373.410   16.268     0.152      0.008     D105700300052 
  9335.16   158.       2474.100   15.900     0.176      0.008     D105700300053 
  9335.16   158.       2575.100   15.982     0.177      0.008     D105700300054 
  9335.16   158.       2676.600   15.797     0.200      0.009     D105700300055 
  9335.16   158.       2776.600   15.939     0.199      0.009     D105700300056 
  9335.16   158.       2877.900   15.931     0.203      0.009     D105700300057 
  9335.16   158.       2977.500   18.160     0.206      0.009     D105700300058 
  9505.16   141.       2676.600   18.160     0.289      0.013     D105700300059 
  9505.16   141.       2776.600   15.797     0.247      0.012     D105700300060 
  9505.16   141.       2877.900   15.939     0.273      0.013     D105700300061 
  9505.16   141.       2977.500   15.931     0.281      0.013     D105700300062 
  9505.16   146.       2676.600   18.160     0.260      0.011     D105700300063 
  9505.16   146.       2776.600   15.797     0.273      0.012     D105700300064 
  9505.16   146.       2877.900   15.939     0.278      0.012     D105700300065 
  9505.16   146.       2977.900   15.931     0.287      0.012     D105700300066 
  9505.16   152.       2373.410   16.268     0.204      0.010     D105700300067 
  9505.16   152.       2474.100   15.900     0.244      0.011     D105700300068 
  9505.16   152.       2575.100   15.982     0.257      0.011     D105700300069 
  9505.16   152.       2676.600   18.160     0.268      0.011     D105700300070 
  9505.16   152.       2776.600   15.797     0.269      0.012     D105700300071 
  9505.16   152.       2877.900   15.939     0.273      0.011     D105700300072 
  9505.16   152.       2977.500   15.931     0.299      0.013     D105700300073 
  9505.16   158.       2373.410   16.268     0.188      0.010     D105700300074 
  9505.16   158.       2474.100   15.900     0.226      0.010     D105700300075 
  9505.16   158.       2575.100   15.982     0.260      0.011     D105700300076 
  9505.16   158.       2676.600   18.160     0.272      0.011     D105700300077 
  9505.16   158.       2776.600   15.797     0.279      0.012     D105700300078 
  9505.16   158.       2877.900   15.939     0.276      0.011     D105700300079 
  9505.16   158.       2977.500   15.931     0.276      0.012     D105700300080 
 10105.16   137.       1971.310   16.658     0.053      0.003     D105700300081 
 10105.16   137.       2121.450   16.695     0.074      0.005     D105700300082 
 10105.16   137.       2273.410   16.241     0.105      0.008     D105700300083 
 10105.16   137.       2373.410   16.268     0.108      0.006     D105700300084 
 10105.16   137.       2474.100   15.900     0.132      0.006     D105700300085 
 10105.16   137.       2575.100   15.982     0.150      0.007     D105700300086 
 10105.16   137.       2676.600   15.797     0.165      0.008     D105700300087 
 10105.16   137.       2776.600   15.939     0.178      0.008     D105700300088 
 10105.16   137.       2877.900   15.931     0.195      0.009     D105700300089 
 10105.16   137.       2977.500   18.160     0.198      0.009     D105700300090 
 10105.16   141.       1971.310   16.658     0.048      0.003     D105700300091 
 10105.16   141.       2121.450   16.695     0.072      0.004     D105700300092 
 10105.16   141.       2273.410   16.241     0.084      0.007     D105700300093 
 10105.16   141.       2373.410   16.268     0.104      0.006     D105700300094 
 10105.16   141.       2474.100   15.900     0.118      0.006     D105700300095 
 10105.16   141.       2575.100   15.982     0.127      0.006     D105700300096 
 10105.16   141.       2676.600   15.797     0.153      0.007     D105700300097 
 10105.16   141.       2776.600   15.939     0.164      0.008     D105700300098 
 10105.16   141.       2877.900   15.931     0.179      0.008     D105700300099 
 10105.16   141.       2977.500   18.160     0.177      0.009     D105700300100 
 10105.16   146.       1971.310   16.658     0.053      0.003     D105700300101 
 10105.16   146.       2121.450   16.695     0.063      0.004     D105700300102 
 10105.16   146.       2273.410   16.241     0.096      0.007     D105700300103 
 10105.16   146.       2373.410   16.268     0.105      0.006     D105700300104 
 10105.16   146.       2474.100   15.900     0.122      0.006     D105700300105 
 10105.16   146.       2575.100   15.982     0.140      0.006     D105700300106 
 10105.16   146.       2676.600   15.797     0.160      0.007     D105700300107 
 10105.16   146.       2776.600   15.939     0.172      0.008     D105700300108 
 10105.16   146.       2877.900   15.931     0.171      0.008     D105700300109 
 10105.16   146.       2977.500   18.160     0.181      0.008     D105700300110 
 10105.16   152.       1971.310   16.658     0.048      0.003     D105700300111 
 10105.16   152.       2121.450   16.695     0.070      0.004     D105700300112 
 10105.16   152.       2273.410   16.241     0.091      0.008     D105700300113 
 10105.16   152.       2373.410   16.268     0.098      0.006     D105700300114 
 10105.16   152.       2474.100   15.900     0.125      0.006     D105700300115 
 10105.16   152.       2575.100   15.982     0.146      0.007     D105700300116 
 10105.16   152.       2676.600   15.797     0.167      0.008     D105700300117 
 10105.16   152.       2776.600   15.939     0.161      0.008     D105700300118 
 10105.16   152.       2877.900   15.931     0.178      0.008     D105700300119 
 10105.16   152.       2977.500   18.160     0.177      0.008     D105700300120 
 10105.16   158.       1971.310   16.658     0.055      0.003     D105700300121 
 10105.16   158.       2121.450   16.695     0.062      0.004     D105700300122 
 10105.16   158.       2273.410   16.241     0.092      0.008     D105700300123 
 10105.16   158.       2373.410   16.268     0.104      0.006     D105700300124 
 10105.16   158.       2474.100   15.900     0.120      0.006     D105700300125 
 10105.16   158.       2575.100   15.982     0.137      0.006     D105700300126 
 10105.16   158.       2676.600   15.797     0.151      0.007     D105700300127 
 10105.16   158.       2776.600   15.939     0.172      0.008     D105700300128 
 10105.16   158.       2877.900   15.931     0.180      0.008     D105700300129 
 10105.16   158.       2977.500   18.160     0.173      0.008     D105700300130 
 13185.3    137.       1971.310   16.658     0.045      0.003     D105700300131 
 13185.3    137.       2121.450   16.695     0.070      0.004     D105700300132 
 13185.3    137.       2273.410   16.241     0.096      0.008     D105700300133 
 13185.3    137.       2373.410   16.268     0.103      0.006     D105700300134 
 13185.3    137.       2474.100   15.900     0.110      0.005     D105700300135 
 13185.3    137.       2575.100   15.982     0.132      0.006     D105700300136 
 13185.3    137.       2676.600   15.797     0.156      0.007     D105700300137 
 13185.3    137.       2776.600   15.939     0.178      0.008     D105700300138 
 13185.3    137.       2877.900   15.931     0.202      0.009     D105700300139 
 13185.3    137.       2977.500   18.160     0.223      0.010     D105700300140 
 13185.3    141.       1971.310   16.658     0.042      0.003     D105700300141 
 13185.3    141.       2121.450   16.695     0.046      0.003     D105700300142 
 13185.3    141.       2273.410   16.241     0.065      0.006     D105700300143 
 13185.3    141.       2373.410   16.268     0.076      0.005     D105700300144 
 13185.3    141.       2474.100   15.900     0.089      0.005     D105700300145 
 13185.3    141.       2575.100   15.982     0.107      0.005     D105700300146 
 13185.3    141.       2676.600   15.797     0.115      0.006     D105700300147 
 13185.3    141.       2776.600   15.939     0.141      0.007     D105700300148 
 13185.3    141.       2877.900   15.931     0.163      0.008     D105700300149 
 13185.3    141.       2977.500   18.160     0.176      0.009     D105700300150 
 13185.3    146.       1971.310   16.658     0.035      0.002     D105700300151 
 13185.3    146.       2121.450   16.695     0.053      0.003     D105700300152 
 13185.3    146.       2273.410   16.241     0.059      0.006     D105700300153 
 13185.3    146.       2373.410   16.268     0.063      0.004     D105700300154 
 13185.3    146.       2474.100   15.900     0.086      0.004     D105700300155 
 13185.3    146.       2575.100   15.982     0.102      0.005     D105700300156 
 13185.3    146.       2676.600   15.797     0.126      0.006     D105700300157 
 13185.3    146.       2776.600   15.939     0.143      0.007     D105700300158 
 13185.3    146.       2877.900   15.931     0.167      0.007     D105700300159 
 13185.3    146.       2977.500   18.160     0.189      0.009     D105700300160 
 13185.3    152.       1971.310   16.658     0.031      0.002     D105700300161 
 13185.3    152.       2121.450   16.695     0.043      0.003     D105700300162 
 13185.3    152.       2273.410   16.241     0.061      0.006     D105700300163 
 13185.3    152.       2373.410   16.268     0.064      0.004     D105700300164 
 13185.3    152.       2474.100   15.900     0.078      0.004     D105700300165 
 13185.3    152.       2575.100   15.982     0.099      0.005     D105700300166 
 13185.3    152.       2676.600   15.797     0.133      0.006     D105700300167 
 13185.3    152.       2776.600   15.939     0.143      0.007     D105700300168 
 13185.3    152.       2877.900   15.931     0.166      0.007     D105700300169 
 13185.3    152.       2977.500   18.160     0.190      0.010     D105700300170 
 13185.3    158.       1971.310   16.658     0.032      0.002     D105700300171 
 13185.3    158.       2121.450   16.695     0.044      0.004     D105700300172 
 13185.3    158.       2273.410   16.241     0.054      0.006     D105700300173 
 13185.3    158.       2373.410   16.268     0.055      0.004     D105700300174 
 13185.3    158.       2474.100   15.900     0.078      0.004     D105700300175 
 13185.3    158.       2575.100   15.982     0.092      0.005     D105700300176 
 13185.3    158.       2676.600   15.797     0.125      0.006     D105700300177 
 13185.3    158.       2776.600   15.939     0.143      0.007     D105700300178 
 13185.3    158.       2877.900   15.931     0.171      0.008     D105700300179 
 13185.3    158.       2977.500   18.160     0.206      0.009     D105700300180 
ENDDATA            174          0                                 D105700300181 
ENDSUBENT          180          0                                 D105700399999 
SUBENT        D1057004   20241121                             D149D105700400001 
BIB                  1          1                                 D105700400002 
REACTION   (5-B-11(HE3,D)6-C-12,PAR,DA)                           D105700400003 
ENDBIB               1          0                                 D105700400004 
COMMON               1          3                                 D105700400005 
Q-VAL                                                             D105700400006 
KEV                                                               D105700400007 
 10463.5                                                          D105700400008 
ENDCOMMON            3          0                                 D105700400009 
DATA                 5         50                                 D105700400010 
ANG        EN         EN-ERR     DATA       ERR-T                 D105700400011 
ADEG       KEV        KEV        MB/SR      MB/SR                 D105700400012 
 137.       1971.310   16.658     0.067      0.004                D105700400013 
 137.       2121.450   16.695     0.090      0.005                D105700400014 
 137.       2273.410   16.241     0.105      0.009                D105700400015 
 137.       2373.410   16.268     0.147      0.008                D105700400016 
 137.       2474.100   15.900     0.146      0.007                D105700400017 
 137.       2575.100   15.982     0.163      0.007                D105700400018 
 137.       2676.600   15.797     0.174      0.008                D105700400019 
 137.       2776.600   15.939     0.178      0.009                D105700400020 
 137.       2877.900   15.931     0.173      0.008                D105700400021 
 137.       2977.500   18.160     0.178      0.009                D105700400022 
 141.       1971.310   16.658     0.061      0.004                D105700400023 
 141.       2121.450   16.695     0.104      0.006                D105700400024 
 141.       2273.410   16.241     0.126      0.009                D105700400025 
 141.       2373.410   16.268     0.151      0.008                D105700400026 
 141.       2474.100   15.900     0.136      0.007                D105700400027 
 141.       2575.100   15.982     0.172      0.008                D105700400028 
 141.       2676.600   15.797     0.172      0.008                D105700400029 
 141.       2776.600   15.939     0.160      0.008                D105700400030 
 141.       2877.900   15.931     0.177      0.008                D105700400031 
 141.       2977.500   18.160     0.175      0.009                D105700400032 
 146.       1971.310   16.658     0.066      0.004                D105700400033 
 146.       2121.450   16.695     0.094      0.005                D105700400034 
 146.       2273.410   16.241     0.116      0.008                D105700400035 
 146.       2373.410   16.268     0.129      0.007                D105700400036 
 146.       2474.100   15.900     0.153      0.007                D105700400037 
 146.       2575.100   15.982     0.157      0.007                D105700400038 
 146.       2676.600   15.797     0.174      0.008                D105700400039 
 146.       2776.600   15.939     0.178      0.008                D105700400040 
 146.       2877.900   15.931     0.185      0.008                D105700400041 
 146.       2977.500   18.160     0.189      0.009                D105700400042 
 152.       1971.310   16.658     0.066      0.004                D105700400043 
 152.       2121.450   16.695     0.085      0.005                D105700400044 
 152.       2273.410   16.241     0.124      0.009                D105700400045 
 152.       2373.410   16.268     0.137      0.007                D105700400046 
 152.       2474.100   15.900     0.144      0.007                D105700400047 
 152.       2575.100   15.982     0.169      0.008                D105700400048 
 152.       2676.600   15.797     0.180      0.008                D105700400049 
 152.       2776.600   15.939     0.172      0.008                D105700400050 
 152.       2877.900   15.931     0.178      0.008                D105700400051 
 152.       2977.500   18.160     0.190      0.009                D105700400052 
 158.       1971.310   16.658     0.014      0.002                D105700400053 
 158.       2121.450   16.695     0.097      0.006                D105700400054 
 158.       2273.410   16.241     0.124      0.010                D105700400055 
 158.       2373.410   16.268     0.129      0.007                D105700400056 
 158.       2474.100   15.900     0.148      0.007                D105700400057 
 158.       2575.100   15.982     0.169      0.007                D105700400058 
 158.       2676.600   15.797     0.181      0.008                D105700400059 
 158.       2776.600   15.939     0.196      0.009                D105700400060 
 158.       2877.900   15.931     0.182      0.008                D105700400061 
 158.       2977.500   18.160     0.188      0.015                D105700400062 
ENDDATA             52          0                                 D105700400063 
ENDSUBENT           62          0                                 D105700499999 
ENDENTRY             4          0                                 D105799999999 
