ENTRY            D1057   20241121                             D149D105700000001 
SUBENT        D1057001   20241121                             D149D105700100001 
BIB                 11         23                                 D105700100002 
TITLE      Study of natB(3He,p) reactions cross sections using    D105700100003 
            a novel setup for 3He-NRA micro analyses              D105700100004 
AUTHOR     (T.Dunatov, G.Provatas, S.Fazinic, V.Foteinou,         D105700100005 
            F.Maragkos, K.I.Nizic, M.Micetic)                     D105700100006 
INSTITUTE  (3CRORBZ,2GERBOC)                                      D105700100007 
REFERENCE  (J,RPC,226,112298,2025)                                D105700100008 
FACILITY   (VDGT,3CRORBZ) 1 MV Tandetron                          D105700100009 
DETECTOR   (SISD) 1.5 mm thick 5-strip annular silicon detector   D105700100010 
SAMPLE     - A thin boron layer deposited on Si3N4 (100 nm).      D105700100011 
           - A thin Au evaporated on top of the boron layer for   D105700100012 
             ion beam fluence normalization.                      D105700100013 
ANALYSIS   (NTRTH) Normalized to Au Rutherford elastic            D105700100014 
            backscattering (RBS) cross section                    D105700100015 
ERR-ANALYS (EN-ERR) Total energy uncertainty                      D105700100016 
           (ERR-T)  Total cross section uncertainty   (4.3-35.0%) D105700100017 
           (ERR-1)           B/Au relative thickness       (2.6%) D105700100018 
           (ERR-2,2.3,3.0)   RBS detection solid angle (2.3-3.0%) D105700100019 
           (ERR-3,2.3,33.3)  B counts                 (2.3-33.3%) D105700100020 
           (ERR-4,0.10,0.25) Au counts               (0.10-0.25%) D105700100021 
STATUS     (TABLE) Data in R33 format converted to EXFOR          D105700100022 
           (APRVD) Proofread by Toni Dunatov (2024-12-02)         D105700100023 
HISTORY    (20241121R) On. Data received from Toni Dunatov in R33.D105700100024 
           (20241121C) On                                         D105700100025 
ENDBIB              23          0                                 D105700100026 
COMMON               1          3                                 D105700100027 
ERR-1                                                             D105700100028 
PER-CENT                                                          D105700100029 
 2.6                                                              D105700100030 
ENDCOMMON            3          0                                 D105700100031 
ENDSUBENT           30          0                                 D105700199999 
SUBENT        D1057002   20241121                             D149D105700200001 
BIB                  1          1                                 D105700200002 
REACTION   (5-B-10(HE3,P)6-C-12,PAR,DA)                           D105700200003 
ENDBIB               1          0                                 D105700200004 
NOCOMMON             0          0                                 D105700200005 
DATA                 6        100                                 D105700200006 
Q-VAL      ANG        EN         EN-ERR     DATA       ERR-T      D105700200007 
KEV        ADEG       KEV        KEV        MB/SR      MB/SR      D105700200008 
 10052.97   137.       1971.310   16.658     0.058      0.006     D105700200009 
 10052.97   137.       2121.450   16.695     0.079      0.009     D105700200010 
 10052.97   137.       2273.410   16.241     0.092      0.014     D105700200011 
 10052.97   137.       2373.410   16.268     0.092      0.010     D105700200012 
 10052.97   137.       2474.100   15.900     0.091      0.008     D105700200013 
 10052.97   137.       2575.100   15.982     0.112      0.008     D105700200014 
 10052.97   137.       2676.600   15.797     0.120      0.009     D105700200015 
 10052.97   137.       2776.600   15.939     0.122      0.011     D105700200016 
 10052.97   137.       2877.900   15.931     0.121      0.009     D105700200017 
 10052.97   137.       2977.500   18.160     0.111      0.011     D105700200018 
 10052.97   141.       1971.310   16.658     0.044      0.005     D105700200019 
 10052.97   141.       2121.450   16.695     0.084      0.009     D105700200020 
 10052.97   141.       2273.410   16.241     0.088      0.015     D105700200021 
 10052.97   141.       2373.410   16.268     0.087      0.010     D105700200022 
 10052.97   141.       2474.100   15.900     0.086      0.008     D105700200023 
 10052.97   141.       2575.100   15.982     0.090      0.008     D105700200024 
 10052.97   141.       2676.600   15.797     0.103      0.009     D105700200025 
 10052.97   141.       2776.600   15.939     0.094      0.009     D105700200026 
 10052.97   141.       2877.900   15.931     0.112      0.009     D105700200027 
 10052.97   141.       2977.500   18.160     0.142      0.011     D105700200028 
 10052.97   146.       1971.310   16.658     0.064      0.006     D105700200029 
 10052.97   146.       2121.450   16.695     0.071      0.008     D105700200030 
 10052.97   146.       2273.410   16.241     0.099      0.015     D105700200031 
 10052.97   146.       2373.410   16.268     0.089      0.009     D105700200032 
 10052.97   146.       2474.100   15.900     0.090      0.008     D105700200033 
 10052.97   146.       2575.100   15.982     0.094      0.007     D105700200034 
 10052.97   146.       2676.600   15.797     0.114      0.009     D105700200035 
 10052.97   146.       2776.600   15.939     0.115      0.009     D105700200036 
 10052.97   146.       2877.900   15.931     0.123      0.009     D105700200037 
 10052.97   146.       2977.500   18.160     0.141      0.011     D105700200038 
 10052.97   152.       1971.310   16.658     0.071      0.007     D105700200039 
 10052.97   152.       2121.450   16.695     0.083      0.008     D105700200040 
 10052.97   152.       2273.410   16.241     0.087      0.014     D105700200041 
 10052.97   152.       2373.410   16.268     0.081      0.009     D105700200042 
