ENTRY            D1059   20250213                             D149D105900000001 
SUBENT        D1059001   20250213                             D149D105900100001 
BIB                 11         16                                 D105900100002 
TITLE      Investigation into excited states of 46Ti nuclei in    D105900100003 
            reactions with the 3He beam at 29 MeV                 D105900100004 
AUTHOR     (T.Issatayev, N.K.Skobelev, T.M.Shneidman,             D105900100005 
            Yu.E.Penionzhkevich, V.Burjan, J.Mrazek)              D105900100006 
INSTITUTE  (4ZZZDUB,4KASKAZ,4KASATN,4RUSMIF,3CZRUJF)              D105900100007 
REFERENCE  (J,PPN/L,20,988,2023)                                  D105900100008 
FACILITY   (CYCLO,3CZRUJF) U-120M cyclotron                       D105900100009 
SAMPLE     Thin self-supporting 45Sc (1.8 um thick, highly        D105900100010 
            purified up to 99%)                                   D105900100011 
DETECTOR   (TELES,SI,SI) Delta E (500 um) and E (5 mm) Si         D105900100012 
            detectors                                             D105900100013 
METHOD     (EDE)                                                  D105900100014 
ANALYSIS   (NTRTH) 3He scattering on Au (190 ug/cm2)              D105900100015 
STATUS     (APRVD) Proof-read by Talgat Issatayev (2025-02-13)    D105900100016 
HISTORY    (20250213R) On. Data received from Talgat Issatayev.   D105900100017 
           (20250213C) On                                         D105900100018 
ENDBIB              16          0                                 D105900100019 
COMMON               2          3                                 D105900100020 
EN         EN-ERR                                                 D105900100021 
MEV        MEV                                                    D105900100022 
 28.925     0.06                                                  D105900100023 
ENDCOMMON            3          0                                 D105900100024 
ENDSUBENT           23          0                                 D105900199999 
SUBENT        D1059002   20250213                             D149D105900200001 
BIB                  3          3                                 D105900200002 
REACTION   (21-SC-45(HE3,D)22-TI-46,PAR,DA)                       D105900200003 
ERR-ANALYS (ERR-S) Statistical uncertainty                        D105900200004 
STATUS     (TABLE,,T.Issatayev+,J,PPN/L,20,988,2023) Fig.3        D105900200005 
ENDBIB               3          0                                 D105900200006 
NOCOMMON             0          0                                 D105900200007 
DATA                 4         67                                 D105900200008 
E-LVL      ANG-CM     DATA-CM    ERR-S                            D105900200009 
MEV        ADEG       MB/SR      MB/SR                            D105900200010 
  0.0       10.4947    0.1504     0.0169                          D105900200011 
  0.0       13.1166    0.1889     0.0152                          D105900200012 
  0.0       15.7373    0.1651     0.0246                          D105900200013 
  0.0       18.3567    0.1942     0.0112                          D105900200014 
  0.0       20.9744    0.0939     0.0134                          D105900200015 
  0.0       23.5903    0.0429     0.0073                          D105900200016 
  0.0       28.8155    0.0335     0.0047                          D105900200017 
  0.0       31.4245    0.0468     0.0095                          D105900200018 
  0.0       34.0308    0.0327     0.0064                          D105900200019 
  0.0       36.6342    0.0075     0.0053                          D105900200020 
  0.0       39.2345    0.0033     0.0015                          D105900200021 
  0.89      10.4947    0.7362     0.0378                          D105900200022 
  0.89      13.1166    0.3501     0.0209                          D105900200023 
  0.89      15.7373    0.3902     0.0382                          D105900200024 
  0.89      18.3567    0.4799     0.0179                          D105900200025 
  0.89      20.9744    0.3013     0.0243                          D105900200026 
  0.89      23.5903    0.2210     0.0167                          D105900200027 
  0.89      28.8155    0.0784     0.0072                          D105900200028 
  0.89      31.4245    0.1052     0.0145                          D105900200029 
  0.89      34.0308    0.1070     0.0117                          D105900200030 
  0.89      36.6342    0.0788     0.0174                          D105900200031 
  0.89      39.2345    0.0341     0.0048                          D105900200032 
  2.01      10.5104    0.7223     0.0370                          D105900200033 
  2.01      13.1362    0.3315     0.0201                          D105900200034 
  2.01      15.7608    0.3592     0.0362                          D105900200035 
  2.01      18.3839    0.4712     0.0175                          D105900200036 
  2.01      21.0054    0.2810     0.0231                          D105900200037 
  2.01      23.6249    0.1876     0.0152                          D105900200038 
  2.01      28.8574    0.0602     0.0063                          D105900200039 
  2.01      31.4698    0.1030     0.0141                          D105900200040 
  2.01      34.0795    0.0941     0.0109                          D105900200041 
  2.01      36.6862    0.1648     0.0248                          D105900200042 
  2.01      39.2896    0.0300     0.0045                          D105900200043 
  9.47      10.5859    3.9439     0.0677                          D105900200044 
  9.47      13.2303    2.9105     0.0592                          D105900200045 
  9.47      15.8733    2.2692     0.0903                          D105900200046 
  9.47      18.5147    1.3864     0.0298                          D105900200047 
  9.47      21.1541    0.8989     0.0325                          D105900200048 
  9.47      23.7914    0.5443     0.0257                          D105900200049 
