ENTRY            D8110   20251120                             D151D811000000001 
SUBENT        D8110001   20251120                             D151D811000100001 
BIB                 10         25                                 D811000100002 
TITLE      New measurements of (p,xp) and (p,x&#945;) reactions   D811000100003 
            on 27 Al at 7.0, 22.0 and 30.0 MeV                    D811000100004 
AUTHOR     (D.Gusseinova, G.Ussabayeva, T.K.Zholdybayev,          D811000100005 
            I.Boztosun, Y.Kucuk, A.J.Koning, Zh.Kerimkulov,       D811000100006 
            B.Sadykov, A.Temirzhanov, B.Canbula)                  D811000100007 
INSTITUTE  (4KASKAZ,3ZZZIAE,4KASATN,4KASAFU)                      D811000100008 
           (2TUKTUK) Akdeniz University, Antalya; Temel Bilimler  D811000100009 
            Arastirma Enstitusu (TBAE), Kocaeli; Turkish          D811000100010 
            Accelerator and Radiation Laboratory (TARLA), Ankara; D811000100011 
            Manisa Celal Bayar University, Manisa                 D811000100012 
           (4KASKAS) Satbayev University, Almaty; Abai Kazakh     D811000100013 
             National Pedagogical University, Almaty              D811000100014 
REFERENCE  (J,EPJ/A,61,133,2025)                                  D811000100015 
FACILITY   (ISOCY,4KASKAZ) U-150M                                 D811000100016 
SAMPLE     27Al foil (3.65 mg/cm2)                                D811000100017 
DETECTOR   (TELES,SI,SI) 25-50 um thick Si dE detector and 2 mm   D811000100018 
            thick Si E detector                                   D811000100019 
METHOD     (EDE,BCINT)                                            D811000100020 
ERR-ANALYS (ERR-T) Total uncertainty                              D811000100021 
           (ERR-SYS,,10.) Total systematic uncertainty  (<10%)    D811000100022 
           (ERR-1) Determination of target thickness      (5%)    D811000100023 
           (ERR-2) Calibration of the current integrator  (1%)    D811000100024 
           (ERR-3) Solid angle of the spectrometer      (1.3%)    D811000100025 
           (ERR-4) Beam energy                          (1.2%)    D811000100026 
HISTORY    (20250923C) Zholdybayev                                D811000100027 
ENDBIB              25          0                                 D811000100028 
COMMON               4          3                                 D811000100029 
ERR-1      ERR-2      ERR-3      ERR-4                            D811000100030 
PER-CENT   PER-CENT   PER-CENT   PER-CENT                         D811000100031 
         5.         1.        1.3        1.2                      D811000100032 
ENDCOMMON            3          0                                 D811000100033 
ENDSUBENT           32          0                                 D811000199999 
SUBENT        D8110002   20251120                             D151D811000200001 
BIB                  2          2                                 D811000200002 
REACTION   (29-CU-0(P,X)1-H-1,,DA/DE)                             D811000200003 
STATUS     (TABLE,,D.Gusseinova+,J,EPJ/A,61,133,2025) Fig.5       D811000200004 
ENDBIB               2          0                                 D811000200005 
NOCOMMON             0          0                                 D811000200006 
DATA                 5       1433                                 D811000200007 
EN         ANG        E-CM       DATA-CM    ERR-T                 D811000200008 
MEV        ADEG       MEV        MB/SR/MEV  MB/SR/MEV             D811000200009 
         7.        30.        0.7      0.073      0.012           D811000200010 
         7.        30.        0.8      0.428      0.032           D811000200011 
         7.        30.        1.0      0.549      0.036           D811000200012 
         7.        30.        1.2      0.444      0.032           D811000200013 
         7.        30.        1.4      0.505      0.034           D811000200014 
         7.        30.        1.6      0.612      0.037           D811000200015 
         7.        30.        1.8      0.886      0.046           D811000200016 
         7.        30.        2.0      1.780      0.069           D811000200017 
         7.        30.        2.2      1.290      0.057           D811000200018 
         7.        30.        2.3      0.634      0.038           D811000200019 
         7.        30.        2.5      1.295      0.057           D811000200020 
         7.        30.        2.7      0.909      0.046           D811000200021 
         7.        30.        2.9      0.820      0.044           D811000200022 
         7.        30.        3.1      0.882      0.046           D811000200023 
         7.        30.        3.3      2.269      0.079           D811000200024 
         7.        30.        3.5      4.701      0.127           D811000200025 
         7.        30.        3.7      2.761      0.089           D811000200026 
         7.        30.        3.9      1.026      0.050           D811000200027 
         7.        30.        4.1      3.356      0.101           D811000200028 
         7.        30.        4.3      2.772      0.090           D811000200029 
         7.        30.        4.4      2.559      0.085           D811000200030 
         7.        30.        4.6      2.265      0.079           D811000200031 
         7.        30.        4.8      1.049      0.050           D811000200032 
         7.        30.        5.0      1.228      0.055           D811000200033 
         7.        30.        5.2      3.444      0.103           D811000200034 
         7.        30.        5.4      2.646      0.087           D811000200035 
         7.        30.        5.6      1.464      0.061           D811000200036 
         7.        30.        5.8      2.512      0.084           D811000200037 
         7.        30.        6.0      21.35       0.41           D811000200038 
         7.        30.        6.2     158.90       2.69           D811000200039 
         7.        30.        6.4      62.86       1.10           D811000200040 
         7.        30.        6.6      0.103      0.015           D811000200041 
         7.        45.        0.7      0.066      0.011           D811000200042 
         7.        45.        0.9      0.386      0.028           D811000200043 
         7.        45.        1.1      0.495      0.032           D811000200044 
         7.        45.        1.2      0.399      0.028           D811000200045 
         7.        45.        1.4      0.454      0.030           D811000200046 
         7.        45.        1.6      0.550      0.034           D811000200047 
         7.        45.        1.8      0.794      0.041           D811000200048 
         7.        45.        2.0      1.596      0.061           D811000200049 
         7.        45.        2.2      1.156      0.051           D811000200050 
         7.        45.        2.4      0.568      0.034           D811000200051 
         7.        45.        2.6      1.160      0.051           D811000200052 
         7.        45.        2.8      0.814      0.042           D811000200053 
         7.        45.        3.0      0.733      0.039           D811000200054 
         7.        45.        3.2      0.789      0.041           D811000200055 
         7.        45.        3.4      2.029      0.071           D811000200056 
         7.        45.        3.5      4.203      0.113           D811000200057 
         7.        45.        3.7      2.468      0.080           D811000200058 
         7.        45.        3.9      0.917      0.044           D811000200059 
         7.        45.        4.1      2.998      0.090           D811000200060 
         7.        45.        4.3      2.476      0.080           D811000200061 
         7.        45.        4.5      2.286      0.076           D811000200062 
         7.        45.        4.7      2.022      0.071           D811000200063 
         7.        45.        4.9      0.937      0.045           D811000200064 
         7.        45.        5.1      1.096      0.049           D811000200065 
         7.        45.        5.3      3.074      0.092           D811000200066 
         7.        45.        5.5      2.362      0.078           D811000200067 
         7.        45.        5.7      1.306      0.054           D811000200068 
         7.        45.        5.9      2.241      0.075           D811000200069 
         7.        45.        6.1      19.05       0.37           D811000200070 
         7.        45.        6.3     141.70       2.40           D811000200071 
         7.        45.        6.5      56.07       0.98           D811000200072 
         7.        45.        6.7      0.092      0.013           D811000200073 
         7.        60.        0.7      0.107      0.014           D811000200074 
         7.        60.        0.9      0.592      0.035           D811000200075 
         7.        60.        1.1      0.703      0.039           D811000200076 
         7.        60.        1.3      0.937      0.045           D811000200077 
         7.        60.        1.5      0.898      0.044           D811000200078 
         7.        60.        1.7      1.329      0.055           D811000200079 
         7.        60.        1.9      1.511      0.059           D811000200080 
         7.        60.        2.1      2.154      0.074           D811000200081 
         7.        60.        2.3      0.317      0.025           D811000200082 
         7.        60.        2.5      1.150      0.051           D811000200083 
         7.        60.        2.6      0.597      0.035           D811000200084 
         7.        60.        2.8      0.675      0.038           D811000200085 
         7.        60.        3.0      0.306      0.025           D811000200086 
         7.        60.        3.2      0.785      0.041           D811000200087 
         7.        60.        3.4      6.767      0.160           D811000200088 
         7.        60.        3.6      2.922      0.089           D811000200089 
         7.        60.        3.8      0.705      0.039           D811000200090 
         7.        60.        4.0      2.206      0.075           D811000200091 
