ENTRY            D8110   20251120                             D151D811000000001 
SUBENT        D8110001   20251120                             D151D811000100001 
BIB                 10         25                                 D811000100002 
TITLE      New measurements of (p,xp) and (p,x&#945;) reactions   D811000100003 
            on 27 Al at 7.0, 22.0 and 30.0 MeV                    D811000100004 
AUTHOR     (D.Gusseinova, G.Ussabayeva, T.K.Zholdybayev,          D811000100005 
            I.Boztosun, Y.Kucuk, A.J.Koning, Zh.Kerimkulov,       D811000100006 
            B.Sadykov, A.Temirzhanov, B.Canbula)                  D811000100007 
INSTITUTE  (4KASKAZ,3ZZZIAE,4KASATN,4KASAFU)                      D811000100008 
           (2TUKTUK) Akdeniz University, Antalya; Temel Bilimler  D811000100009 
            Arastirma Enstitusu (TBAE), Kocaeli; Turkish          D811000100010 
            Accelerator and Radiation Laboratory (TARLA), Ankara; D811000100011 
            Manisa Celal Bayar University, Manisa                 D811000100012 
           (4KASKAS) Satbayev University, Almaty; Abai Kazakh     D811000100013 
             National Pedagogical University, Almaty              D811000100014 
REFERENCE  (J,EPJ/A,61,133,2025)                                  D811000100015 
FACILITY   (ISOCY,4KASKAZ) U-150M                                 D811000100016 
SAMPLE     27Al foil (3.65 mg/cm2)                                D811000100017 
DETECTOR   (TELES,SI,SI) 25-50 um thick Si dE detector and 2 mm   D811000100018 
            thick Si E detector                                   D811000100019 
METHOD     (EDE,BCINT)                                            D811000100020 
ERR-ANALYS (ERR-T) Total uncertainty                              D811000100021 
           (ERR-SYS,,10.) Total systematic uncertainty  (<10%)    D811000100022 
           (ERR-1) Determination of target thickness      (5%)    D811000100023 
           (ERR-2) Calibration of the current integrator  (1%)    D811000100024 
           (ERR-3) Solid angle of the spectrometer      (1.3%)    D811000100025 
           (ERR-4) Beam energy                          (1.2%)    D811000100026 
HISTORY    (20250923C) Zholdybayev                                D811000100027 
ENDBIB              25          0                                 D811000100028 
COMMON               4          3                                 D811000100029 
ERR-1      ERR-2      ERR-3      ERR-4                            D811000100030 
PER-CENT   PER-CENT   PER-CENT   PER-CENT                         D811000100031 
         5.         1.        1.3        1.2                      D811000100032 
ENDCOMMON            3          0                                 D811000100033 
ENDSUBENT           32          0                                 D811000199999 
SUBENT        D8110002   20251120                             D151D811000200001 
BIB                  2          2                                 D811000200002 
REACTION   (29-CU-0(P,X)1-H-1,,DA/DE)                             D811000200003 
STATUS     (TABLE,,D.Gusseinova+,J,EPJ/A,61,133,2025) Fig.5       D811000200004 
ENDBIB               2          0                                 D811000200005 
NOCOMMON             0          0                                 D811000200006 
DATA                 5       1433                                 D811000200007 
EN         ANG        E-CM       DATA-CM    ERR-T                 D811000200008 
         7.        60.        4.2      3.995      0.110           D811000200092 
         7.        60.        4.4      0.318      0.025           D811000200093 
         7.        60.        4.6      0.358      0.027           D811000200094 
         7.        60.        4.8      0.362      0.027           D811000200095 
         7.        60.        5.0      0.450      0.030           D811000200096 
         7.        60.        5.2      3.510      0.101           D811000200097 
         7.        60.        5.4      2.880      0.088           D811000200098 
         7.        60.        5.6      0.537      0.033           D811000200099 
         7.        60.        5.8      0.903      0.044           D811000200100 
         7.        60.        6.0      5.928      0.145           D811000200101 
         7.        60.        6.2     48.300      0.853           D811000200102 
         7.        60.        6.4      9.843      0.213           D811000200103 
         7.        60.        6.6      0.035      0.008           D811000200104 
         7.        60.        6.8      0.007      0.004           D811000200105 
         7.        75.        0.8      0.035      0.004           D811000200106 
         7.        75.        1.0      0.219      0.011           D811000200107 
         7.        75.        1.2      0.186      0.010           D811000200108 
         7.        75.        1.4      0.219      0.011           D811000200109 
         7.        75.        1.5      0.546      0.018           D811000200110 
         7.        75.        1.7      0.549      0.018           D811000200111 
         7.        75.        1.9      1.199      0.031           D811000200112 
         7.        75.        2.1      0.676      0.021           D811000200113 
         7.        75.        2.3      0.268      0.012           D811000200114 
         7.        75.        2.5      0.643      0.020           D811000200115 
         7.        75.        2.7      0.357      0.014           D811000200116 
         7.        75.        2.9      0.193      0.010           D811000200117 
         7.        75.        3.1      0.138      0.008           D811000200118 
         7.        75.        3.3      2.121      0.047           D811000200119 
         7.        75.        3.5      2.283      0.050           D811000200120 
         7.        75.        3.7      1.310      0.033           D811000200121 
         7.        75.        3.9      0.210      0.011           D811000200122 
         7.        75.        4.1      2.821      0.059           D811000200123 
         7.        75.        4.3      0.385      0.015           D811000200124 
         7.        75.        4.5      0.160      0.009           D811000200125 
         7.        75.        4.7      0.119      0.008           D811000200126 
         7.        75.        4.9      0.143      0.009           D811000200127 
         7.        75.        5.1      0.694      0.021           D811000200128 
         7.        75.        5.3      2.165      0.048           D811000200129 
         7.        75.        5.5      0.648      0.021           D811000200130 
         7.        75.        5.7      0.690      0.021           D811000200131 
         7.        75.        5.9      1.046      0.028           D811000200132 
         7.        75.        6.1     11.160      0.198           D811000200133 
         7.        75.        6.3     11.290      0.200           D811000200134 
         7.        75.        6.5      0.034      0.004           D811000200135 
         7.        90.        0.8      0.032      0.004           D811000200136 
         7.        90.        1.0      0.173      0.009           D811000200137 
         7.        90.        1.2      0.299      0.012           D811000200138 
         7.        90.        1.4      0.348      0.013           D811000200139 
         7.        90.        1.6      0.489      0.016           D811000200140 
         7.        90.        1.8      0.868      0.023           D811000200141 
         7.        90.        2.0      0.859      0.023           D811000200142 
         7.        90.        2.2      0.252      0.011           D811000200143 
         7.        90.        2.4      0.551      0.017           D811000200144 
         7.        90.        2.6      0.371      0.014           D811000200145 
         7.        90.        2.8      0.252      0.011           D811000200146 
         7.        90.        3.0      0.091      0.006           D811000200147 
         7.        90.        3.2      0.787      0.022           D811000200148 
         7.        90.        3.4      2.624      0.054           D811000200149 
         7.        90.        3.6      1.425      0.033           D811000200150 
         7.        90.        3.8      0.207      0.010           D811000200151 
         7.        90.        4.0      1.786      0.040           D811000200152 
         7.        90.        4.2      1.335      0.032           D811000200153 
         7.        90.        4.4      0.114      0.007           D811000200154 
         7.        90.        4.6      0.088      0.006           D811000200155 
         7.        90.        4.8      0.096      0.006           D811000200156 
         7.        90.        5.0      0.291      0.012           D811000200157 
         7.        90.        5.2      1.936      0.042           D811000200158 
         7.        90.        5.4      1.244      0.030           D811000200159 
         7.        90.        5.6      0.970      0.025           D811000200160 
         7.        90.        5.8      0.568      0.018           D811000200161 
         7.        90.        6.0      4.209      0.080           D811000200162 
         7.        90.        6.2      9.898      0.175           D811000200163 
         7.        90.        6.4      0.068      0.005           D811000200164 
         7.        90.        6.6      0.006      0.001           D811000200165 
         7.       105.        1.1      0.005      0.002           D811000200166 
         7.       105.        1.3      0.016      0.003           D811000200167 
         7.       105.        1.5      0.046      0.005           D811000200168 
         7.       105.        1.7      0.202      0.011           D811000200169 
         7.       105.        1.9      0.252      0.013           D811000200170 
         7.       105.        2.1      0.185      0.011           D811000200171 
         7.       105.        2.3      0.092      0.007           D811000200172 
         7.       105.        2.5      0.081      0.007           D811000200173 
         7.       105.        2.7      0.034      0.004           D811000200174 
         7.       105.        2.9      0.017      0.003           D811000200175 
         7.       105.        3.1      0.066      0.006           D811000200176 
         7.       105.        3.3      0.187      0.011           D811000200177 
         7.       105.        3.5      0.198      0.011           D811000200178 
         7.       105.        3.7      0.298      0.014           D811000200179 
         7.       105.        3.9      1.137      0.031           D811000200180 
         7.       105.        4.1      1.533      0.038           D811000200181 
         7.       105.        4.3      0.838      0.026           D811000200182 
         7.       105.        4.5      0.078      0.007           D811000200183 
         7.       105.        4.7      0.087      0.007           D811000200184 
         7.       105.        4.9      0.250      0.012           D811000200185 
         7.       105.        5.1      1.307      0.034           D811000200186 
         7.       105.        5.3      1.383      0.036           D811000200187 
         7.       105.        5.5      0.898      0.027           D811000200188 
         7.       105.        5.7      0.543      0.019           D811000200189 
         7.       105.        5.9      2.204      0.050           D811000200190 
         7.       105.        6.1      4.840      0.095           D811000200191 
         7.       105.        6.3      2.676      0.058           D811000200192 
         7.       105.        6.5      0.068      0.006           D811000200193 
         7.       120.        1.1      0.002      0.001           D811000200194 
         7.       120.        1.3      0.178      0.008           D811000200195 
         7.       120.        1.5      0.445      0.014           D811000200196 
         7.       120.        1.7      0.734      0.020           D811000200197 
         7.       120.        1.9      0.644      0.018           D811000200198 
         7.       120.        2.1      0.813      0.021           D811000200199 
         7.       120.        2.4      0.613      0.017           D811000200200 
         7.       120.        2.6      0.516      0.015           D811000200201 
         7.       120.        2.8      0.299      0.011           D811000200202 
         7.       120.        3.0      0.152      0.007           D811000200203 
         7.       120.        3.2      0.711      0.019           D811000200204 
         7.       120.        3.4      1.728      0.037           D811000200205 
         7.       120.        3.6      1.798      0.038           D811000200206 
         7.       120.        3.8      0.891      0.022           D811000200207 
         7.       120.        4.0      1.451      0.032           D811000200208 
         7.       120.        4.2      1.540      0.033           D811000200209 
         7.       120.        4.4      0.361      0.012           D811000200210 
         7.       120.        4.6      0.074      0.005           D811000200211 
         7.       120.        4.8      0.087      0.005           D811000200212 
         7.       120.        5.0      0.638      0.017           D811000200213 
         7.       120.        5.2      1.549      0.033           D811000200214 
         7.       120.        5.4      1.230      0.028           D811000200215 
         7.       120.        5.6      0.538      0.015           D811000200216 
         7.       120.        5.8      0.704      0.018           D811000200217 
         7.       120.        6.0      3.845      0.072           D811000200218 
         7.       120.        6.2      4.047      0.075           D811000200219 
         7.       120.        6.4      0.824      0.021           D811000200220 
         7.       120.        6.7      0.008      0.002           D811000200221 
         7.       135.        1.1      0.003      0.001           D811000200222 
         7.       135.        1.4      0.222      0.009           D811000200223 
         7.       135.        1.6      0.590      0.017           D811000200224 
         7.       135.        1.8      0.714      0.019           D811000200225 
         7.       135.        2.0      0.616      0.017           D811000200226 
         7.       135.        2.2      0.777      0.019           D811000200227 
         7.       135.        2.4      0.534      0.015           D811000200228 
         7.       135.        2.6      0.455      0.013           D811000200229 
         7.       135.        2.8      0.216      0.008           D811000200230 
         7.       135.        3.0      0.210      0.008           D811000200231 
         7.       135.        3.2      1.077      0.024           D811000200232 
         7.       135.        3.5      2.099      0.042           D811000200233 
         7.       135.        3.7      1.300      0.028           D811000200234 
         7.       135.        3.9      1.172      0.026           D811000200235 
         7.       135.        4.1      1.846      0.037           D811000200236 
         7.       135.        4.3      1.180      0.026           D811000200237 
         7.       135.        4.5      0.089      0.005           D811000200238 
         7.       135.        4.7      0.077      0.005           D811000200239 
         7.       135.        4.9      0.249      0.009           D811000200240 
         7.       135.        5.1      1.144      0.025           D811000200241 
         7.       135.        5.3      1.558      0.032           D811000200242 
         7.       135.        5.5      0.780      0.019           D811000200243 
         7.       135.        5.7      0.448      0.013           D811000200244 
         7.       135.        5.9      2.759      0.052           D811000200245 
         7.       135.        6.1      6.664      0.117           D811000200246 
         7.       135.        6.3      3.418      0.063           D811000200247 
         7.       135.        6.5      0.084      0.005           D811000200248 
         7.       135.        6.8      0.009      0.001           D811000200249 
         7.       135.        7.0      0.002      0.001           D811000200250 
        22.        30.       2.70      4.209      0.130           D811000200251 
        22.        30.       2.89      4.932      0.144           D811000200252 
        22.        30.       3.07      3.812      0.121           D811000200253 
        22.        30.       3.25      3.978      0.124           D811000200254 
        22.        30.       3.44      4.468      0.134           D811000200255 
        22.        30.       3.63      4.448      0.133           D811000200256 
        22.        30.       3.81      4.609      0.136           D811000200257 
        22.        30.       4.00      4.467      0.133           D811000200258 
        22.        30.       4.18      4.667      0.137           D811000200259 
        22.        30.       4.37      4.627      0.136           D811000200260 
        22.        30.       4.56      4.333      0.131           D811000200261 
        22.        30.       4.74      4.272      0.129           D811000200262 
        22.        30.       4.93      4.470      0.133           D811000200263 
        22.        30.       5.12      4.337      0.131           D811000200264 
        22.        30.       5.31      4.336      0.131           D811000200265 
        22.        30.       5.49      4.270      0.129           D811000200266 
        22.        30.       5.68      4.001      0.124           D811000200267 
        22.        30.       5.87      3.860      0.121           D811000200268 
        22.        30.       6.06      4.009      0.124           D811000200269 
        22.        30.       6.25      3.863      0.121           D811000200270 
        22.        30.       6.44      3.734      0.119           D811000200271 
        22.        30.       6.63      3.578      0.116           D811000200272 
        22.        30.       6.82      3.481      0.114           D811000200273 
        22.        30.       7.01      3.411      0.112           D811000200274 
        22.        30.       7.19      3.353      0.111           D811000200275 
        22.        30.       7.38      3.432      0.113           D811000200276 
        22.        30.       7.57      3.327      0.110           D811000200277 
        22.        30.       7.76      3.301      0.110           D811000200278 
        22.        30.       7.95      3.316      0.110           D811000200279 
        22.        30.       8.14      3.380      0.112           D811000200280 
        22.        30.       8.33      3.245      0.109           D811000200281 
        22.        30.       8.52      3.221      0.108           D811000200282 
        22.        30.       8.71      3.257      0.109           D811000200283 
        22.        30.       8.91      3.143      0.107           D811000200284 
        22.        30.       9.10      3.271      0.109           D811000200285 
        22.        30.       9.29      3.420      0.112           D811000200286 
        22.        30.       9.48      3.108      0.106           D811000200287 
        22.        30.       9.67      3.170      0.107           D811000200288 
        22.        30.       9.86      2.998      0.104           D811000200289 
        22.        30.      10.05      3.056      0.105           D811000200290 
        22.        30.      10.24      3.089      0.106           D811000200291 
        22.        30.      10.43      2.914      0.102           D811000200292 
        22.        30.      10.62      2.800      0.099           D811000200293 
        22.        30.      10.81      2.731      0.098           D811000200294 
        22.        30.      11.01      2.755      0.099           D811000200295 
        22.        30.      11.20      2.709      0.098           D811000200296 
        22.        30.      11.39      2.553      0.094           D811000200297 
        22.        30.      11.58      2.409      0.091           D811000200298 
        22.        30.      11.77      2.410      0.091           D811000200299 
        22.        30.      11.96      2.175      0.086           D811000200300 
        22.        30.      12.16      2.152      0.085           D811000200301 
        22.        30.      12.35      2.215      0.087           D811000200302 
        22.        30.      12.54      2.343      0.090           D811000200303 
        22.        30.      12.73      2.113      0.084           D811000200304 
        22.        30.      12.92      1.980      0.081           D811000200305 
        22.        30.      13.12      2.056      0.083           D811000200306 
        22.        30.      13.31      2.218      0.087           D811000200307 
        22.        30.      13.50      2.722      0.098           D811000200308 
        22.        30.      13.69      3.188      0.108           D811000200309 
        22.        30.      13.88      2.828      0.100           D811000200310 
        22.        30.      14.08      2.306      0.089           D811000200311 
        22.        30.      14.27      1.984      0.081           D811000200312 
        22.        30.      14.46      1.954      0.081           D811000200313 
        22.        30.      14.65      1.843      0.078           D811000200314 
        22.        30.      14.85      1.601      0.072           D811000200315 
        22.        30.      15.04      1.626      0.073           D811000200316 
        22.        30.      15.23      2.003      0.082           D811000200317 
        22.        30.      15.42      2.914      0.102           D811000200318 
        22.        30.      15.62      3.887      0.122           D811000200319 
        22.        30.      15.81      4.355      0.132           D811000200320 
        22.        30.      16.00      3.959      0.124           D811000200321 
        22.        30.      16.20      3.671      0.118           D811000200322 
        22.        30.      16.39      3.378      0.112           D811000200323 
        22.        30.      16.58      2.579      0.095           D811000200324 
        22.        30.      16.77      1.855      0.078           D811000200325 
        22.        30.      16.97      1.551      0.071           D811000200326 
        22.        30.      17.16      1.635      0.073           D811000200327 
        22.        30.      17.35      2.028      0.082           D811000200328 
        22.        30.      17.55      3.605      0.117           D811000200329 
        22.        30.      17.74      5.257      0.149           D811000200330 
        22.        30.      17.93      5.787      0.159           D811000200331 
        22.        30.      18.13      5.362      0.151           D811000200332 
        22.        30.      18.32      5.140      0.147           D811000200333 
        22.        30.      18.51      5.051      0.145           D811000200334 
        22.        30.      18.71      4.692      0.138           D811000200335 
        22.        30.      18.90      3.684      0.118           D811000200336 
        22.        30.      19.09      3.205      0.109           D811000200337 
        22.        30.      19.29      4.298      0.131           D811000200338 
        22.        30.      19.48      8.204      0.203           D811000200339 
        22.        30.      19.67     16.370      0.344           D811000200340 
        22.        30.      19.87     37.940      0.705           D811000200341 
        22.        30.      20.06     78.720      1.379           D811000200342 
        22.        30.      20.25    125.300      2.148           D811000200343 
        22.        30.      20.45    158.000      2.686           D811000200344 
        22.        30.      20.64    131.100      2.243           D811000200345 
        22.        30.      20.83     71.580      1.262           D811000200346 
        22.        30.      21.03     29.410      0.563           D811000200347 
        22.        30.      21.22      8.665      0.211           D811000200348 
        22.        30.      21.41      2.308      0.089           D811000200349 
        22.        45.       2.80      5.322      0.137           D811000200350 
        22.        45.       2.99      4.343      0.118           D811000200351 
        22.        45.       3.17      4.179      0.115           D811000200352 
        22.        45.       3.36      4.573      0.122           D811000200353 
        22.        45.       3.55      4.606      0.123           D811000200354 
        22.        45.       3.74      4.613      0.123           D811000200355 
        22.        45.       3.92      4.612      0.123           D811000200356 
        22.        45.       4.11      4.675      0.124           D811000200357 
        22.        45.       4.30      4.431      0.119           D811000200358 
        22.        45.       4.49      4.437      0.119           D811000200359 
        22.        45.       4.68      4.500      0.120           D811000200360 
        22.        45.       4.87      4.415      0.119           D811000200361 
        22.        45.       5.06      4.361      0.118           D811000200362 
        22.        45.       5.25      4.332      0.117           D811000200363 
        22.        45.       5.44      4.357      0.118           D811000200364 
        22.        45.       5.63      4.115      0.113           D811000200365 
        22.        45.       5.82      3.876      0.109           D811000200366 
        22.        45.       6.01      3.712      0.106           D811000200367 
        22.        45.       6.20      3.613      0.104           D811000200368 
        22.        45.       6.39      3.525      0.102           D811000200369 
        22.        45.       6.58      3.547      0.102           D811000200370 
        22.        45.       6.77      3.353      0.099           D811000200371 
        22.        45.       6.97      3.305      0.098           D811000200372 
        22.        45.       7.16      3.090      0.093           D811000200373 
        22.        45.       7.35      3.090      0.094           D811000200374 
        22.        45.       7.54      3.069      0.093           D811000200375 
        22.        45.       7.73      3.110      0.094           D811000200376 
        22.        45.       7.92      2.838      0.089           D811000200377 
        22.        45.       8.11      2.921      0.090           D811000200378 
        22.        45.       8.31      2.788      0.088           D811000200379 
        22.        45.       8.50      2.877      0.089           D811000200380 
        22.        45.       8.69      2.779      0.087           D811000200381 
        22.        45.       8.88      2.593      0.084           D811000200382 
        22.        45.       9.07      2.758      0.087           D811000200383 
        22.        45.       9.27      2.675      0.085           D811000200384 
        22.        45.       9.46      2.385      0.079           D811000200385 
        22.        45.       9.65      2.365      0.079           D811000200386 
        22.        45.       9.84      2.468      0.081           D811000200387 
        22.        45.      10.04      2.578      0.083           D811000200388 
        22.        45.      10.23      3.017      0.092           D811000200389 
        22.        45.      10.42      4.008      0.111           D811000200390 
        22.        45.      10.62      4.518      0.121           D811000200391 
        22.        45.      10.81      3.908      0.109           D811000200392 
        22.        45.      11.00      2.946      0.091           D811000200393 
        22.        45.      11.19      2.091      0.073           D811000200394 
        22.        45.      11.39      2.037      0.072           D811000200395 
        22.        45.      11.58      2.055      0.073           D811000200396 
        22.        45.      11.77      1.815      0.067           D811000200397 
        22.        45.      11.97      1.756      0.066           D811000200398 
        22.        45.      12.16      1.799      0.067           D811000200399 
        22.        45.      12.35      1.970      0.071           D811000200400 
        22.        45.      12.55      1.893      0.069           D811000200401 
        22.        45.      12.74      1.523      0.061           D811000200402 
        22.        45.      12.93      1.536      0.061           D811000200403 
        22.        45.      13.13      1.612      0.063           D811000200404 
        22.        45.      13.32      2.066      0.073           D811000200405 
        22.        45.      13.51      2.617      0.084           D811000200406 
        22.        45.      13.71      2.751      0.087           D811000200407 
        22.        45.      13.90      2.198      0.076           D811000200408 
        22.        45.      14.09      1.659      0.064           D811000200409 
        22.        45.      14.29      1.680      0.064           D811000200410 
        22.        45.      14.48      1.611      0.063           D811000200411 
        22.        45.      14.68      1.187      0.053           D811000200412 
        22.        45.      14.87      0.830      0.043           D811000200413 
        22.        45.      15.06      0.829      0.043           D811000200414 
        22.        45.      15.26      1.211      0.053           D811000200415 
        22.        45.      15.45      1.423      0.058           D811000200416 
        22.        45.      15.65      1.632      0.063           D811000200417 
        22.        45.      15.84      1.808      0.067           D811000200418 
        22.        45.      16.03      2.095      0.074           D811000200419 
        22.        45.      16.23      1.875      0.069           D811000200420 
        22.        45.      16.42      1.511      0.060           D811000200421 
        22.        45.      16.62      1.061      0.049           D811000200422 
        22.        45.      16.81      0.754      0.041           D811000200423 
        22.        45.      17.00      0.585      0.036           D811000200424 
        22.        45.      17.20      0.966      0.047           D811000200425 
        22.        45.      17.39      1.956      0.071           D811000200426 
        22.        45.      17.59      3.247      0.097           D811000200427 
        22.        45.      17.78      4.044      0.112           D811000200428 
        22.        45.      17.98      3.644      0.105           D811000200429 
        22.        45.      18.17      3.256      0.097           D811000200430 
        22.        45.      18.37      3.528      0.102           D811000200431 
        22.        45.      18.56      2.982      0.092           D811000200432 
        22.        45.      18.75      1.916      0.070           D811000200433 
        22.        45.      18.95      1.228      0.054           D811000200434 
        22.        45.      19.14      1.495      0.060           D811000200435 
        22.        45.      19.34      2.531      0.083           D811000200436 
        22.        45.      19.53      4.191      0.115           D811000200437 
        22.        45.      19.73      6.597      0.158           D811000200438 
        22.        45.      19.92     11.130      0.237           D811000200439 
        22.        45.      20.12     18.460      0.360           D811000200440 
        22.        45.      20.31     21.990      0.419           D811000200441 
        22.        45.      20.51     18.810      0.366           D811000200442 
        22.        45.      20.70     11.250      0.239           D811000200443 
        22.        45.      20.90      4.691      0.124           D811000200444 
