ENTRY            41454   20260310                             422741454000    1 
SUBENT        41454001   20260310                             422741454001    1 
BIB                 12         23                                 41454001    2 
TITLE      Cascade gamma-decay of compound states of 60Co nucleus 41454001    3 
AUTHOR     (A.M.Sukhovoi,V.A.Khitrov)                             41454001    4 
INSTITUTE  (4ZZZDUB)                                              41454001    5 
REFERENCE  (J,BAS,67,796,2003)                                    41454001    6 
           Engl.translation of J,IZV,67,722,2003                  41454001    7 
           (J,IZV,67,722,2003) Issue 5.                           41454001    8 
FACILITY   (REAC,4ZZZDUB) IBR-30 reactor                          41454001    9 
SAMPLE      No information                                        41454001   10 
DETECTOR   (GE) Two Ge-detectors,relative efficiency 10% and 15%  41454001   11 
           were used to detect gamma-gamma coincidence during     41454001   12 
           600 h.                                                 41454001   13 
METHOD     (COINC)                                                41454001   14 
           Resolution 3 keV at the edges, 4.7 keV at the center.  41454001   15 
INC-SOURCE (REAC)                                                 41454001   16 
INC-SPECT   Thermal neutrons.                                     41454001   17 
ERR-ANALYS (DATA-ERR) Errors not specified                        41454001   18 
HISTORY    (20050829C)  Compiled at CJD (M.M.)                    41454001   19 
           (20051108A) SUB.002,.003 were corrected  (M.M.)        41454001   20 
           (20141020U) Engl.translation ref. was added.           41454001   21 
           Article was checked, BIB information was updated.      41454001   22 
           (20260310A) (N,2G) -> (N,G), REL -> MSC in REACTION    41454001   23 
           according to a comment of N.Otsuka (NDS, IAEA).        41454001   24 
            STATUS was corrected fro new rules.                   41454001   25 
ENDBIB              23          0                                 41454001   26 
COMMON               1          3                                 41454001   27 
EN-DUMMY                                                          41454001   28 
EV                                                                41454001   29 
   2.53E-02                                                       41454001   30 
ENDCOMMON            3          0                                 41454001   31 
ENDSUBENT           30          0                                 4145400199999 
SUBENT        41454002   20260310                             422741454002    1 
BIB                  5         12                                 41454002    2 
REACTION   (27-CO-59(N,G)27-CO-60,,SPC,,SPA/MSC)  Intensity of    41454002    3 
            two-gamma cascade for Co-60 compound nucleus          41454002    4 
EN-SEC     (E1,G) First gamma energy                              41454002    5 
           (E2,G) Second gamma energy                             41454002    6 
            (E-LVL,27-CO-60)) Energy of cascade intermediate level41454002    7 
COMMENT     Of compiler:                                          41454002    8 
             2. data were given in particles/1.e5 decays units    41454002    9 
                in article, recalculated by compiler              41454002   10 
HISTORY    (20051207A) Error in DATA value for E1=5660.2,E2=1554.541454002   11 
              was corrected according to Tables, received from    41454002   12 
            author A.Sukhovoy.  (M.M.)                            41454002   13 
STATUS     (TABLE,,A.M.Sukhovoi,J,BAS,67,796,2003) Table 1        41454002   14 
ENDBIB              12          0                                 41454002   15 
NOCOMMON             0          0                                 41454002   16 
DATA                 6        218                                 41454002   17 
E1         E2         DATA       DATA-ERR   E-LVL      E-LVL-ERR  41454002   18 
5181.1     1305.9     0.134      0.058      2310.8     1.4        41454002  115 
5170.9     2321.0     0.042      0.016      2321.0     0.6        41454002  116 
5170.9     2032.6     0.098      0.031      2321.0     0.6        41454002  117 
5149.0     1338.1     0.397      0.064      2342.9     0.4        41454002  118 
5139.4     2064.1     0.074      0.027      2352.5     0.8        41454002  119 
5127.4     2076.1     0.118      0.03       2364.5     0.6        41454002  120 
5068.7     1808.6     0.098      0.043      2423.2     1.0        41454002  121 
5023.0     2933.2     0.086      0.02       2468.9     0.5        41454002  122 
5001.8     2490.1     0.124      0.028      2490.1     1.6        41454002  123 
5001.8     2054.4     0.055      0.017      2490.1     1.6        41454002  124 
4979.4     2076.8     0.05       0.017      2512.5     0.8        41454002  125 
4962.9     2470.4     0.059      0.019      2529.0     0.7        41454002  126 
4921.3     2570.6     0.354      0.048      2570.6     0.4        41454002  127 
4921.3     2282.2     0.438      0.06       2570.6     0.4        41454002  128 
4915.6     2299.1     0.062      0.029      2576.3     1.8        41454002  129 
4915.6     2034.5     0.078      0.018      2576.3     1.8        41454002  130 
4910.9     2522.4     0.109      0.036      2581.0     0.7        41454002  131 
4905.5     2586.4     0.044      0.02       2586.4     0.8        41454002  132 
4905.5     2527.8     0.441      0.055      2586.4     0.8        41454002  133 
4905.5     2309.2     0.148      0.034      2586.4     0.8        41454002  134 
4905.5     2298.0     0.115      0.035      2586.4     0.8        41454002  135 
4905.5     1581.5     0.202      0.063      2586.4     0.8        41454002  136 
4893.7     2321.0     0.174      0.039      2598.2     0.4        41454002  137 
4893.7     2309.8     0.165      0.038      2598.2     0.4        41454002  138 
4893.7     2056.4     0.07       0.017      2598.2     0.4        41454002  139 
4883.8     2608.1     0.31       0.046      2608.1     0.9        41454002  140 
4883.8     2319.7     0.127      0.033      2608.1     0.9        41454002  141 
4883.8     2172.4     0.116      0.021      2608.1     0.9        41454002  142 
4832.8     2223.4     0.052      0.017      2659.1     0.8        41454002  143 
4799.5     2692.4     0.056      0.02       2692.4     0.9        41454002  144 
4787.9     2268.3     0.05       0.017      2704.0     0.8        41454002  145 
4772.7     2283.5     0.085      0.018      2719.2     0.5        41454002  146 
4727.7     2487.0     0.063      0.029      2764.2     1.8        41454002  147 
4727.7     2222.4     0.035      0.014      2764.2     1.8        41454002  148 
4719.5     2713.8     0.07       0.021      2772.4     0.6        41454002  149 
4705.1     2786.8     0.048      0.018      2786.8     1.9        41454002  150 
4705.1     2728.2     0.092      0.024      2786.8     1.9        41454002  151 
4700.0     2791.9     0.054      0.022      2791.9     0.9        41454002  152 
4693.9     2509.6     0.081      0.03       2798.0     0.8        41454002  153 
4656.6     2776.7     0.053      0.021      2835.3     0.8        41454002  154 
4634.7     1852.3     0.149      0.063      2857.2     0.9        41454002  155 
