      4.804       81.5       1.40      0.082                      A1485002  104 
      4.804       81.5       1.54      0.164                      A1485002  105 
      4.804       81.5       1.67      0.210                      A1485002  106 
      4.804       81.5       1.77      0.309                      A1485002  107 
      4.804       81.5       1.94      0.426                      A1485002  108 
      4.804       81.5       2.09      0.502                      A1485002  109 
      4.804       81.5       2.23      0.531                      A1485002  110 
      4.804       81.5       2.38      0.577                      A1485002  111 
ENDDATA             94          0                                 A1485002  112 
ENDSUBENT          111          0                                 A148500299999 
SUBENT        A1485003   20251006                             A128A1485003    1 
BIB                  5          8                                 A1485003    2 
REACTION   (4-BE-9(HE3,N)6-C-11,PAR,DA)                           A1485003    3 
SAMPLE     The 9Be targets were produced by evaporating 9Be       A1485003    4 
           metal onto platinum blanks. The uniformity of the      A1485003    5 
           targets were uniform to within 10%.                    A1485003    6 
ERR-ANALYS (ERR-2) Uncertainty in the uniformity of the targets   A1485003    7 
STATUS     (CURVE,,J.L.Duggan+,J,NP,46,336,1963) Fig. 8           A1485003    8 
HISTORY    (20251006A) SD: SF9=EXP deleted from REACTION code.    A1485003    9 
           STATUS updated. EN-ERR->EN-ERR-DIG; DATA-ERR->ERR-DIG. A1485003   10 
ENDBIB               8          0                                 A1485003   11 
COMMON               5          3                                 A1485003   12 
E-LVL      E-LVL      ERR-2      EN-ERR-DIG ERR-DIG               A1485003   13 
MEV        MEV        PER-CENT   MEV        MB/SR                 A1485003   14 
       6.34       6.48       10.        0.01      0.014           A1485003   15 
ENDCOMMON            3          0                                 A1485003   16 
DATA                 3         19                                 A1485003   17 
ANG        EN         DATA                                        A1485003   18 
ADEG       MEV        MB/SR                                       A1485003   19 
         0.       1.32      0.136                                 A1485003   20 
         0.       1.54      0.465                                 A1485003   21 
         0.       1.62      0.639                                 A1485003   22 
         0.       1.74      0.847                                 A1485003   23 
         0.       1.85      1.236                                 A1485003   24 
         0.       1.97      1.821                                 A1485003   25 
         0.       2.08      2.209                                 A1485003   26 
         0.       2.18      2.452                                 A1485003   27 
         0.       2.28      2.539                                 A1485003   28 
         0.       2.39      2.637                                 A1485003   29 
         0.       2.49      1.923                                 A1485003   30 
         0.       2.58      1.998                                 A1485003   31 
       81.5       1.42      0.037                                 A1485003   32 
       81.5       1.56      0.181                                 A1485003   33 
       81.5       1.69      0.297                                 A1485003   34 
       81.5       1.94      0.644                                 A1485003   35 
       81.5       2.10      0.887                                 A1485003   36 
       81.5       2.23      0.886                                 A1485003   37 
       81.5       2.38      0.961                                 A1485003   38 
ENDDATA             21          0                                 A1485003   39 
ENDSUBENT           38          0                                 A148500399999 
SUBENT        A1485004   20251006                             A128A1485004    1 
BIB                  5          9                                 A1485004    2 
REACTION   (4-BE-9(HE3,N)6-C-11,PAR,DA)                           A1485004    3 
SAMPLE     The 9Be targets were produced by evaporating 9Be       A1485004    4 
           metal onto platinum blanks. The uniformity of the      A1485004    5 
           targets were uniform to within 10%.                    A1485004    6 
ERR-ANALYS (ERR-2) Uncertainty in the uniformity of the targets   A1485004    7 
           (DATA-ERR) No information about source of uncertainty  A1485004    8 
STATUS     (CURVE,,J.L.Duggan+,J,NP,46,336,1963) Figs 9-12        A1485004    9 
HISTORY    (20251006A) SD: SF9=EXP deleted from REACTION code.    A1485004   10 
           STATUS updated. ANG-ERR->ANG-ERR-D.                    A1485004   11 
ENDBIB               9          0                                 A1485004   12 
COMMON               3          3                                 A1485004   13 
EN         ERR-2      ANG-ERR-D                                   A1485004   14 
MEV        PER-CENT   ADEG                                        A1485004   15 
        2.1        10.        1.0                                 A1485004   16 
ENDCOMMON            3          0                                 A1485004   17 
DATA                 4         35                                 A1485004   18 
E-LVL      ANG-CM     DATA-CM    DATA-ERR                         A1485004   19 
MEV        ADEG       MB/SR      MB/SR                            A1485004   20 
         0.        0.7      1.314      0.072                      A1485004   21 
         0.       20.7      1.104      0.072                      A1485004   22 
         0.       40.1      0.916      0.056                      A1485004   23 
         0.       60.0      0.839      0.061                      A1485004   24 
         0.       79.9      0.834      0.050                      A1485004   25 
         0.      100.3      0.829      0.061                      A1485004   26 
         0.      120.1      0.902      0.056                      A1485004   27 
         0.      139.9      1.069      0.067                      A1485004   28 
         0.      149.8      1.225      0.061                      A1485004   29 
       2.00       19.6      0.322      0.022                      A1485004   30 
       2.00       39.8      0.327      0.022                      A1485004   31 
       2.00       60.0      0.309      0.027                      A1485004   32 
       2.00       79.6      0.308      0.033                      A1485004   33 
       2.00      100.4      0.405      0.027                      A1485004   34 
       2.00      120.7      0.584      0.038                      A1485004   35 
       2.00      139.9      0.763      0.038                      A1485004   36 
       2.00      147.2      0.807      0.049                      A1485004   37 
       4.32        0.1      0.395      0.020                      A1485004   38 
       4.32       20.6      0.322      0.017                      A1485004   39 
       4.32       40.2      0.325      0.014                      A1485004   40 
       4.32       60.3      0.342      0.014                      A1485004   41 
       4.32       80.4      0.382      0.020                      A1485004   42 
       4.32      100.6      0.388      0.017                      A1485004   43 
       4.32      120.1      0.411      0.020                      A1485004   44 
       4.32      140.2      0.411      0.017                      A1485004   45 
       4.32      150.9      0.391      0.023                      A1485004   46 
      4.804        1.6      0.729      0.044                      A1485004   47 
      4.804       20.8      0.759      0.035                      A1485004   48 
      4.804       40.9      0.667      0.035                      A1485004   49 
      4.804       61.1      0.515      0.029                      A1485004   50 
      4.804       80.5      0.457      0.024                      A1485004   51 
      4.804      100.9      0.462      0.027                      A1485004   52 
      4.804      120.9      0.442      0.029                      A1485004   53 
      4.804      140.3      0.405      0.027                      A1485004   54 
      4.804      150.0      0.371      0.024                      A1485004   55 
ENDDATA             37          0                                 A1485004   56 
ENDSUBENT           55          0                                 A148500499999 
SUBENT        A1485005   20251006                             A128A1485005    1 
BIB                  5          9                                 A1485005    2 
REACTION   (4-BE-9(HE3,N)6-C-11,PAR,DA)                           A1485005    3 
SAMPLE     The 9Be targets were produced by evaporating 9Be       A1485005    4 
           metal onto platinum blanks. The uniformity of the      A1485005    5 
           targets were uniform to within 10%.                    A1485005    6 
ERR-ANALYS (ERR-2) Uncertainty in the uniformity of the targets   A1485005    7 
           (DATA-ERR) No information about source of uncertainty  A1485005    8 
STATUS     (CURVE,,J.L.Duggan+,J,NP,46,336,1963) Fig. 13          A1485005    9 
HISTORY    (20251006A) SD: SF9=EXP deleted from REACTION code.    A1485005   10 
           STATUS updated. ANG-ERR->ANG-ERR-D.                    A1485005   11 
ENDBIB               9          0                                 A1485005   12 
COMMON               5          3                                 A1485005   13 
EN         E-LVL      E-LVL      ERR-2      ANG-ERR-D             A1485005   14 
MEV        MEV        MEV        PER-CENT   ADEG                  A1485005   15 
        2.1       6.34       6.48        10.        1.0           A1485005   16 
ENDCOMMON            3          0                                 A1485005   17 
DATA                 3          9                                 A1485005   18 
ANG-CM     DATA-CM    DATA-ERR                                    A1485005   19 
ADEG       MB/SR      MB/SR                                       A1485005   20 
        1.8      2.683      0.163                                 A1485005   21 
       20.2      1.905      0.128                                 A1485005   22 
       40.7      1.640      0.117                                 A1485005   23 
       60.1      1.084      0.093                                 A1485005   24 
       80.7      0.772      0.082                                 A1485005   25 
      100.5      0.763      0.070                                 A1485005   26 
      120.5      0.382      0.058                                 A1485005   27 
      139.8      0.245      0.058                                 A1485005   28 
      149.8      0.176      0.058                                 A1485005   29 
ENDDATA             11          0                                 A1485005   30 
ENDSUBENT           29          0                                 A148500599999 
SUBENT        A1485006   20251006                             A128A1485006    1 
BIB                  5         10                                 A1485006    2 
REACTION   (3-LI-7(HE3,X)0-NN-1,,DA/DE)                           A1485006    3 
SAMPLE     The Li targets were made by evaporating pure Li metal  A1485006    4 
           of LiF onto platinum blanks. The thickness of the LiF  A1485006    5 
           targets were determined by weighting before and after  A1485006    6 
           evaporation.                                           A1485006    7 
METHOD     (TOF) Flight path is 3 m.                              A1485006    8 
STATUS     (CURVE,,J.L.Duggan+,J,NP,46,336,1963) Fig. 15          A1485006    9 
HISTORY    (20251006A) SD: SF3=N -> X; SF4=B-9 -> NN-1; SF9=EXP   A1485006   10 
           deleted from REACTION code. E-ERR->E-ERR-DIG;          A1485006   11 
           DATA-ERR->ERR-DIG. STATUS updated.                     A1485006   12 
ENDBIB              10          0                                 A1485006   13 
COMMON               4          3                                 A1485006   14 
EN         ANG        E-ERR-DIG  ERR-DIG                          A1485006   15 
MEV        ADEG       MEV        MB/SR/MEV                        A1485006   16 
      2.075         0.       0.04     0.0002                      A1485006   17 
ENDCOMMON            3          0                                 A1485006   18 
DATA                 2         33                                 A1485006   19 
E          DATA                                                   A1485006   20 
MEV        MB/SR/MEV                                              A1485006   21 
       2.45     0.0059                                            A1485006   22 
       2.71     0.0084                                            A1485006   23 
       2.97     0.0111                                            A1485006   24 
       3.26     0.0154                                            A1485006   25 
       3.48     0.0227                                            A1485006   26 
       3.71     0.0268                                            A1485006   27 
       4.00     0.0289                                            A1485006   28 
       4.25     0.0306                                            A1485006   29 
       4.50     0.0311                                            A1485006   30 
       4.99     0.0287                                            A1485006   31 
       5.23     0.0268                                            A1485006   32 
       5.48     0.0256                                            A1485006   33 
       5.72     0.0248                                            A1485006   34 
       5.97     0.0246                                            A1485006   35 
       6.50     0.0247                                            A1485006   36 
       6.97     0.0244                                            A1485006   37 
       7.44     0.0245                                            A1485006   38 
       8.00     0.0248                                            A1485006   39 
       8.25     0.0262                                            A1485006   40 
       8.52     0.0301                                            A1485006   41 
       8.75     0.0342                                            A1485006   42 
       8.99     0.0313                                            A1485006   43 
       9.19     0.0271                                            A1485006   44 
       9.43     0.0236                                            A1485006   45 
       9.70     0.0206                                            A1485006   46 
      10.01     0.0215                                            A1485006   47 
      10.27     0.0242                                            A1485006   48 
      10.52     0.0317                                            A1485006   49 
      10.75     0.0379                                            A1485006   50 
      11.05     0.0328                                            A1485006   51 
      11.26     0.0212                                            A1485006   52 
      11.50     0.0106                                            A1485006   53 
      11.70     0.0071                                            A1485006   54 
ENDDATA             35          0                                 A1485006   55 
ENDSUBENT           54          0                                 A148500699999 
SUBENT        A1485007   20251006                             A128A1485007    1 
BIB                  5          9                                 A1485007    2 
REACTION   (3-LI-7(HE3,N)5-B-9,PAR,DA)                            A1485007    3 
SAMPLE     The Li targets were made by evaporating pure Li metal  A1485007    4 
           of LiF onto platinum blanks. The thickness of the LiF  A1485007    5 
