ENTRY            A0455   20260202                             A130A0455000    1 
SUBENT        A0455001   20260202                             A130A0455001    1 
BIB                 11         36                                 A0455001    2 
TITLE      Production of projectile-like fragments at intermediateA0455001    3 
           energies.                                              A0455001    4 
AUTHOR     (S.Momota, M.Notani, S.Ito, A.Ozawa, T.Suzuki,         A0455001    5 
           I.Tanihata, N.Aoi, H.Sakurai, T.Teranishi, Y.Watanabe, A0455001    6 
           A.Yoshida, A.Inabe, T.Kubo, H.Okuno, N.Fukuda,         A0455001    7 
           H.Iwasaki, K.Yoneda, H.Ogawa, A.Kitagawa, M.Kanazawa,  A0455001    8 
           M.Torikoshi, M.Suda, A.Ono)                            A0455001    9 
INSTITUTE  (2JPNIPC,2JPNTOK,2JPNTIT,2JPNIRS,2JPNTOH)              A0455001   10 
REFERENCE  (J,NP/A,701,150,2002)                                  A0455001   11 
ADD-RES    (COMP) A simple model based on Fermi momentum of       A0455001   12 
           removed nucleons inside the projectile nucleus         A0455001   13 
           introduced by Goldhaber. The production cross sections A0455001   14 
           of projectile-like fragments can be predicted by an    A0455001   15 
           empirical parameterization such as EPAX.               A0455001   16 
           (E-DIS)                                                A0455001   17 
DETECTOR   (SI) Silicon detectors to measure energy loss and      A0455001   18 
           on-line mass separator in coincidence.                 A0455001   19 
METHOD     (TOF)                                                  A0455001   20 
           (BCINT) The beam current was monitored by two sets of  A0455001   21 
           monitor counters consisting of three plastic           A0455001   22 
           scintillators at the 9Be and by a secondary electron   A0455001   23 
           monitor at the 12C target.                             A0455001   24 
ERR-ANALYS (DATA-ERR) No information about source of uncertainty  A0455001   25 
           The typical value for errors of the production rate    A0455001   26 
           derived from the experimental results was 10%. The mainA0455001   27 
           part of this error came from the ambiguity of the      A0455001   28 
           beam-current monitor.                                  A0455001   29 
ANALYSIS   (INTED)                                                A0455001   30 
STATUS     (TABLE,,S.Momota,J,NP/A,701,150,2002) Tables were      A0455001   31 
           received from the authors. Values presented on         A0455001   32 
           figs in the article.                                   A0455001   33 
HISTORY    (20021002C)                                            A0455001   34 
           (20021108R) Corrected data table from S.Momota.        A0455001   35 
           (20021111U) Last checking has been done.               A0455001   36 
           (20260202U) SD: Small corrections in all Subents.      A0455001   37 
           ERR-T -> DATA-ERR.                                     A0455001   38 
ENDBIB              36          0                                 A0455001   39 
NOCOMMON             0          0                                 A0455001   40 
ENDSUBENT           39          0                                 A045500199999 
SUBENT        A0455002   20260202                             A130A0455002    1 
BIB                  4          5                                 A0455002    2 
REACTION   (4-BE-9(18-AR-40,X)ELEM/MASS,,SIG)                     A0455002    3 
SAMPLE     A 0.5-mm thick 9Be target.                             A0455002    4 
FACILITY   (CYCLO,2JPNIPC) RIKEN ring cyclotron and isotope       A0455002    5 
           separator.                                             A0455002    6 
HISTORY    (20260202U) SD: BIB updated. ERR-T -> DATA-ERR.        A0455002    7 
ENDBIB               5          0                                 A0455002    8 
COMMON               1          3                                 A0455002    9 
EN                                                                A0455002   10 
GEV                                                               A0455002   11 
        3.6                                                       A0455002   12 
ENDCOMMON            3          0                                 A0455002   13 
DATA                 4        116                                 A0455002   14 
ELEMENT    MASS       DATA       DATA-ERR                         A0455002   15 
NO-DIM     NO-DIM     MB         MB                               A0455002   16 
         4.         7.      0.883     0.0883                      A0455002   17 
         4.         9.       8.19       2.71                      A0455002   18 
         4.        10.       6.59       2.41                      A0455002   19 
         4.        11.      0.319      0.118                      A0455002   20 
         4.        12.     0.0495      0.018                      A0455002   21 
         5.        10.       3.19      0.604                      A0455002   22 
         5.        11.       16.6        4.9                      A0455002   23 
         5.        12.       2.91      0.916                      A0455002   24 
         5.        13.      0.757      0.236                      A0455002   25 
         5.        14.     0.0368     0.0123                      A0455002   26 
         5.        15.    0.00562    0.00173                      A0455002   27 
         6.        11.      0.548     0.0548                      A0455002   28 
         6.        12.       10.3       2.19                      A0455002   29 
         6.        13.       14.1       3.84                      A0455002   30 
         6.        14.       7.24       2.04                      A0455002   31 
         6.        15.      0.606      0.166                      A0455002   32 
         6.        16.      0.167     0.0503                      A0455002   33 
         6.        17.    0.00778    0.00186                      A0455002   34 
         6.        18.    0.00127   0.000322                      A0455002   35 
         7.        13.      0.142     0.0143                      A0455002   36 
         7.        14.       5.32        1.1                      A0455002   37 
         7.        15.       21.9       5.71                      A0455002   38 
         7.        16.       3.22      0.856                      A0455002   39 
         7.        17.       1.33      0.347                      A0455002   40 
         7.        18.      0.178     0.0453                      A0455002   41 
         7.        19.     0.0323    0.00749                      A0455002   42 
         7.        20.    0.00226   0.000562                      A0455002   43 
         7.        21.   0.000175   3.79E-05                      A0455002   44 
         8.        15.      0.457     0.0578                      A0455002   45 
         8.        16.        13.       2.78                      A0455002   46 
         8.        17.       10.7       2.71                      A0455002   47 
         8.        18.       7.58       1.95                      A0455002   48 
         8.        19.       1.56      0.388                      A0455002   49 
         8.        20.      0.396     0.0969                      A0455002   50 
         8.        21.     0.0338    0.00762                      A0455002   51 
         8.        22.    0.00414   0.000951                      A0455002   52 
         8.        23.   0.000108   2.24E-05                      A0455002   53 
         8.        24.   5.83E-06   1.28E-06                      A0455002   54 
         9.        18.        3.2      0.682                      A0455002   55 
         9.        19.       11.2       2.76                      A0455002   56 
         9.        20.       8.42       2.13                      A0455002   57 
         9.        21.       2.46        2.2                      A0455002   58 
         9.        22.       0.58      0.142                      A0455002   59 
         9.        23.     0.0968     0.0223                      A0455002   60 
         9.        24.    0.00648    0.00151                      A0455002   61 
         9.        25.   0.000443   9.46E-05                      A0455002   62 
         9.        26.   2.04E-05   4.06E-06                      A0455002   63 
        10.        19.      0.209     0.0323                      A0455002   64 
        10.        20.       7.67       1.68                      A0455002   65 
        10.        21.        17.       4.21                      A0455002   66 
        10.        22.       17.1       4.33                      A0455002   67 
        10.        23.       3.76      0.929                      A0455002   68 
        10.        24.       1.06      0.258                      A0455002   69 
        10.        25.     0.0919     0.0212                      A0455002   70 
        10.        26.     0.0125    0.00287                      A0455002   71 
        10.        27.   0.000279   5.77E-05                      A0455002   72 
        10.        28.   8.15E-05   1.88E-05                      A0455002   73 
        10.        29.   1.35E-06   2.47E-07                      A0455002   74 
        11.        21.      0.198     0.0329                      A0455002   75 
