ENTRY            A1390   20250919                             A126A1390000    1 
SUBENT        A1390001   20250919                             A126A1390001    1 
BIB                 11         23                                 A1390001    2 
TITLE      The Li-6(p,alpha)He-3 reaction                         A1390001    3 
AUTHOR     (J.M.F.Jeronymo,G.S.Mani,A.Sadeghi)                    A1390001    4 
REFERENCE  (J,NP,43,424,1963)                                     A1390001    5 
INSTITUTE  (2FR SAC)                                              A1390001    6 
FACILITY   (VDG,2FR SAC)                                          A1390001    7 
SAMPLE     (3-LI-6,ENR=0.996) 6Li(99.6%) metal targets deposited  A1390001    8 
           on 10 ug/cm2 carbon backings. The thickness of the     A1390001    9 
           6Li in the targets was of the order of 10 ug/cm2.      A1390001   10 
METHOD     (PHD)                                                  A1390001   11 
DETECTOR   (SOLST) Solid state counter was used as particle detec.A1390001   12 
           from 20 degr. to 80 degr. in the lab. system in steps  A1390001   13 
           of around 5 degr. in most cases.                       A1390001   14 
           A solid state detector fixed at 90 degr. served as     A1390001   15 
           monitor. Only the 3He pulses of the monitor were used  A1390001   16 
           for normalizing data.                                  A1390001   17 
ERR-ANALYS (ERR-S) Statistical error                              A1390001   18 
COMMENT    The excitation curves obtained from 1.9 MeV to 5 MeV   A1390001   19 
           for various angles were corrected for solid angle and  A1390001   20 
           normalized to the monitor.                             A1390001   21 
HISTORY    (19800723C) Compilation produced by Arzamas RFNC-VNIIEFA1390001   22 
           (19990317U)CNPD: corrected 4-dig. year and lower cases.A1390001   23 
           (20250919A) SD: Corrections in all Subents.            A1390001   24 
           DATA-ERR1 -> ERR-S.                                    A1390001   25 
ENDBIB              23          0                                 A1390001   26 
NOCOMMON             0          0                                 A1390001   27 
ENDSUBENT           26          0                                 A139000199999 
SUBENT        A1390002   20250919                             A126A1390002    1 
BIB                  3          5                                 A1390002    2 
REACTION   (3-LI-6(P,HE3)2-HE-4,,DA,,REL)                         A1390002    3 
            No information about units.                           A1390002    4 
STATUS     (CURVE,,J.M.F.Jeronymo+,J,NP,43,424,1963) Figure 1     A1390002    5 
HISTORY    (20250919A) SD: SF9=EXP deleted from REACTION code.    A1390002    6 
           STATUS updated. ANG-ERR->ANG-ERR-D; DATA-ERR->ERR-DIG. A1390002    7 
ENDBIB               5          0                                 A1390002    8 
COMMON               2          3                                 A1390002    9 
ANG-ERR-D  ERR-DIG                                                A1390002   10 
ADEG       ARB-UNITS                                              A1390002   11 
 0.4        0.003                                                 A1390002   12 
ENDCOMMON            3          0                                 A1390002   13 
DATA                 4        505                                 A1390002   14 
EN         ANG-CM     DATA-CM    ERR-S                            A1390002   15 
MEV        ADEG       ARB-UNITS  ARB-UNITS                        A1390002   16 
      1.985       22.9      2.174      0.106                      A1390002   17 
      1.985       40.2      1.742      0.089                      A1390002   18 
      1.985       46.6      1.456      0.081                      A1390002   19 
      1.985       52.3      1.564      0.071                      A1390002   20 
      1.985       57.8      1.324      0.071                      A1390002   21 
      1.985       62.7      1.470      0.067                      A1390002   22 
      1.985       69.1      1.308      0.060                      A1390002   23 
      1.985       74.4      1.316      0.050                      A1390002   24 
      1.985       78.8      1.367      0.060                      A1390002   25 
      1.985       84.6      0.784      0.032                      A1390002   26 
      1.985       86.0      0.915      0.039                      A1390002   27 
      1.985       91.4      0.990      0.039                      A1390002   28 
      1.985       95.7      1.097      0.035                      A1390002   29 
      1.985      102.0      1.123      0.039                      A1390002   30 
      1.985      106.9      1.124      0.039                      A1390002   31 
      1.985      113.4      1.192      0.053                      A1390002   32 
      1.985      119.9      1.119      0.053                      A1390002   33 
      1.985      124.7      1.180      0.057                      A1390002   34 
      1.985      130.1      1.117      0.057                      A1390002   35 
      1.985      136.8      1.388      0.060                      A1390002   36 
      1.985      155.5      2.326      0.110                      A1390002   37 
      2.135       23.3      1.835      0.081                      A1390002   38 
      2.135       41.7      1.566      0.067                      A1390002   39 
      2.135       47.2      1.302      0.067                      A1390002   40 
      2.135       52.2      1.455      0.071                      A1390002   41 
      2.135       58.7      1.367      0.064                      A1390002   42 
      2.135       64.0      1.329      0.067                      A1390002   43 
      2.135       69.4      1.270      0.060                      A1390002   44 
      2.135       74.7      1.268      0.057                      A1390002   45 
      2.135       81.1      1.241      0.067                      A1390002   46 
      2.135       84.6      1.227      0.064                      A1390002   47 
      2.135       85.3      0.884      0.039                      A1390002   48 
      2.135       89.6      1.044      0.046                      A1390002   49 
      2.135       91.6      1.112      0.053                      A1390002   50 
      2.135       96.1      1.120      0.057                      A1390002   51 
      2.135      101.4      1.106      0.046                      A1390002   52 
      2.135      107.3      1.001      0.043                      A1390002   53 
      2.135      113.6      1.006      0.049                      A1390002   54 
      2.135      118.0      1.084      0.039                      A1390002   55 
      2.135      123.8      1.163      0.046                      A1390002   56 
      2.135      129.8      1.164      0.053                      A1390002   57 
      2.135      136.2      1.311      0.057                      A1390002   58 
      2.135      154.0      1.551      0.071                      A1390002   59 
       2.29       24.6      1.704      0.081                      A1390002   60 
       2.29       42.5      1.510      0.074                      A1390002   61 
       2.29       48.7      1.228      0.067                      A1390002   62 
       2.29       54.0      1.424      0.067                      A1390002   63 
       2.29       59.6      1.237      0.074                      A1390002   64 
       2.29       65.6      1.390      0.064                      A1390002   65 
       2.29       70.9      1.186      0.053                      A1390002   66 
       2.29       76.8      1.237      0.053                      A1390002   67 
       2.29       81.3      1.259      0.060                      A1390002   68 
       2.29       84.8      1.111      0.053                      A1390002   69 
       2.29       86.3      0.885      0.039                      A1390002   70 
       2.29       90.5      1.041      0.056                      A1390002   71 
       2.29       92.9      0.915      0.042                      A1390002   72 
       2.29       96.1      1.092      0.049                      A1390002   73 
       2.29      101.0      1.096      0.049                      A1390002   74 
       2.29      106.4      1.030      0.053                      A1390002   75 
       2.29      112.6      1.092      0.050                      A1390002   76 
       2.29      118.2      1.121      0.049                      A1390002   77 
       2.29      124.8      1.143      0.053                      A1390002   78 
       2.29      130.3      1.020      0.049                      A1390002   79 
       2.29      136.7      1.205      0.060                      A1390002   80 
       2.29      155.5      1.492      0.071                      A1390002   81 
      2.617       25.3      1.544      0.078                      A1390002   82 
      2.617       43.0      1.262      0.053                      A1390002   83 
      2.617       48.8      1.168      0.056                      A1390002   84 
      2.617       55.0      1.243      0.063                      A1390002   85 
      2.617       60.4      1.213      0.067                      A1390002   86 
      2.617       65.9      1.252      0.060                      A1390002   87 
      2.617       71.6      1.215      0.046                      A1390002   88 
      2.617       76.9      1.212      0.056                      A1390002   89 
      2.617       82.4      1.259      0.063                      A1390002   90 
      2.617       85.1      1.129      0.060                      A1390002   91 
      2.617       87.9      0.943      0.046                      A1390002   92 
      2.617       89.8      1.049      0.060                      A1390002   93 
      2.617       92.3      1.029      0.081                      A1390002   94 
      2.617       96.0      1.121      0.070                      A1390002   95 
      2.617      101.0      1.072      0.060                      A1390002   96 
      2.617      107.2      0.989      0.046                      A1390002   97 
      2.617      112.7      1.039      0.056                      A1390002   98 
      2.617      119.4      1.026      0.053                      A1390002   99 
      2.617      124.0      1.013      0.053                      A1390002  100 
      2.617      131.4      1.008      0.049                      A1390002  101 
      2.617      137.1      1.174      0.063                      A1390002  102 
      2.617      154.5      1.300      0.070                      A1390002  103 
      2.788       27.3      1.373      0.067                      A1390002  104 
      2.788       45.4      1.278      0.064                      A1390002  105 
      2.788       50.9      1.074      0.049                      A1390002  106 
      2.788       57.1      1.432      0.064                      A1390002  107 
      2.788       62.0      1.186      0.046                      A1390002  108 
      2.788       68.6      1.296      0.060                      A1390002  109 
      2.788       74.3      1.191      0.053                      A1390002  110 
      2.788       79.6      1.217      0.064                      A1390002  111 
      2.788       85.5      1.275      0.067                      A1390002  112 
      2.788       87.5      1.363      0.060                      A1390002  113 
      2.788       90.6      0.859      0.039                      A1390002  114 
      2.788       92.5      1.025      0.050                      A1390002  115 
      2.788       95.4      1.184      0.060                      A1390002  116 
      2.788       97.5      1.178      0.053                      A1390002  117 
      2.788      103.6      1.143      0.050                      A1390002  118 
      2.788      109.4      1.021      0.060                      A1390002  119 
      2.788      115.2      1.117      0.053                      A1390002  120 
      2.788      121.0      0.967      0.046                      A1390002  121 
      2.788      126.4      1.137      0.053                      A1390002  122 
      2.788      133.0      0.986      0.046                      A1390002  123 
      2.788      139.0      1.178      0.057                      A1390002  124 
      2.788      156.8      1.333      0.067                      A1390002  125 
      2.965       23.6      1.309      0.067                      A1390002  126 
      2.965       42.7      1.242      0.060                      A1390002  127 
      2.965       48.5      1.144      0.053                      A1390002  128 
      2.965       54.4      1.396      0.057                      A1390002  129 
      2.965       60.3      1.192      0.050                      A1390002  130 
      2.965       65.4      1.341      0.067                      A1390002  131 
      2.965       71.8      1.311      0.046                      A1390002  132 
      2.965       76.7      1.315      0.067                      A1390002  133 
      2.965       82.3      1.295      0.053                      A1390002  134 
      2.965       84.0      1.358      0.067                      A1390002  135 
      2.965       87.8      0.907      0.035                      A1390002  136 
      2.965       89.7      1.034      0.050                      A1390002  137 
      2.965       92.3      1.187      0.053                      A1390002  138 
      2.965       94.1      1.166      0.050                      A1390002  139 
      2.965      100.6      1.043      0.050                      A1390002  140 
      2.965      105.8      1.087      0.046                      A1390002  141 
      2.965      111.4      1.059      0.057                      A1390002  142 
      2.965      117.1      1.007      0.057                      A1390002  143 
      2.965      123.6      1.139      0.042                      A1390002  144 
      2.965      129.9      0.956      0.035                      A1390002  145 
      2.965      136.0      1.106      0.046                      A1390002  146 
      2.965      154.9      1.399      0.060                      A1390002  147 
      3.056       23.5      1.261      0.056                      A1390002  148 
      3.056       36.0      1.146      0.053                      A1390002  149 
      3.056       41.8      1.197      0.060                      A1390002  150 
      3.056       47.3      1.113      0.046                      A1390002  151 
      3.056       53.6      1.273      0.064                      A1390002  152 
      3.056       59.8      1.158      0.056                      A1390002  153 
      3.056       65.2      1.303      0.046                      A1390002  154 
      3.056       71.5      1.311      0.053                      A1390002  155 
      3.056       77.1      1.319      0.064                      A1390002  156 
      3.056       81.6      1.327      0.070                      A1390002  157 
      3.056       83.0      1.324      0.056                      A1390002  158 
      3.056       86.9      0.958      0.053                      A1390002  159 
      3.056       88.4      1.081      0.056                      A1390002  160 
      3.056       93.5      1.195      0.060                      A1390002  161 
      3.056       99.7      1.066      0.056                      A1390002  162 
      3.056      104.8      1.144      0.053                      A1390002  163 
      3.056      111.6      1.099      0.053                      A1390002  164 
      3.056      117.0      1.023      0.049                      A1390002  165 
      3.056      123.4      0.985      0.046                      A1390002  166 
      3.056      129.4      0.968      0.042                      A1390002  167 
      3.056      135.5      1.100      0.049                      A1390002  168 
      3.056      142.2      1.224      0.049                      A1390002  169 
      3.056      154.1      1.276      0.060                      A1390002  170 
      3.147       25.9      1.214      0.060                      A1390002  171 
      3.147       37.1      1.191      0.057                      A1390002  172 
      3.147       43.8      1.178      0.050                      A1390002  173 
      3.147       49.8      1.154      0.050                      A1390002  174 
      3.147       56.3      1.308      0.057                      A1390002  175 
      3.147       62.3      1.259      0.060                      A1390002  176 
      3.147       67.9      1.345      0.064                      A1390002  177 
      3.147       73.2      1.257      0.060                      A1390002  178 
      3.147       78.4      1.325      0.057                      A1390002  179 
      3.147       83.5      1.234      0.053                      A1390002  180 
      3.147       85.5      1.302      0.064                      A1390002  181 
      3.147       89.1      0.895      0.043                      A1390002  182 
      3.147       90.3      1.111      0.057                      A1390002  183 
      3.147       94.5      1.137      0.050                      A1390002  184 
      3.147       96.2      1.151      0.060                      A1390002  185 
      3.147      100.5      1.109      0.053                      A1390002  186 
      3.147      106.9      1.022      0.060                      A1390002  187 
      3.147      112.8      1.097      0.057                      A1390002  188 
      3.147      118.5      0.988      0.039                      A1390002  189 
      3.147      124.7      1.085      0.050                      A1390002  190 
      3.147      130.5      0.976      0.046                      A1390002  191 
      3.147      136.7      1.044      0.046                      A1390002  192 
      3.147      143.9      1.237      0.039                      A1390002  193 
      3.147      155.0      1.310      0.053                      A1390002  194 
      3.241       25.1      1.209      0.061                      A1390002  195 
      3.241       37.2      1.136      0.064                      A1390002  196 
      3.241       43.4      1.212      0.061                      A1390002  197 
      3.241       49.4      1.167      0.054                      A1390002  198 
      3.241       55.0      1.200      0.050                      A1390002  199 
      3.241       61.9      1.265      0.064                      A1390002  200 
      3.241       67.4      1.352      0.061                      A1390002  201 
      3.241       72.0      1.364      0.068                      A1390002  202 
      3.241       78.2      1.225      0.054                      A1390002  203 
      3.241       83.1      1.205      0.043                      A1390002  204 
      3.241       84.7      1.348      0.061                      A1390002  205 
