ENTRY            A1209   20250816                             A123A1209000    1 
SUBENT        A1209001   20250816                             A123A1209001    1 
BIB                  8         10                                 A1209001    2 
TITLE      T(p,p)T scattering near the T(p,n)3He threshold        A1209001    3 
AUTHOR     (N.Jarmie,R.C.Allen)                                   A1209001    4 
REFERENCE  (J,PR,114,176,1959)                                    A1209001    5 
INSTITUTE  (1USALAS)                                              A1209001    6 
FACILITY   (VDG,1USALAS) 2.5-MeV electrostatic generator.         A1209001    7 
SAMPLE     A gaseous tritium target                               A1209001    8 
DETECTOR   (MAGSP) 16-in. double-focusing magnetic spectrometer   A1209001    9 
HISTORY    (19830314C) Compilation produced by Arzamas RFNC-VNIIEFA1209001   10 
           (19990305U)CNPD: corrected 4-dig. year and lower cases.A1209001   11 
           (20250816A) SD: Corrections in all Subents.            A1209001   12 
ENDBIB              10          0                                 A1209001   13 
NOCOMMON             0          0                                 A1209001   14 
ENDSUBENT           13          0                                 A120900199999 
SUBENT        A1209002   20250816                             A123A1209002    1 
BIB                  4          5                                 A1209002    2 
REACTION   (1-H-3(P,EL)1-H-3,,DA)                                 A1209002    3 
ERR-ANALYS (DATA-ERR) Relative error (standard deviation)         A1209002    4 
STATUS     (CURVE,,N.Jarmie+,J,PR,114,176,1959) Figures 1,2       A1209002    5 
HISTORY    (20250816A) SD: SF9=EXP deleted from REACTION code.    A1209002    6 
           BIB updated. EN-ERR -> EN-ERR-DIG; EN-ERR1 -> EN-ERR.  A1209002    7 
ENDBIB               5          0                                 A1209002    8 
COMMON               2          3                                 A1209002    9 
EN-ERR-DIG EN-ERR                                                 A1209002   10 
MEV        MEV                                                    A1209002   11 
 0.006      0.05                                                  A1209002   12 
ENDCOMMON            3          0                                 A1209002   13 
DATA                 4         47                                 A1209002   14 
ANG-CM     EN         DATA-CM    DATA-ERR                         A1209002   15 
ADEG       MEV        MB/SR      MB/SR                            A1209002   16 
      58.63      0.704      233.1        7.3                      A1209002   17 
      58.63      0.756      216.3        5.4                      A1209002   18 
      58.63      0.804      199.6        9.0                      A1209002   19 
      58.63      0.852      191.8        7.2                      A1209002   20 
      58.63      0.874      184.4        7.2                      A1209002   21 
      58.63      0.892      186.0        7.2                      A1209002   22 
      58.63      0.914      183.9        9.0                      A1209002   23 
      58.63      0.927      182.0        7.2                      A1209002   24 
      58.63      0.940      178.2        7.2                      A1209002   25 
      58.63      0.954      179.9        1.0                      A1209002   26 
      58.63      0.963      179.8        1.0                      A1209002   27 
      58.63      0.976      179.6        1.0                      A1209002   28 
      58.63      0.980      179.6        1.0                      A1209002   29 
      58.63      0.989      179.5        1.0                      A1209002   30 
      58.63      1.003      177.5        1.0                      A1209002   31 
      58.63      1.016      173.8        1.0                      A1209002   32 
      58.63      1.020      171.9        3.6                      A1209002   33 
      58.63      1.038      168.1        1.0                      A1209002   34 
      58.63      1.041      160.9        3.6                      A1209002   35 
      58.63      1.055      157.2        3.6                      A1209002   36 
      58.63      1.072      149.8        1.0                      A1209002   37 
      58.63      1.094      140.5        1.0                      A1209002   38 
      58.63      1.124      133.0        1.0                      A1209002   39 
      58.63      1.155      132.6        1.0                      A1209002   40 
      58.63      1.200      128.6        1.0                      A1209002   41 
      58.63      1.257      127.9        1.0                      A1209002   42 
      58.63      1.306      121.9        1.0                      A1209002   43 
      58.63      1.355      126.8        1.0                      A1209002   44 
      58.63      1.409      131.6        1.0                      A1209002   45 
      109.5      0.798      214.6        5.4                      A1209002   46 
      109.5      0.852      212.3        3.6                      A1209002   47 
      109.5      0.900      204.8        5.4                      A1209002   48 
      109.5      0.918      204.6        7.2                      A1209002   49 
      109.5      0.940      200.9        7.2                      A1209002   50 
      109.5      0.963      202.5        7.2                      A1209002   51 
      109.5      0.980      197.0        7.2                      A1209002   52 
      109.5      0.998      195.1        7.2                      A1209002   53 
      109.5      1.020      193.1        7.2                      A1209002   54 
      109.5      1.041      178.6        7.2                      A1209002   55 
      109.5      1.054      173.1        1.5                      A1209002   56 
      109.5      1.072      176.6        1.5                      A1209002   57 
      109.5      1.095      176.4        1.5                      A1209002   58 
      109.5      1.148      167.0        1.5                      A1209002   59 
      109.5      1.197      166.6        1.5                      A1209002   60 
      109.5      1.246      164.4        1.5                      A1209002   61 
      109.5      1.299      158.6        1.5                      A1209002   62 
      109.5      1.397      156.1        1.5                      A1209002   63 
ENDDATA             49          0                                 A1209002   64 
ENDSUBENT           63          0                                 A120900299999 
ENDENTRY             2          0                                 A120999999999 
