ENTRY            A0702   20260205                             A131A0702000    1 
SUBENT        A0702001   20260205                             A131A0702001    1 
BIB                 10         17                                 A0702001    2 
TITLE      Complex nuclear-structure phenomena revealed from the  A0702001    3 
           nuclide production in fragmentation reactions          A0702001    4 
REFERENCE  (J,NP/A,733,299,2004)                                  A0702001    5 
           (T,RICCIARDI,200502) The thesis ID "GSI Diss.2005-07"  A0702001    6 
AUTHOR     (M.V.Ricciardi, A.V.Ignatyuk, A.Kelic, P.Napolitani,   A0702001    7 
           F.Rejmund, K.-H.Schmidt, O.Yordanov)                   A0702001    8 
INSTITUTE  (2GERGSI,4RUSFEI,2FR PAR)                              A0702001    9 
FACILITY   (SYNCH,2GERGSI) Synchrotron with fragment separator    A0702001   10 
            (FRS). FRS is a two-stage, high-resolution,           A0702001   11 
           magnetic forward spectrometer.                         A0702001   12 
SAMPLE     A 36 mg/cm2 titanium target                            A0702001   13 
DETECTOR   (MAGSP,MWPC,SCIN)                                      A0702001   14 
METHOD     (TOF)                                                  A0702001   15 
ERR-ANALYS (DATA-ERR) No information about source of uncertainty  A0702001   16 
HISTORY    (20100331C) S.B                                        A0702001   17 
           (20260205U) SD: Small corrections in all Subents.      A0702001   18 
           ERR-T -> DATA-ERR.                                     A0702001   19 
ENDBIB              17          0                                 A0702001   20 
COMMON               1          3                                 A0702001   21 
EN                                                                A0702001   22 
GEV/A                                                             A0702001   23 
         1.                                                       A0702001   24 
ENDCOMMON            3          0                                 A0702001   25 
ENDSUBENT           24          0                                 A070200199999 
SUBENT        A0702002   20260205                             A131A0702002    1 
BIB                  3          3                                 A0702002    2 
REACTION   (22-TI-0(92-U-238,X)ELEM/MASS,,IPA)                    A0702002    3 
STATUS     (TABLE,,M.V.Ricciardi,T,RICCIARDI,200502) Table B.3    A0702002    4 
HISTORY    (20260205U) SD: STATUS updated. ERR-T -> DATA-ERR.     A0702002    5 
ENDBIB               3          0                                 A0702002    6 
COMMON               1          3                                 A0702002    7 
ANG-MAX                                                           A0702002    8 
ARAD                                                              A0702002    9 
     0.015                                                        A0702002   10 
ENDCOMMON            3          0                                 A0702002   11 
DATA                 5        112                                 A0702002   12 
ELEMENT    MASS       DATA       +DATA-ERR  -DATA-ERR             A0702002   13 
NO-DIM     NO-DIM     MB         PER-CENT   PER-CENT              A0702002   14 
7.         14.        2.9        33.        32.                   A0702002   15 
7.         15.        11.        30.        30.                   A0702002   16 
7.         16.        3.2        31.        30.                   A0702002   17 
7.         17.        2.6        32.        31.                   A0702002   18 
7.         18.        0.57       41.        37.                   A0702002   19 
7.         19.        0.17       34.        33.                   A0702002   20 
8.         15.        0.30       62.        47.                   A0702002   21 
8.         16.        7.6        31.        31.                   A0702002   22 
8.         17.        5.7        30.        30.                   A0702002   23 
8.         18.        8.8        30.        30.                   A0702002   24 
8.         19.        3.4        30.        30.                   A0702002   25 
8.         20.        1.4        35.        34.                   A0702002   26 
8.         21.        0.26       52.        43.                   A0702002   27 
8.         22.        0.12       57.        44.                   A0702002   28 
9.         17.        0.082      56.        43.                   A0702002   29 
9.         18.        1.4        39.        36.                   A0702002   30 
9.         19.        5.7        30.        30.                   A0702002   31 
9.         20.        7.6        33.        32.                   A0702002   32 
9.         21.        5.2        30.        30.                   A0702002   33 
9.         22.        1.4        40.        37.                   A0702002   34 
9.         23.        0.64       40.        36.                   A0702002   35 
9.         24.        0.067      92.        64.                   A0702002   36 
10.        20.        1.9        39.        36.                   A0702002   37 
10.        21.        5.9        29.        29.                   A0702002   38 
10.        22.        8.3        32.        31.                   A0702002   39 
10.        23.        3.4        31.        31.                   A0702002   40 
10.        24.        2.0        33.        33.                   A0702002   41 
10.        25.        0.29       64.        50.                   A0702002   42 
10.        26.        0.072      71.        48.                   A0702002   43 
11.        21.        0.085      60.        45.                   A0702002   44 
11.        22.        1.2        51.        41.                   A0702002   45 
11.        23.        6.7        30.        29.                   A0702002   46 
11.        24.        5.5        32.        31.                   A0702002   47 
11.        25.        5.8        32.        30.                   A0702002   48 
11.        26.        1.8        33.        33.                   A0702002   49 
11.        28.        0.14       98.        63.                   A0702002   50 
12.        23.        0.053      73.        49.                   A0702002   51 
12.        24.        1.4        30.        29.                   A0702002   52 
12.        25.        5.3        30.        30.                   A0702002   53 
12.        26.        7.2        30.        30.                   A0702002   54 
12.        27.        5.0        37.        35.                   A0702002   55 
12.        28.        2.5        36.        34.                   A0702002   56 
12.        29.        0.40       58.        44.                   A0702002   57 
12.        30.        0.20       127.       83.                   A0702002   58 
13.        25.        0.13       127.       79.                   A0702002   59 
13.        26.        0.42       33.        31.                   A0702002   60 
13.        27.        5.5        30.        30.                   A0702002   61 
13.        28.        5.0        30.        30.                   A0702002   62 
13.        29.        5.5        40.        36.                   A0702002   63 
13.        30.        2.2        36.        34.                   A0702002   64 
13.        31.        1.0        99.        69.                   A0702002   65 
14.        28.        0.81       30.        30.                   A0702002   66 
14.        29.        4.0        33.        33.                   A0702002   67 
