ENTRY            A0702   20260205                             A131A0702000    1 
SUBENT        A0702001   20260205                             A131A0702001    1 
BIB                 10         17                                 A0702001    2 
TITLE      Complex nuclear-structure phenomena revealed from the  A0702001    3 
           nuclide production in fragmentation reactions          A0702001    4 
REFERENCE  (J,NP/A,733,299,2004)                                  A0702001    5 
           (T,RICCIARDI,200502) The thesis ID "GSI Diss.2005-07"  A0702001    6 
AUTHOR     (M.V.Ricciardi, A.V.Ignatyuk, A.Kelic, P.Napolitani,   A0702001    7 
           F.Rejmund, K.-H.Schmidt, O.Yordanov)                   A0702001    8 
INSTITUTE  (2GERGSI,4RUSFEI,2FR PAR)                              A0702001    9 
FACILITY   (SYNCH,2GERGSI) Synchrotron with fragment separator    A0702001   10 
            (FRS). FRS is a two-stage, high-resolution,           A0702001   11 
           magnetic forward spectrometer.                         A0702001   12 
SAMPLE     A 36 mg/cm2 titanium target                            A0702001   13 
DETECTOR   (MAGSP,MWPC,SCIN)                                      A0702001   14 
METHOD     (TOF)                                                  A0702001   15 
ERR-ANALYS (DATA-ERR) No information about source of uncertainty  A0702001   16 
HISTORY    (20100331C) S.B                                        A0702001   17 
           (20260205U) SD: Small corrections in all Subents.      A0702001   18 
           ERR-T -> DATA-ERR.                                     A0702001   19 
ENDBIB              17          0                                 A0702001   20 
COMMON               1          3                                 A0702001   21 
EN                                                                A0702001   22 
GEV/A                                                             A0702001   23 
         1.                                                       A0702001   24 
ENDCOMMON            3          0                                 A0702001   25 
ENDSUBENT           24          0                                 A070200199999 
SUBENT        A0702002   20260205                             A131A0702002    1 
BIB                  3          3                                 A0702002    2 
REACTION   (22-TI-0(92-U-238,X)ELEM/MASS,,IPA)                    A0702002    3 
STATUS     (TABLE,,M.V.Ricciardi,T,RICCIARDI,200502) Table B.3    A0702002    4 
HISTORY    (20260205U) SD: STATUS updated. ERR-T -> DATA-ERR.     A0702002    5 
ENDBIB               3          0                                 A0702002    6 
COMMON               1          3                                 A0702002    7 
ANG-MAX                                                           A0702002    8 
ARAD                                                              A0702002    9 
     0.015                                                        A0702002   10 
ENDCOMMON            3          0                                 A0702002   11 
DATA                 5        112                                 A0702002   12 
ELEMENT    MASS       DATA       +DATA-ERR  -DATA-ERR             A0702002   13 
14.        30.        6.5        31.        30.                   A0702002   68 
14.        31.        4.5        43.        37.                   A0702002   69 
14.        32.        2.9        31.        30.                   A0702002   70 
14.        33.        0.67       44.        39.                   A0702002   71 
14.        34.        0.21       44.        38.                   A0702002   72 
15.        30.        0.14       41.        36.                   A0702002   73 
15.        31.        3.0        33.        32.                   A0702002   74 
15.        32.        4.5        30.        30.                   A0702002   75 
15.        33.        4.2        45.        39.                   A0702002   76 
15.        34.        2.8        36.        34.                   A0702002   77 
15.        35.        1.4        33.        33.                   A0702002   78 
15.        36.        0.30       97.        81.                   A0702002   79 
16.        32.        0.16       47.        39.                   A0702002   80 
16.        33.        2.0        36.        33.                   A0702002   81 
16.        34.        4.9        30.        30.                   A0702002   82 
16.        35.        3.7        43.        37.                   A0702002   83 
16.        36.        3.7        38.        35.                   A0702002   84 
16.        37.        1.5        33.        32.                   A0702002   85 
16.        38.        0.54       62.        46.                   A0702002   86 
16.        39.        0.19       63.        46.                   A0702002   87 
17.        34.        0.061      92.        62.                   A0702002   88 
17.        35.        1.2        61.        46.                   A0702002   89 
17.        36.        3.6        31.        30.                   A0702002   90 
17.        37.        4.0        37.        34.                   A0702002   91 
17.        38.        2.7        30.        30.                   A0702002   92 
17.        39.        2.2        36.        34.                   A0702002   93 
17.        40.        0.67       51.        42.                   A0702002   94 
17.        41.        0.11       58.        44.                   A0702002   95 
18.        36.        0.087      85.        53.                   A0702002   96 
18.        37.        0.85       55.        44.                   A0702002   97 
18.        38.        3.3        31.        31.                   A0702002   98 
18.        39.        3.2        38.        35.                   A0702002   99 
18.        40.        2.3        30.        30.                   A0702002  100 
18.        41.        2.6        32.        32.                   A0702002  101 
18.        42.        1.2        34.        33.                   A0702002  102 
18.        43.        0.23       33.        31.                   A0702002  103 
19.        39.        0.54       56.        46.                   A0702002  104 
19.        40.        2.5        33.        32.                   A0702002  105 
19.        41.        3.2        38.        35.                   A0702002  106 
19.        42.        2.6        30.        30.                   A0702002  107 
19.        43.        2.9        37.        34.                   A0702002  108 
19.        44.        1.36       33.        33.                   A0702002  109 
19.        45.        0.49       83.        53.                   A0702002  110 
20.        41.        0.42       56.        46.                   A0702002  111 
20.        42.        2.3        32.        31.                   A0702002  112 
20.        43.        3.1        37.        34.                   A0702002  113 
20.        44.        2.2        31.        30.                   A0702002  114 
20.        45.        3.31       41.        37.                   A0702002  115 
20.        46.        1.5        33.        32.                   A0702002  116 
20.        47.        0.52       46.        40.                   A0702002  117 
20.        48.        0.089      51.        41.                   A0702002  118 
21.        43.        0.20       45.        38.                   A0702002  119 
21.        44.        1.6        38.        35.                   A0702002  120 
21.        45.        3.3        34.        32.                   A0702002  121 
21.        46.        2.5        29.        29.                   A0702002  122 
21.        47.        2.6        30.        30.                   A0702002  123 
21.        48.        1.9        34.        33.                   A0702002  124 
21.        49.        0.61       36.        34.                   A0702002  125 
21.        50.        0.10       30.        30.                   A0702002  126 
ENDDATA            114          0                                 A0702002  127 
ENDSUBENT          126          0                                 A070200299999 
SUBENT        A0702003   20260205                             A131A0702003    1 
BIB                  4          8                                 A0702003    2 
REACTION   (22-TI-0(92-U-238,X)ELEM/MASS,,SIG)                    A0702003    3 
ANALYSIS   (INTAD) Because forward component of the fission-like  A0702003    4 
           process could not be observed directly, specific       A0702003    5 
           assumptions were needed to deduce the cross sections.  A0702003    6 
           See sect. 2.6.6 of the thesis.                         A0702003    7 
STATUS     (TABLE,,M.V.Ricciardi,T,RICCIARDI,200502) Table B.4    A0702003    8 
           (DEP,A0702002)                                         A0702003    9 
HISTORY    (20260205U) SD: STATUS updated. ERR-T -> DATA-ERR.     A0702003   10 
ENDBIB               8          0                                 A0702003   11 
NOCOMMON             0          0                                 A0702003   12 
DATA                 5        112                                 A0702003   13 
ELEMENT    MASS       DATA       +DATA-ERR  -DATA-ERR             A0702003   14 
NO-DIM     NO-DIM     MB         PER-CENT   PER-CENT              A0702003   15 
7.         14.        7.7        65.        65.                   A0702003   16 
7.         15.        37.        64.        64.                   A0702003   17 
7.         16.        11.        64.        64.                   A0702003   18 
7.         17.        8.5        65.        65.                   A0702003   19 
7.         18.        1.6        68.        67.                   A0702003   20 
7.         19.        0.86       67.        66.                   A0702003   21 
8.         15.        0.97       50.        49.                   A0702003   22 
8.         16.        24.        46.        46.                   A0702003   23 
8.         17.        19.        46.        46.                   A0702003   24 
8.         18.        31.        46.        46.                   A0702003   25 
8.         19.        11.        46.        46.                   A0702003   26 
8.         20.        4.8        47.        47.                   A0702003   27 
8.         21.        0.64       54.        51.                   A0702003   28 
8.         22.        0.58       67.        57.                   A0702003   29 
9.         17.        0.33       63.        53.                   A0702003   30 
9.         18.        4.0        43.        43.                   A0702003   31 
9.         19.        18.        42.        42.                   A0702003   32 
9.         20.        25.        42.        42.                   A0702003   33 
9.         21.        17.        42.        42.                   A0702003   34 
9.         22.        4.5        45.        44.                   A0702003   35 
9.         23.        1.9        45.        44.                   A0702003   36 
9.         24.        0.24       97.        71.                   A0702003   37 
10.        20.        5.2        42.        42.                   A0702003   38 
10.        21.        18.        41.        41.                   A0702003   39 
10.        22.        25.        41.        41.                   A0702003   40 
10.        23.        12.        41.        41.                   A0702003   41 
10.        24.        6.2        42.        42.                   A0702003   42 
10.        25.        0.71       61.        51.                   A0702003   43 
10.        26.        0.26       77.        57.                   A0702003   44 
11.        21.        0.28       66.        51.                   A0702003   45 
11.        22.        2.8        40.        39.                   A0702003   46 
11.        23.        20.        38.        38.                   A0702003   47 
11.        24.        15.        39.        39.                   A0702003   48 
11.        25.        17.        39.        38.                   A0702003   49 
11.        26.        5.1        39.        39.                   A0702003   50 
11.        28.        0.22       89.        59.                   A0702003   51 
12.        23.        0.17       74.        50.                   A0702003   52 
12.        24.        4.7        32.        31.                   A0702003   53 
12.        25.        15.        30.        30.                   A0702003   54 
12.        26.        19.        31.        31.                   A0702003   55 
12.        27.        14.        31.        31.                   A0702003   56 
12.        28.        7.3        32.        32.                   A0702003   57 
12.        29.        1.4        59.        45.                   A0702003   58 
12.        30.        0.49       93.        64.                   A0702003   59 
13.        25.        0.18       93.        59.                   A0702003   60 
13.        26.        1.3        34.        32.                   A0702003   61 
13.        27.        14.        30.        30.                   A0702003   62 
13.        28.        12.        30.        30.                   A0702003   63 
13.        29.        15.        30.        30.                   A0702003   64 
13.        30.        5.6        31.        31.                   A0702003   65 
13.        31.        2.9        93.        64.                   A0702003   66 
14.        28.        2.4        30.        29.                   A0702003   67 
14.        29.        10.        29.        29.                   A0702003   68 
14.        30.        16.        29.        29.                   A0702003   69 
14.        31.        11.        29.        29.                   A0702003   70 
14.        32.        7.1        29.        28.                   A0702003   71 
14.        33.        1.8        30.        30.                   A0702003   72 
14.        34.        0.63       44.        37.                   A0702003   73 
15.        30.        0.39       40.        35.                   A0702003   74 
15.        31.        7.2        28.        28.                   A0702003   75 
15.        32.        10.        28.        28.                   A0702003   76 
15.        33.        9.6        28.        28.                   A0702003   77 
15.        34.        6.4        28.        28.                   A0702003   78 
15.        35.        3.4        28.        28.                   A0702003   79 
15.        36.        0.64       41.        36.                   A0702003   80 
16.        32.        0.42       46.        38.                   A0702003   81 
16.        33.        4.4        27.        27.                   A0702003   82 
16.        34.        11.        27.        27.                   A0702003   83 
16.        35.        8.4        27.        27.                   A0702003   84 
16.        36.        7.8        27.        27.                   A0702003   85 
16.        37.        3.2        27.        27.                   A0702003   86 
16.        38.        1.2        30.        29.                   A0702003   87 
16.        39.        0.49       62.        44.                   A0702003   88 
17.        34.        0.13       91.        61.                   A0702003   89 
17.        35.        2.4        31.        29.                   A0702003   90 
17.        36.        7.4        26.        26.                   A0702003   91 
17.        37.        8.3        26.        26.                   A0702003   92 
17.        38.        6.5        28.        27.                   A0702003   93 
17.        39.        4.6        26.        26.                   A0702003   94 
17.        40.        1.5        28.        27.                   A0702003   95 
17.        41.        0.25       56.        42.                   A0702003   96 
18.        36.        0.17       84.        50.                   A0702003   97 
18.        37.        1.7        27.        26.                   A0702003   98 
18.        38.        6.7        24.        24.                   A0702003   99 
18.        39.        6.5        24.        24.                   A0702003  100 
18.        40.        5.1        26.        25.                   A0702003  101 
18.        41.        5.0        24.        24.                   A0702003  102 
18.        42.        2.3        24.        24.                   A0702003  103 
18.        43.        0.53       29.        27.                   A0702003  104 
19.        39.        0.92       34.        31.                   A0702003  105 
19.        40.        4.7        25.        25.                   A0702003  106 
19.        41.        6.0        25.        25.                   A0702003  107 
19.        42.        5.6        26.        26.                   A0702003  108 
19.        43.        5.3        25.        25.                   A0702003  109 
19.        44.        2.4        25.        25.                   A0702003  110 
19.        45.        0.91       27.        27.                   A0702003  111 
20.        41.        0.59       38.        33.                   A0702003  112 
20.        42.        4.1        26.        26.                   A0702003  113 
20.        43.        5.7        26.        26.                   A0702003  114 
20.        44.        4.4        28.        27.                   A0702003  115 
20.        45.        5.6        26.        26.                   A0702003  116 
20.        46.        2.8        26.        26.                   A0702003  117 
20.        47.        0.82       27.        27.                   A0702003  118 
20.        48.        0.16       49.        39.                   A0702003  119 
21.        43.        0.39       40.        32.                   A0702003  120 
21.        44.        2.8        22.        21.                   A0702003  121 
21.        45.        5.8        20.        20.                   A0702003  122 
21.        46.        4.8        21.        21.                   A0702003  123 
21.        47.        5.0        23.        22.                   A0702003  124 
21.        48.        3.2        21.        21.                   A0702003  125 
21.        49.        0.99       22.        22.                   A0702003  126 
21.        50.        0.18       22.        22.                   A0702003  127 
ENDDATA            114          0                                 A0702003  128 
ENDSUBENT          127          0                                 A070200399999 
SUBENT        A0702004   20260205                             A131A0702004    1 
BIB                  3          3                                 A0702004    2 
REACTION   (22-TI-0(92-U-238,X)ELEM/MASS,,SIG)                    A0702004    3 
STATUS     (TABLE,,M.V.Ricciardi,T,RICCIARDI,200502) Table B.5    A0702004    4 
HISTORY    (20260205U) SD: STATUS updated. ERR-T -> DATA-ERR.     A0702004    5 
ENDBIB               3          0                                 A0702004    6 
NOCOMMON             0          0                                 A0702004    7 
DATA                 5        132                                 A0702004    8 
ELEMENT    MASS       DATA       +DATA-ERR  -DATA-ERR             A0702004    9 
NO-DIM     NO-DIM     MB         PER-CENT   PER-CENT              A0702004   10 
22.        46.        2.9        23.        23.                   A0702004   11 
22.        47.        4.6        21.        21.                   A0702004   12 
22.        48.        5.3        21.        21.                   A0702004   13 
22.        49.        3.3        23.        22.                   A0702004   14 
22.        50.        3.9        22.        22.                   A0702004   15 
22.        51.        1.2        22.        22.                   A0702004   16 
22.        52.        0.30       27.        25.                   A0702004   17 
23.        47.        0.20       68.        44.                   A0702004   18 
23.        48.        1.7        22.        22.                   A0702004   19 
23.        49.        4.7        21.        21.                   A0702004   20 
23.        50.        4.4        21.        21.                   A0702004   21 
23.        51.        3.5        23.        23.                   A0702004   22 
23.        52.        2.4        31.        28.                   A0702004   23 
23.        53.        1.7        22.        22.                   A0702004   24 
23.        54.        0.42       23.        23.                   A0702004   25 
23.        55.        0.14       40.        33.                   A0702004   26 
24.        49.        0.14       88.        50.                   A0702004   27 
24.        50.        1.3        31.        28.                   A0702004   28 
24.        51.        3.9        21.        21.                   A0702004   29 
24.        52.        4.5        21.        20.                   A0702004   30 
24.        53.        3.2        22.        21.                   A0702004   31 
24.        54.        2.7        24.        23.                   A0702004   32 
24.        55.        1.7        28.        26.                   A0702004   33 
24.        56.        0.83       23.        22.                   A0702004   34 
24.        57.        0.17       33.        29.                   A0702004   35 
25.        51.        0.11       90.        73.                   A0702004   36 
25.        52.        1.0        28.        26.                   A0702004   37 
25.        53.        3.2        21.        21.                   A0702004   38 
25.        54.        4.1        20.        20.                   A0702004   39 
25.        55.        3.1        22.        22.                   A0702004   40 
25.        57.        1.9        26.        25.                   A0702004   41 
25.        58.        0.92       24.        23.                   A0702004   42 
25.        59.        0.38       24.        23.                   A0702004   43 
25.        60.        0.10       43.        34.                   A0702004   44 
26.        54.        0.75       29.        26.                   A0702004   45 
26.        55.        2.5        22.        21.                   A0702004   46 
26.        56.        4.1        21.        21.                   A0702004   47 
26.        57.        3.1        22.        22.                   A0702004   48 
26.        58.        2.3        23.        23.                   A0702004   49 
26.        59.        1.8        33.        29.                   A0702004   50 
26.        60.        1.1        26.        25.                   A0702004   51 
26.        61.        0.47       24.        23.                   A0702004   52 
26.        62.        0.12       65.        43.                   A0702004   53 
27.        56.        0.24       90.        64.                   A0702004   54 
27.        57.        2.0        22.        21.                   A0702004   55 
27.        58.        3.4        21.        21.                   A0702004   56 
27.        59.        3.4        21.        21.                   A0702004   57 
27.        62.        1.5        26.        25.                   A0702004   58 
27.        63.        0.59       25.        24.                   A0702004   59 
27.        64.        0.19       28.        26.                   A0702004   60 
28.        59.        1.3        26.        25.                   A0702004   61 
28.        60.        3.2        21.        21.                   A0702004   62 
28.        61.        3.5        21.        21.                   A0702004   63 
28.        62.        2.6        22.        22.                   A0702004   64 
28.        63.        1.9        27.        25.                   A0702004   65 
28.        64.        1.3        27.        25.                   A0702004   66 
28.        65.        0.93       23.        22.                   A0702004   67 
28.        66.        0.22       27.        25.                   A0702004   68 
29.        61.        0.76       25.        24.                   A0702004   69 
29.        62.        2.2        21.        21.                   A0702004   70 
29.        63.        2.9        21.        21.                   A0702004   71 
29.        64.        2.6        21.        21.                   A0702004   72 
29.        67.        0.92       25.        24.                   A0702004   73 
29.        68.        0.49       25.        24.                   A0702004   74 
29.        69.        0.11       37.        31.                   A0702004   75 
30.        63.        0.73       29.        26.                   A0702004   76 
30.        64.        1.9        23.        22.                   A0702004   77 
30.        65.        3.1        21.        21.                   A0702004   78 
30.        66.        2.5        24.        23.                   A0702004   79 
30.        69.        1.6        27.        25.                   A0702004   80 
30.        70.        0.59       26.        24.                   A0702004   81 
30.        71.        0.17       36.        30.                   A0702004   82 
30.        72.        0.10       38.        32.                   A0702004   83 
31.        66.        1.4        22.        22.                   A0702004   84 
31.        67.        2.6        21.        21.                   A0702004   85 
31.        68.        2.7        21.        21.                   A0702004   86 
31.        69.        2.2        24.        23.                   A0702004   87 
31.        72.        1.3        23.        22.                   A0702004   88 
31.        73.        0.30       26.        24.                   A0702004   89 
31.        74.        0.091      47.        36.                   A0702004   90 
32.        67.        0.23       51.        38.                   A0702004   91 
32.        68.        1.2        24.        23.                   A0702004   92 
32.        69.        2.4        21.        21.                   A0702004   93 
32.        70.        2.8        21.        21.                   A0702004   94 
32.        71.        1.6        27.        25.                   A0702004   95 
32.        73.        1.7        28.        26.                   A0702004   96 
32.        74.        1.2        23.        22.                   A0702004   97 
32.        75.        0.49       26.        24.                   A0702004   98 
32.        76.        0.13       30.        27.                   A0702004   99 
33.        69.        0.075      90.        64.                   A0702004  100 
33.        70.        0.69       28.        26.                   A0702004  101 
33.        71.        2.0        21.        21.                   A0702004  102 
33.        72.        2.9        21.        21.                   A0702004  103 
33.        73.        2.4        27.        22.                   A0702004  104 
33.        74.        2.1        31.        25.                   A0702004  105 
33.        77.        0.82       23.        22.                   A0702004  106 
33.        78.        0.26       26.        25.                   A0702004  107 
33.        80.        0.078      90.        57.                   A0702004  108 
34.        71.        0.069      90.        73.                   A0702004  109 
34.        72.        0.61       26.        25.                   A0702004  110 
34.        73.        1.9        21.        21.                   A0702004  111 
34.        74.        2.6        21.        21.                   A0702004  112 
34.        75.        2.5        21.        21.                   A0702004  113 
34.        79.        0.89       24.        23.                   A0702004  114 
34.        80.        0.34       24.        23.                   A0702004  115 
34.        81.        0.11       37.        31.                   A0702004  116 
35.        74.        0.25       47.        36.                   A0702004  117 
35.        75.        1.3        21.        21.                   A0702004  118 
35.        76.        2.5        21.        21.                   A0702004  119 
35.        77.        2.7        21.        21.                   A0702004  120 
35.        78.        2.0        24.        23.                   A0702004  121 
35.        81.        1.6        24.        23.                   A0702004  122 
35.        82.        0.52       24.        23.                   A0702004  123 
35.        83.        0.18       31.        28.                   A0702004  124 
35.        84.        0.066      63.        42.                   A0702004  125 
36.        76.        0.28       35.        30.                   A0702004  126 
36.        77.        0.99       22.        22.                   A0702004  127 
36.        78.        2.5        21.        21.                   A0702004  128 
36.        79.        2.6        21.        21.                   A0702004  129 
36.        80.        1.9        22.        22.                   A0702004  130 
36.        83.        1.8        28.        26.                   A0702004  131 
36.        84.        0.74       23.        23.                   A0702004  132 
36.        85.        0.32       27.        25.                   A0702004  133 
36.        86.        0.077      58.        40.                   A0702004  134 
37.        79.        0.88       22.        22.                   A0702004  135 
37.        80.        2.0        21.        21.                   A0702004  136 
37.        81.        2.44       21.        21.                   A0702004  137 
37.        82.        1.9        21.        21.                   A0702004  138 
37.        83.        1.7        26.        24.                   A0702004  139 
37.        86.        1.1        23.        23.                   A0702004  140 
37.        87.        0.27       29.        27.                   A0702004  141 
37.        88.        0.15       34.        29.                   A0702004  142 
ENDDATA            134          0                                 A0702004  143 
ENDSUBENT          142          0                                 A070200499999 
ENDENTRY             4          0                                 A070299999999 
