ENTRY            A1539   20260318                             A133A1539000    1 
SUBENT        A1539001   20260318                             A133A1539001    1 
BIB                 10         21                                 A1539001    2 
TITLE      Cross section measurements for the 6Li(p,alpha)3He     A1539001    3 
           reaction in the proton energy range 1.0 - 2.6 MeV      A1539001    4 
AUTHOR     (Chia-Shou Lin,Wan-Shou Hou,Min Wen,Jen-Chang Chou)    A1539001    5 
REFERENCE  (J,NP/A,275,93,1977)                                   A1539001    6 
INSTITUTE  (3CHFSHI)                                              A1539001    7 
FACILITY   (VDG,3CHFSHI)                                          A1539001    8 
SAMPLE     (3-LI-6,ENR=0.9603) Lithium fluoride (96.03% in 6Li)   A1539001    9 
           onto a carbon backing of about 35 ug/cm2. The          A1539001   10 
           thickness of the 6LiF in the targets was 110+-5 ug/cm2 A1539001   11 
METHOD     (COINC,PHD)                                            A1539001   12 
DETECTOR   (SIBAR) 500 um silicon surface barrier detectors       A1539001   13 
ERR-ANALYS (ERR-1) Uncertainty in target thickness                A1539001   14 
           (ERR-2) Errors in current integrator calibration       A1539001   15 
           (ERR-3) Errors in solid angle measurements             A1539001   16 
HISTORY    (19800820C) Compilation produced by RFNC-VNIIEF Sarov  A1539001   17 
           (19990323U)CNPD: corrected 4-dig. year and lower cases.A1539001   18 
           (20130130A) Missing value was added in Sub.004 for     A1539001   19 
           Data-section-SB                                        A1539001   20 
           (20180429A) SD: REACTION code corrected in Subents     A1539001   21 
           002,003. BIB, ERR-ANALYS were updated.                 A1539001   22 
           (20260318U) SD: Small corrections in all Subents.      A1539001   23 
ENDBIB              21          0                                 A1539001   24 
COMMON               3          3                                 A1539001   25 
ERR-1      ERR-2      ERR-3                                       A1539001   26 
PER-CENT   PER-CENT   PER-CENT                                    A1539001   27 
  8.0       4.0         3.0                                       A1539001   28 
ENDCOMMON            3          0                                 A1539001   29 
ENDSUBENT           28          0                                 A153900199999 
SUBENT        A1539002   20260318                             A133A1539002    1 
BIB                  4          8                                 A1539002    2 
REACTION   (3-LI-6(P,HE3)2-HE-4,,DA,A)                            A1539002    3 
ERR-ANALYS (ERR-T) Error in absolute differential cross sect.     A1539002    4 
           (ERR-S,,3.) Statistical error                          A1539002    5 
STATUS     (CURVE,,Chia-Shou Lin+,J,NP/A,275,93,1977) Fig 4a,4b   A1539002    6 
HISTORY    (20180429A) SD: SF7=A was added to REACTION code       A1539002    7 
           according to comment from Dr. I.Thompson (2018-04-23). A1539002    8 
           ANG-ERR -> ANG-ERR-D; DATA-ERR -> ERR-T.               A1539002    9 
           (20260318U) SD: STATUS updated.                        A1539002   10 
ENDBIB               8          0                                 A1539002   11 
COMMON               1          3                                 A1539002   12 
ANG-ERR-D                                                         A1539002   13 
ADEG                                                              A1539002   14 
      1.5                                                         A1539002   15 
ENDCOMMON            3          0                                 A1539002   16 
DATA                 4        260                                 A1539002   17 
EN         ANG-CM     DATA-CM    ERR-T                            A1539002   18 
MEV        ADEG       MB/SR      MB/SR                            A1539002   19 
         1.       23.8  3.118E+00  9.400E-02                      A1539002   20 
         1.       35.2  3.855E+00  1.163E-01                      A1539002   21 
         1.       48.6  4.770E+00  1.439E-01                      A1539002   22 
         1.       59.0  5.392E+00  1.626E-01                      A1539002   23 
         1.       70.4  6.282E+00  1.895E-01                      A1539002   24 
         1.       78.6  7.758E+00  2.340E-01                      A1539002   25 
         1.       91.0  9.315E+00  2.809E-01                      A1539002   26 
         1.      102.5  9.636E+00  2.906E-01                      A1539002   27 
         1.      112.9  9.965E+00  3.005E-01                      A1539002   28 
         1.      123.2  1.030E+01  3.108E-01                      A1539002   29 
         1.      134.7  1.066E+01  3.215E-01                      A1539002   30 
         1.      146.1  1.009E+01  3.042E-01                      A1539002   31 
         1.      157.6  9.266E+00  2.795E-01                      A1539002   32 
        1.2       24.0  2.706E+00  8.210E-02                      A1539002   33 
        1.2       35.4  3.156E+00  9.580E-02                      A1539002   34 
        1.2       47.7  4.964E+00  1.507E-01                      A1539002   35 
        1.2       60.1  5.967E+00  1.811E-01                      A1539002   36 
        1.2       70.5  7.385E+00  2.242E-01                      A1539002   37 
        1.2       79.8  8.605E+00  2.612E-01                      A1539002   38 
        1.2       90.1  9.736E+00  2.955E-01                      A1539002   39 
        1.2      101.5  1.038E+01  3.151E-01                      A1539002   40 
        1.2      111.9  1.106E+01  3.358E-01                      A1539002   41 
        1.2      123.4  1.111E+01  3.372E-01                      A1539002   42 
        1.2      133.8  1.050E+01  3.188E-01                      A1539002   43 
        1.2      144.2  9.932E+00  3.015E-01                      A1539002   44 
        1.2      156.7  1.125E+01  3.413E-01                      A1539002   45 
        1.4       23.1  2.672E+00  8.000E-02                      A1539002   46 
        1.4       35.5  3.713E+00  1.112E-01                      A1539002   47 
        1.4       47.8  5.474E+00  1.640E-01                      A1539002   48 
        1.4       60.3  6.565E+00  1.966E-01                      A1539002   49 
        1.4       71.6  8.598E+00  2.575E-01                      A1539002   50 
        1.4       80.9  9.426E+00  2.823E-01                      A1539002   51 
        1.4       91.2  1.129E+01  3.383E-01                      A1539002   52 
        1.4      102.7  1.203E+01  3.604E-01                      A1539002   53 
        1.4      111.0  1.243E+01  3.723E-01                      A1539002   54 
        1.4      122.4  1.208E+01  3.739E-01                      A1539002   55 
        1.4      132.8  1.200E+01  3.865E-01                      A1539002   56 
        1.4      144.3  1.222E+01  3.659E-01                      A1539002   57 
        1.4      155.7  1.422E+01  4.259E-01                      A1539002   58 
        1.5       24.2  3.809E+00  1.141E-01                      A1539002   59 
        1.5       35.5  4.988E+00  1.494E-01                      A1539002   60 
        1.5       47.9  6.346E+00  1.901E-01                      A1539002   61 
        1.5       59.4  6.372E+00  1.909E-01                      A1539002   62 
