ENTRY            A1397   20260219                             A133A1397000    1 
SUBENT        A1397001   20260219                             A133A1397001    1 
BIB                 11         29                                 A1397001    2 
TITLE      Structure of 7Be.                                      A1397001    3 
            (I) The 6Li(p,p')6Li* reaction                        A1397001    4 
AUTHOR     (W.D.Harrison)                                         A1397001    5 
REFERENCE  (J,NP/A,92,253,1967)                                   A1397001    6 
           (T,HARRISON,1966) - Tables; technical details          A1397001    7 
REL-REF    (O,C1003001,W.D.Harrison+,J,PR,132,2607,1963) - ElasticA1397001    8 
           scattering of protons by Li6 (same data in Table 1 of  A1397001    9 
           thesis)                                                A1397001   10 
           (O,A1230001,W.D.Harrison+,J,NP/A,92,260,1967) -        A1397001   11 
            (II) The 6Li(p,p")6Li** and 4He(3He,p")6Li** reactionsA1397001   12 
INSTITUTE  (1USACAL)                                              A1397001   13 
FACILITY   (VDGT,1USACAL) ONR-CIT                                 A1397001   14 
SAMPLE     (3-LI-6,ENR=0.99) Targets of 6Li (isotopic abundance   A1397001   15 
           99%) with the thickness from 70 to 300 ug/cm2 were     A1397001   16 
           evaporated in situ on 500 Angstr. thick nickel foils.  A1397001   17 
           These were mounted over 7.9-mm diameter holes punched  A1397001   18 
           in 0.18-mm thick tantalum.                             A1397001   19 
DETECTOR   (SIBAR) Two silicon surface-barrier detectors, each    A1397001   20 
           with a resolution of about 40 to 50 keV, were used.    A1397001   21 
           One at a fixed angle as a target monitor.              A1397001   22 
MONITOR    (3-LI-6(P,EL)3-LI-6,,DA)                               A1397001   23 
MONIT-REF  (C1003001,W.D.Harrison+,J,PR,132,2607,1963)            A1397001   24 
HISTORY    (19820507C) Compilation produced by Arzamas RFNC-VNIIEFA1397001   25 
           (19990317U)CNPD: corrected 4-dig. year and lower cases.A1397001   26 
           (20250916A) SD: Corrections in all Subents.            A1397001   27 
           (20260219A) SD: The digitized data were replaced with  A1397001   28 
           tabulated data from thesis. Corrections in all Subents.A1397001   29 
           SF3=INL -> EL; SF5=PAR deleted from MONITOR reaction inA1397001   30 
           Subent 001.                                            A1397001   31 
ENDBIB              29          0                                 A1397001   32 
NOCOMMON             0          0                                 A1397001   33 
ENDSUBENT           32          0                                 A139700199999 
SUBENT        A1397002   20260219                             A133A1397002    1 
BIB                  4         12                                 A1397002    2 
REACTION   (3-LI-6(P,INL)3-LI-6,PAR,DA)                           A1397002    3 
ERR-ANALYS (ERR-1) The standard error in the normalization        A1397002    4 
           (ERR-2) Systematic errors caused by geometrical        A1397002    5 
           inaccuracies in the scattering chamber, and in some    A1397002    6 
           cases, by relative normalization errors in data taken  A1397002    7 
           with different targets.                                A1397002    8 
STATUS     (TABLE,,W.D.Harrison,T,HARRISON,1967) Table 2 (part    A1397002    9 
           of data presented on fig.2 of NP/A,92,253,1967)        A1397002   10 
HISTORY    (20250916A) SD: SF9=EXP deleted from REACTION code.    A1397002   11 
           STATUS updated. COS-ERR->COS-ERR-D.                    A1397002   12 
           (20260219A) SD: BIB updated. The digitized data were   A1397002   13 
           replaced with tabulated data from thesis.              A1397002   14 
ENDBIB              12          0                                 A1397002   15 
COMMON               1          3                                 A1397002   16 
E-LVL                                                             A1397002   17 
MEV                                                               A1397002   18 
      2.184                                                       A1397002   19 
ENDCOMMON            3          0                                 A1397002   20 
DATA                 5        240                                 A1397002   21 
EN         ANG        DATA-CM    ERR-1      ERR-2                 A1397002   22 
       5.00       37.3       7.93       0.28        1.5           A1397002   83 
       5.00       43.7       8.15       0.24        1.5           A1397002   84 
       5.00       49.6       8.38       0.42        1.5           A1397002   85 
       5.00       55.2       9.05       0.23        1.5           A1397002   86 
       5.00       60.6       9.68       0.22        1.5           A1397002   87 
       5.00       65.9       9.83       0.22        1.5           A1397002   88 
       5.00       71.2       9.83       0.22        1.5           A1397002   89 
       5.00       76.6      10.13       0.23        1.5           A1397002   90 
       5.00       80.5       9.63       0.16        1.5           A1397002   91 
       5.00       82.1      10.21       0.21        1.5           A1397002   92 
       5.00       87.8       9.51       0.29        1.5           A1397002   93 
       5.00       93.7       9.61       0.25        1.5           A1397002   94 
       5.00      100.0       9.59       0.24        1.5           A1397002   95 
       5.00      106.8       9.60       0.23        1.5           A1397002   96 
       5.00      114.3       9.13       0.25        1.5           A1397002   97 
       5.00      122.9       9.16       0.24        1.5           A1397002   98 
       5.00      133.1       9.20       0.26        1.5           A1397002   99 
       5.00      146.6       9.05       0.28        1.5           A1397002  100 
       5.00      160.0       9.70       0.39        1.5           A1397002  101 
       5.00      165.0       9.32       0.22        1.5           A1397002  102 
       5.40       21.1      10.16       0.18         3.           A1397002  103 
       5.40       30.2      11.25       0.20         3.           A1397002  104 
       5.40       37.5      11.71       0.19         3.           A1397002  105 
       5.40       49.9      12.22       0.24         3.           A1397002  106 
       5.40       55.5      12.22       0.22         3.           A1397002  107 
       5.40       61.0      12.38       0.25         3.           A1397002  108 
       5.40       66.3      12.61       0.25         3.           A1397002  109 
       5.40       71.7      12.56       0.25         3.           A1397002  110 
       5.40       77.1      12.18       0.24         3.           A1397002  111 
       5.40       82.6      11.96       0.24         3.           A1397002  112 
       5.40       88.3      11.63       0.17         3.           A1397002  113 
       5.40       94.2      11.27       0.25         3.           A1397002  114 
       5.40      100.5      11.04       0.17         3.           A1397002  115 
       5.40      107.4      10.46       0.21         3.           A1397002  116 
       5.40      114.9      10.28       0.23         3.           A1397002  117 
       5.40      123.4       9.78       0.15         3.           A1397002  118 
       5.40      133.6       9.50       0.17         3.           A1397002  119 
       5.40      147.0       9.50       0.24         3.           A1397002  120 
       5.40      165.0       9.39       0.24         3.           A1397002  121 
       5.80       21.2      12.60       0.26        1.5           A1397002  122 
       5.80       30.4      12.84       0.26        1.5           A1397002  123 
       5.80       37.1      13.15       0.26        1.5           A1397002  124 
       5.80       44.2      13.98       0.42        1.5           A1397002  125 
       5.80       50.2      13.12       0.25        1.5           A1397002  126 
       5.80       55.8      13.07       0.21        1.5           A1397002  127 
       5.80       61.3      13.10       0.18        1.5           A1397002  128 
       5.80       66.7      12.80       0.19        1.5           A1397002  129 
       5.80       72.0      12.60       0.25        1.5           A1397002  130 
       5.80       77.5      12.29       0.17        1.5           A1397002  131 
       5.80       80.5      12.22       0.17        1.5           A1397002  132 
       5.80       83.0      12.01       0.24        1.5           A1397002  133 
       5.80       88.6      11.63       0.17        1.5           A1397002  134 
       5.80       94.6      10.98       0.16        1.5           A1397002  135 
       5.80      101.0      10.53       0.16        1.5           A1397002  136 
       5.80      107.8      10.12       0.18        1.5           A1397002  137 
       5.80      115.3       9.52       0.19        1.5           A1397002  138 
       5.80      123.8       9.03       0.18        1.5           A1397002  139 
       5.80      133.9       8.66       0.17        1.5           A1397002  140 
       5.80      147.2       8.10       0.16        1.5           A1397002  141 
