ENTRY            A1253   20250903                             A124A1253000    1 
SUBENT        A1253001   20250903                             A124A1253001    1 
BIB                  7         14                                 A1253001    2 
TITLE      Differential cross sections for scattering of          A1253001    3 
           deuterons by 4He nuclei in the deuteron-energy         A1253001    4 
           region 870 - 1430 keV                                  A1253001    5 
AUTHOR     (I.Ya.Barit,Ju.G.Balashko,L.S.Dulkova,V.P.Zavarzina)   A1253001    6 
REFERENCE  (J,SNP,29,585,1979) English translation                A1253001    7 
           (J,YF,29,1137,1979) on Russian                         A1253001    8 
INSTITUTE  (4RUSJIA)                                              A1253001    9 
FACILITY   (VDG,4RUSJIA)                                          A1253001   10 
SAMPLE     Gas targets- 4He (four series of exp.) and  4He+H.     A1253001   11 
HISTORY    (19881214C) compilation produced by Arzamas RFNC-VNIIEFA1253001   12 
           (19990315U)CNPD: corrected 4-dig. year and lower cases.A1253001   13 
           (20120327A) BIB section updated.                       A1253001   14 
           English translation of 'YF' was added-SB               A1253001   15 
           (20250903A) SD: Corrections in all Subents.            A1253001   16 
ENDBIB              14          0                                 A1253001   17 
NOCOMMON             0          0                                 A1253001   18 
ENDSUBENT           17          0                                 A125300199999 
SUBENT        A1253002   20250903                             A124A1253002    1 
BIB                  4         17                                 A1253002    2 
REACTION   (2-HE-4(D,EL)2-HE-4,,DA)                               A1253002    3 
ERR-ANALYS (ERR-1,1.,10.) The cross sections may contain          A1253002    4 
           systematic errors of -1% for the absolute              A1253002    5 
           measurements and -5-6% for the relative measurements,  A1253002    6 
           due to inaccuracies in determination of the geometric  A1253002    7 
           factors, the measurement of the pressure,              A1253002    8 
           determination of the dp scattering cross section, and  A1253002    9 
           introduction of the correction for decreased           A1253002   10 
           detection efficiency at low energy. For the 125 degr.  A1253002   11 
            (in cm units) scattering angle where the last         A1253002   12 
           correction is large, the systematic error can reach 10%A1253002   13 
           (ERR-S) The rms experimental error was 1-4% except     A1253002   14 
           for individual points where it could reach 8%.         A1253002   15 
STATUS     (CURVE,,I.Ya.Barit+,J,SNP,29,585,1979) Figure 2        A1253002   16 
HISTORY    (20250903A) SD: SF9=EXP deleted from REACTION code.    A1253002   17 
           STATUS updated. DATA-ERR -> ERR-S; ERR-T -> ERR-1;     A1253002   18 
           EN-ERR -> E-ERR-DIG. Units were corrected (mb/sr->b/sr)A1253002   19 
ENDBIB              17          0                                 A1253002   20 
COMMON               1          3                                 A1253002   21 
EN-ERR-DIG                                                        A1253002   22 
MEV                                                               A1253002   23 
  0.001                                                           A1253002   24 
ENDCOMMON            3          0                                 A1253002   25 
DATA                 4        302                                 A1253002   26 
ANG-CM     EN         DATA-CM    ERR-S                            A1253002   27 
ADEG       MEV        B/SR       B/SR                             A1253002   28 
      38.75      0.872  1.233E+00  7.340E-02                      A1253002   29 
      38.75      0.883  1.320E+00  5.870E-02                      A1253002   30 
      38.75      0.884  1.202E+00  4.430E-02                      A1253002   31 
      38.75      0.899  1.229E+00  4.410E-02                      A1253002   32 
      38.75      0.947  1.355E+00  7.360E-02                      A1253002   33 
      38.75      0.953  1.163E+00  5.870E-02                      A1253002   34 
      38.75      0.956  1.090E+00  1.240E-02                      A1253002   35 
      38.75      0.958  1.075E+00  1.322E-01                      A1253002   36 
      38.75      0.962  9.859E-01  4.410E-02                      A1253002   37 
      38.75      0.965  1.030E+00  1.240E-02                      A1253002   38 
      38.75      0.965  1.206E+00  5.890E-02                      A1253002   39 
      38.75      0.973  1.087E+00  5.870E-02                      A1253002   40 
      38.75      0.979  1.057E+00  1.028E-01                      A1253002   41 
      38.75      0.982  1.027E+00  1.240E-02                      A1253002   42 
      38.75      0.985  1.027E+00  1.240E-02                      A1253002   43 
      38.75      0.988  1.056E+00  1.240E-02                      A1253002   44 
      38.75      0.990  1.026E+00  1.240E-02                      A1253002   45 
      38.75      0.994  9.523E-01  8.810E-02                      A1253002   46 
      38.75      0.999  1.010E+00  2.920E-02                      A1253002   47 
      38.75      1.005  9.215E-01  1.240E-02                      A1253002   48 
      38.75      1.007  9.947E-01  1.240E-02                      A1253002   49 
      38.75      1.014  9.496E-01  1.240E-02                      A1253002   50 
      38.75      1.020  9.047E-01  1.240E-02                      A1253002   51 
      38.75      1.025  9.335E-01  5.870E-02                      A1253002   52 
      38.75      1.029  9.182E-01  1.240E-02                      A1253002   53 
      38.75      1.033  9.765E-01  1.240E-02                      A1253002   54 
      38.75      1.036  9.321E-01  1.240E-02                      A1253002   55 
      38.75      1.039  1.020E+00  4.430E-02                      A1253002   56 
      38.75      1.042  1.093E+00  4.410E-02                      A1253002   57 
      38.75      1.045  1.151E+00  1.240E-02                      A1253002   58 
      38.75      1.050  1.092E+00  7.340E-02                      A1253002   59 
      38.75      1.054  1.238E+00  7.360E-02                      A1253002   60 
      38.75      1.055  1.297E+00  1.240E-02                      A1253002   61 
      38.75      1.056  1.399E+00  5.870E-02                      A1253002   62 
      38.75      1.058  1.414E+00  7.320E-02                      A1253002   63 
      38.75      1.063  1.531E+00  4.410E-02                      A1253002   64 
      38.75      1.064  1.707E+00  1.240E-02                      A1253002   65 
      38.75      1.069  1.824E+00  1.240E-02                      A1253002   66 
