ENTRY            A1298   20250912                             A125A1298000    1 
SUBENT        A1298001   20250912                             A125A1298001    1 
BIB                  8         14                                 A1298001    2 
TITLE      The elastic scattering of protons from 3He from 4.5 to A1298001    3 
           11.5 MeV                                               A1298001    4 
AUTHOR     (T.B.Clegg,A.C.L.Barnard,J.B.Swint,J.L.Weil)           A1298001    5 
REFERENCE  (J,NP,50,621,1964)                                     A1298001    6 
INSTITUTE  (1USARIC)                                              A1298001    7 
FACILITY   (VDG,1USARIC)                                          A1298001    8 
SAMPLE     Gas target                                             A1298001    9 
DETECTOR   (SI,SIBAR) Silicon junction and surface-barrier        A1298001   10 
           detectors were used in taking all data except          A1298001   11 
           the 161.2 degr                                         A1298001   12 
           (SCIN) Used for the 161.2 degr.                        A1298001   13 
HISTORY    (19881228C) Compilation produced by Arzamas RFNC-VNIIEFA1298001   14 
           (19990315U)CNPD: corrected 4-dig. year and lower cases.A1298001   15 
           (20250912A) SD: Corrections in all Subents.            A1298001   16 
ENDBIB              14          0                                 A1298001   17 
NOCOMMON             0          0                                 A1298001   18 
ENDSUBENT           17          0                                 A129800199999 
SUBENT        A1298002   20250912                             A125A1298002    1 
BIB                  4          5                                 A1298002    2 
REACTION   (2-HE-3(P,EL)2-HE-3,,DA)                               A1298002    3 
ERR-ANALYS (DATA-ERR) RMS error for angles between 90 and 135 degrA1298002    4 
STATUS     (TABLE,,T.B.Clegg+,J,NP,50,621,1964) Table 1           A1298002    5 
HISTORY    (20250912A) SD: SF9=EXP deleted from REACTION code.    A1298002    6 
           DATA-ERR1, DATA-ERR2 deleted (values moved to DATA-ERR)A1298002    7 
ENDBIB               5          0                                 A1298002    8 
NOCOMMON             0          0                                 A1298002    9 
DATA                 4        167                                 A1298002   10 
EN         ANG-CM     DATA-CM    DATA-ERR                         A1298002   11 
MEV        ADEG       MB/SR      PER-CENT                         A1298002   12 
       4.55      27.64      200.5        2.2                      A1298002   13 
       4.55      31.97      198.2        2.2                      A1298002   14 
       4.55      36.71      205.3        2.2                      A1298002   15 
       4.55      44.85      185.3        2.2                      A1298002   16 
       4.55      54.75      160.3        2.2                      A1298002   17 
       4.55      63.44      134.3        2.2                      A1298002   18 
       4.55      70.13      111.8        2.2                      A1298002   19 
       4.55      76.28      96.00        2.2                      A1298002   20 
       4.55      82.63      80.97        2.2                      A1298002   21 
       4.55      90.00      70.85        2.8                      A1298002   22 
       4.55      96.03      63.36        2.8                      A1298002   23 
       4.55     103.80      66.56        2.8                      A1298002   24 
       4.55     110.55      74.24        2.8                      A1298002   25 
       4.55     116.57      85.96        2.8                      A1298002   26 
       4.55     125.27      111.1        2.8                      A1298002   27 
       4.55     133.48      140.7        2.8                      A1298002   28 
       4.55     140.79      168.7        2.8                      A1298002   29 
       4.55     147.21      195.8        2.2                      A1298002   30 
       4.55     153.90      220.8        2.2                      A1298002   31 
       4.55     162.14      244.5        2.2                      A1298002   32 
       4.55     165.67      252.9        2.2                      A1298002   33 
       4.55     166.59      263.5        2.2                      A1298002   34 
       5.51      27.64      236.5        2.2                      A1298002   35 
       5.51      31.97      243.2        2.2                      A1298002   36 
       5.51      36.71      238.0        2.2                      A1298002   37 
       5.51      44.85      217.1        2.2                      A1298002   38 
       5.51      54.75      183.2        2.2                      A1298002   39 
       5.51      63.44      147.9        2.2                      A1298002   40 
       5.51      70.13      121.9        2.2                      A1298002   41 
       5.51      76.28      100.9        2.2                      A1298002   42 
       5.51      82.63      79.90        2.2                      A1298002   43 
