ENTRY            A0014   20260125                             A129A0014000    1 
SUBENT        A0014001   20260125                             A129A0014001    1 
BIB                 11         31                                 A0014001    2 
TITLE      Investigation of 9Be(t,n)11B reaction for tritium      A0014001    3 
           ions in the energy range 1.1-1.7 MeV                   A0014001    4 
AUTHOR     (K.Malushinska, K.Nedvedyuk, V.I.Salatskii,            A0014001    5 
           I.Kholsvek)                                            A0014001    6 
INSTITUTE  (4ZZZDUB,3POLKPI,3POLLOU)                              A0014001    7 
REFERENCE  (J,APP/B,8,309,1977) main reference.                   A0014001    8 
           (R,JINR-15-9986,1976) The information is identical withA0014001    9 
            Acta Physica Polonica.                                A0014001   10 
           (R,JINR-P15-5148,1970) Prelim. data at Et=1.1 MeV      A0014001   11 
           The results of the present paper have been published   A0014001   12 
           as a single book. (The Higher Pedagogical School,      A0014001   13 
           Kielce, 1978). There are the divergence with the       A0014001   14 
           results of Acta Physica Polonica (comment by           A0014001   15 
           the compiler).                                         A0014001   16 
FACILITY   (VDG,4ZZZDUB)                                          A0014001   17 
SAMPLE     A self-supporting thin beryllium target 8 mm in diam.  A0014001   18 
           Thickness was: (1.2 +/- 0.1) x 10**18 nucl./cm2        A0014001   19 
METHOD     (SITA,EXTB,BCINT) Quantity of tritons were defined     A0014001   20 
           by ion-current measured by means of current            A0014001   21 
           integrator.                                            A0014001   22 
DETECTOR   (PLATE) 20 x 40 mm of the thicknesses 250 and 400 um atA0014001   23 
           the ten angles from 0 to 180 degr.                     A0014001   24 
REL-REF    (A,F0244001,A.K.Val'ter+,J,UFZ,6,457,1961)             A0014001   25 
           (D,A1462005,V.I.Serov+,J,AE,12,5,1962)                 A0014001   26 
STATUS     (APRVD) By V.I.Salatskii                               A0014001   27 
HISTORY    (19780525C)                                            A0014001   28 
           (20080608A) BIB section updated                        A0014001   29 
           (20200611A) SD: Part of the Entry restored from archiveA0014001   30 
           Corrections in all Subents. Author's list corrected.   A0014001   31 
           SAMPLE added.                                          A0014001   32 
           (20260125A) SD: Small corrections in all Subents.      A0014001   33 
ENDBIB              31          0                                 A0014001   34 
COMMON               1          3                                 A0014001   35 
EN-ERR                                                            A0014001   36 
PER-CENT                                                          A0014001   37 
    1.5                                                           A0014001   38 
ENDCOMMON            3          0                                 A0014001   39 
ENDSUBENT           38          0                                 A001400199999 
SUBENT        A0014002   20260125                             A129A0014002    1 
BIB                  4          7                                 A0014002    2 
REACTION   (4-BE-9(T,N)5-B-11,PAR,DA,,LEG/RS)                     A0014002    3 
STATUS     (TABLE,,K.Malushinska+,J,APP/B,8,309,1977) Tbl. I      A0014002    4 
           (DEP,A0014003) Ang. distributions                      A0014002    5 
ERR-ANALYS (DATA-ERR) No information about source of uncertainty  A0014002    6 
HISTORY    (20200611A) SD: STATUS updated. Data were corrected    A0014002    7 
           according to presentation in the table.                A0014002    8 
           (20260125U) SD: STATUS updated. NUMBER-CM -> NUMBER.   A0014002    9 
ENDBIB               7          0                                 A0014002   10 
NOCOMMON             0          0                                 A0014002   11 
DATA                 5        111                                 A0014002   12 
NUMBER     E-LVL      EN         DATA-CM    DATA-ERR              A0014002   13 
NO-DIM     MEV        MEV        NO-DIM     NO-DIM                A0014002   14 
         0.        0.0       1.10    0.03670    0.00160           A0014002   15 
         0.        0.0       1.30    0.03423    0.00177           A0014002   16 
         0.        0.0       1.51    0.03964    0.00191           A0014002   17 
         0.        0.0       1.70    0.03361    0.00164           A0014002   18 
         0.       2.13       1.10    0.03450    0.00160           A0014002   19 
         0.       2.13       1.30    0.03540    0.00165           A0014002   20 
         0.       2.13       1.51    0.04313    0.00203           A0014002   21 
         0.       2.13       1.70    0.03631    0.00173           A0014002   22 
         0.       4.46       1.10    0.02560    0.00160           A0014002   23 
         0.       4.46       1.30    0.02289    0.00213           A0014002   24 
         0.       4.46       1.51    0.02351    0.00193           A0014002   25 
         0.       4.46       1.70    0.02178    0.00195           A0014002   26 
         0.        7.3       1.10    0.06810    0.00280           A0014002   27 
         0.        7.3       1.30    0.06176    0.03440           A0014002   28 
         0.        7.3       1.51    0.04563    0.00311           A0014002   29 
         0.        7.3       1.70    0.05927    0.00479           A0014002   30 
         0.       8.57       1.30    0.10196    0.00453           A0014002   31 
         0.       8.57       1.51    0.07494    0.00461           A0014002   32 
         0.       8.57       1.70    0.08094    0.00501           A0014002   33 
         0.       8.93       1.30    0.04599    0.00422           A0014002   34 
         1.        0.0       1.10   -0.00050    0.00220           A0014002   35 
         1.        0.0       1.30   -0.00247    0.00258           A0014002   36 
         1.        0.0       1.51    0.00143    0.00295           A0014002   37 
         1.        0.0       1.70   -0.00866    0.00245           A0014002   38 
         1.       2.13       1.10   -0.00680    0.00240           A0014002   39 
         1.       2.13       1.30    0.00728    0.00239           A0014002   40 
         1.       2.13       1.51   -0.00640    0.00308           A0014002   41 
         1.       2.13       1.70   -0.00468    0.00273           A0014002   42 
         1.       4.46       1.10   -0.00950    0.00270           A0014002   43 
         1.       4.46       1.30   -0.00414    0.00381           A0014002   44 
         1.       4.46       1.51   -0.00351    0.00299           A0014002   45 
         1.       4.46       1.70    0.01167    0.00340           A0014002   46 
         1.        7.3       1.10    0.00140    0.00420           A0014002   47 
         1.        7.3       1.30   -0.00954    0.00540           A0014002   48 
         1.        7.3       1.51   -0.01525    0.00508           A0014002   49 
         1.        7.3       1.70    0.01667    0.00800           A0014002   50 
         1.       8.57       1.30    0.02139    0.00723           A0014002   51 
         1.       8.57       1.51    0.01584    0.00667           A0014002   52 
         1.       8.57       1.70    0.02090    0.00761           A0014002   53 
         1.       8.93       1.30   -0.00619    0.00740           A0014002   54 
         2.        0.0       1.10   -0.00220    0.00320           A0014002   55 
         2.        0.0       1.30    0.00053    0.00355           A0014002   56 
         2.        0.0       1.51   -0.00101    0.00364           A0014002   57 
         2.        0.0       1.70    0.00201    0.00340           A0014002   58 
         2.       2.13       1.10    0.00410    0.00320           A0014002   59 
         2.       2.13       1.30    0.00109    0.00327           A0014002   60 
         2.       2.13       1.51   -0.00340    0.00381           A0014002   61 
         2.       2.13       1.70   -0.00574    0.00373           A0014002   62 
         2.       4.46       1.10    0.01270    0.00330           A0014002   63 
         2.       4.46       1.30    0.01022    0.00405           A0014002   64 
         2.       4.46       1.51    0.00343    0.00381           A0014002   65 
         2.       4.46       1.70    0.01160    0.00435           A0014002   66 
         2.        7.3       1.10   -0.02260    0.00550           A0014002   67 
         2.        7.3       1.30   -0.02421    0.00646           A0014002   68 
         2.        7.3       1.51   -0.00885    0.00588           A0014002   69 
         2.        7.3       1.70   -0.01061    0.00886           A0014002   70 
         2.       8.57       1.30   -0.02263    0.00885           A0014002   71 
         2.       8.57       1.51   -0.02428    0.00923           A0014002   72 
         2.       8.57       1.70   -0.00323    0.00990           A0014002   73 
         2.       8.93       1.30    0.02305    0.00824           A0014002   74 
         3.        0.0       1.10   -0.00990    0.00310           A0014002   75 
         3.        0.0       1.30    0.00508    0.00411           A0014002   76 
         3.        0.0       1.51   -0.00790    0.00466           A0014002   77 
         3.        0.0       1.70   -0.00790    0.00406           A0014002   78 
         3.       2.13       1.10   -0.00740    0.00380           A0014002   79 
         3.       2.13       1.30   -0.00829    0.00390           A0014002   80 
         3.       2.13       1.51    0.00100    0.00495           A0014002   81 
         3.       2.13       1.70    0.00478    0.00444           A0014002   82 
         3.       4.46       1.10   -0.00320    0.00380           A0014002   83 
         3.       4.46       1.30   -0.01128    0.00533           A0014002   84 
         3.       4.46       1.51   -0.00381    0.00432           A0014002   85 
         3.       4.46       1.70   -0.00935    0.00549           A0014002   86 
         3.        7.3       1.10    0.00020    0.00720           A0014002   87 
         3.        7.3       1.30   -0.00131    0.00742           A0014002   88 
         3.        7.3       1.51    0.00123    0.00797           A0014002   89 
         3.        7.3       1.70   -0.00542    0.01150           A0014002   90 
         3.       8.57       1.30   -0.02430    0.01073           A0014002   91 
         3.       8.57       1.51   -0.02428    0.00947           A0014002   92 
         3.       8.57       1.70   -0.00323    0.01148           A0014002   93 
         3.       8.93       1.30    0.01709    0.01024           A0014002   94 
         4.        0.0       1.10    0.01000    0.00370           A0014002   95 
         4.        0.0       1.30   -0.00138    0.00441           A0014002   96 
         4.        0.0       1.51   -0.00124    0.00523           A0014002   97 
         4.        0.0       1.70    0.00993    0.00432           A0014002   98 
         4.       2.13       1.10    0.00500    0.00390           A0014002   99 
         4.       2.13       1.30   -0.00498    0.00462           A0014002  100 
         4.       2.13       1.51    0.00336    0.00521           A0014002  101 
         4.       2.13       1.70    0.00965    0.00506           A0014002  102 
         4.       4.46       1.10   -0.00040    0.00400           A0014002  103 
         4.       4.46       1.30    0.00202    0.00548           A0014002  104 
         4.       4.46       1.51    0.00722    0.00474           A0014002  105 
         4.       4.46       1.70    0.00747    0.00504           A0014002  106 
         4.        7.3       1.10   -0.00510    0.00690           A0014002  107 
         4.        7.3       1.30    0.00602    0.00818           A0014002  108 
         4.        7.3       1.51    0.00059    0.00789           A0014002  109 
         4.        7.3       1.70    0.01454    0.01446           A0014002  110 
         4.       8.57       1.30    0.00261    0.01174           A0014002  111 
         4.       8.57       1.51   -0.00424    0.01084           A0014002  112 
         4.       8.57       1.70    0.01690    0.01234           A0014002  113 
         4.       8.93       1.30   -0.00858    0.01159           A0014002  114 
         5.        0.0       1.30   -0.00974    0.00474           A0014002  115 
         5.        0.0       1.51   -0.00448    0.00537           A0014002  116 
         5.        0.0       1.70   -0.01000    0.00454           A0014002  117 
         5.       2.13       1.30   -0.00580    0.00435           A0014002  118 
         5.       2.13       1.51    0.00194    0.00640           A0014002  119 
         5.       2.13       1.70    0.01609    0.00558           A0014002  120 
         5.       4.46       1.30    0.00894    0.00681           A0014002  121 
         5.        7.3       1.51   -0.00616    0.00826           A0014002  122 
         5.        7.3       1.70   -0.01789    0.01299           A0014002  123 
         5.       8.57       1.30    0.02129    0.01302           A0014002  124 
         5.       8.93       1.30    0.01258    0.01254           A0014002  125 
ENDDATA            113          0                                 A0014002  126 
ENDSUBENT          125          0                                 A001400299999 
SUBENT        A0014003   20260125                             A129A0014003    1 
BIB                  4          9                                 A0014003    2 
REACTION   (4-BE-9(T,N)5-B-11,PAR,DA)                             A0014003    3 
ERR-ANALYS (ERR-1) Uncertainty due to normalization               A0014003    4 
           (ERR-2) Uncertainties include error in selecting       A0014003    5 
           neutron groups in the spectrum and statistical error.  A0014003    6 
STATUS     (TABLE,,K.Malushinska+,J,APP/B,8,309,1977) Data from   A0014003    7 
           the author (presented on figs 3-6).                    A0014003    8 
HISTORY    (20200611S) SD: Restored from A0014.003-008 in the     A0014003    9 
           RU2002 archive                                         A0014003   10 
           (20260125U) SD: STATUS updated.                        A0014003   11 
ENDBIB               9          0                                 A0014003   12 
COMMON               1          3                                 A0014003   13 
ERR-1                                                             A0014003   14 
PER-CENT                                                          A0014003   15 
    30.                                                           A0014003   16 
ENDCOMMON            3          0                                 A0014003   17 
DATA                 5        200                                 A0014003   18 
E-LVL      EN         ANG-CM     DATA-CM    ERR-2                 A0014003   19 
MEV        MEV        ADEG       MB/SR      MB/SR                 A0014003   20 
         0.       1.10         3.       0.83       0.10           A0014003   21 
         0.       1.10        19.       0.76       0.11           A0014003   22 
         0.       1.10        38.       0.83       0.12           A0014003   23 
         0.       1.10        57.       0.87       0.09           A0014003   24 
         0.       1.10        75.       0.95       0.10           A0014003   25 
         0.       1.10        93.       1.05       0.12           A0014003   26 
         0.       1.10       111.       0.75       0.07           A0014003   27 
         0.       1.10       128.       0.76       0.08           A0014003   28 
         0.       1.10       145.       0.80       0.09           A0014003   29 
         0.       1.10       162.       1.02       0.09           A0014003   30 
         0.       1.30         3.       0.63       0.11           A0014003   31 
         0.       1.30        19.       0.95       0.14           A0014003   32 
