ENTRY            A1357   20260217                             A133A1357000    1 
SUBENT        A1357001   20260217                             A133A1357001    1 
BIB                 10         18                                 A1357001    2 
TITLE      The 6Li(d,alpha)alpha reaction                         A1357001    3 
AUTHOR     (J.M.F.Jeronymo,G.S.Mani,F.Picard,A.Sadeghi)           A1357001    4 
REFERENCE  (J,NP,38,11,1962)                                      A1357001    5 
INSTITUTE  (2FR SAC)                                              A1357001    6 
FACILITY   (VDG,2FR SAC)                                          A1357001    7 
SAMPLE     (3-LI-6,ENR=0.996) The targets were 99.6% enriched     A1357001    8 
           Li6 metal deposited on 10 ug/cm2 carbon backing.       A1357001    9 
METHOD     (PHD)                                                  A1357001   10 
DETECTOR   (SOLST) Excitation curves for 12 angles from 85 to 165 A1357001   11 
           degrees in the lab. system were obtained using solid   A1357001   12 
           state counters.                                        A1357001   13 
           Solid state detector at 90 degr. was used as a monitor A1357001   14 
REL-REF    (M,,J.Jastrzebski+,J,NP,40,400,1963) The scattering    A1357001   15 
                         chamber is described                     A1357001   16 
HISTORY    (19800714C) Compilation produced by Arzamas RFNC-VNIIEFA1357001   17 
           (19990317U)CNPD: corrected 4-dig. year and lower cases.A1357001   18 
           (20210623A) SD: Corrections in all Subents.            A1357001   19 
           (20260217A) SD: Small corrections in all Subents.      A1357001   20 
ENDBIB              18          0                                 A1357001   21 
NOCOMMON             0          0                                 A1357001   22 
ENDSUBENT           21          0                                 A135700199999 
SUBENT        A1357002   20260217                             A133A1357002    1 
BIB                  4         13                                 A1357002    2 
REACTION   (3-LI-6(D,A)2-HE-4,,DA,,REL)                           A1357002    3 
           Values were normalized for target deterioration using  A1357002    4 
           monitor counts                                         A1357002    5 
ERR-ANALYS (DATA-ERR) Total error comprises the counting          A1357002    6 
           statistics of the detector and the monitor and the     A1357002    7 
           experimental errors in charge measurement,             A1357002    8 
           fluctuations in the electronics etc.                   A1357002    9 
STATUS     (CURVE,,J.M.F.Jeronymo+,J,NP,38,11,1962) Fig 1         A1357002   10 
HISTORY    (20210623A) SD: SF9=EXP deleted from REACTION code.    A1357002   11 
           STATUS, ERR-ANALYS updated. Accuracy of digitized      A1357002   12 
           data presentation revised. EN-ERR -> EN-ERR-DIG;       A1357002   13 
           DATA-ERR -> ERR-DIG; ERR-T -> DATA-ERR.                A1357002   14 
           (20260217U) SD: STATUS updated.                        A1357002   15 
ENDBIB              13          0                                 A1357002   16 
COMMON               2          3                                 A1357002   17 
EN-ERR-DIG DATA-ERR                                               A1357002   18 
MEV        PER-CENT                                               A1357002   19 
 0.03        5.                                                   A1357002   20 
ENDCOMMON            3          0                                 A1357002   21 
DATA                 4        304                                 A1357002   22 
ANG        EN         DATA       ERR-DIG                          A1357002   23 
ADEG       MEV        ARB-UNITS  ARB-UNITS                        A1357002   24 
        85.      0.867       8.02       0.11                      A1357002   25 
        85.      1.021       7.58       0.11                      A1357002   26 
        85.      1.173       6.70       0.11                      A1357002   27 
        85.      1.357       6.04       0.11                      A1357002   28 
        85.      1.510       5.38       0.11                      A1357002   29 
        85.      1.694       4.94       0.11                      A1357002   30 
        85.      1.910       4.39       0.11                      A1357002   31 
        85.      2.096       4.39       0.11                      A1357002   32 
        85.      2.312       4.17       0.11                      A1357002   33 
        85.      2.592       4.38       0.11                      A1357002   34 
        85.      2.746       4.16       0.11                      A1357002   35 
        85.      2.841       4.60       0.11                      A1357002   36 
        85.      2.997       4.93       0.11                      A1357002   37 
        85.      3.123       5.70       0.11                      A1357002   38 
        85.      3.249       6.25       0.11                      A1357002   39 
        85.      3.408       7.34       0.11                      A1357002   40 
        85.      3.503       8.00       0.11                      A1357002   41 
        85.      3.690       8.33       0.11                      A1357002   42 
        85.      3.816       8.88       0.11                      A1357002   43 
        85.      3.970       8.66       0.11                      A1357002   44 
        85.      4.092       8.00       0.11                      A1357002   45 
        85.      4.246       7.56       0.11                      A1357002   46 
        85.      4.429       6.68       0.11                      A1357002   47 
        85.      4.583       6.24       0.11                      A1357002   48 
        85.      4.704       5.47       0.11                      A1357002   49 
        85.      4.888       4.70       0.11                      A1357002   50 
        90.      0.866       8.33       0.03                      A1357002   51 
        90.      1.018       7.44       0.03                      A1357002   52 
        90.      1.170       6.55       0.03                      A1357002   53 
        90.      1.355       6.21       0.03                      A1357002   54 
        90.      1.507       5.21       0.03                      A1357002   55 
        90.      1.723       4.77       0.03                      A1357002   56 
        90.      1.908       4.54       0.03                      A1357002   57 
        90.      2.093       4.21       0.03                      A1357002   58 
        90.      2.342       4.32       0.03                      A1357002   59 
        90.      2.590       4.32       0.03                      A1357002   60 
        90.      2.715       4.65       0.03                      A1357002   61 
        90.      2.809       4.98       0.03                      A1357002   62 
        90.      2.965       5.20       0.03                      A1357002   63 
        90.      3.121       5.53       0.03                      A1357002   64 
        90.      3.247       6.20       0.03                      A1357002   65 
        90.      3.375       7.31       0.03                      A1357002   66 
        90.      3.501       8.09       0.03                      A1357002   67 
        90.      3.627       8.53       0.03                      A1357002   68 
        90.      3.782       8.64       0.03                      A1357002   69 
        90.      3.967       8.42       0.03                      A1357002   70 
        90.      4.122       8.30       0.03                      A1357002   71 
        90.      4.273       7.08       0.03                      A1357002   72 
        90.      4.428       6.97       0.03                      A1357002   73 
        90.      4.580       6.08       0.03                      A1357002   74 
        90.      4.733       5.41       0.03                      A1357002   75 
        90.      4.886       4.63       0.03                      A1357002   76 
        95.      0.832       8.11       0.02                      A1357002   77 
        95.      0.985       7.33       0.02                      A1357002   78 
        95.      1.169       6.77       0.02                      A1357002   79 
        95.      1.320       5.32       0.02                      A1357002   80 
        95.      1.506       5.55       0.02                      A1357002   81 
        95.      1.722       5.10       0.02                      A1357002   82 
        95.      1.906       4.43       0.02                      A1357002   83 
        95.      2.124       4.87       0.02                      A1357002   84 
        95.      2.340       4.43       0.02                      A1357002   85 
        95.      2.588       4.43       0.02                      A1357002   86 
        95.      2.713       4.54       0.02                      A1357002   87 
        95.      2.838       4.98       0.02                      A1357002   88 
        95.      2.963       5.20       0.02                      A1357002   89 
        95.      3.058       5.98       0.02                      A1357002   90 
        95.      3.246       6.42       0.02                      A1357002   91 
        95.      3.373       7.42       0.02                      A1357002   92 
        95.      3.500       8.31       0.02                      A1357002   93 
        95.      3.657       8.75       0.02                      A1357002   94 
        95.      3.812       8.97       0.02                      A1357002   95 
        95.      3.966       8.42       0.02                      A1357002   96 
        95.      4.120       8.19       0.02                      A1357002   97 
        95.      4.273       7.64       0.02                      A1357002   98 
        95.      4.457       6.86       0.02                      A1357002   99 
        95.      4.578       6.08       0.02                      A1357002  100 
        95.      4.732       5.74       0.02                      A1357002  101 
        95.      4.886       5.19       0.02                      A1357002  102 
       100.      0.831       8.53       0.11                      A1357002  103 
       100.      0.984       7.74       0.11                      A1357002  104 
       100.      1.135       6.73       0.11                      A1357002  105 
       100.      1.289       6.17       0.11                      A1357002  106 
       100.      1.503       5.38       0.11                      A1357002  107 
       100.      1.689       5.38       0.11                      A1357002  108 
       100.      1.874       4.81       0.11                      A1357002  109 
       100.      2.090       4.47       0.11                      A1357002  110 
       100.      2.276       4.47       0.11                      A1357002  111 
       100.      2.555       4.47       0.11                      A1357002  112 
       100.      2.711       4.69       0.11                      A1357002  113 
       100.      2.836       5.14       0.11                      A1357002  114 
       100.      2.962       5.70       0.11                      A1357002  115 
       100.      3.087       5.93       0.11                      A1357002  116 
       100.      3.244       6.60       0.11                      A1357002  117 
       100.      3.371       7.61       0.11                      A1357002  118 
       100.      3.497       8.29       0.11                      A1357002  119 
       100.      3.624       8.96       0.11                      A1357002  120 
       100.      3.809       8.62       0.11                      A1357002  121 
       100.      3.964       8.85       0.11                      A1357002  122 
       100.      4.086       8.06       0.11                      A1357002  123 
       100.      4.239       7.50       0.11                      A1357002  124 
       100.      4.393       6.93       0.11                      A1357002  125 
       100.      4.546       6.37       0.11                      A1357002  126 
       100.      4.731       5.92       0.11                      A1357002  127 
       105.      0.900       8.20       0.03                      A1357002  128 
       105.      1.052       7.65       0.03                      A1357002  129 
       105.      1.203       6.77       0.03                      A1357002  130 
       105.      1.385       6.11       0.03                      A1357002  131 
       105.      1.598       5.45       0.03                      A1357002  132 
       105.      1.782       5.23       0.03                      A1357002  133 
       105.      1.936       5.34       0.03                      A1357002  134 
       105.      2.181       4.79       0.03                      A1357002  135 
       105.      2.365       4.79       0.03                      A1357002  136 
       105.      2.581       4.79       0.03                      A1357002  137 
       105.      2.765       4.68       0.03                      A1357002  138 
       105.      2.858       5.01       0.03                      A1357002  139 
       105.      3.014       5.44       0.03                      A1357002  140 
       105.      3.107       5.77       0.03                      A1357002  141 
       105.      3.295       6.76       0.03                      A1357002  142 
       105.      3.390       7.53       0.03                      A1357002  143 
       105.      3.514       8.07       0.03                      A1357002  144 
       105.      3.670       8.62       0.03                      A1357002  145 
       105.      3.793       8.62       0.03                      A1357002  146 
       105.      3.977       8.29       0.03                      A1357002  147 
       105.      4.099       8.07       0.03                      A1357002  148 
       105.      4.250       7.19       0.03                      A1357002  149 
       105.      4.403       6.97       0.03                      A1357002  150 
       105.      4.554       5.98       0.03                      A1357002  151 
       105.      4.737       5.54       0.03                      A1357002  152 
       105.      4.920       4.99       0.03                      A1357002  153 
       115.      0.899       8.63       0.03                      A1357002  154 
       115.      1.082       8.07       0.03                      A1357002  155 
       115.      1.233       7.40       0.03                      A1357002  156 
       115.      1.385       6.84       0.03                      A1357002  157 
       115.      1.568       6.18       0.03                      A1357002  158 
       115.      1.782       5.73       0.03                      A1357002  159 
       115.      1.995       5.17       0.03                      A1357002  160 
       115.      2.180       5.17       0.03                      A1357002  161 
       115.      2.395       5.06       0.03                      A1357002  162 
       115.      2.612       5.61       0.03                      A1357002  163 
       115.      2.766       5.61       0.03                      A1357002  164 
       115.      2.890       5.94       0.03                      A1357002  165 
       115.      2.983       6.17       0.03                      A1357002  166 
       115.      3.138       6.61       0.03                      A1357002  167 
       115.      3.294       7.16       0.03                      A1357002  168 
       115.      3.420       7.94       0.03                      A1357002  169 
       115.      3.575       8.27       0.03                      A1357002  170 
       115.      3.669       8.83       0.03                      A1357002  171 
       115.      3.851       8.27       0.03                      A1357002  172 
       115.      3.975       8.49       0.03                      A1357002  173 
       115.      4.127       7.83       0.03                      A1357002  174 
       115.      4.278       7.05       0.03                      A1357002  175 
       115.      4.399       6.38       0.03                      A1357002  176 
       115.      4.551       5.82       0.03                      A1357002  177 
       115.      4.797       5.60       0.03                      A1357002  178 
       115.      4.917       4.82       0.03                      A1357002  179 
       125.      0.866       8.51       0.02                      A1357002  180 
       125.      1.050       8.51       0.02                      A1357002  181 
       125.      1.202       7.85       0.02                      A1357002  182 
       125.      1.385       7.40       0.02                      A1357002  183 
       125.      1.536       6.51       0.02                      A1357002  184 
       125.      1.751       6.18       0.02                      A1357002  185 
       125.      1.965       5.73       0.02                      A1357002  186 
       125.      2.149       5.62       0.02                      A1357002  187 
       125.      2.334       5.73       0.02                      A1357002  188 
       125.      2.611       5.95       0.02                      A1357002  189 
       125.      2.736       6.28       0.02                      A1357002  190 
       125.      2.828       6.39       0.02                      A1357002  191 
       125.      2.983       6.72       0.02                      A1357002  192 
       125.      3.139       7.50       0.02                      A1357002  193 
       125.      3.264       7.94       0.02                      A1357002  194 
       125.      3.388       8.39       0.02                      A1357002  195 
       125.      3.513       8.72       0.02                      A1357002  196 
       125.      3.666       8.72       0.02                      A1357002  197 
       125.      3.851       8.60       0.02                      A1357002  198 
       125.      4.002       7.83       0.02                      A1357002  199 
       125.      4.154       7.16       0.02                      A1357002  200 
       125.      4.305       6.38       0.02                      A1357002  201 
       125.      4.426       5.71       0.02                      A1357002  202 
       125.      4.610       5.38       0.02                      A1357002  203 
       125.      4.762       5.04       0.02                      A1357002  204 
       125.      4.914       4.37       0.02                      A1357002  205 
       130.      0.959       9.41       0.11                      A1357002  206 
       130.      1.049       8.64       0.11                      A1357002  207 
       130.      1.230       7.54       0.11                      A1357002  208 
       130.      1.414       7.43       0.11                      A1357002  209 
       130.      1.598       7.10       0.11                      A1357002  210 
       130.      2.209       5.89       0.11                      A1357002  211 
       130.      2.394       5.89       0.11                      A1357002  212 
       130.      2.640       5.89       0.11                      A1357002  213 
       130.      2.764       6.32       0.11                      A1357002  214 
       130.      3.044       6.98       0.11                      A1357002  215 
       130.      3.138       7.53       0.11                      A1357002  216 
       130.      3.322       7.42       0.11                      A1357002  217 
       130.      3.447       8.07       0.11                      A1357002  218 
       130.      3.572       8.73       0.11                      A1357002  219 
       130.      3.663       8.40       0.11                      A1357002  220 
       130.      3.848       8.29       0.11                      A1357002  221 
       130.      3.998       7.30       0.11                      A1357002  222 
       130.      4.182       6.97       0.11                      A1357002  223 
       130.      4.271       5.87       0.11                      A1357002  224 
       130.      4.423       5.33       0.11                      A1357002  225 
       130.      4.607       5.32       0.11                      A1357002  226 
       135.      0.904       9.60       0.11                      A1357002  227 
       135.      1.088       9.15       0.11                      A1357002  228 
       135.      1.240       8.17       0.11                      A1357002  229 
       135.      1.395       8.16       0.11                      A1357002  230 
       135.      1.640       7.29       0.11                      A1357002  231 
       135.      1.794       6.95       0.11                      A1357002  232 
       135.      1.978       6.30       0.11                      A1357002  233 
       135.      2.195       6.29       0.11                      A1357002  234 
       135.      2.413       6.51       0.11                      A1357002  235 
       135.      2.657       5.08       0.11                      A1357002  236 
       135.      2.755       6.84       0.11                      A1357002  237 
       135.      2.942       6.95       0.11                      A1357002  238 
       135.      3.005       7.50       0.11                      A1357002  239 
       135.      3.193       7.82       0.11                      A1357002  240 
       135.      3.319       8.59       0.11                      A1357002  241 
       135.      3.475       8.92       0.11                      A1357002  242 
       135.      3.568       8.92       0.11                      A1357002  243 
       135.      3.690       8.37       0.11                      A1357002  244 
       135.      3.876       8.15       0.11                      A1357002  245 
       135.      4.029       7.71       0.11                      A1357002  246 
       135.      4.150       6.50       0.11                      A1357002  247 
       135.      4.365       6.06       0.11                      A1357002  248 
       135.      4.487       5.40       0.11                      A1357002  249 
       135.      4.640       4.74       0.11                      A1357002  250 
       135.      4.856       4.30       0.11                      A1357002  251 
       135.      4.979       3.97       0.11                      A1357002  252 
       145.      0.933       9.59       0.11                      A1357002  253 
       145.      1.087       9.47       0.11                      A1357002  254 
       145.      1.272       9.02       0.11                      A1357002  255 
       145.      1.454       7.67       0.11                      A1357002  256 
       145.      1.610       8.01       0.11                      A1357002  257 
       145.      1.825       7.22       0.11                      A1357002  258 
       145.      1.979       6.99       0.11                      A1357002  259 
       145.      2.226       6.65       0.11                      A1357002  260 
       145.      2.414       7.44       0.11                      A1357002  261 
       145.      2.631       7.21       0.11                      A1357002  262 
       145.      2.818       7.55       0.11                      A1357002  263 
       145.      2.913       8.11       0.11                      A1357002  264 
       145.      3.067       7.99       0.11                      A1357002  265 
       145.      3.163       8.78       0.11                      A1357002  266 
       145.      3.318       8.89       0.11                      A1357002  267 
       145.      3.444       9.34       0.11                      A1357002  268 
       145.      3.599       9.45       0.11                      A1357002  269 
       145.      3.692       9.34       0.11                      A1357002  270 
       145.      3.873       7.88       0.11                      A1357002  271 
       145.      4.057       7.20       0.11                      A1357002  272 
       145.      4.179       6.64       0.11                      A1357002  273 
       145.      4.299       5.40       0.11                      A1357002  274 
       145.      4.453       4.84       0.11                      A1357002  275 
       145.      4.636       4.05       0.11                      A1357002  276 
       145.      4.790       3.60       0.11                      A1357002  277 
       145.      4.974       2.92       0.11                      A1357002  278 
       155.      0.901      10.15       0.11                      A1357002  279 
       155.      1.086       9.92       0.11                      A1357002  280 
       155.      1.271       9.37       0.11                      A1357002  281 
       155.      1.394       9.25       0.11                      A1357002  282 
       155.      1.609       8.59       0.11                      A1357002  283 
       155.      1.824       8.03       0.11                      A1357002  284 
       155.      2.043       8.36       0.11                      A1357002  285 
       155.      2.196       7.80       0.11                      A1357002  286 
       155.      2.414       8.25       0.11                      A1357002  287 
       155.      2.663       8.36       0.11                      A1357002  288 
       155.      2.850       8.69       0.11                      A1357002  289 
       155.      3.131       9.24       0.11                      A1357002  290 
       155.      3.350       9.80       0.11                      A1357002  291 
       155.      3.474       9.79       0.11                      A1357002  292 
       155.      3.629       9.79       0.11                      A1357002  293 
       155.      3.750       9.01       0.11                      A1357002  294 
       155.      3.840       8.13       0.11                      A1357002  295 
       155.      4.023       7.12       0.11                      A1357002  296 
       155.      4.113       6.01       0.11                      A1357002  297 
       155.      4.297       5.34       0.11                      A1357002  298 
       155.      4.480       4.57       0.11                      A1357002  299 
       155.      4.633       3.79       0.11                      A1357002  300 
       155.      4.723       2.90       0.11                      A1357002  301 
       155.      4.971       2.78       0.11                      A1357002  302 
       165.      0.932      10.82       0.11                      A1357002  303 
       165.      1.117      10.37       0.11                      A1357002  304 
       165.      1.269       9.47       0.11                      A1357002  305 
       165.      1.455       9.58       0.11                      A1357002  306 
       165.      1.641       9.36       0.11                      A1357002  307 
       165.      1.794       8.68       0.11                      A1357002  308 
       165.      2.042       8.68       0.11                      A1357002  309 
       165.      2.258       8.56       0.11                      A1357002  310 
       165.      2.445       8.79       0.11                      A1357002  311 
       165.      2.724       8.78       0.11                      A1357002  312 
       165.      2.817       8.78       0.11                      A1357002  313 
       165.      2.944       9.57       0.11                      A1357002  314 
       165.      3.099       9.68       0.11                      A1357002  315 
       165.      3.193      10.02       0.11                      A1357002  316 
       165.      3.350      10.47       0.11                      A1357002  317 
       165.      3.442      10.13       0.11                      A1357002  318 
       165.      3.597      10.24       0.11                      A1357002  319 
       165.      3.781       9.68       0.11                      A1357002  320 
       165.      3.933       8.44       0.11                      A1357002  321 
       165.      4.022       7.31       0.11                      A1357002  322 
       165.      4.205       6.30       0.11                      A1357002  323 
       165.      4.387       4.95       0.11                      A1357002  324 
       165.      4.477       4.05       0.11                      A1357002  325 
       165.      4.661       3.60       0.11                      A1357002  326 
       165.      4.814       2.92       0.11                      A1357002  327 
       165.      4.999       2.36       0.11                      A1357002  328 
ENDDATA            306          0                                 A1357002  329 
ENDSUBENT          328          0                                 A135700299999 
SUBENT        A1357003   20260217                             A133A1357003    1 
BIB                  4          9                                 A1357003    2 
REACTION   (3-LI-6(D,A)2-HE-4,,DA,,REL)                           A1357003    3 
           Curves were normalized for target deterioration using  A1357003    4 
           monitor counts                                         A1357003    5 
ERR-ANALYS (DATA-ERR) No information about source of uncertainty. A1357003    6 
STATUS     (CURVE,,J.M.F.Jeronymo+,J,NP,38,11,1962) Fig 2         A1357003    7 
HISTORY    (20210623A) SD: SF9=EXP deleted from REACTION code.    A1357003    8 
           BIB updated. Accuracy of digitized data presentation   A1357003    9 
           revised. ANG-ERR -> ANG-ERR-D.                         A1357003   10 
           (20260217U) SD: STATUS updated.                        A1357003   11 
ENDBIB               9          0                                 A1357003   12 
COMMON               1          3                                 A1357003   13 
ANG-ERR-D                                                         A1357003   14 
ADEG                                                              A1357003   15 
  1.0                                                             A1357003   16 
ENDCOMMON            3          0                                 A1357003   17 
DATA                 4         37                                 A1357003   18 
EN         ANG-CM     DATA-CM    DATA-ERR                         A1357003   19 
MEV        ADEG       ARB-UNITS  ARB-UNITS                        A1357003   20 
      1.076       91.6      0.643      0.024                      A1357003   21 
      1.076       95.5      0.639      0.024                      A1357003   22 
      1.076       99.9      0.644      0.024                      A1357003   23 
      1.076      105.1      0.658      0.024                      A1357003   24 
      1.076      109.4      0.668      0.029                      A1357003   25 
      1.076      119.9      0.707      0.034                      A1357003   26 
      1.076      127.8      0.741      0.044                      A1357003   27 
      1.076      132.2      0.766      0.024                      A1357003   28 
      1.076      135.7      0.800      0.039                      A1357003   29 
      1.076      144.9      0.858      0.034                      A1357003   30 
      1.076      152.7      0.878      0.034                      A1357003   31 
      1.076      161.5      0.941      0.034                      A1357003   32 
      2.196       88.3      0.657      0.010                      A1357003   33 
      2.196       97.9      0.605      0.042                      A1357003   34 
      2.196      100.0      0.760      0.031                      A1357003   35 
      2.196      105.7      0.657      0.031                      A1357003   36 
      2.196      109.6      0.750      0.031                      A1357003   37 
      2.196      119.4      0.832      0.042                      A1357003   38 
      2.196      123.3      0.915      0.021                      A1357003   39 
      2.196      129.1      0.894      0.052                      A1357003   40 
      2.196      131.1      0.977      0.052                      A1357003   41 
      2.196      135.1      1.059      0.041                      A1357003   42 
      2.196      142.9      1.184      0.052                      A1357003   43 
      2.196      148.9      1.339      0.072                      A1357003   44 
      2.196      156.8      1.514      0.062                      A1357003   45 
      4.617       95.8      0.314      0.012                      A1357003   46 
      4.617      100.1      0.307      0.012                      A1357003   47 
      4.617      105.4      0.317      0.017                      A1357003   48 
      4.617      109.7      0.312      0.012                      A1357003   49 
      4.617      114.5      0.305      0.015                      A1357003   50 
      4.617      121.8      0.288      0.012                      A1357003   51 
      4.617      130.0      0.261      0.015                      A1357003   52 
      4.617      134.8      0.247      0.010                      A1357003   53 
      4.617      138.2      0.225      0.012                      A1357003   54 
      4.617      144.2      0.191      0.012                      A1357003   55 
      4.617      151.1      0.157      0.010                      A1357003   56 
      4.617      159.8      0.155      0.012                      A1357003   57 
ENDDATA             39          0                                 A1357003   58 
ENDSUBENT           57          0                                 A135700399999 
SUBENT        A1357004   20260217                             A133A1357004    1 
BIB                  4         11                                 A1357004    2 
REACTION   (3-LI-6(D,A)2-HE-4,,DA,,LEG/RS)                        A1357004    3 
           Form A0(1+A2(x)*P2(x)+A4(P4(x))), where P2(x) and P4(x)A1357004    4 
           are Legendre polynomials of the second and fourth orderA1357004    5 
           and x=cos(theta).                                      A1357004    6 
ERR-ANALYS (DATA-ERR) No information about source of uncertainty. A1357004    7 
STATUS     (CURVE,,J.M.F.Jeronymo+,J,NP,38,11,1962) Fig 3         A1357004    8 
           (DEP,A1357002) Angular distr.                          A1357004    9 
HISTORY    (20210623A) SD: SF7=A and SF9=EXP deleted from         A1357004   10 
           REACTION code. BIB updated. Accuracy of digitized      A1357004   11 
           data presentation revised. EN-ERR -> EN-ERR-DIG.       A1357004   12 
           (20260217A) SD: STATUS updated. NUMBER-CM -> NUMBER.   A1357004   13 
ENDBIB              11          0                                 A1357004   14 
COMMON               1          3                                 A1357004   15 
EN-ERR-DIG                                                        A1357004   16 
MEV                                                               A1357004   17 
 0.01                                                             A1357004   18 
ENDCOMMON            3          0                                 A1357004   19 
DATA                 4         51                                 A1357004   20 
NUMBER     EN         DATA-CM    DATA-ERR                         A1357004   21 
NO-DIM     MEV        NO-DIM     NO-DIM                           A1357004   22 
         2.       0.93      0.219      0.006                      A1357004   23 
         2.       1.08      0.273      0.024                      A1357004   24 
         2.       1.08      0.273      0.030                      A1357004   25 
         2.       1.23      0.338      0.018                      A1357004   26 
         2.       1.39      0.422      0.030                      A1357004   27 
         2.       1.59      0.499      0.024                      A1357004   28 
         2.       1.97      0.590      0.041                      A1357004   29 
         2.       2.20      0.638      0.036                      A1357004   30 
         2.       2.42      0.698      0.030                      A1357004   31 
         2.       2.65      0.646      0.036                      A1357004   32 
         2.       2.78      0.652      0.036                      A1357004   33 
         2.       2.90      0.605      0.024                      A1357004   34 
         2.       3.04      0.564      0.018                      A1357004   35 
         2.       3.16      0.494      0.030                      A1357004   36 
         2.       3.44      0.264      0.024                      A1357004   37 
         2.       3.59      0.176      0.006                      A1357004   38 
         2.       3.70      0.052      0.006                      A1357004   39 
         2.       3.87     -0.058      0.006                      A1357004   40 
         2.       4.00     -0.142      0.006                      A1357004   41 
         2.       4.15     -0.236      0.006                      A1357004   42 
         2.       4.31     -0.295      0.006                      A1357004   43 
         2.       4.46     -0.336      0.006                      A1357004   44 
         2.       4.61     -0.365      0.006                      A1357004   45 
         2.       4.77     -0.405      0.018                      A1357004   46 
         2.       4.94     -0.422      0.024                      A1357004   47 
         4.       0.92      0.021      0.006                      A1357004   48 
         4.       1.07      0.027      0.006                      A1357004   49 
         4.       1.23      0.022      0.006                      A1357004   50 
         4.       1.41      0.053      0.024                      A1357004   51 
         4.       1.60      0.066      0.006                      A1357004   52 
         4.       1.79      0.054      0.006                      A1357004   53 
