ENTRY            A1223   20250825                             A123A1223000    1 
SUBENT        A1223001   20250825                             A123A1223001    1 
BIB                 10         20                                 A1223001    2 
TITLE      Differential cross sections and analyzing powers for   A1223001    3 
           p-d elastic scattering below 1.0 MeV                   A1223001    4 
AUTHOR     (E.Huttel,W.Arnold,H.Berg,H.H.Krause,J.Ulbricht,       A1223001    5 
           G.Clausnitzer)                                         A1223001    6 
REFERENCE  (J,NP/A,406,435,1983)                                  A1223001    7 
INSTITUTE  (2GERJLU)                                              A1223001    8 
FACILITY   (ACCEL,2GERJLU) Giessen polarization facility. A small A1223001    9 
           pressure insulated tandem accelerator with 600 kV      A1223001   10 
           terminal voltage was constructed for the application   A1223001   11 
           of a polarized ion source of the Lambshift type.       A1223001   12 
REL-REF    (M,A1181001,H.Berg+,J,NP/A,334,21,1980) - Description  A1223001   13 
           of the arrangement of the scattering chamber and the   A1223001   14 
           experimental method.                                   A1223001   15 
SAMPLE     Mixture of deuterium (5 torr) and krypton (1 torr)     A1223001   16 
DETECTOR   (SIBAR)                                                A1223001   17 
ERR-ANALYS (ERR-S) Statistical error                              A1223001   18 
HISTORY    (19870721C) Compilation produced by Arzamas RFNC-VNIIEFA1223001   19 
           (19990305U)CNPD: corrected 4-dig. year and lower cases.A1223001   20 
           (20250816A) SD: Corrections in all Subents.            A1223001   21 
           Subent 003 was added.                                  A1223001   22 
ENDBIB              20          0                                 A1223001   23 
NOCOMMON             0          0                                 A1223001   24 
ENDSUBENT           23          0                                 A122300199999 
SUBENT        A1223002   20250825                             A123A1223002    1 
BIB                  4          7                                 A1223002    2 
REACTION   (1-H-2(P,EL)1-H-2,,DA)                                 A1223002    3 
ERR-ANALYS (ERR-1,,1.) The absolute normalization error is        A1223002    4 
           estimated to be less than 1% and is mainly due to the  A1223002    5 
           normalization to the pKr scattering.                   A1223002    6 
STATUS     (TABLE,,E.Huttel+,J,NP/A,406,435,1983) Table 1         A1223002    7 
HISTORY    (20250816A) SD: SF9=EXP deleted from REACTION code.    A1223002    8 
           STATUS updated.                                        A1223002    9 
ENDBIB               7          0                                 A1223002   10 
NOCOMMON             0          0                                 A1223002   11 
DATA                 4        138                                 A1223002   12 
EN         ANG-CM     DATA-CM    ERR-S                            A1223002   13 
MEV        ADEG       MB/SR      MB/SR                            A1223002   14 
        0.4       44.5     1143.9        4.2                      A1223002   15 
        0.4       51.7      750.4        2.8                      A1223002   16 
        0.4       58.9      547.7        2.1                      A1223002   17 
        0.4       65.7      436.9        1.6                      A1223002   18 
        0.4       72.5      364.3        0.8                      A1223002   19 
        0.4       79.2      323.3        0.7                      A1223002   20 
        0.4       85.7      293.3        0.7                      A1223002   21 
        0.4       92.0      276.1        0.7                      A1223002   22 
        0.4       98.0      264.4        0.7                      A1223002   23 
        0.4      103.9      258.1        0.7                      A1223002   24 
        0.4      109.5      251.2        0.7                      A1223002   25 
        0.4      114.9      250.0        0.7                      A1223002   26 
        0.4      120.0      248.8        0.7                      A1223002   27 
        0.4      124.9      249.5        0.7                      A1223002   28 
        0.4      129.5      248.2        0.7                      A1223002   29 
        0.4      133.9      250.9        0.7                      A1223002   30 
        0.4      138.0      251.4        0.8                      A1223002   31 
        0.4      142.0      253.2        0.9                      A1223002   32 
        0.4      145.7      254.7        0.9                      A1223002   33 
        0.4      149.3      255.7        1.0                      A1223002   34 
        0.5       44.5      788.5        3.1                      A1223002   35 
        0.5       51.7      538.0        2.1                      A1223002   36 
        0.5       58.9      411.3        5.5                      A1223002   37 
        0.5       65.7      335.2        1.3                      A1223002   38 
        0.5       72.5      292.6        0.9                      A1223002   39 
        0.5       79.2      265.9        0.8                      A1223002   40 
        0.5       85.7      250.0        0.8                      A1223002   41 
        0.5       92.0      241.7        0.7                      A1223002   42 
        0.5       98.0      236.8        0.6                      A1223002   43 
        0.5      103.9      235.1        0.6                      A1223002   44 
        0.5      109.5      237.2        0.6                      A1223002   45 
        0.5      114.9      239.3        0.6                      A1223002   46 
        0.5      120.0      242.2        0.7                      A1223002   47 
        0.5      124.9      246.5        0.7                      A1223002   48 
        0.5      129.5      250.3        0.7                      A1223002   49 
        0.5      133.9      254.4        0.7                      A1223002   50 
        0.5      138.0      257.8        0.8                      A1223002   51 
        0.5      142.0      262.3        0.9                      A1223002   52 
        0.5      145.7      265.7        1.0                      A1223002   53 
        0.5      149.3      268.8        1.0                      A1223002   54 
        0.6       44.5      588.4        2.3                      A1223002   55 
        0.6       51.7      415.3        1.5                      A1223002   56 
        0.6       58.9      324.9        1.2                      A1223002   57 
        0.6       65.7      276.8        1.0                      A1223002   58 
        0.6       72.5      249.4        0.8                      A1223002   59 
        0.6       79.2      231.7        0.7                      A1223002   60 
        0.6       85.7      222.1        0.6                      A1223002   61 
        0.6       92.0      218.7        0.7                      A1223002   62 
        0.6       98.0      220.2        0.6                      A1223002   63 
        0.6      103.9      222.2        0.6                      A1223002   64 
        0.6      109.5      225.9        0.6                      A1223002   65 
        0.6      114.9      232.3        0.6                      A1223002   66 
        0.6      120.0      239.7        0.6                      A1223002   67 
        0.6      124.9      246.6        0.7                      A1223002   68 
        0.6      129.5      253.6        0.7                      A1223002   69 
        0.6      133.9      259.9        0.8                      A1223002   70 
        0.6      138.0      267.4        0.9                      A1223002   71 
        0.6      142.0      274.2        1.0                      A1223002   72 
        0.6      145.7      278.6        1.0                      A1223002   73 
        0.6      149.3      284.2        1.0                      A1223002   74 
        0.7       44.5      465.4        1.8                      A1223002   75 
        0.7       51.7      338.6        1.2                      A1223002   76 
        0.7       58.9      274.1        1.0                      A1223002   77 
        0.7       65.7      239.4        0.9                      A1223002   78 
        0.7       79.2      208.2        0.6                      A1223002   79 
        0.7       85.7      205.1        0.6                      A1223002   80 
        0.7       92.0      203.7        0.6                      A1223002   81 
        0.7      103.9      212.5        0.6                      A1223002   82 
        0.7      109.5      220.9        0.6                      A1223002   83 
        0.7      114.9      228.4        0.6                      A1223002   84 
        0.7      120.0      237.6        0.7                      A1223002   85 
        0.7      124.9      246.1        0.8                      A1223002   86 
        0.7      129.5      257.7        0.9                      A1223002   87 
        0.7      133.9      266.7        1.0                      A1223002   88 
        0.7      138.0      275.5        1.1                      A1223002   89 
        0.7      142.0      284.8        1.1                      A1223002   90 
        0.7      145.7      291.5        1.1                      A1223002   91 
        0.7      149.3      297.9        1.1                      A1223002   92 
        0.8       44.5      381.6        1.5                      A1223002   93 
        0.8       51.7      289.7        1.1                      A1223002   94 
        0.8       58.9      240.5        0.9                      A1223002   95 
        0.8       65.7      213.6        0.8                      A1223002   96 
        0.8       72.5      199.2        0.7                      A1223002   97 
        0.8       79.2      192.7        0.6                      A1223002   98 
        0.8       85.7      190.4        0.6                      A1223002   99 
        0.8       92.0      192.4        0.6                      A1223002  100 
        0.8       98.0      196.9        0.6                      A1223002  101 
        0.8      103.9      204.4        0.6                      A1223002  102 
        0.8      109.5      213.7        0.6                      A1223002  103 
        0.8      114.9      224.0        0.6                      A1223002  104 
        0.8      120.0      235.6        0.7                      A1223002  105 
        0.8      124.9      246.7        0.8                      A1223002  106 
        0.8      129.5      258.8        0.8                      A1223002  107 
        0.8      133.9      270.1        0.9                      A1223002  108 
        0.8      138.0      282.0        1.0                      A1223002  109 
        0.8      142.0      292.7        1.1                      A1223002  110 
        0.8      145.7      300.6        1.1                      A1223002  111 
        0.8      149.3      310.4        0.9                      A1223002  112 
        0.9       44.5      327.2        1.2                      A1223002  113 
        0.9       51.7      252.3        0.9                      A1223002  114 
        0.9       58.9      216.9        0.9                      A1223002  115 
        0.9       65.7      196.0        0.7                      A1223002  116 
        0.9       72.5      185.0        0.5                      A1223002  117 
        0.9       79.2      180.0        0.5                      A1223002  118 
        0.9       85.7      179.1        0.9                      A1223002  119 
        0.9       92.0      183.0        0.5                      A1223002  120 
        0.9       98.0      187.9        0.5                      A1223002  121 
        0.9      103.9      197.0        0.5                      A1223002  122 
        0.9      109.5      207.0        0.5                      A1223002  123 
        0.9      114.9      218.6        0.5                      A1223002  124 
        0.9      120.0      231.6        0.6                      A1223002  125 
        0.9      124.9      244.6        0.6                      A1223002  126 
        0.9      129.5      258.6        0.7                      A1223002  127 
        0.9      133.9      272.7        0.7                      A1223002  128 
        0.9      138.0      283.6        1.0                      A1223002  129 
