ENTRY            C0046   20260122                             C254C0046000    1 
SUBENT        C0046001   20260122                             C254C0046001    1 
BIB                 10         17                                 C0046001    2 
INSTITUTE  (1USALAS)                                              C0046001    3 
REFERENCE  (J,PR,107,820,1957)                                    C0046001    4 
           #doi:10.1103/PhysRev.107.820                           C0046001    5 
AUTHOR     (J.E.Brolley Jr,T.M.Putnam,L.Rosen)                    C0046001    6 
TITLE      d-D Reactions at 6- to 14-MeV Input Energy             C0046001    7 
FACILITY   (CYCLO,1USALAS)                                        C0046001    8 
SAMPLE     Deuterium gas in a nuclear multiplate camera           C0046001    9 
DETECTOR   (PLATE) Nuclear emulsions.                             C0046001   10 
ERR-ANALYS (EN-ERR) From mean energy of the range measurements andC0046001   11 
             corrections for gas absorption.                      C0046001   12 
REL-REF    (N,,T.M.Putnam+,J,PR,104,1303,1956)                    C0046001   13 
            Discussion of uncertainty analysis.                   C0046001   14 
HISTORY    (19790205C)TWB                                         C0046001   15 
           (19800305A)TWB                                         C0046001   16 
           (20001120A) Updated to new date formats, lower case.   C0046001   17 
           (20260116A) OS. ANG-ERR moved to subs.2-3, STATUS      C0046001   18 
            updated, BIB updates                                  C0046001   19 
ENDBIB              17          0                                 C0046001   20 
NOCOMMON             0          0                                 C0046001   21 
ENDSUBENT           20          0                                 C004600199999 
SUBENT        C0046002   20260122                             C254C0046002    1 
BIB                  4         13                                 C0046002    2 
REACTION   (1-H-2(D,P)1-H-3,,DA)                                  C0046002    3 
ERR-ANALYS (DATA-ERR) Root-mean square error.  Uncertainties due  C0046002    4 
             to current integration, gas pressure and temperature,C0046002    5 
             geometry, number of tracks on plate area analyzed,   C0046002    6 
             and swath width.                                     C0046002    7 
           (ANG-ERR) Since no misalignment trend in the data was  C0046002    8 
             detectable, the authors concluded that the beam was  C0046002    9 
             aligned to better than 0.1 degree.                   C0046002   10 
STATUS     (TABLE,,J.E.Brolley Jr+,J,PR,107,820,1957)             C0046002   11 
            Data taken from Tables I-IV of reference.             C0046002   12 
HISTORY    (19840319A) Data corrected.                            C0046002   13 
           (20001120A) Data at 12.15 MeV added.                   C0046002   14 
           (20260116A) ANG-ERR moved from sub.1                   C0046002   15 
ENDBIB              13          0                                 C0046002   16 
COMMON               1          3                                 C0046002   17 
ANG-ERR                                                           C0046002   18 
ADEG                                                              C0046002   19 
 0.1                                                              C0046002   20 
ENDCOMMON            3          0                                 C0046002   21 
DATA                 5        161                                 C0046002   22 
EN         EN-ERR     ANG-CM     DATA-CM    DATA-ERR              C0046002   23 
 12.15      0.15        76.7       4.36      3.0                  C0046002  124 
 12.15      0.15        86.1       3.99      3.0                  C0046002  125 
 12.15      0.15        89.1       4.10      3.0                  C0046002  126 
 12.15      0.15        95.1       4.18      3.0                  C0046002  127 
 12.15      0.15       103.6       4.24      3.0                  C0046002  128 
 12.15      0.15       111.6       4.56      3.5                  C0046002  129 
 12.15      0.15       119.2       3.82      3.5                  C0046002  130 
 12.15      0.15       126.3       3.18      4.0                  C0046002  131 
 12.15      0.15       130.8       2.54      4.0                  C0046002  132 
 12.15      0.15       132.9       2.44      4.0                  C0046002  133 
 12.15      0.15       135.0       2.19      4.0                  C0046002  134 
 12.15      0.15       139.0       2.41      3.5                  C0046002  135 
 12.15      0.15       142.9       3.30      3.5                  C0046002  136 
 12.15      0.15       144.8       3.80      3.5                  C0046002  137 
 12.15      0.15       146.6       4.90      3.5                  C0046002  138 
 12.15      0.15       150.1       7.24      3.0                  C0046002  139 
 12.15      0.15       153.5      10.84      3.0                  C0046002  140 
 12.15      0.15       155.2      13.01      3.0                  C0046002  141 
 12.15      0.15       156.8      14.03      3.0                  C0046002  142 
 12.15      0.15       159.9      19.01      3.0                  C0046002  143 
 12.15      0.15       164.5      24.02      3.0                  C0046002  144 
 12.15      0.15       167.4      31.19      3.0                  C0046002  145 
 12.15      0.15       168.8      32.73      3.0                  C0046002  146 
 12.15      0.15       170.3      35.21      3.0                  C0046002  147 
 12.15      0.15       171.7      35.20      3.0                  C0046002  148 
 12.15      0.15       173.1      38.86      3.0                  C0046002  149 
 12.15      0.15       174.5      40.91      3.0                  C0046002  150 
 12.15      0.15       175.9      42.12      3.0                  C0046002  151 
 13.8       0.15        14.6      26.67      3.0                  C0046002  152 
 13.8       0.15        18.3      19.50      3.0                  C0046002  153 
 13.8       0.15        25.5      10.18      3.0                  C0046002  154 
 13.8       0.15        29.1       7.33      3.0                  C0046002  155 
 13.8       0.15        36.3       3.12      3.0                  C0046002  156 
 13.8       0.15        43.4       2.23      3.0                  C0046002  157 
 13.8       0.15        46.9       2.32      3.0                  C0046002  158 
 13.8       0.15        57.3       3.59      3.0                  C0046002  159 
 13.8       0.15        67.5       4.03      3.0                  C0046002  160 
 13.8       0.15        77.3       4.16      3.0                  C0046002  161 
 13.8       0.15        86.7       3.57      3.0                  C0046002  162 
 13.8       0.15        89.8       3.78      3.0                  C0046002  163 
 13.8       0.15        95.7       3.93      3.0                  C0046002  164 
 13.8       0.15       104.3       3.97      3.0                  C0046002  165 
 13.8       0.15       112.4       4.36      3.5                  C0046002  166 
 13.8       0.15       120.0       3.79      3.5                  C0046002  167 
 13.8       0.15       127.0       3.17      4.0                  C0046002  168 
 13.8       0.15       131.4       2.66      4.0                  C0046002  169 
 13.8       0.15       133.6       2.39      4.0                  C0046002  170 
 13.8       0.15       143.5       3.24      4.0                  C0046002  171 
 13.8       0.15       145.4       3.84      4.0                  C0046002  172 
 13.8       0.15       147.2       4.52      4.0                  C0046002  173 
 13.8       0.15       150.7       7.11      3.0                  C0046002  174 
 13.8       0.15       154.0       9.75      3.0                  C0046002  175 
 13.8       0.15       155.6      11.20      3.0                  C0046002  176 
 13.8       0.15       157.2      14.13      3.0                  C0046002  177 
 13.8       0.15       160.3      18.71      3.0                  C0046002  178 
 13.8       0.15       164.8      25.82      3.0                  C0046002  179 
 13.8       0.15       169.1      32.15      3.0                  C0046002  180 
 13.8       0.15       170.5      33.72      3.0                  C0046002  181 
 13.8       0.15       171.8      37.05      3.0                  C0046002  182 
 13.8       0.15       173.2      37.92      3.0                  C0046002  183 
 13.8       0.15       174.6      38.80      3.0                  C0046002  184 
 13.8       0.15       176.0      40.12      3.0                  C0046002  185 
ENDDATA            163          0                                 C0046002  186 
ENDSUBENT          185          0                                 C004600299999 
SUBENT        C0046003   20260122                             C254C0046003    1 
BIB                  4         12                                 C0046003    2 
REACTION   (1-H-2(D,N)2-HE-3,,DA,HE3)                             C0046003    3 
ERR-ANALYS (DATA-ERR) Root-mean square error.  Uncertainties due  C0046003    4 
             to current integration, gas pressure and temperature,C0046003    5 
             geometry, number of tracks on plate area analyzed,   C0046003    6 
             and swath width.                                     C0046003    7 
           (ANG-ERR) Since no misalignment trend in the data was  C0046003    8 
             detectable, the authors concluded that the beam was  C0046003    9 
             aligned to better than 0.1 degree.                   C0046003   10 
STATUS     (TABLE,,J.E.Brolley Jr+,J,PR,107,820,1957)             C0046003   11 
            Data taken from Tables V-IX of reference.             C0046003   12 
HISTORY    (19840319A) Data corrected.                            C0046003   13 
           (20260116A) ANG-ERR moved from sub.1                   C0046003   14 
ENDBIB              12          0                                 C0046003   15 
COMMON               2          3                                 C0046003   16 
DATA-ERR   ANG-ERR                                                C0046003   17 
PER-CENT   ADEG                                                   C0046003   18 
 4.0        0.1                                                   C0046003   19 
ENDCOMMON            3          0                                 C0046003   20 
DATA                 4         71                                 C0046003   21 
EN         EN-ERR     ANG-CM     DATA-CM                          C0046003   22 
MEV        MEV        ADEG       MB/SR                            C0046003   23 
  5.8       0.1        22.0       21.37                           C0046003   24 
  5.8       0.1        27.4       15.09                           C0046003   25 
  5.8       0.1        33.0       10.22                           C0046003   26 
  5.8       0.1        38.5        5.72                           C0046003   27 
  5.8       0.1        44.1        3.79                           C0046003   28 
  5.8       0.1        49.6        2.73                           C0046003   29 
  5.8       0.1        55.5        2.76                           C0046003   30 
  5.8       0.1        61.0        3.33                           C0046003   31 
  5.8       0.1        66.8        4.41                           C0046003   32 
  5.8       0.1        72.4        4.83                           C0046003   33 
  5.8       0.1        78.2        5.65                           C0046003   34 
  5.8       0.1        84.1        6.04                           C0046003   35 
  5.8       0.1        90.6        5.86                           C0046003   36 
  5.8       0.1        97.3        5.79                           C0046003   37 
  8.15      0.1        22.9       19.28                           C0046003   38 
  8.15      0.1        28.7       11.20                           C0046003   39 
  8.15      0.1        34.5        7.01                           C0046003   40 
  8.15      0.1        40.3        3.49                           C0046003   41 
  8.15      0.1        46.1        2.32                           C0046003   42 
  8.15      0.1        52.0        2.41                           C0046003   43 
  8.15      0.1        58.0        3.05                           C0046003   44 
  8.15      0.1        64.0        4.14                           C0046003   45 
  8.15      0.1        70.1        4.95                           C0046003   46 
  8.15      0.1        76.3        5.42                           C0046003   47 
  8.15      0.1        82.6        5.55                           C0046003   48 
  8.15      0.1        89.1        5.57                           C0046003   49 
  8.15      0.1        95.8        5.73                           C0046003   50 
  8.15      0.1        102.9       5.41                           C0046003   51 
  8.15      0.1        110.5       4.96                           C0046003   52 
 10.4       0.1         23.6      16.60                           C0046003   53 
 10.4       0.1         29.6       9.08                           C0046003   54 
 10.4       0.1         35.3       4.39                           C0046003   55 
 10.4       0.1         41.6       2.74                           C0046003   56 
 10.4       0.1         47.6       2.29                           C0046003   57 
 10.4       0.1         53.7       2.75                           C0046003   58 
 10.4       0.1         59.9       3.75                           C0046003   59 
 10.4       0.1         66.2       4.18                           C0046003   60 
 10.4       0.1         72.6       4.66                           C0046003   61 
 10.4       0.1         79.2       4.62                           C0046003   62 
 10.4       0.1         86.0       4.66                           C0046003   63 
 10.4       0.1         93.0       4.81                           C0046003   64 
 10.4       0.1        100.5       4.66                           C0046003   65 
 10.4       0.1        108.6       4.75                           C0046003   66 
 12.2       0.15        24.0      13.67                           C0046003   67 
 12.2       0.15        30.1       6.96                           C0046003   68 
 12.2       0.15        36.2       3.64                           C0046003   69 
 12.2       0.15        42.3       2.17                           C0046003   70 
 12.2       0.15        48.5       2.36                           C0046003   71 
 12.2       0.15        54.8       3.15                           C0046003   72 
 12.2       0.15        61.1       3.67                           C0046003   73 
 12.2       0.15        67.6       4.24                           C0046003   74 
 12.2       0.15        74.2       4.34                           C0046003   75 
 12.2       0.15        81.0       3.85                           C0046003   76 
 12.2       0.15        88.1       4.16                           C0046003   77 
 12.2       0.15        95.6       4.17                           C0046003   78 
 12.2       0.15       103.6       4.35                           C0046003   79 
 12.2       0.15       112.8       4.30                           C0046003   80 
 13.8       0.15        24.3      13.07                           C0046003   81 
 13.8       0.15        30.5       6.18                           C0046003   82 
 13.8       0.15        36.6       3.24                           C0046003   83 
 13.8       0.15        42.9       2.19                           C0046003   84 
 13.8       0.15        49.2       2.79                           C0046003   85 
 13.8       0.15        55.5       3.31                           C0046003   86 
 13.8       0.15        62.0       3.92                           C0046003   87 
 13.8       0.15        68.6       4.09                           C0046003   88 
 13.8       0.15        75.4       4.01                           C0046003   89 
 13.8       0.15        82.4       3.82                           C0046003   90 
 13.8       0.15        89.7       3.66                           C0046003   91 
 13.8       0.15        97.5       3.81                           C0046003   92 
 13.8       0.15       106.2       4.20                           C0046003   93 
 13.8       0.15       116.5       4.62                           C0046003   94 
ENDDATA             73          0                                 C0046003   95 
ENDSUBENT           94          0                                 C004600399999 
SUBENT        C0046004   20260122                             C254C0046004    1 
BIB                  3          5                                 C0046004    2 
REACTION   (1-H-2(D,P)1-H-3,,DA,,LEG)                             C0046004    3 
STATUS     (DEP,C0046002)                                         C0046004    4 
           (TABLE,,J.E.Brolley Jr+,J,PR,107,820,1957)             C0046004    5 
            Data taken from Table X of reference.                 C0046004    6 
HISTORY    (19960223A) Data from other references removed.        C0046004    7 
ENDBIB               5          0                                 C0046004    8 
NOCOMMON             0          0                                 C0046004    9 
DATA                 4         25                                 C0046004   10 
NUMBER     EN         EN-ERR     DATA-CM                          C0046004   11 
NO-DIM     MEV        MEV        MB/SR                            C0046004   12 
  0.         6.1       0.1        6.96                            C0046004   13 
  0.         8.1       0.1        6.64                            C0046004   14 
  0.        12.15      0.1        5.92                            C0046004   15 
  0.        13.80      0.15       5.65                            C0046004   16 
  2.         6.1       0.1        9.45                            C0046004   17 
  2.         8.1       0.1        9.36                            C0046004   18 
  2.        12.15      0.1        8.70                            C0046004   19 
  2.        13.80      0.15       8.42                            C0046004   20 
  4.         6.1       0.1        13.58                           C0046004   21 
  4.         8.1       0.1        14.53                           C0046004   22 
  4.        12.15      0.1        13.50                           C0046004   23 
  4.        13.80      0.15       12.44                           C0046004   24 
  6.         6.1       0.1         5.14                           C0046004   25 
  6.         8.1       0.1         7.32                           C0046004   26 
  6.        12.15      0.1         9.72                           C0046004   27 
  6.        13.80      0.15       10.03                           C0046004   28 
  8.         6.1       0.1         0.85                           C0046004   29 
  8.         8.1       0.1         1.73                           C0046004   30 
  8.        12.15      0.1         3.53                           C0046004   31 
  8.        13.80      0.15        3.58                           C0046004   32 
 10.         6.1       0.1         0.39                           C0046004   33 
 10.         8.1       0.1         0.18                           C0046004   34 
 10.        12.15      0.1         1.55                           C0046004   35 
 10.        13.80      0.1         1.17                           C0046004   36 
 12.        13.80      0.15        0.39                           C0046004   37 
ENDDATA             27          0                                 C0046004   38 
ENDSUBENT           37          0                                 C004600499999 
SUBENT        C0046005   20260122                             C254C0046005    1 
BIB                  3          5                                 C0046005    2 
REACTION   (1-H-2(D,P)1-H-3,,SIG)                                 C0046005    3 
ANALYSIS   From Legendre fit to angular distribution data.        C0046005    4 
STATUS     (DEP,C0046002)                                         C0046005    5 
           (TABLE,,J.E.Brolley Jr+,J,PR,107,820,1957)             C0046005    6 
            Data taken from Table X of reference.                 C0046005    7 
ENDBIB               5          0                                 C0046005    8 
NOCOMMON             0          0                                 C0046005    9 
DATA                 3          4                                 C0046005   10 
EN         EN-ERR     DATA                                        C0046005   11 
MEV        MEV        MB                                          C0046005   12 
  6.1       0.1        87.                                        C0046005   13 
  8.1       0.1        84.                                        C0046005   14 
 12.15      0.1        74.                                        C0046005   15 
 13.80      0.15       72.                                        C0046005   16 
ENDDATA              6          0                                 C0046005   17 
ENDSUBENT           16          0                                 C004600599999 
SUBENT        C0046006   20260122                             C254C0046006    1 
BIB                  3          5                                 C0046006    2 
REACTION   (1-H-2(D,N)2-HE-3,,DA,HE3,LEG)                         C0046006    3 
STATUS     (DEP,C0046003)                                         C0046006    4 
           (TABLE,,J.E.Brolley Jr+,J,PR,107,820,1957)             C0046006    5 
            Data taken from Table X of reference.                 C0046006    6 
HISTORY    (20001120A) Reaction corrected.                        C0046006    7 
ENDBIB               5          0                                 C0046006    8 
NOCOMMON             0          0                                 C0046006    9 
DATA                 4         31                                 C0046006   10 
NUMBER     EN         EN-ERR     DATA-CM                          C0046006   11 
NO-DIM     MEV        MEV        MB/SR                            C0046006   12 
  0.         5.8       0.1         7.40                           C0046006   13 
  0.         8.15      0.1         7.03                           C0046006   14 
  0.        10.4       0.1         6.43                           C0046006   15 
  0.        12.2       0.15        6.04                           C0046006   16 
  0.        13.8       0.15        5.93                           C0046006   17 
  2.         5.8       0.1        11.14                           C0046006   18 
  2.         8.15      0.1        10.45                           C0046006   19 
  2.        10.4       0.15        9.85                           C0046006   20 
  2.        12.2       0.15        9.71                           C0046006   21 
  2.        13.8       0.15        9.56                           C0046006   22 
  4.         5.8       0.1        15.16                           C0046006   23 
  4.         8.15      0.1        16.06                           C0046006   24 
  4.        10.4       0.15       14.77                           C0046006   25 
  4.        12.2       0.15       14.55                           C0046006   26 
  4.        13.8       0.15       13.77                           C0046006   27 
  6.         5.8       0.1         5.28                           C0046006   28 
  6.         8.15      0.1         8.02                           C0046006   29 
  6.        10.4       0.15        9.22                           C0046006   30 
  6.        12.2       0.15       10.94                           C0046006   31 
  6.        13.8       0.15       11.26                           C0046006   32 
  8.         5.8       0.1         0.64                           C0046006   33 
  8.         8.15      0.1         1.59                           C0046006   34 
  8.        10.4       0.15        2.11                           C0046006   35 
  8.        12.2       0.15        4.02                           C0046006   36 
  8.        13.8       0.15        3.97                           C0046006   37 
 10.         5.8       0.1         0.34                           C0046006   38 
 10.         8.15      0.1         0.61                           C0046006   39 
 10.        10.4       0.15        0.0                            C0046006   40 
 10.        12.2       0.15        1.48                           C0046006   41 
 10.        13.8       0.15        1.13                           C0046006   42 
 12.        13.8       0.15        0.26                           C0046006   43 
ENDDATA             33          0                                 C0046006   44 
ENDSUBENT           43          0                                 C004600699999 
ENDENTRY             6          0                                 C004699999999 
