ENTRY            C0046   20260122                             C254C0046000    1 
SUBENT        C0046001   20260122                             C254C0046001    1 
BIB                 10         17                                 C0046001    2 
INSTITUTE  (1USALAS)                                              C0046001    3 
REFERENCE  (J,PR,107,820,1957)                                    C0046001    4 
           #doi:10.1103/PhysRev.107.820                           C0046001    5 
AUTHOR     (J.E.Brolley Jr,T.M.Putnam,L.Rosen)                    C0046001    6 
TITLE      d-D Reactions at 6- to 14-MeV Input Energy             C0046001    7 
FACILITY   (CYCLO,1USALAS)                                        C0046001    8 
SAMPLE     Deuterium gas in a nuclear multiplate camera           C0046001    9 
DETECTOR   (PLATE) Nuclear emulsions.                             C0046001   10 
ERR-ANALYS (EN-ERR) From mean energy of the range measurements andC0046001   11 
             corrections for gas absorption.                      C0046001   12 
REL-REF    (N,,T.M.Putnam+,J,PR,104,1303,1956)                    C0046001   13 
            Discussion of uncertainty analysis.                   C0046001   14 
HISTORY    (19790205C)TWB                                         C0046001   15 
           (19800305A)TWB                                         C0046001   16 
           (20001120A) Updated to new date formats, lower case.   C0046001   17 
           (20260116A) OS. ANG-ERR moved to subs.2-3, STATUS      C0046001   18 
            updated, BIB updates                                  C0046001   19 
ENDBIB              17          0                                 C0046001   20 
NOCOMMON             0          0                                 C0046001   21 
ENDSUBENT           20          0                                 C004600199999 
SUBENT        C0046002   20260122                             C254C0046002    1 
BIB                  4         13                                 C0046002    2 
REACTION   (1-H-2(D,P)1-H-3,,DA)                                  C0046002    3 
ERR-ANALYS (DATA-ERR) Root-mean square error.  Uncertainties due  C0046002    4 
             to current integration, gas pressure and temperature,C0046002    5 
             geometry, number of tracks on plate area analyzed,   C0046002    6 
             and swath width.                                     C0046002    7 
           (ANG-ERR) Since no misalignment trend in the data was  C0046002    8 
             detectable, the authors concluded that the beam was  C0046002    9 
             aligned to better than 0.1 degree.                   C0046002   10 
STATUS     (TABLE,,J.E.Brolley Jr+,J,PR,107,820,1957)             C0046002   11 
            Data taken from Tables I-IV of reference.             C0046002   12 
HISTORY    (19840319A) Data corrected.                            C0046002   13 
           (20001120A) Data at 12.15 MeV added.                   C0046002   14 
           (20260116A) ANG-ERR moved from sub.1                   C0046002   15 
ENDBIB              13          0                                 C0046002   16 
COMMON               1          3                                 C0046002   17 
ANG-ERR                                                           C0046002   18 
ADEG                                                              C0046002   19 
 0.1                                                              C0046002   20 
ENDCOMMON            3          0                                 C0046002   21 
DATA                 5        161                                 C0046002   22 
EN         EN-ERR     ANG-CM     DATA-CM    DATA-ERR              C0046002   23 
MEV        MEV        ADEG       MB/SR      PER-CENT              C0046002   24 
  6.1       0.1         13.8      27.73      3.0                  C0046002   25 
  6.1       0.1         17.2      23.84      3.0                  C0046002   26 
  6.1       0.1         20.6      20.43      3.0                  C0046002   27 
  6.1       0.1         24.0      16.63      3.0                  C0046002   28 
  6.1       0.1         27.5      13.73      3.0                  C0046002   29 
  6.1       0.1         30.8       9.60      3.0                  C0046002   30 
  6.1       0.1         34.2       7.63      3.0                  C0046002   31 
  6.1       0.1         37.6       5.65      3.0                  C0046002   32 
  6.1       0.1         40.9       4.41      3.0                  C0046002   33 
  6.1       0.1         44.2       3.40      3.0                  C0046002   34 
  6.1       0.1         47.6       2.96      3.0                  C0046002   35 
  6.1       0.1         50.8       2.86      3.0                  C0046002   36 
  6.1       0.1         54.1       2.65      3.0                  C0046002   37 
  6.1       0.1         57.4       3.01      3.0                  C0046002   38 
  6.1       0.1         60.6       3.26      3.0                  C0046002   39 
  6.1       0.1         63.8       3.71      3.0                  C0046002   40 
  6.1       0.1         66.9       4.39      3.0                  C0046002   41 
  6.1       0.1         70.0       4.72      3.0                  C0046002   42 
  6.1       0.1         73.1       5.06      3.0                  C0046002   43 
  6.1       0.1         76.2       5.44      3.0                  C0046002   44 
  6.1       0.1         79.2       5.35      3.0                  C0046002   45 
  6.1       0.1         82.2       5.65      3.0                  C0046002   46 
  6.1       0.1         85.1       5.89      3.0                  C0046002   47 
  6.1       0.1         90.9       6.12      3.0                  C0046002   48 
  6.1       0.1         96.5       5.84      3.0                  C0046002   49 
  6.1       0.1         99.2       5.50      3.0                  C0046002   50 
  6.1       0.1        107.2       5.08      3.0                  C0046002   51 
  6.1       0.1        109.8       4.83      3.0                  C0046002   52 
  6.1       0.1        112.3       4.75      3.0                  C0046002   53 
  6.1       0.1        114.8       4.07      3.0                  C0046002   54 
  6.1       0.1        119.6       3.43      4.0                  C0046002   55 
  6.1       0.1        121.9       3.38      4.0                  C0046002   56 
  6.1       0.1        124.2       2.98      4.0                  C0046002   57 
  6.1       0.1        126.5       2.84      4.0                  C0046002   58 
  6.1       0.1        128.6       3.20      4.0                  C0046002   59 
  6.1       0.1        130.8       2.95      4.0                  C0046002   60 
  6.1       0.1        133.0       2.90      4.0                  C0046002   61 
  6.1       0.1        135.1       3.34      4.0                  C0046002   62 
  6.1       0.1        137.1       3.75      4.0                  C0046002   63 
  6.1       0.1        139.1       4.47      4.0                  C0046002   64 
  6.1       0.1        141.1       5.04      4.0                  C0046002   65 
  6.1       0.1        143.1       6.13      4.0                  C0046002   66 
  6.1       0.1        145.1       7.46      3.0                  C0046002   67 
  6.1       0.1        146.9       8.31      3.0                  C0046002   68 
  6.1       0.1        150.5      11.89      3.0                  C0046002   69 
  6.1       0.1        152.3      13.57      3.0                  C0046002   70 
  6.1       0.1        154.1      15.00      3.0                  C0046002   71 
  6.1       0.1        157.5      19.60      3.0                  C0046002   72 
  6.1       0.1        159.2      20.78      3.0                  C0046002   73 
  6.1       0.1        160.9      22.09      3.0                  C0046002   74 
  6.1       0.1        162.6      22.73      3.0                  C0046002   75 
  6.1       0.1        167.4      29.66      3.0                  C0046002   76 
  6.1       0.1        169.0      30.43      3.0                  C0046002   77 
  6.1       0.1        170.6      31.96      3.0                  C0046002   78 
  6.1       0.1        172.2      34.00      3.0                  C0046002   79 
  6.1       0.1        173.8      34.08      3.0                  C0046002   80 
  6.1       0.1        175.4      36.27      3.0                  C0046002   81 
  8.1       0.1         14.1      29.77      3.0                  C0046002   82 
  8.1       0.1         17.6      24.26      3.0                  C0046002   83 
  8.1       0.1         24.6      15.46      3.0                  C0046002   84 
  8.1       0.1         35.0       5.80      3.0                  C0046002   85 
  8.1       0.1         41.9       3.18      3.0                  C0046002   86 
  8.1       0.1         45.3       2.64      3.0                  C0046002   87 
  8.1       0.1         55.3       2.67      3.0                  C0046002   88 
  8.1       0.1         65.2       4.02      3.0                  C0046002   89 
  8.1       0.1         74.7       5.08      3.0                  C0046002   90 
  8.1       0.1         83.9       5.59      3.0                  C0046002   91 
  8.1       0.1         86.9       5.44      3.0                  C0046002   92 
  8.1       0.1         92.7       5.44      3.0                  C0046002   93 
  8.1       0.1        101.1       5.27      3.0                  C0046002   94 
  8.1       0.1        109.1       4.81      3.0                  C0046002   95 
  8.1       0.1        116.7       4.03      3.5                  C0046002   96 
  8.1       0.1        123.8       2.89      3.5                  C0046002   97 
  8.1       0.1        128.3       2.62      3.5                  C0046002   98 
  8.1       0.1        130.5       2.34      3.5                  C0046002   99 
  8.1       0.1        136.8       2.80      3.5                  C0046002  100 
  8.1       0.1        140.8       3.72      3.5                  C0046002  101 
  8.1       0.1        142.7       4.63      3.5                  C0046002  102 
  8.1       0.1        144.6       5.30      3.5                  C0046002  103 
  8.1       0.1        148.3       7.89      3.0                  C0046002  104 
  8.1       0.1        151.8      11.58      3.0                  C0046002  105 
  8.1       0.1        153.6      13.22      3.0                  C0046002  106 
  8.1       0.1        155.3      14.31      3.0                  C0046002  107 
  8.1       0.1        158.6      19.69      3.0                  C0046002  108 
  8.1       0.1        163.4      25.41      3.0                  C0046002  109 
  8.1       0.1        168.0      32.78      3.0                  C0046002  110 
  8.1       0.1        169.6      33.80      3.0                  C0046002  111 
  8.1       0.1        171.1      35.78      3.0                  C0046002  112 
  8.1       0.1        172.6      36.07      3.0                  C0046002  113 
  8.1       0.1        174.1      36.75      3.0                  C0046002  114 
  8.1       0.1        175.6      38.81      3.0                  C0046002  115 
 12.15      0.15        14.5      27.78      3.0                  C0046002  116 
 12.15      0.15        18.1      20.78      3.0                  C0046002  117 
 12.15      0.15        25.3      11.95      3.0                  C0046002  118 
 12.15      0.15        36.0       3.72      3.0                  C0046002  119 
 12.15      0.15        43.1       2.33      3.0                  C0046002  120 
 12.15      0.15        46.6       2.10      3.0                  C0046002  121 
 12.15      0.15        56.9       3.52      3.0                  C0046002  122 
 12.15      0.15        66.9       4.11      3.0                  C0046002  123 
