ENTRY            C3095   20251211                             C253C3095000    1 
SUBENT        C3095001   20251211                             C253C3095001    1 
BIB                 13         50                                 C3095001    2 
TITLE      Extraction of the non-spin- and spin-transfer          C3095001    3 
           isovector responses via the 12C(10Be,10B+gamma)12B     C3095001    4 
           reaction                                               C3095001    5 
AUTHOR     (Sk M.Ali,C.Maher,R.G.T.Zegers,M.Scott,D.Bazin,        C3095001    6 
           M.Bowry,B.A.Brown,C.M.Campbell,A.Gade,S.Gales,U.Garg,  C3095001    7 
           M.N.Harakeh,E.Kwan,C.Langer,C.Loelius,C.Morse,S.Noji,  C3095001    8 
           T.Redpath,H.Sakai,M.Sasano,C.Sullivan,D.Weisshaar)     C3095001    9 
INSTITUTE  (1USAMSU,1USABRK,2FR PAR,3RUMBUC,1USANOT,2NEDRUG,      C3095001   10 
           1USACMG,2JPNIPC)                                       C3095001   11 
REFERENCE  (J,PR/C,112,024602,2025)                               C3095001   12 
           #doi:10.1103/48q9-fngt                                 C3095001   13 
FACILITY   (CYCLO,1USAMSU) The Coupled Cyclotron Facility of the  C3095001   14 
           National Superconducting Cyclotron Laboratory (NSCL).  C3095001   15 
INC-SOURCE The 10Be beam was produced by impinging a 150 p nA,    C3095001   16 
           120A MeV 18O beam on a 1316 mg/cm2 thick Be target at  C3095001   17 
           the entrance of the A1900 fragment separator.          C3095001   18 
DETECTOR   (MAGSP,IOCH,SCIN,HPGE) The S800 spectrograph focal-    C3095001   19 
           plane detector system consisting of two cathode        C3095001   20 
           readout drift chambers (CRDCs) installed 1 m apart,    C3095001   21 
           an ionization chamber, and a 5 mm thick plastic        C3095001   22 
           scintillator. The Gamma-Ray Energy Tracking In-beam    C3095001   23 
           Nuclear Array (GRETINA).                               C3095001   24 
SAMPLE     A 56.33 mg/cm2 thick natC target (98.88% 12C).         C3095001   25 
EN-SEC     (E-LVL,5-B-10)                                         C3095001   26 
           (E-EXC,5-B-12)                                         C3095001   27 
METHOD     (EDE,GSPEC) The reaction products, including 10B from  C3095001   28 
           the (10Be,10B) reaction, were magnetically analyzed forC3095001   29 
            momentum and detected in the S800 spectrograph        C3095001   30 
           focal-plane detector system. The rearmost plastic      C3095001   31 
           scintillator provided the trigger for the              C3095001   32 
           data-acquisition system as well as the timing          C3095001   33 
           information. The time of flight (TOF) of the reaction  C3095001   34 
           products was deduced from the scintillator timing      C3095001   35 
           relative to the radio frequency (RF) signal of the     C3095001   36 
           cyclotrons. To separate the 10B ions from the other    C3095001   37 
           reaction products, the energy loss in the ionization   C3095001   38 
           chamber (dE) was plotted against the TOF of the        C3095001   39 
           ejectiles, and gated on the residues of interest. The  C3095001   40 
           energy, outgoing angles in the dispersive and          C3095001   41 
           nondispersive directions, and the position in the      C3095001   42 
           nondispersive direction at the target location were    C3095001   43 
           deduced from the positions and angles in the focal     C3095001   44 
           plane in a ray-tracing procedure using an inverse map  C3095001   45 
           calculated with the ion-optical code cosy infinity.    C3095001   46 
           To detect the gamma-rays emitted in-flight from the    C3095001   47 
           de-excitation of the 10B ions with a high              C3095001   48 
           signal-to-noise ratio, the GRETINA array was used.     C3095001   49 
ERR-ANALYS (ERR-S) Statistical uncertainties.                     C3095001   50 
STATUS     (APRVD) Approved by R.G.T.Zegers on December 19, 2025. C3095001   51 
HISTORY    (20251211C) BP                                         C3095001   52 
ENDBIB              50          0                                 C3095001   53 
COMMON               1          3                                 C3095001   54 
EN                                                                C3095001   55 
MEV/A                                                             C3095001   56 
      100.0                                                       C3095001   57 
ENDCOMMON            3          0                                 C3095001   58 
ENDSUBENT           57          0                                 C309500199999 
SUBENT        C3095002   20251211                             C253C3095002    1 
BIB                  3         12                                 C3095002    2 
REACTION   (6-C-12(4-BE-10,5-B-10)5-B-12,PAR,DA/DE)               C3095002    3 
ANALYSIS   The differential cross sections were calculated        C3095002    4 
           across the excitation-energy range of 0<Ex<50 MeV and  C3095002    5 
           the scattering-angle range of 0<thetac.m.<3 degrees    C3095002    6 
           in a missing-mass calculation. The double              C3095002    7 
           differential cross sections were binned into 2 MeV     C3095002    8 
           intervals in excitation energy in the original work,   C3095002    9 
           and they were converted from mb/sr/2 MeV to mb/sr/MeV  C3095002   10 
           units in EXFOR by dividing the original values by a    C3095002   11 
           factor of 2.                                           C3095002   12 
STATUS     (TABLE,,Sk M.Ali+,J,PR/C,112,024602,2025) Fig. - 5     C3095002   13 
           Data were provided by R.G.T.Zegers, December 12, 2025. C3095002   14 
ENDBIB              12          0                                 C3095002   15 
COMMON               1          3                                 C3095002   16 
E-LVL                                                             C3095002   17 
MEV                                                               C3095002   18 
       1.74                                                       C3095002   19 
ENDCOMMON            3          0                                 C3095002   20 
DATA                 4        156                                 C3095002   21 
ANG-CM     E-EXC-MEAN DATA-CM    ERR-S                            C3095002   22 
ADEG       MEV        MB/SR/MEV  MB/SR/MEV                        C3095002   23 
       0.25         0.      0.155      0.088                      C3095002   24 
       0.25         2.      0.145     0.0885                      C3095002   25 
       0.25         4.      0.269      0.106                      C3095002   26 
       0.25         6.      0.706      0.162                      C3095002   27 
       0.25         8.     0.8975     0.1795                      C3095002   28 
       0.25        10.       0.61      0.169                      C3095002   29 
       0.25        12.     0.3345       0.15                      C3095002   30 
       0.25        14.     0.5425      0.144                      C3095002   31 
       0.25        16.     0.6345      0.145                      C3095002   32 
       0.25        18.      0.357      0.125                      C3095002   33 
       0.25        20.     0.0925      0.121                      C3095002   34 
       0.25        22.     0.2255      0.126                      C3095002   35 
       0.25        24.      0.638      0.139                      C3095002   36 
       0.25        26.      0.517       0.14                      C3095002   37 
       0.25        28.      0.242     0.1115                      C3095002   38 
       0.25        30.      0.147      0.094                      C3095002   39 
       0.25        32.     0.2365      0.112                      C3095002   40 
       0.25        34.     0.2245     0.1065                      C3095002   41 
       0.25        36.     0.0115      0.093                      C3095002   42 
       0.25        38.      0.006      0.103                      C3095002   43 
       0.25        40.     0.0135     0.1095                      C3095002   44 
       0.25        42.     0.2335     0.1005                      C3095002   45 
       0.25        44.      0.148      0.092                      C3095002   46 
       0.25        46.     0.0005        0.1                      C3095002   47 
       0.25        48.     0.0075      0.096                      C3095002   48 
       0.25        50.      0.026     0.0875                      C3095002   49 
       0.75         0.     0.0925     0.0525                      C3095002   50 
       0.75         2.     0.1425       0.06                      C3095002   51 
       0.75         4.     0.2125     0.0705                      C3095002   52 
       0.75         6.      0.651     0.0995                      C3095002   53 
       0.75         8.      0.834     0.1095                      C3095002   54 
       0.75        10.     0.5265      0.096                      C3095002   55 
       0.75        12.     0.3555     0.0805                      C3095002   56 
       0.75        14.      0.324      0.075                      C3095002   57 
       0.75        16.     0.4255      0.079                      C3095002   58 
       0.75        18.      0.447     0.0785                      C3095002   59 
       0.75        20.     0.2865     0.0735                      C3095002   60 
       0.75        22.      0.308     0.0685                      C3095002   61 
       0.75        24.      0.293      0.069                      C3095002   62 
       0.75        26.     0.2135     0.0675                      C3095002   63 
       0.75        28.     0.3155     0.0605                      C3095002   64 
       0.75        30.     0.2425     0.0605                      C3095002   65 
       0.75        32.     0.2025      0.061                      C3095002   66 
       0.75        34.       0.33     0.0595                      C3095002   67 
       0.75        36.     0.3005     0.0615                      C3095002   68 
       0.75        38.     0.2145      0.061                      C3095002   69 
       0.75        40.     0.1235      0.055                      C3095002   70 
       0.75        42.      0.093     0.0535                      C3095002   71 
       0.75        44.       0.15     0.0525                      C3095002   72 
       0.75        46.      0.152      0.054                      C3095002   73 
       0.75        48.       0.16      0.056                      C3095002   74 
       0.75        50.     0.0975      0.051                      C3095002   75 
       1.25         0.      0.049     0.0385                      C3095002   76 
       1.25         2.     0.1015     0.0465                      C3095002   77 
       1.25         4.      0.247     0.0545                      C3095002   78 
       1.25         6.      0.566      0.074                      C3095002   79 
       1.25         8.     0.7405     0.0805                      C3095002   80 
       1.25        10.       0.54      0.071                      C3095002   81 
       1.25        12.     0.3505      0.061                      C3095002   82 
       1.25        14.      0.228      0.056                      C3095002   83 
       1.25        16.     0.2035      0.054                      C3095002   84 
       1.25        18.      0.277     0.0535                      C3095002   85 
       1.25        20.      0.327      0.054                      C3095002   86 
       1.25        22.     0.2915     0.0525                      C3095002   87 
       1.25        24.      0.212       0.05                      C3095002   88 
       1.25        26.     0.2565       0.05                      C3095002   89 
       1.25        28.       0.26       0.05                      C3095002   90 
       1.25        30.     0.1995      0.048                      C3095002   91 
       1.25        32.      0.216      0.046                      C3095002   92 
       1.25        34.     0.2675      0.046                      C3095002   93 
       1.25        36.      0.186      0.044                      C3095002   94 
       1.25        38.     0.1685      0.043                      C3095002   95 
       1.25        40.      0.196      0.042                      C3095002   96 
       1.25        42.      0.152     0.0425                      C3095002   97 
       1.25        44.     0.1565     0.0415                      C3095002   98 
       1.25        46.      0.083     0.0375                      C3095002   99 
       1.25        48.     0.0365     0.0385                      C3095002  100 
       1.25        50.      0.091      0.041                      C3095002  101 
       1.75         0.      0.005     0.0285                      C3095002  102 
       1.75         2.     0.0635      0.035                      C3095002  103 
       1.75         4.       0.14     0.0425                      C3095002  104 
       1.75         6.     0.3445      0.056                      C3095002  105 
       1.75         8.     0.5505      0.061                      C3095002  106 
       1.75        10.     0.3935      0.055                      C3095002  107 
       1.75        12.     0.2095     0.0485                      C3095002  108 
       1.75        14.     0.2005      0.045                      C3095002  109 
       1.75        16.      0.233     0.0425                      C3095002  110 
       1.75        18.     0.2415     0.0415                      C3095002  111 
       1.75        20.     0.1935      0.041                      C3095002  112 
       1.75        22.      0.196      0.041                      C3095002  113 
       1.75        24.       0.17     0.0395                      C3095002  114 
