ENTRY            C3056   20250506                             C251C3056000    1 
SUBENT        C3056001   20250506                             C251C3056001    1 
BIB                 10         32                                 C3056001    2 
TITLE      Quantifying resonance behavior in the fusion of 17O    C3056001    3 
           with 12C at above-barrier energies                     C3056001    4 
AUTHOR     (S.Hudan,J.E.Johnstone,R.Kumar,R.T.Desouza,J.Allen,    C3056001    5 
           D.W.Bardayan,D.Blankstein,C.Boomershine,S.Carmichael,  C3056001    6 
           A.Clark,S.Coil,S.L.Henderson,P.D.O'Malley,             C3056001    7 
           W.W.von Seeger)                                        C3056001    8 
REFERENCE  (J,PR/C,107,064612,2023)                               C3056001    9 
           #doi:10.1103/PhysRevC.107.064612                       C3056001   10 
INSTITUTE  (1USAINU,1USANOT)                                      C3056001   11 
FACILITY   (ACCEL,1USANOT) The University of Notre Dame Nuclear   C3056001   12 
           Science Laboratory.                                    C3056001   13 
INC-SPECT  A 17O beam with an intensity of 10**4 ions/s was       C3056001   14 
           produced from natural abundance of oxygen (0.038% 17O).C3056001   15 
            The horizontal error bars of 300 keV correspond to    C3056001   16 
           the spatial localization of the fusion event on a      C3056001   17 
           single anode.                                          C3056001   18 
DETECTOR   (IOCH) A MuSIC detector is a simple, active thick-     C3056001   19 
           target detector. It consists of a transverse-field,    C3056001   20 
           Frisch-gridded ionization chamber with the anode       C3056001   21 
           subdivided into strips transverse to the beam          C3056001   22 
           direction.                                             C3056001   23 
SAMPLE     The CH4 gas in MuSIC@Indiana, at a pressure of 150     C3056001   24 
           torr (99.999% purity), served as both target and       C3056001   25 
           detection medium.                                      C3056001   26 
METHOD     The beam, accelerated to energies of Elab = 55, 48,    C3056001   27 
           47.5, and 47 MeV, impinged on MuSIC@Indiana. At the    C3056001   28 
           incident energies measured, fusion of the incident     C3056001   29 
           beam with 12C nuclei produces 29Si with an excitation  C3056001   30 
           energy E* = 40-44 MeV. This compound nucleus           C3056001   31 
           deexcites by emission of neutrons, protons, and alpha  C3056001   32 
           particles to produce an evaporation residue.           C3056001   33 
HISTORY    (20250506C) BP                                         C3056001   34 
ENDBIB              32          0                                 C3056001   35 
NOCOMMON             0          0                                 C3056001   36 
ENDSUBENT           35          0                                 C305600199999 
SUBENT        C3056002   20250506                             C251C3056002    1 
BIB                  3          4                                 C3056002    2 
REACTION   (6-C-12(8-O-17,FUS),,SIG,ER,AV)                        C3056002    3 
ERR-ANALYS (DATA-ERR) Vertical error bars are dominated by the    C3056002    4 
           statistical uncertainties.                             C3056002    5 
STATUS     (CURVE,,S.Hudan+,J,PR/C,107,064612,2023) Fig. - 2      C3056002    6 
ENDBIB               4          0                                 C3056002    7 
NOCOMMON             0          0                                 C3056002    8 
DATA                 4         41                                 C3056002    9 
EN-CM      EN-RSL     DATA       DATA-ERR                         C3056002   10 
MEV        MEV        MB         MB                               C3056002   11 
      9.864      0.400  3.940E+02  2.037E+01                      C3056002   12 
     10.136      0.384  4.417E+02  2.945E+01                      C3056002   13 
     10.396      0.411  4.642E+02  2.013E+01                      C3056002   14 
     10.647      0.400  4.873E+02  2.396E+01                      C3056002   15 
     10.887      0.384  5.549E+02  3.008E+01                      C3056002   16 
     11.132      0.363  5.228E+02  2.115E+01                      C3056002   17 
     11.358      0.376  5.004E+02  2.212E+01                      C3056002   18 
     11.642      0.301  5.067E+02  3.222E+01                      C3056002   19 
     11.868      0.378  5.798E+02  2.338E+01                      C3056002   20 
     12.086      0.336  6.009E+02  2.192E+01                      C3056002   21 
     12.326      0.368  6.320E+02  3.426E+01                      C3056002   22 
     12.582      0.384  6.204E+02  2.421E+01                      C3056002   23 
     12.755      0.338  6.551E+02  2.480E+01                      C3056002   24 
     13.000      0.333  6.369E+02  3.759E+01                      C3056002   25 
     13.253      0.016  6.991E+02  2.371E+01                      C3056002   26 
     13.415      0.354  7.197E+02  2.616E+01                      C3056002   27 
     13.660      0.264  6.953E+02  3.938E+01                      C3056002   28 
     13.925      0.352  7.638E+02  2.272E+01                      C3056002   29 
     14.148      0.320  7.009E+02  2.914E+01                      C3056002   30 
     14.340      0.352  6.613E+02  3.599E+01                      C3056002   31 
     14.566      0.317  6.697E+02  2.237E+01                      C3056002   32 
     14.755      0.337  7.265E+02  2.182E+01                      C3056002   33 
     14.774      0.302  6.910E+02  2.274E+01                      C3056002   34 
     14.963      0.288  7.898E+02  3.685E+01                      C3056002   35 
     15.203      0.272  7.815E+02  2.047E+01                      C3056002   36 
     15.363      0.304  7.898E+02  2.773E+01                      C3056002   37 
     15.379      0.336  7.610E+02  2.776E+01                      C3056002   38 
     15.603      0.320  7.333E+02  3.606E+01                      C3056002   39 
     15.827      0.240  7.919E+02  2.279E+01                      C3056002   40 
     15.986      0.352  7.671E+02  3.773E+01                      C3056002   41 
     16.210      0.336  7.733E+02  3.803E+01                      C3056002   42 
     16.450      0.320  7.733E+02  2.821E+01                      C3056002   43 
     16.594      0.272  8.068E+02  2.321E+01                      C3056002   44 
     16.818      0.288  7.857E+02  3.864E+01                      C3056002   45 
     17.026      0.336  8.241E+02  2.371E+01                      C3056002   46 
     17.201      0.288  7.692E+02  2.411E+01                      C3056002   47 
     17.793      0.304  7.333E+02  2.487E+01                      C3056002   48 
     18.400      0.288  8.176E+02  2.563E+01                      C3056002   49 
     18.992      0.256  7.962E+02  3.107E+01                      C3056002   50 
     19.567      0.288  8.025E+02  2.927E+01                      C3056002   51 
     20.111      0.288  8.576E+02  2.909E+01                      C3056002   52 
ENDDATA             43          0                                 C3056002   53 
ENDSUBENT           52          0                                 C305600299999 
ENDENTRY             2          0                                 C305699999999 
