      4.241      0.014      4450.       584.                      C3078002  118 
      4.343      0.014      4190.       547.                      C3078002  119 
ENDDATA             78          0                                 C3078002  120 
ENDSUBENT          119          0                                 C307800299999 
SUBENT        C3078003   20250825                             C252C3078003    1 
BIB                  3         12                                 C3078003    2 
REACTION   (42-MO-94(P,G)43-TC-95,,SGV)                           C3078003    3 
ERR-ANALYS (DATA-ERR) The uncertainty of the reaction rate was    C3078003    4 
           obtained by performing a Monte Carlo technique. The    C3078003    5 
           cross-section values were randomly sampled from a      C3078003    6 
           Gaussian distribution with the mean and standard       C3078003    7 
           deviation from the measured point and then the         C3078003    8 
           integral was computed. This process was repeated 100   C3078003    9 
           000 times to obtain a probability distribution for     C3078003   10 
           the true value of the reaction rate at each            C3078003   11 
           temperature.                                           C3078003   12 
STATUS     (DEP,C3078002)                                         C3078003   13 
           (TABLE,,R.Kelmar+,J,PR/C,109,035805,2024) Table - II   C3078003   14 
ENDBIB              12          0                                 C3078003   15 
NOCOMMON             0          0                                 C3078003   16 
DATA                 3          9                                 C3078003   17 
KT         DATA       DATA-ERR                                    C3078003   18 
K9         CM3/S/MOL  CM3/S/MOL                                   C3078003   19 
        1.5      0.109      0.015                                 C3078003   20 
        1.6      0.237      0.028                                 C3078003   21 
        1.7      0.477      0.047                                 C3078003   22 
        1.8      0.908      0.076                                 C3078003   23 
        1.9      1.643       0.12                                 C3078003   24 
         2.       2.85       0.17                                 C3078003   25 
        2.5       26.6       0.99                                 C3078003   26 
         3.      125.7        5.7                                 C3078003   27 
        3.5       330.        37.                                 C3078003   28 
ENDDATA             11          0                                 C3078003   29 
ENDSUBENT           28          0                                 C307800399999 
ENDENTRY             3          0                                 C307899999999 
