ENTRY            C1506   20260326                             C257C1506000    1 
SUBENT        C1506001   20260326                             C257C1506001    1 
BIB                  5         11                                 C1506001    2 
TITLE      Structure of 12N using 11C+p resonance scattering      C1506001    3 
AUTHOR     (K.Perajarvi,C.Fu,G.V.Rogachev,G.Chubarian,            C1506001    4 
           V.Z.Goldberg,F.Q.Guo,D.Lee,D.M.Moltz,J.Powell,         C1506001    5 
           B.B.Skorodumov,G.Tabacaru,X.D.Tang,R.E.Tribble,        C1506001    6 
           B.A.Brown,A.Volya,J.Cerny)                             C1506001    7 
REFERENCE  (J,PR/C,74,024306,2006)                                C1506001    8 
           #doi:10.1103/PhysRevC.74.024306                        C1506001    9 
INSTITUTE  (1USABRK,1USATAM,1USAFSU,1USANOT,1USAMSU)              C1506001   10 
HISTORY    (20070119C) DR                                         C1506001   11 
           (20260313A) BP: Corrected subentries 2-3, added DOI,   C1506001   12 
                      separated metadata for the both experiments.C1506001   13 
ENDBIB              11          0                                 C1506001   14 
NOCOMMON             0          0                                 C1506001   15 
ENDSUBENT           14          0                                 C150600199999 
SUBENT        C1506002   20260326                             C257C1506002    1 
BIB                  9         34                                 C1506002    2 
REACTION   (1-H-1(6-C-11,EL)1-H-1,,DA)                            C1506002    3 
FACILITY   (CYCLO,1USABRK) Lawrence Berkeley National Laboratory'sC1506002    4 
            (LBNL) 88-inch cyclotron.                             C1506002    5 
INC-SPECT  Berkeley: 10-MeV proton cyclotron was used as a        C1506002    6 
           driver accelerator, producing 11C, which was then      C1506002    7 
           transported as CO2 and injected into the Advanced ECR  C1506002    8 
           ion source (AECR-U).                                   C1506002    9 
DETECTOR   (SIBAR) A DE (thickness 72 microm)-E (thickness 3 mm)  C1506002   10 
           Si-detector telescope was mounted on one scattering    C1506002   11 
           chamber arm, about 14.6 cm away from the target at     C1506002   12 
           Berkeley                                               C1506002   13 
SAMPLE     Berkeley: The target ladder held a 12.4-mg/cm2-thick   C1506002   14 
           nickel degrader followed by a 18.4-mg/cm2-thick (CH2)n C1506002   15 
            (= polyethylene) foil.                                C1506002   16 
METHOD     (TTM) Thick target inverse kinematics (TTIK) method    C1506002   17 
           at Berkeley includes two measurements. a) The setup    C1506002   18 
           for the 2.2- to 6.6-MeV excitation energy interval:    C1506002   19 
           Measurements at 0 degree were made possible by using   C1506002   20 
           the thick target inverse kinematics (TTIK) method.     C1506002   21 
           In addition to 0 degree data, measurements at 15       C1506002   22 
           degree in the laboratory were also carried out.        C1506002   23 
           b) The setup for the 6.5- to 11.0-MeV excitation energyC1506002   24 
            interval Measurements were performed at small angles  C1506002   25 
            (0, 5, and 10 degree in the laboratory) to maximize   C1506002   26 
           the counting statistics.                               C1506002   27 
ERR-ANALYS (DATA-ERR) Uncertainties related to the absolute       C1506002   28 
           normalizations are not included in the given error     C1506002   29 
            bars; includes some uncertainty in the corresponding  C1506002   30 
           proton background.                                     C1506002   31 
STATUS     (CURVE,,K.Perajarvi+,J,PR/C,74,024306,2006) For 5,10   C1506002   32 
           degr. data taken from Figs. 3 to 5.                    C1506002   33 
           (TABLE,,K.Perajarvi+,J,PR/C,74,024306,2006) For 0 and  C1506002   34 
           15 degree, data received from K. Perajarvi on 2/27/2007C1506002   35 
HISTORY    (20260313A) BP: Corrected subentry metadata.           C1506002   36 
ENDBIB              34          0                                 C1506002   37 
NOCOMMON             0          0                                 C1506002   38 
DATA                 4        822                                 C1506002   39 
ANG        EN-CM      DATA-CM    DATA-ERR                         C1506002   40 
ADEG       MEV        MB/SR      MB/SR                            C1506002   41 
         0.  1.600E+00  1.334E+02  2.420E+01                      C1506002   42 
         0.  1.611E+00  1.366E+02  2.420E+01                      C1506002   43 
         0.  1.623E+00  1.247E+02  2.380E+01                      C1506002   44 
         0.  1.634E+00  1.408E+02  2.410E+01                      C1506002   45 
         0.  1.645E+00  1.267E+02  2.370E+01                      C1506002   46 
         0.  1.657E+00  1.419E+02  2.400E+01                      C1506002   47 
         0.  1.668E+00  1.280E+02  2.360E+01                      C1506002   48 
         0.  1.680E+00  1.409E+02  2.380E+01                      C1506002   49 
         0.  1.691E+00  1.298E+02  2.350E+01                      C1506002   50 
         0.  1.703E+00  1.290E+02  2.340E+01                      C1506002   51 
         0.  1.715E+00  1.218E+02  2.310E+01                      C1506002   52 
         0.  1.726E+00  1.280E+02  2.320E+01                      C1506002   53 
         0.  1.738E+00  1.116E+02  2.270E+01                      C1506002   54 
         0.  1.749E+00  9.470E+01  2.230E+01                      C1506002   55 
         0.  1.761E+00  1.133E+02  2.260E+01                      C1506002   56 
         0.  1.773E+00  1.104E+02  2.240E+01                      C1506002   57 
         0.  1.784E+00  9.550E+01  2.200E+01                      C1506002   58 
         0.  1.796E+00  1.098E+02  2.220E+01                      C1506002   59 
         0.  1.808E+00  1.114E+02  2.210E+01                      C1506002   60 
         0.  1.820E+00  1.072E+02  2.200E+01                      C1506002   61 
         0.  1.831E+00  1.144E+02  2.200E+01                      C1506002   62 
         0.  1.843E+00  1.310E+02  2.230E+01                      C1506002   63 
         0.  1.855E+00  1.214E+02  2.200E+01                      C1506002   64 
         0.  1.867E+00  1.412E+02  2.230E+01                      C1506002   65 
         0.  1.879E+00  1.437E+02  2.230E+01                      C1506002   66 
         0.  1.890E+00  1.386E+02  2.200E+01                      C1506002   67 
         0.  1.902E+00  1.537E+02  2.230E+01                      C1506002   68 
         0.  1.914E+00  1.437E+02  2.200E+01                      C1506002   69 
         0.  1.926E+00  1.622E+02  2.230E+01                      C1506002   70 
         0.  1.938E+00  1.331E+02  2.150E+01                      C1506002   71 
         0.  1.950E+00  1.470E+02  2.170E+01                      C1506002   72 
         0.  1.962E+00  1.528E+02  2.180E+01                      C1506002   73 
         0.  1.974E+00  1.450E+02  2.150E+01                      C1506002   74 
         0.  1.986E+00  1.539E+02  2.160E+01                      C1506002   75 
         0.  1.998E+00  1.374E+02  2.110E+01                      C1506002   76 
         0.  2.010E+00  1.538E+02  2.140E+01                      C1506002   77 
         0.  2.022E+00  1.570E+02  2.130E+01                      C1506002   78 
         0.  2.034E+00  1.360E+02  2.070E+01                      C1506002   79 
         0.  2.046E+00  1.448E+02  2.080E+01                      C1506002   80 
         0.  2.058E+00  1.384E+02  2.060E+01                      C1506002   81 
         0.  2.070E+00  1.490E+02  2.070E+01                      C1506002   82 
         0.  2.082E+00  1.582E+02  2.080E+01                      C1506002   83 
         0.  2.094E+00  1.452E+02  2.040E+01                      C1506002   84 
         0.  2.106E+00  1.550E+02  2.050E+01                      C1506002   85 
         0.  2.118E+00  1.644E+02  2.070E+01                      C1506002   86 
         0.  2.130E+00  1.561E+02  2.040E+01                      C1506002   87 
         0.  2.143E+00  1.711E+02  2.070E+01                      C1506002   88 
         0.  2.155E+00  1.604E+02  2.030E+01                      C1506002   89 
         0.  2.167E+00  1.570E+02  2.010E+01                      C1506002   90 
         0.  2.179E+00  1.786E+02  2.060E+01                      C1506002   91 
         0.  2.191E+00  1.713E+02  2.030E+01                      C1506002   92 
         0.  2.204E+00  1.574E+02  1.980E+01                      C1506002   93 
         0.  2.216E+00  1.709E+02  2.000E+01                      C1506002   94 
         0.  2.228E+00  1.796E+02  2.020E+01                      C1506002   95 
         0.  2.240E+00  1.886E+02  2.030E+01                      C1506002   96 
         0.  2.253E+00  1.869E+02  2.020E+01                      C1506002   97 
         0.  2.265E+00  1.929E+02  2.030E+01                      C1506002   98 
         0.  2.277E+00  1.972E+02  2.030E+01                      C1506002   99 
         0.  2.290E+00  2.284E+02  2.120E+01                      C1506002  100 
         0.  2.302E+00  2.205E+02  2.090E+01                      C1506002  101 
         0.  2.314E+00  2.227E+02  2.080E+01                      C1506002  102 
         0.  2.327E+00  2.304E+02  2.100E+01                      C1506002  103 
         0.  2.339E+00  2.402E+02  2.120E+01                      C1506002  104 
         0.  2.351E+00  2.469E+02  2.140E+01                      C1506002  105 
         0.  2.364E+00  2.438E+02  2.120E+01                      C1506002  106 
         0.  2.376E+00  2.586E+02  2.160E+01                      C1506002  107 
         0.  2.389E+00  2.422E+02  2.090E+01                      C1506002  108 
         0.  2.401E+00  2.591E+02  2.150E+01                      C1506002  109 
         0.  2.413E+00  2.769E+02  2.200E+01                      C1506002  110 
         0.  2.426E+00  3.185E+02  2.360E+01                      C1506002  111 
         0.  2.438E+00  3.006E+02  2.280E+01                      C1506002  112 
         0.  2.451E+00  2.902E+02  2.230E+01                      C1506002  113 
         0.  2.463E+00  3.094E+02  2.300E+01                      C1506002  114 
         0.  2.476E+00  2.981E+02  2.240E+01                      C1506002  115 
         0.  2.488E+00  3.132E+02  2.290E+01                      C1506002  116 
         0.  2.501E+00  3.027E+02  2.250E+01                      C1506002  117 
         0.  2.513E+00  2.773E+02  2.140E+01                      C1506002  118 
         0.  2.526E+00  2.962E+02  2.200E+01                      C1506002  119 
         0.  2.538E+00  2.478E+02  2.010E+01                      C1506002  120 
         0.  2.551E+00  2.398E+02  1.970E+01                      C1506002  121 
         0.  2.563E+00  2.350E+02  1.950E+01                      C1506002  122 
         0.  2.576E+00  2.315E+02  1.930E+01                      C1506002  123 
         0.  2.589E+00  2.026E+02  1.810E+01                      C1506002  124 
         0.  2.601E+00  1.672E+02  1.690E+01                      C1506002  125 
         0.  2.614E+00  1.772E+02  1.710E+01                      C1506002  126 
         0.  2.626E+00  1.678E+02  1.670E+01                      C1506002  127 
         0.  2.639E+00  1.513E+02  1.610E+01                      C1506002  128 
         0.  2.652E+00  1.562E+02  1.610E+01                      C1506002  129 
         0.  2.664E+00  1.443E+02  1.570E+01                      C1506002  130 
         0.  2.677E+00  1.414E+02  1.550E+01                      C1506002  131 
         0.  2.689E+00  1.287E+02  1.500E+01                      C1506002  132 
         0.  2.702E+00  1.294E+02  1.500E+01                      C1506002  133 
         0.  2.715E+00  1.154E+02  1.450E+01                      C1506002  134 
         0.  2.727E+00  1.136E+02  1.430E+01                      C1506002  135 
         0.  2.740E+00  1.070E+02  1.400E+01                      C1506002  136 
         0.  2.753E+00  1.153E+02  1.420E+01                      C1506002  137 
         0.  2.766E+00  1.033E+02  1.370E+01                      C1506002  138 
         0.  2.778E+00  1.186E+02  1.410E+01                      C1506002  139 
         0.  2.791E+00  1.112E+02  1.380E+01                      C1506002  140 
         0.  2.804E+00  9.580E+01  1.330E+01                      C1506002  141 
         0.  2.816E+00  1.112E+02  1.360E+01                      C1506002  142 
         0.  2.829E+00  1.072E+02  1.340E+01                      C1506002  143 
         0.  2.842E+00  1.064E+02  1.330E+01                      C1506002  144 
         0.  2.855E+00  8.940E+01  1.270E+01                      C1506002  145 
         0.  2.867E+00  8.850E+01  1.260E+01                      C1506002  146 
         0.  2.880E+00  9.490E+01  1.270E+01                      C1506002  147 
         0.  2.893E+00  9.150E+01  1.250E+01                      C1506002  148 
         0.  2.906E+00  8.970E+01  1.240E+01                      C1506002  149 
         0.  2.919E+00  9.240E+01  1.240E+01                      C1506002  150 
         0.  2.931E+00  8.650E+01  1.210E+01                      C1506002  151 
         0.  2.944E+00  9.490E+01  1.230E+01                      C1506002  152 
         0.  2.957E+00  1.026E+02  1.240E+01                      C1506002  153 
         0.  2.970E+00  9.250E+01  1.200E+01                      C1506002  154 
         0.  2.983E+00  1.092E+02  1.250E+01                      C1506002  155 
         0.  2.995E+00  1.036E+02  1.220E+01                      C1506002  156 
         0.  3.008E+00  1.154E+02  1.250E+01                      C1506002  157 
         0.  3.021E+00  1.034E+02  1.210E+01                      C1506002  158 
         0.  3.034E+00  1.346E+02  1.300E+01                      C1506002  159 
         0.  3.047E+00  1.308E+02  1.280E+01                      C1506002  160 
         0.  3.060E+00  1.269E+02  1.260E+01                      C1506002  161 
         0.  3.072E+00  1.288E+02  1.260E+01                      C1506002  162 
         0.  3.085E+00  1.385E+02  1.280E+01                      C1506002  163 
         0.  3.098E+00  1.310E+02  1.250E+01                      C1506002  164 
         0.  3.111E+00  1.261E+02  1.230E+01                      C1506002  165 
         0.  3.124E+00  1.389E+02  1.270E+01                      C1506002  166 
         0.  3.137E+00  1.360E+02  1.250E+01                      C1506002  167 
         0.  3.150E+00  1.218E+02  1.190E+01                      C1506002  168 
         0.  3.163E+00  1.358E+02  1.240E+01                      C1506002  169 
         0.  3.176E+00  1.455E+02  1.260E+01                      C1506002  170 
         0.  3.189E+00  1.443E+02  1.250E+01                      C1506002  171 
         0.  3.201E+00  1.464E+02  1.260E+01                      C1506002  172 
         0.  3.214E+00  1.581E+02  1.290E+01                      C1506002  173 
         0.  3.227E+00  1.373E+02  1.210E+01                      C1506002  174 
         0.  3.240E+00  1.546E+02  1.270E+01                      C1506002  175 
         0.  3.253E+00  1.702E+02  1.330E+01                      C1506002  176 
         0.  3.266E+00  1.561E+02  1.260E+01                      C1506002  177 
         0.  3.279E+00  1.625E+02  1.280E+01                      C1506002  178 
         0.  3.292E+00  1.479E+02  1.220E+01                      C1506002  179 
         0.  3.305E+00  1.591E+02  1.260E+01                      C1506002  180 
         0.  3.318E+00  1.581E+02  1.250E+01                      C1506002  181 
         0.  3.331E+00  1.651E+02  1.270E+01                      C1506002  182 
         0.  3.344E+00  1.594E+02  1.250E+01                      C1506002  183 
         0.  3.357E+00  1.653E+02  1.270E+01                      C1506002  184 
         0.  3.370E+00  1.655E+02  1.260E+01                      C1506002  185 
         0.  3.383E+00  1.625E+02  1.240E+01                      C1506002  186 
         0.  3.396E+00  1.762E+02  1.300E+01                      C1506002  187 
         0.  3.409E+00  1.770E+02  1.290E+01                      C1506002  188 
         0.  3.422E+00  1.871E+02  1.330E+01                      C1506002  189 
         0.  3.435E+00  1.807E+02  1.300E+01                      C1506002  190 
         0.  3.448E+00  1.811E+02  1.300E+01                      C1506002  191 
         0.  3.461E+00  1.713E+02  1.250E+01                      C1506002  192 
         0.  3.474E+00  1.798E+02  1.290E+01                      C1506002  193 
         0.  3.487E+00  1.807E+02  1.290E+01                      C1506002  194 
         0.  3.500E+00  1.894E+02  1.320E+01                      C1506002  195 
         0.  3.513E+00  2.003E+02  1.360E+01                      C1506002  196 
         0.  3.526E+00  1.959E+02  1.340E+01                      C1506002  197 
         0.  3.539E+00  1.938E+02  1.330E+01                      C1506002  198 
         0.  3.552E+00  2.019E+02  1.360E+01                      C1506002  199 
         0.  3.565E+00  2.003E+02  1.350E+01                      C1506002  200 
         0.  3.578E+00  2.095E+02  1.390E+01                      C1506002  201 
         0.  3.591E+00  2.016E+02  1.350E+01                      C1506002  202 
         0.  3.604E+00  2.035E+02  1.350E+01                      C1506002  203 
         0.  3.617E+00  2.060E+02  1.360E+01                      C1506002  204 
         0.  3.630E+00  1.985E+02  1.320E+01                      C1506002  205 
         0.  3.643E+00  1.927E+02  1.290E+01                      C1506002  206 
         0.  3.656E+00  2.004E+02  1.330E+01                      C1506002  207 
         0.  3.669E+00  2.024E+02  1.330E+01                      C1506002  208 
         0.  3.682E+00  1.875E+02  1.260E+01                      C1506002  209 
         0.  3.695E+00  1.976E+02  1.300E+01                      C1506002  210 
         0.  3.708E+00  1.977E+02  1.300E+01                      C1506002  211 
         0.  3.722E+00  1.907E+02  1.270E+01                      C1506002  212 
         0.  3.735E+00  1.876E+02  1.250E+01                      C1506002  213 
         0.  3.748E+00  1.801E+02  1.210E+01                      C1506002  214 
         0.  3.761E+00  1.705E+02  1.170E+01                      C1506002  215 
         0.  3.774E+00  1.694E+02  1.160E+01                      C1506002  216 
         0.  3.787E+00  1.625E+02  1.130E+01                      C1506002  217 
         0.  3.800E+00  1.575E+02  1.100E+01                      C1506002  218 
         0.  3.813E+00  1.519E+02  1.070E+01                      C1506002  219 
         0.  3.826E+00  1.534E+02  1.080E+01                      C1506002  220 
         0.  3.839E+00  1.507E+02  1.060E+01                      C1506002  221 
         0.  3.852E+00  1.509E+02  1.060E+01                      C1506002  222 
         0.  3.865E+00  1.521E+02  1.060E+01                      C1506002  223 
         0.  3.878E+00  1.310E+02  9.700E+00                      C1506002  224 
         0.  3.892E+00  1.369E+02  9.900E+00                      C1506002  225 
         0.  3.905E+00  1.226E+02  9.200E+00                      C1506002  226 
         0.  3.918E+00  1.339E+02  9.700E+00                      C1506002  227 
         0.  3.931E+00  1.283E+02  9.400E+00                      C1506002  228 
         0.  3.944E+00  1.260E+02  9.300E+00                      C1506002  229 
         0.  3.957E+00  1.236E+02  9.200E+00                      C1506002  230 
         0.  3.970E+00  1.127E+02  8.700E+00                      C1506002  231 
         0.  3.983E+00  1.151E+02  8.700E+00                      C1506002  232 
         0.  3.996E+00  1.103E+02  8.500E+00                      C1506002  233 
         0.  4.009E+00  9.920E+01  8.000E+00                      C1506002  234 
         0.  4.023E+00  9.720E+01  7.900E+00                      C1506002  235 
         0.  4.036E+00  1.088E+02  8.400E+00                      C1506002  236 
         0.  4.049E+00  1.048E+02  8.200E+00                      C1506002  237 
         0.  4.062E+00  1.049E+02  8.100E+00                      C1506002  238 
         0.  4.075E+00  1.020E+02  8.000E+00                      C1506002  239 
         0.  4.088E+00  9.950E+01  7.900E+00                      C1506002  240 
         0.  4.101E+00  1.006E+02  7.900E+00                      C1506002  241 
         0.  4.114E+00  9.790E+01  7.700E+00                      C1506002  242 
         0.  4.127E+00  9.820E+01  7.700E+00                      C1506002  243 
         0.  4.141E+00  9.740E+01  7.700E+00                      C1506002  244 
         0.  4.154E+00  1.015E+02  7.800E+00                      C1506002  245 
         0.  4.167E+00  9.270E+01  7.400E+00                      C1506002  246 
         0.  4.180E+00  9.660E+01  7.600E+00                      C1506002  247 
         0.  4.193E+00  9.240E+01  7.400E+00                      C1506002  248 
         0.  4.206E+00  9.740E+01  7.600E+00                      C1506002  249 
         0.  4.219E+00  9.920E+01  7.600E+00                      C1506002  250 
