ENTRY            C3100   20260113                             C253C3100000    1 
SUBENT        C3100001   20260113                             C253C3100001    1 
BIB                 10         27                                 C3100001    2 
TITLE      Cross section measurement of 14N(p,gamma)15O in the    C3100001    3 
           CNO cycle                                              C3100001    4 
AUTHOR     (Q.Li,J.Gorres,R.J.deBoer,G.Imbriani,A.Best,A.Kontos,  C3100001    5 
           P.J.Leblanc,E.Uberseder,M.Wiescher)                    C3100001    6 
REFERENCE  (J,PR/C,93,055806,2016)                                C3100001    7 
           #doi:10.1103/PhysRevC.93.055806                        C3100001    8 
INSTITUTE  (1USANOT,2ITYNAP)                                      C3100001    9 
FACILITY   (VDG,1USANOT) The 1MV JN and 4 MV KN Van de Graaff     C3100001   10 
           accelerators located at the nuclear science            C3100001   11 
           laboratory at the University of Notre Dame.            C3100001   12 
INC-SPECT  Typical proton-beam intensities were between 10 and    C3100001   13 
           40 miroA.                                              C3100001   14 
DETECTOR   (HPGE)                                                 C3100001   15 
SAMPLE     Both TiN sputtered targets and implanted-14N solid     C3100001   16 
           targets were utilized. The natural TiN targets (50     C3100001   17 
           nm) were produced by sputtering a layer of Ti onto a   C3100001   18 
           Ta backing in a nitrogen atmosphere. The targets were  C3100001   19 
           made at the University of Bochum by implanting 14N     C3100001   20 
           ions onto a Ta backing using a 500 kV                  C3100001   21 
           Cockcroft-Walton accelerator. Several thin targets     C3100001   22 
           and one thick target were produced. The energy loss    C3100001   23 
           of the protons in the thin targets at the Ep = 278     C3100001   24 
           keV resonance was between 8.4 and 14.8 keV with an     C3100001   25 
           uncertainty of ~6%. The thick target corresponded to   C3100001   26 
           a proton energy loss of 72.4+-5.7 keV.                 C3100001   27 
STATUS     (APRVD) Approved by R.J.deBoer on January 16, 2026.    C3100001   28 
HISTORY    (20260113C) BP                                         C3100001   29 
ENDBIB              27          0                                 C3100001   30 
NOCOMMON             0          0                                 C3100001   31 
ENDSUBENT           30          0                                 C310000199999 
SUBENT        C3100002   20260113                             C253C3100002    1 
BIB                  5         28                                 C3100002    2 
REACTION   (7-N-14(P,G)8-O-15,PAR,DA)                             C3100002    3 
METHOD     (GSPEC) For the angular distribution setup, five 20%   C3100002    4 
           high-purity-germanium (HPGe) detectors were placed at  C3100002    5 
           thetalab = 0, 45, 90(270), 135(225), and 150 degrees   C3100002    6 
           relative to the beam axis. The ground state is a       C3100002    7 
           complex mixture of direct and resonance capture        C3100002    8 
           components and the interferences between them. The     C3100002    9 
           experimental angular distribution can be described as  C3100002   10 
           Wexpt(theta)=a0*(1+Sum ai*Qi*Pi(cos theta)), where     C3100002   11 
           ai are the angular distribution coefficients and Qi    C3100002   12 
           are the attenuation factors due to the finite size of  C3100002   13 
           the detector. The Pi(cos theta) are the Legendre       C3100002   14 
           polynomials of order i. The Qi, which are geometric    C3100002   15 
           correction factors for the finite solid angle subtendedC3100002   16 
            by the detector.                                      C3100002   17 
ERR-ANALYS (ERR-S) Statistical uncertainties.                     C3100002   18 
           (ERR-SYS) Systematic uncertainty.                      C3100002   19 
CORRECTION Angular attenuation coefficients used for solid angle  C3100002   20 
           corrections:                                           C3100002   21 
           Q-coeff    Value                                       C3100002   22 
           0          1                                           C3100002   23 
           1          0.923                                       C3100002   24 
           2          0.9                                         C3100002   25 
           3          0.867                                       C3100002   26 
           4          0.822                                       C3100002   27 
STATUS     (TABLE,,Q.Li+,J,PR/C,93,055806,2016) Data were         C3100002   28 
           provided by R.J.deBoer on January 8, 2026.             C3100002   29 
           (COREL,C3100004) Data from second setup.               C3100002   30 
ENDBIB              28          0                                 C3100002   31 
COMMON               2          3                                 C3100002   32 
E-LVL      ERR-SYS                                                C3100002   33 
MEV        PER-CENT                                               C3100002   34 
        0.0        7.0                                            C3100002   35 
ENDCOMMON            3          0                                 C3100002   36 
DATA                 4        181                                 C3100002   37 
        45.     2.5687  2.633E-07  1.206E-08                      C3100002   98 
        45.     2.6679  1.439E-07  6.091E-09                      C3100002   99 
        45.     2.7697  1.031E-07  4.217E-09                      C3100002  100 
        45.     2.8793  8.998E-08  4.131E-09                      C3100002  101 
        45.     2.9489  8.594E-08  4.072E-09                      C3100002  102 
        45.     3.0489  1.044E-07  5.221E-09                      C3100002  103 
        45.     3.1543  1.246E-07  5.477E-09                      C3100002  104 
        45.     3.2478  1.617E-07  6.823E-09                      C3100002  105 
        45.     3.3006  1.792E-07  1.043E-08                      C3100002  106 
        45.      3.324  2.511E-07  9.429E-09                      C3100002  107 
        45.     3.3486  2.943E-07  1.004E-08                      C3100002  108 
        45.     3.3739  3.837E-07  1.287E-08                      C3100002  109 
        45.     3.3985  5.729E-07  1.859E-08                      C3100002  110 
        45.     3.4242  1.869E-07  6.472E-09                      C3100002  111 
        45.     3.4474  1.108E-07  4.677E-09                      C3100002  112 
        45.     3.4722  6.707E-08  3.299E-09                      C3100002  113 
        45.     3.4997  5.696E-08  3.863E-09                      C3100002  114 
        45.     3.5216  5.759E-08  3.922E-09                      C3100002  115 
        45.     3.5496  7.039E-08  4.090E-09                      C3100002  116 
        45.      3.575  7.795E-08  4.264E-09                      C3100002  117 
        45.     3.5989  8.998E-08  4.668E-09                      C3100002  118 
        90.     0.6984  4.944E-09  4.112E-10                      C3100002  119 
        90.      0.798  9.466E-09  6.473E-10                      C3100002  120 
        90.     0.8946  1.500E-08  8.366E-10                      C3100002  121 
        90.     1.1996  2.690E-08  1.780E-09                      C3100002  122 
        90.     1.2975  4.036E-08  2.289E-09                      C3100002  123 
        90.     1.3978  5.949E-08  3.718E-09                      C3100002  124 
        90.     1.4975  8.575E-08  4.377E-09                      C3100002  125 
        90.     1.5971  1.094E-07  5.226E-09                      C3100002  126 
        90.     1.6474  1.175E-07  5.292E-09                      C3100002  127 
        90.     1.9175  2.919E-07  9.321E-09                      C3100002  128 
        90.      1.918  2.638E-07  1.310E-08                      C3100002  129 
        90.     1.9978  3.964E-07  1.150E-08                      C3100002  130 
        90.     2.0963  6.525E-07  2.307E-08                      C3100002  131 
        90.     2.1991  1.072E-06  3.231E-08                      C3100002  132 
        90.     2.2934  2.047E-06  6.554E-08                      C3100002  133 
        90.     2.4382  1.508E-06  4.520E-08                      C3100002  134 
        90.     2.4518  1.445E-06  4.097E-08                      C3100002  135 
        90.     2.5421  5.601E-07  2.010E-08                      C3100002  136 
        90.     2.5687  4.393E-07  1.821E-08                      C3100002  137 
        90.     2.6679  2.531E-07  1.004E-08                      C3100002  138 
        90.     2.7697  1.815E-07  7.259E-09                      C3100002  139 
        90.     2.8793  1.580E-07  6.668E-09                      C3100002  140 
        90.     2.9489  1.599E-07  6.897E-09                      C3100002  141 
        90.     3.0489  1.803E-07  8.463E-09                      C3100002  142 
        90.     3.1543  2.112E-07  9.434E-09                      C3100002  143 
        90.     3.2478  2.177E-07  9.930E-09                      C3100002  144 
        90.     3.3006  2.344E-07  1.531E-08                      C3100002  145 
        90.      3.324  2.658E-07  1.283E-08                      C3100002  146 
        90.     3.3486  2.732E-07  1.236E-08                      C3100002  147 
        90.     3.3739  3.339E-07  1.518E-08                      C3100002  148 
        90.     3.3985  5.700E-07  2.366E-08                      C3100002  149 
        90.     3.4242  4.506E-07  1.548E-08                      C3100002  150 
        90.     3.4474  1.487E-07  6.591E-09                      C3100002  151 
        90.     3.4722  1.267E-07  7.256E-09                      C3100002  152 
        90.     3.4997  1.177E-07  8.133E-09                      C3100002  153 
        90.     3.5216  1.280E-07  7.982E-09                      C3100002  154 
        90.     3.5496  1.523E-07  7.914E-09                      C3100002  155 
        90.      3.575  1.727E-07  8.672E-09                      C3100002  156 
        90.     3.5989  1.759E-07  8.257E-09                      C3100002  157 
       135.     0.6984  3.971E-09  4.396E-10                      C3100002  158 
       135.      0.798  6.553E-09  5.835E-10                      C3100002  159 
       135.     0.8946  1.361E-08  7.907E-10                      C3100002  160 
       135.     0.9963  3.423E-08  2.580E-09                      C3100002  161 
       135.     1.1996  2.068E-08  1.572E-09                      C3100002  162 
       135.     1.2975  2.699E-08  2.036E-09                      C3100002  163 
       135.     1.3978  4.395E-08  3.321E-09                      C3100002  164 
       135.     1.4975  5.802E-08  3.741E-09                      C3100002  165 
       135.     1.5971  7.790E-08  4.555E-09                      C3100002  166 
       135.     1.6474  8.731E-08  4.484E-09                      C3100002  167 
       135.     1.9175  2.459E-07  6.237E-09                      C3100002  168 
       135.      1.918  1.992E-07  1.174E-08                      C3100002  169 
       135.     1.9978  2.976E-07  1.021E-08                      C3100002  170 
       135.     2.0963  4.567E-07  2.009E-08                      C3100002  171 
       135.     2.1991  8.281E-07  2.721E-08                      C3100002  172 
       135.     2.2934  1.326E-06  5.081E-08                      C3100002  173 
       135.     2.4382  7.878E-07  2.826E-08                      C3100002  174 
       135.     2.4518  7.642E-07  2.502E-08                      C3100002  175 
       135.     2.5421  5.050E-07  1.701E-08                      C3100002  176 
       135.     2.5687  3.639E-07  1.558E-08                      C3100002  177 
       135.     2.6679  1.931E-07  8.139E-09                      C3100002  178 
       135.     2.7697  1.224E-07  6.025E-09                      C3100002  179 
       135.     2.8793  9.678E-08  5.435E-09                      C3100002  180 
       135.     2.9489  1.046E-07  6.234E-09                      C3100002  181 
       135.     3.0489  1.149E-07  7.993E-09                      C3100002  182 
       135.     3.1543  1.212E-07  7.999E-09                      C3100002  183 
       135.     3.2478  1.462E-07  9.317E-09                      C3100002  184 
       135.     3.3006  1.441E-07  1.332E-08                      C3100002  185 
       135.      3.324  1.706E-07  1.083E-08                      C3100002  186 
       135.     3.3486  1.728E-07  1.053E-08                      C3100002  187 
