ENTRY            C2968   20251002                             C252C2968000    1 
SUBENT        C2968001   20251002                             C252C2968001    1 
BIB                 12         55                                 C2968001    2 
TITLE      Quasielastic scattering of 7Be + natZr at sub- and     C2968001    3 
           near-barrier energies                                  C2968001    4 
AUTHOR     (K.Palli,A.Pakou,A.M.Moro,P.D.O'Malley,L.Acosta,       C2968001    5 
           A.M.Sanchez-Benitez,G.Souliotis,E.F.Aguilera,          C2968001    6 
           E.Andrade,D.Godos,O.Sgouros,V.Soukeras,C.Agodi,        C2968001    7 
           T.L.Bailey,D.W.Bardayan,C.Boomershine,M.Brodeur,       C2968001    8 
           F.Cappuzzello,S.Carmichael,M.Cavallaro,S.Dede,         C2968001    9 
           J.A.Duenas,J.Henning,K.Lee,W.S.Porter,F.Rivero,        C2968001   10 
           W.von Seeger)                                          C2968001   11 
REFERENCE  (J,PR/C,107,064613,2023)                               C2968001   12 
           #doi:10.1103/PhysRevC.107.064613                       C2968001   13 
INSTITUTE  (2GRCIOA,2GRCTUA,2SPNSEU,1USANOT,3MEXUMX,2SPNHLV,      C2968001   14 
           3MEXINI,2ITYCAT,1USATAM)                               C2968001   15 
FACILITY   (VDGT,1USANOT) UND FN tandem, the radioactive beam     C2968001   16 
           facility of the University of Notre Dame.              C2968001   17 
INC-SPECT  Primary beams of 6Li(3+) at 23.8, 24.8, 26.1, 29, and  C2968001   18 
           30 MeV were produced by the Notre Dame FN tandem       C2968001   19 
           accelerator and impinged on a primary 2.5-cm-long      C2968001   20 
           gaseous primary target containing 850 Torr of 2H. The  C2968001   21 
           intensity of the primary beams was 300 to 500 enA,     C2968001   22 
           producing secondary 7Be beams via the direct reaction  C2968001   23 
           6Li(2H,n)7Be at intensities ~5*10**5 pps. The          C2968001   24 
           produced secondary beams were collected and            C2968001   25 
           transported via the TriSol solenoid system to a        C2968001   26 
           1.95-mg/cm2-thick natZr secondary target with          C2968001   27 
           energies of 20.6, 22.1, 23.7, 27.3, and 28.2 MeV.      C2968001   28 
           Another possible explanation for the discrepancy       C2968001   29 
           could be the uncertainty in the beam energy, which     C2968001   30 
           was estimated to be of the order of +-0.5 MeV.         C2968001   31 
DETECTOR   (SISD,TELES) The quasielastic scattered nuclei,        C2968001   32 
           including the excitation to the first excited state    C2968001   33 
           of 7Be, together with other reaction products were     C2968001   34 
           detected by four silicon telescopes. The DSSSD         C2968001   35 
           detectors with dimensions of 5.4x5.4cm provide 16      C2968001   36 
           strips distributed horizontally and 16 strips          C2968001   37 
           vertically, allowing a pixel by pixel analysis and an  C2968001   38 
           interstrip rejection.                                  C2968001   39 
SAMPLE     A natZr target of 1.95 mg/cm2 thickness.               C2968001   40 
METHOD     (EDE) The telescopes produced an excellent             C2968001   41 
           discrimination between the 7Be recoils and the         C2968001   42 
           various reaction products by energy via the dE-E       C2968001   43 
           technique. With appropriate gates on such spectra and  C2968001   44 
           after interstrip rejection, yields of the elastic      C2968001   45 
           scattered 7Be nuclei at various angles corresponding   C2968001   46 
           to the 16 vertical strips of each telescope were       C2968001   47 
           integrated and normalized to the target scattering     C2968001   48 
           centers, to the geometrical solid angle, and to the    C2968001   49 
           flux. The flux was adjusted at the most forward        C2968001   50 
           angles, such as the elastic scattering versus          C2968001   51 
           Rutherford, to be unity and differential cross         C2968001   52 
           sections were obtained.                                C2968001   53 
ERR-ANALYS (DATA-ERR) The assigned errors to the total reaction   C2968001   54 
           cross sections correspond to angular distributions.    C2968001   55 
STATUS     (APRVD) Approved by A.Pakou on October 5, 2025.        C2968001   56 
HISTORY    (20251002C) BP                                         C2968001   57 
ENDBIB              55          0                                 C2968001   58 
NOCOMMON             0          0                                 C2968001   59 
ENDSUBENT           58          0                                 C296800199999 
SUBENT        C2968002   20251002                             C252C2968002    1 
BIB                  3          6                                 C2968002    2 
REACTION   (40-ZR-0(4-BE-7,EL)40-ZR-0,,DA,,RTH)                   C2968002    3 
ANALYSIS   Elastic scattering calculations were performed with    C2968002    4 
           the ECIS code. The calculated angular distributions,   C2968002    5 
           as best fits.                                          C2968002    6 
STATUS     (TABLE,,K.Palli+,J,PR/C,107,064613,2023) Figs. 3-4     C2968002    7 
           Data were provided by A.Pakou on October 2, 2025.      C2968002    8 
ENDBIB               6          0                                 C2968002    9 
NOCOMMON             0          0                                 C2968002   10 
DATA                 4         81                                 C2968002   11 
ENDSUBENT           94          0                                 C296800299999 
SUBENT        C2968003   20251002                             C252C2968003    1 
BIB                  3          6                                 C2968003    2 
REACTION   (40-ZR-0(4-BE-7,EL)40-ZR-0,,SIG)                       C2968003    3 
ANALYSIS   Total reaction cross sections for 7Be+natZr, obtained  C2968003    4 
           by OMP analysis - best fits.                           C2968003    5 
STATUS     (DEP,C2968002)                                         C2968003    6 
           (TABLE,,K.Palli+,J,PR/C,107,064613,2023) Table - I     C2968003    7 
           Data were provided by A.Pakou on October 2, 2025.      C2968003    8 
ENDBIB               6          0                                 C2968003    9 
NOCOMMON             0          0                                 C2968003   10 
DATA                 3          5                                 C2968003   11 
EN         DATA       DATA-ERR                                    C2968003   12 
MEV        MB         MB                                          C2968003   13 
       19.7        6.0        4.0                                 C2968003   14 
       21.3       45.0       11.0                                 C2968003   15 
       22.9      160.0       20.0                                 C2968003   16 
       26.6      545.0       30.0                                 C2968003   17 
       27.5      638.0       60.0                                 C2968003   18 
ENDDATA              7          0                                 C2968003   19 
ENDSUBENT           18          0                                 C296800399999 
ENDENTRY             3          0                                 C296899999999 
