ENTRY            C3103   20260219                             C257C3103000    1 
SUBENT        C3103001   20260219                             C257C3103001    1 
BIB                 13         54                                 C3103001    2 
TITLE      Alpha-decay width of a near proton-threshold           C3103001    3 
           resonance in the 7Li(alpha,alpha) channel              C3103001    4 
AUTHOR     (T.Tang,W.Mittig,Y.Ayyad,C.Hebborn,J.J.Kolata,         C3103001    5 
           P.O'Malley,T.Ahn,D.Bazin,M.Couder,A.Munoz-Ramos,       C3103001    6 
           K.Manukyan,Z.Maschuq,J.S.Randhawa,N.Rijal,             C3103001    7 
           G.H.Sargsyan,W.W.von Seeger)                           C3103001    8 
REFERENCE  (J,PL/B,871,139983,2025)                               C3103001    9 
           #doi:10.1016/j.physletb.2025.139983                    C3103001   10 
REL-REF    (R,F0029001,R.Y.Cusson,J,NP,86,481,1966)               C3103001   11 
           (R,A1505001,H.Bohlen+,J,NP/A,179,504,1972)             C3103001   12 
           (O,C2788002,Y.Ayyad+,J,PRL,129,012501,2022)            C3103001   13 
           1H(10Be,EL)1H data.                                    C3103001   14 
INSTITUTE  (1USAMSU,2SPNSAU,1USANOT,1USAMSS)                      C3103001   15 
FACILITY   (VDGT,1USANOT) FN tandem electrostatic accelerator at  C3103001   16 
           the University of Notre Dame.                          C3103001   17 
INC-SPECT  The beam of an intensity of approximately 3.12*10**10  C3103001   18 
           particles per second. The helium provided a negative   C3103001   19 
           4He ion beam, generated through a helium plasma        C3103001   20 
           extracted from a duoplasmatron followed by charge      C3103001   21 
           exchange in a Li-vapor cell. The FN tandem has an      C3103001   22 
           energy spread estimated to be 5 keV so that the total  C3103001   23 
           energy spread can be estimated at 7 keV in the         C3103001   24 
           laboratory frame, giving 4.5 keV in the                C3103001   25 
           center-of-mass frame.                                  C3103001   26 
DETECTOR   (SI) Four Si detectors at laboratory angles of 30,     C3103001   27 
           60, 90, and 135 degrees relative to the incident beam  C3103001   28 
           direction.                                             C3103001   29 
SAMPLE     (3-LI-7,ENR=0.9999) A 5 microg/cm2 target composed of  C3103001   30 
           LiF with 99.99% enrichment in 7Li. The LiF was         C3103001   31 
           evaporated onto a 20 microg/cm2 Carbon backing, which  C3103001   32 
           was positioned downstream to prevent the energy loss   C3103001   33 
           and straggling from impacting the quality of the       C3103001   34 
           excitation functions. The main contaminants present    C3103001   35 
           in the target were H, 12C, 16O and 19F. This target    C3103001   36 
           thickness was chosen to ensure beam energy loss below  C3103001   37 
           10 keV, providing high resolution in the excitation    C3103001   38 
           function and characterizing the narrow resonance with  C3103001   39 
           an expected width of about 20 keV. The energy loss     C3103001   40 
           calculated with LISE++ is 4 keV in the laboratory frameC3103001   41 
            (3 keV in the center-of-mass frame). Considering that C3103001   42 
           the target was tilted at 45 degrees to the beam        C3103001   43 
           direction, the energy loss was below 5 keV.            C3103001   44 
METHOD     (TOF) 15.4 cm flight path. The experiment was          C3103001   45 
           conducted in the reaction chamber located in the       C3103001   46 
           vault upstream of TriSol. The 7Li target foils were    C3103001   47 
           positioned at the center of the chamber. To            C3103001   48 
           compensate for the thin target thickness, each         C3103001   49 
           detector had a solid angle of 13 msr. The absolute     C3103001   50 
           cross-section normalization was obtained by            C3103001   51 
           comparison with previous data from Cusson and Bohlen.  C3103001   52 
ERR-ANALYS (DATA-ERR) The error bar used in plots are estimated   C3103001   53 
           at 3%.                                                 C3103001   54 
STATUS     (APRVD) Approved by T.Tang on March 5, 2026.           C3103001   55 
HISTORY    (20260219C) BP                                         C3103001   56 
ENDBIB              54          0                                 C3103001   57 
NOCOMMON             0          0                                 C3103001   58 
ENDSUBENT           57          0                                 C310300199999 
SUBENT        C3103002   20260219                             C257C3103002    1 
BIB                  2          3                                 C3103002    2 
REACTION   (3-LI-7(A,EL)3-LI-7,,DA)                               C3103002    3 
STATUS     (TABLE,,T.Tang+,J,PL/B,871,139983,2025) Fig. 4         C3103002    4 
           Data were provided by T.Tang on March 3, 2026.         C3103002    5 
ENDBIB               3          0                                 C3103002    6 
COMMON               3          3                                 C3103002    7 
EN-MIN     EN-MAX     EN-RSL                                      C3103002    8 
MEV        MEV        KEV                                         C3103002    9 
       3.92       4.56        7.0                                 C3103002   10 
ENDCOMMON            3          0                                 C3103002   11 
DATA                 4         93                                 C3103002   12 
ANG        E-EXC-CMP  DATA       DATA-ERR                         C3103002   13 
ADEG       MEV        B/SR       B/SR                             C3103002   14 
       60.0     11.579    0.11499  0.0034497                      C3103002   15 
       60.0     11.553    0.12634  0.0037902                      C3103002   16 
       60.0     11.528    0.13063   0.003919                      C3103002   17 
       60.0     11.502    0.13146  0.0039438                      C3103002   18 
       60.0     11.477    0.11056  0.0033167                      C3103002   19 
       60.0     11.470    0.11095  0.0033285                      C3103002   20 
       60.0     11.464    0.11064  0.0033191                      C3103002   21 
       60.0     11.458    0.09671  0.0029014                      C3103002   22 
       60.0     11.451    0.09165  0.0027495                      C3103002   23 
       60.0     11.445    0.08605  0.0025814                      C3103002   24 
       60.0     11.439    0.08423  0.0025269                      C3103002   25 
       60.0     11.432     0.0834  0.0025019                      C3103002   26 
       60.0     11.426    0.07906  0.0023718                      C3103002   27 
       60.0     11.419    0.07285  0.0021855                      C3103002   28 
       60.0     11.407    0.07358  0.0022074                      C3103002   29 
       60.0     11.400    0.07286  0.0021859                      C3103002   30 
       60.0     11.394    0.07314  0.0021943                      C3103002   31 
       60.0     11.388     0.0924  0.0027718                      C3103002   32 
       60.0     11.381    0.09377   0.002813                      C3103002   33 
       60.0     11.375    0.09792  0.0029377                      C3103002   34 
       60.0     11.369    0.09224  0.0027671                      C3103002   35 
       60.0     11.362    0.09082  0.0027245                      C3103002   36 
       60.0     11.356    0.09288  0.0027863                      C3103002   37 
       60.0     11.349    0.08866  0.0026597                      C3103002   38 
       60.0     11.324    0.08617  0.0025851                      C3103002   39 
       60.0     11.299    0.08482  0.0025445                      C3103002   40 
       60.0     11.273    0.07693   0.002308                      C3103002   41 
       60.0     11.248    0.06855  0.0020565                      C3103002   42 
       60.0     11.222     0.0702   0.002106                      C3103002   43 
       60.0     11.197    0.06622  0.0019865                      C3103002   44 
       60.0     11.171    0.06211  0.0018633                      C3103002   45 
       90.0     11.579    0.08111  0.0024334                      C3103002   46 
       90.0     11.553    0.08299  0.0024897                      C3103002   47 
       90.0     11.528    0.08171  0.0024513                      C3103002   48 
       90.0     11.502    0.09534  0.0028602                      C3103002   49 
       90.0     11.477    0.11564  0.0034693                      C3103002   50 
       90.0     11.470    0.12718  0.0038155                      C3103002   51 
       90.0     11.464    0.13762  0.0041287                      C3103002   52 
       90.0     11.458    0.12169  0.0036508                      C3103002   53 
       90.0     11.451    0.11784  0.0035353                      C3103002   54 
       90.0     11.445    0.10804  0.0032413                      C3103002   55 
       90.0     11.439    0.10157  0.0030471                      C3103002   56 
       90.0     11.432    0.09379  0.0028136                      C3103002   57 
       90.0     11.426    0.08585  0.0025756                      C3103002   58 
       90.0     11.419    0.07415  0.0022245                      C3103002   59 
       90.0     11.407    0.06618  0.0019855                      C3103002   60 
       90.0     11.400    0.06338  0.0019013                      C3103002   61 
       90.0     11.394    0.05913  0.0017738                      C3103002   62 
       90.0     11.388    0.06988  0.0020964                      C3103002   63 
       90.0     11.381    0.06771  0.0020313                      C3103002   64 
       90.0     11.375    0.06939  0.0020816                      C3103002   65 
       90.0     11.369    0.06164  0.0018491                      C3103002   66 
       90.0     11.362    0.05899  0.0017696                      C3103002   67 
       90.0     11.356    0.05942  0.0017824                      C3103002   68 
       90.0     11.349    0.05644  0.0016932                      C3103002   69 
       90.0     11.324    0.05456  0.0016369                      C3103002   70 
       90.0     11.299    0.06313  0.0018938                      C3103002   71 
       90.0     11.273    0.07448  0.0022342                      C3103002   72 
       90.0     11.248    0.06709  0.0020128                      C3103002   73 
       90.0     11.222    0.05789  0.0017368                      C3103002   74 
       90.0     11.197    0.04957   0.001487                      C3103002   75 
       90.0     11.171    0.04314  0.0012941                      C3103002   76 
      135.0     11.579   0.044056  0.0013217                      C3103002   77 
      135.0     11.553   0.039393  0.0011818                      C3103002   78 
      135.0     11.528   0.020429  0.0006129                      C3103002   79 
      135.0     11.502    0.02086  0.0006258                      C3103002   80 
      135.0     11.477   0.057741  0.0017322                      C3103002   81 
      135.0     11.470   0.075362  0.0022609                      C3103002   82 
      135.0     11.464   0.086562  0.0025969                      C3103002   83 
      135.0     11.458   0.086424  0.0025927                      C3103002   84 
      135.0     11.451   0.099231  0.0029769                      C3103002   85 
