ENTRY            10958   20260110                             152510958000    1 
SUBENT        10958001   20260110                             152510958001    1 
BIB                 14         30                                 10958001    2 
INSTITUTE  (1USATNL,1USADKE,1USANCA)                              10958001    3 
REFERENCE  (J,NP/A,390,509,1982)                                  10958001    4 
           #doi:10.1016/0375-9474(82)90281-0                      10958001    5 
           (C,79KNOX,,143,1979)                                   10958001    6 
AUTHOR     (S.M.El-Kadi,C.E.Nelson,F.O.Purser,R.L.Walter,         10958001    7 
           A.Beyerle,C.R.Gould,L.W.Seagondollar)                  10958001    8 
TITLE      Elastic and inelastic scattering of neutrons from      10958001    9 
            54-,56-Fe and 63-,65-Cu  (part I)                     10958001   10 
FACILITY   (VDGT,1USATNL)                                         10958001   11 
INC-SOURCE (D-D)                                                  10958001   12 
METHOD     (TOF)                                                  10958001   13 
INC-SPECT  Incident neutron resolution varies from 425 keV at     10958001   14 
             8 MeV to 215 keV at 14 MeV                           10958001   15 
DETECTOR   (SCIN) 3 NE-218 liquid organic scintillators, one      10958001   16 
             used as a flux monitor and the others for detection  10958001   17 
             of scattered neutrons and located at 4 and 6 meters  10958001   18 
             from target                                          10958001   19 
MONITOR    (1-H-1(N,EL)1-H-1,,DA)                                 10958001   20 
CORRECTION Data corrected for beam attenuation, multiple          10958001   21 
             scattering, detector efficiency and geometry.        10958001   22 
ERR-ANALYS (ERR-S) Statistical uncertainty.                       10958001   23 
           (ERR-1)  Systematic error includes about 3% for        10958001   24 
             detector efficiency                                  10958001   25 
STATUS     (TABLE) Data received in private communication from    10958001   26 
            R.L.Walter, 15/2/83.                                  10958001   27 
           (APRVD) R.L.Walter, 83/8/2.                            10958001   28 
HISTORY    (19830526C)                                            10958001   29 
           (20200226U) OS. ERR-ANALYS updated, converted to lower 10958001   30 
             case, minor BIB changes                              10958001   31 
           (20251229A) OS. ANG-ERR moved to Subs.2-9              10958001   32 
ENDBIB              30          0                                 10958001   33 
COMMON               2          3                                 10958001   34 
EN-ERR     ERR-1                                                  10958001   35 
KEV        PER-CENT                                               10958001   36 
 100.         3.                                                  10958001   37 
ENDCOMMON            3          0                                 10958001   38 
ENDSUBENT           37          0                                 1095800199999 
SUBENT        10958002   20260110                             152510958002    1 
BIB                  3          5                                 10958002    2 
REACTION   (26-FE-54(N,EL)26-FE-54,,DA)                           10958002    3 
SAMPLE     (26-FE-54,ENR=0.976) Metallic cylinder of 97.6% 54-Fe, 10958002    4 
            0.95 cm in radius, 2.40 cm high and containing        10958002    5 
            50.9 grams of material                                10958002    6 
HISTORY    (20251229A) ANG-ERR moved from Sub.1                   10958002    7 
ENDBIB               5          0                                 10958002    8 
COMMON               1          3                                 10958002    9 
ANG-ERR                                                           10958002   10 
ADEG                                                              10958002   11 
 .1                                                               10958002   12 
ENDCOMMON            3          0                                 10958002   13 
DATA                 4        105                                 10958002   14 
EN         ANG        DATA       ERR-S                            10958002   15 
MEV        ADEG       MB/SR      MB/SR                            10958002   16 
  7.96       29.65     835.19      36.75                          10958002   17 
  7.96       34.48     487.81      20.98                          10958002   18 
  7.96       39.30     304.95      14.03                          10958002   19 
  7.96       44.11     143.22       7.16                          10958002   20 
  7.96       48.83      66.93       3.41                          10958002   21 
  7.96       53.57      25.18       1.56                          10958002   22 
  7.96       58.96       6.97       0.56                          10958002   23 
  7.96       66.14       3.87       0.48                          10958002   24 
  7.96       71.51       7.71       0.56                          10958002   25 
  7.96       76.14      10.11       0.62                          10958002   26 
  7.96       80.87      12.42       0.70                          10958002   27 
  7.96       85.72      13.72       0.77                          10958002   28 
  7.96       90.64      13.54       0.76                          10958002   29 
  7.96       95.59      13.78       0.76                          10958002   30 
  7.96      100.52      14.00       0.70                          10958002   31 
  7.96      105.39      12.84       0.64                          10958002   32 
  7.96      110.22      12.63       0.63                          10958002   33 
  7.96      115.00      10.41       0.68                          10958002   34 
  7.96      119.74       7.50       0.49                          10958002   35 
  7.96      124.56       4.77       0.31                          10958002   36 
  7.96      129.74       2.77       0.19                          10958002   37 
  7.96      135.49       2.28       0.16                          10958002   38 
  7.96      140.93       3.39       0.23                          10958002   39 
  7.96      145.89       5.94       0.40                          10958002   40 
  7.96      150.70       8.88       0.58                          10958002   41 
  7.96      155.49      12.67       0.71                          10958002   42 
  9.94       29.61     633.32      29.13                          10958002   43 
  9.94       34.40     363.26      18.16                          10958002   44 
  9.94       39.21     185.21      10.19                          10958002   45 
  9.94       44.04      81.89       4.59                          10958002   46 
  9.94       49.01      31.39       2.20                          10958002   47 
  9.94       54.39      10.47       0.84                          10958002   48 
  9.94       60.26       5.65       0.47                          10958002   49 
  9.94       65.89       5.82       0.45                          10958002   50 
  9.94       71.12       6.77       0.49                          10958002   51 
  9.94       76.15       9.28       0.64                          10958002   52 
  9.94       81.10      11.34       0.74                          10958002   53 
  9.94       86.01      12.87       0.64                          10958002   54 
  9.94       90.89      15.06       0.81                          10958002   55 
  9.94       95.77      15.19       0.88                          10958002   56 
  9.94      100.60      15.57       0.89                          10958002   57 
  9.94      105.40      14.87       0.85                          10958002   58 
  9.94      110.18      11.84       0.70                          10958002   59 
  9.94      114.97       9.17       0.49                          10958002   60 
  9.94      119.84       6.62       0.36                          10958002   61 
  9.94      124.94       3.91       0.23                          10958002   62 
  9.94      130.38       2.78       0.16                          10958002   63 
  9.94      135.90       3.27       0.19                          10958002   64 
  9.94      141.10       4.88       0.27                          10958002   65 
  9.94      145.97       8.70       0.45                          10958002   66 
  9.94      150.67      11.84       0.66                          10958002   67 
  9.94      155.26      15.00       1.13                          10958002   68 
 11.93       29.45     404.04      21.41                          10958002   69 
 11.93       34.21     218.24      12.66                          10958002   70 
 11.93       39.08      91.06       5.74                          10958002   71 
