ENTRY            F0928   20251227                             F107F0928000    1 
SUBENT        F0928001   20251227                             F107F0928001    1 
BIB                  7         14                                 F0928001    2 
TITLE      A study of some 3He induced reactions on 13C and the   F0928001    3 
           structure of 16O                                       F0928001    4 
AUTHOR     (H.R.Weller,N.R.Roberson,D.R.Tilley)                   F0928001    5 
INSTITUTE  (1USADKE,1USANCS)                                      F0928001    6 
REFERENCE  (J,NP/A,122,529,1968)                                  F0928001    7 
           #doi:10.1016/0375-9474(68)90575-7                      F0928001    8 
FACILITY   (VDG,1USADKE) 4 MeV Van de Graaff accelerator.         F0928001    9 
INC-SOURCE The doubly ionized 3He beam was used which provided    F0928001   10 
           0.2 mu-A of 3He particles on target with energies up   F0928001   11 
           to 8.2 MeV.                                            F0928001   12 
HISTORY    (20080425C)                                            F0928001   13 
           (20100217A) Correction was made in the AUTHOR record.  F0928001   14 
           (20230126A) Corrections were done in Sub 007, 008.     F0928001   15 
           (20251227U) SD: Corrections in all Subents.            F0928001   16 
ENDBIB              14          0                                 F0928001   17 
NOCOMMON             0          0                                 F0928001   18 
ENDSUBENT           17          0                                 F092800199999 
SUBENT        F0928002   20251227                             F107F0928002    1 
BIB                  8         15                                 F0928002    2 
REACTION   (6-C-13(HE3,A)6-C-12,PAR,DA)                           F0928002    3 
MONITOR    (6-C-13(HE3,A)6-C-12,PAR,DA)                           F0928002    4 
MONIT-REF  (,H.D.Holmgren,J,PR,106,100,1957)                      F0928002    5 
SAMPLE     (6-C-13,ENR=0.60) The technique of cracking 60%        F0928002    6 
           enriched 13C methyl iodide on a thin nickel foil and   F0928002    7 
           dissolving the foil in acid was used to obtain         F0928002    8 
           self-supporting targets of about 75 ug/cm2 thickness.  F0928002    9 
DETECTOR   (SIBAR) Four 300 um surface barrier detectors          F0928002   10 
           mounted in a 30 cm scattering chamber were used.       F0928002   11 
ERR-ANALYS Carbon build-up on the target introduced an uncertaintyF0928002   12 
           in the percentage of 13C in the target and resulted in F0928002   13 
           an over-all error of approximately 50%                 F0928002   14 
           (ERR-S) Statistical error                              F0928002   15 
STATUS     (CURVE,,H.R.Weller+,J,NP/A,122,529,1968) Figs 3-5,18   F0928002   16 
HISTORY    (20251227U) SD: BIB updated.                           F0928002   17 
ENDBIB              15          0                                 F0928002   18 
COMMON               2          3                                 F0928002   19 
ANG-ERR-D  ERR-DIG                                                F0928002   20 
ADEG       PER-CENT                                               F0928002   21 
       0.14        0.2                                            F0928002   22 
ENDCOMMON            3          0                                 F0928002   23 
DATA                 5        576                                 F0928002   24 
E-LVL      EN         ANG-CM     DATA-CM    ERR-S                 F0928002   25 
MEV        MEV        ADEG       MU-B/SR    MU-B/SR               F0928002   26 
         0.         5.       6.47  5.502E+02  4.359E+01           F0928002   27 
         0.         5.      11.12  5.421E+02  3.611E+01           F0928002   28 
         0.         5.      17.69  9.009E+02  7.144E+01           F0928002   29 
         0.         5.      23.23  6.465E+02  3.465E+01           F0928002   30 
         0.         5.      23.55  7.419E+02  3.976E+01           F0928002   31 
         0.         5.      30.68  7.718E+02  4.136E+01           F0928002   32 
         0.         5.      34.69  6.447E+02  4.290E+01           F0928002   33 
         0.         5.      39.62  5.310E+02  4.211E+01           F0928002   34 
         0.         5.      45.80  4.620E+02  3.664E+01           F0928002   35 
         0.         5.      57.18  2.283E+02  2.098E+01           F0928002   36 
         0.         5.      67.96  1.313E+02  1.205E+01           F0928002   37 
         0.         5.      77.81  7.976E+01  8.325E+00           F0928002   38 
         0.         5.      87.68  5.718E+01  8.713E+00           F0928002   39 
         0.         5.      93.73  2.201E+02  1.465E+01           F0928002   40 
         0.         5.      98.90  9.623E+01  7.631E+00           F0928002   41 
         0.         5.     104.28  2.385E+02  1.890E+01           F0928002   42 
         0.         5.     107.95  1.643E+02  1.915E+01           F0928002   43 
         0.         5.     113.56  2.161E+02  3.289E+01           F0928002   44 
         0.         5.     117.91  2.345E+02  1.859E+01           F0928002   45 
         0.         5.     128.12  2.038E+02  2.124E+01           F0928002   46 
         0.         5.     137.01  9.405E+01  1.096E+01           F0928002   47 
         0.         5.     142.45  2.995E+01  1.120E+01           F0928002   48 
         0.         5.     146.74  2.091E+01  7.453E+00           F0928002   49 
         0.         5.     151.72  2.533E+01  9.686E+00           F0928002   50 
         0.         5.     155.61  1.031E+02  1.448E+01           F0928002   51 
         0.         6.       6.82  4.011E+02  3.795E+01           F0928002   52 
         0.         6.      11.17  4.362E+02  3.563E+01           F0928002   53 
         0.         6.      17.44  8.135E+02  1.077E+02           F0928002   54 
         0.         6.      23.62  6.947E+02  5.675E+01           F0928002   55 
         0.         6.      23.98  1.005E+03  5.558E+01           F0928002   56 
         0.         6.      28.91  8.111E+02  7.669E+01           F0928002   57 
         0.         6.      29.23  9.481E+02  7.744E+01           F0928002   58 
         0.         6.      35.10  7.983E+02  6.521E+01           F0928002   59 
         0.         6.      40.96  6.261E+02  9.046E+01           F0928002   60 
         0.         6.      46.47  3.696E+02  3.967E+01           F0928002   61 
         0.         6.      52.05  3.851E+02  6.032E+01           F0928002   62 
         0.         6.      56.91  1.761E+02  1.439E+01           F0928002   63 
         0.         6.      63.35  1.100E+02  1.723E+01           F0928002   64 
