ENTRY            F0360   20251212                             F104F0360000    1 
SUBENT        F0360001   20251212                             F104F0360001    1 
BIB                  8         17                                 F0360001    2 
TITLE      Radiative capture of protons by 11B above the peak of  F0360001    3 
           the giant dipole resonance                             F0360001    4 
AUTHOR     (G.Kernel,W.M.Mason)                                   F0360001    5 
INSTITUTE  (2UK OXF)                                              F0360001    6 
REFERENCE  (J,NP/A,123,205,1969)                                  F0360001    7 
FACILITY   (VDGT,2UK OXF)                                         F0360001    8 
SAMPLE     The target used for most of the run was 2 mg/cm2 thick F0360001    9 
           and was prepared by sintering natural boron powder.    F0360001   10 
           Additional spectra at a few energies were obtained by  F0360001   11 
           bombarding two superimposed self-supporting            F0360001   12 
           90 ug/cm2 thick enriched 11B target.                   F0360001   13 
DETECTOR   (NAICR) 24.cm x 30.cm at 90 degr. 12.5cm x 15.cm at 45 F0360001   14 
           and 135 degr.                                          F0360001   15 
HISTORY    (19851218C)                                            F0360001   16 
           (19990409U) CNPD: corrected 4-dig. year                F0360001   17 
           (20210517A) SD: Corrections in all Subents.            F0360001   18 
           (20251212U) SD: Small corrections in all Subents.      F0360001   19 
ENDBIB              17          0                                 F0360001   20 
NOCOMMON             0          0                                 F0360001   21 
ENDSUBENT           20          0                                 F036000199999 
SUBENT        F0360002   20251212                             F104F0360002    1 
BIB                  4          9                                 F0360002    2 
REACTION   (5-B-11(P,G)6-C-12,PAR,DA,,REL)                        F0360002    3 
            No explanation of relative units is given.            F0360002    4 
ERR-ANALYS (ERR-S) Statistical error                              F0360002    5 
STATUS     (CURVE,,G.Kernel+,J,NP/A,123,205,1969) Figs 3,4        F0360002    6 
HISTORY    (20210502A) SD: SF9=EXP deleted from REACTION code.    F0360002    7 
           STATUS updated. EN-SEC deleted. Accuracy of digitized  F0360002    8 
           data presentation revised. EN-ERR -> EN-ERR-DIG;       F0360002    9 
           DATA-ERR -> ERR-S.                                     F0360002   10 
           (20251212U) SD: BIB updated.                           F0360002   11 
ENDBIB               9          0                                 F0360002   12 
COMMON               1          3                                 F0360002   13 
EN-ERR-DIG                                                        F0360002   14 
MEV                                                               F0360002   15 
 0.05                                                             F0360002   16 
ENDCOMMON            3          0                                 F0360002   17 
DATA                 5        169                                 F0360002   18 
ANG        E-LVL      EN         DATA       ERR-S                 F0360002   19 
        90.      4.439      16.84      7.804      0.643           F0360002  123 
        90.      4.439      16.96      7.801      0.641           F0360002  124 
        90.      4.439      17.08      7.370      0.641           F0360002  125 
        90.      4.439      17.27      7.364      1.068           F0360002  126 
        90.      4.439      17.45      8.000      0.856           F0360002  127 
        90.      4.439      17.63      7.354      0.159           F0360002  128 
        90.      4.439      17.81      5.639      0.855           F0360002  129 
        90.      4.439      18.00      5.848      0.159           F0360002  130 
        90.      4.439      18.24      6.695      0.643           F0360002  131 
        90.      4.439      18.30      4.984      0.159           F0360002  132 
        90.      4.439      18.60      5.403      0.855           F0360002  133 
        90.      4.439      18.67      5.614      0.639           F0360002  134 
        90.      4.439      18.85      5.395      1.068           F0360002  135 
        90.      4.439      18.97      5.392      0.159           F0360002  136 
        90.      4.439      19.21      4.744      0.855           F0360002  137 
        90.      4.439      19.40      6.447      0.855           F0360002  138 
        90.      4.439      19.70      4.516      0.429           F0360002  139 
        90.      4.439      19.82      4.512      0.856           F0360002  140 
        90.      4.439      20.01      5.361      0.855           F0360002  141 
        90.      4.439      20.06      4.078      0.641           F0360002  142 
        90.      4.439      20.19      4.502      0.159           F0360002  143 
        90.      4.439      20.43      4.708      0.641           F0360002  144 
        90.      4.439      20.61      3.421      0.429           F0360002  145 
        90.      4.439      20.80      4.484      0.853           F0360002  146 
        90.      4.439      20.98      3.410      0.641           F0360002  147 
       135.         0.      12.95      4.360      0.439           F0360002  148 
       135.         0.      13.76      3.475      0.377           F0360002  149 
       135.         0.      13.94      2.971      0.377           F0360002  150 
       135.         0.      14.08      3.221      0.439           F0360002  151 
       135.         0.      14.35      2.654      0.377           F0360002  152 
       135.         0.      14.57      2.276      0.565           F0360002  153 
       135.         0.      14.80      2.525      0.503           F0360002  154 
       135.         0.      14.98      2.837      0.439           F0360002  155 
       135.         0.      15.12      2.773      0.377           F0360002  156 
       135.         0.      15.39      2.457      0.565           F0360002  157 
       135.         0.      15.61      2.016      0.377           F0360002  158 
       135.         0.      15.80      2.705      0.314           F0360002  159 
       135.         0.      15.98      2.453      0.439           F0360002  160 
       135.         0.      16.07      2.515      0.314           F0360002  161 
       135.         0.      16.16      2.012      0.314           F0360002  162 
       135.         0.      16.38      1.571      0.565           F0360002  163 
       135.         0.      16.61      1.820      0.251           F0360002  164 
       135.         0.      16.74      1.505      0.439           F0360002  165 
       135.         0.      16.97      2.319      0.502           F0360002  166 
       135.         0.      17.15      1.439      0.628           F0360002  167 
       135.         0.      17.24      1.627      0.502           F0360002  168 
       135.         0.      17.38      1.939      0.565           F0360002  169 
       135.         0.      17.60      1.624      0.440           F0360002  170 
       135.         0.      17.74      1.623      0.628           F0360002  171 
       135.         0.      17.97      1.872      0.565           F0360002  172 
       135.         0.      18.10      1.243      0.691           F0360002  173 
       135.         0.      18.42      1.617      0.503           F0360002  174 
       135.         0.      18.56      1.930      0.439           F0360002  175 
       135.         0.      18.69      1.552      0.439           F0360002  176 
       135.         0.      18.74      1.113      0.878           F0360002  177 
       135.         0.      18.96      1.550      0.377           F0360002  178 
       135.         0.      19.24      1.862      0.691           F0360002  179 
       135.         0.      19.42      1.044      0.565           F0360002  180 
       135.         0.      19.55      1.294      0.690           F0360002  181 
       135.         0.      19.78      1.544      0.628           F0360002  182 
       135.         0.      19.96      1.605      0.565           F0360002  183 
       135.         0.      20.05      0.977      0.502           F0360002  184 
       135.         0.      20.18      0.599      0.565           F0360002  185 
       135.         0.      20.32      0.347      0.691           F0360002  186 
       135.         0.      20.45      0.283      0.502           F0360002  187 
       135.         0.      20.59      1.035      0.753           F0360002  188 
       135.         0.      20.78      1.410      0.690           F0360002  189 
ENDDATA            171          0                                 F0360002  190 
ENDSUBENT          189          0                                 F036000299999 
SUBENT        F0360003   20251212                             F104F0360003    1 
BIB                  5         11                                 F0360003    2 
REACTION   (5-B-11(P,G)6-C-12,PAR,DA,,REL)                        F0360003    3 
            No explanation of relative units is given.            F0360003    4 
ERR-ANALYS (ERR-S) Statistical error                              F0360003    5 
COMMENT    Angular distributions obtained with 24 cm x 30 cm      F0360003    6 
           NaI(Tl) crystal                                        F0360003    7 
STATUS     (CURVE,,G.Kernel+,J,NP/A,123,205,1969) Figs 5,6        F0360003    8 
HISTORY    (20210502A) SD: SF9=EXP deleted from REACTION code.    F0360003    9 
           STATUS updated. EN-SEC deleted. Accuracy of digitized  F0360003   10 
           data presentation revised. ANG-ERR -> ANG-ERR-D;       F0360003   11 
           DATA-ERR -> ERR-S.                                     F0360003   12 
           (20251212U) SD: BIB updated.                           F0360003   13 
ENDBIB              11          0                                 F0360003   14 
COMMON               1          3                                 F0360003   15 
ANG-ERR-D                                                         F0360003   16 
ADEG                                                              F0360003   17 
 2.0                                                              F0360003   18 
ENDCOMMON            3          0                                 F0360003   19 
DATA                 5         84                                 F0360003   20 
EN         E-LVL      ANG        DATA       ERR-S                 F0360003   21 
MEV        MEV        ADEG       ARB-UNITS  ARB-UNITS             F0360003   22 
        13.         0.       32.6      550.0       79.9           F0360003   23 
        13.         0.       55.1      851.2       59.9           F0360003   24 
        13.         0.       73.4     1032.0       40.0           F0360003   25 
        13.         0.       93.5      923.3       90.0           F0360003   26 
        13.         0.      112.1      814.3       70.0           F0360003   27 
        13.         0.      130.9      565.3       60.1           F0360003   28 
        13.         0.      149.6      366.3       60.1           F0360003   29 
        13.      4.439       32.6     1907.0      168.7           F0360003   30 
        13.      4.439       50.5     2076.0      147.7           F0360003   31 
        13.      4.439       69.9     2034.0      147.6           F0360003   32 
        13.      4.439       87.8     2034.0      147.7           F0360003   33 
        13.      4.439      108.6     1887.0      126.5           F0360003   34 
        13.      4.439      130.7     1444.0      147.6           F0360003   35 
        13.      4.439      148.6     1254.0      126.6           F0360003   36 
