ENTRY            F0210   20251210                             F103F0210000    1 
SUBENT        F0210001   20251210                             F103F0210001    1 
BIB                  9         16                                 F0210001    2 
TITLE      Reaction mechanism in 9Be(3He,alpha)8Be(O) and         F0210001    3 
           isoscalar giant resonances in 12C                      F0210001    4 
AUTHOR     (B.Bilwes,R.Bilwes,J.L.Ferrero,A.Garcia)               F0210001    5 
REFERENCE  (J,JPR,39,805,1978) in French                          F0210001    6 
INSTITUTE  (2FR STR,2SPNVAL)                                      F0210001    7 
FACILITY   (VDG,2FR STR)                                          F0210001    8 
DETECTOR   (SOLST) Two solid-state detectors on movable table     F0210001    9 
           and a fixed detector at 90. degr.                      F0210001   10 
SAMPLE     Thin foil of 9Be (2 ug/cm2) were evaporated on         F0210001   11 
           carbon backings (20 ug/cm2)                            F0210001   12 
ADD-RES     Analysis on optical model. Potential parameters       F0210001   13 
HISTORY    (19850111C)                                            F0210001   14 
           (20190718A) SD: Major corrections in all Subents.      F0210001   15 
           Data were re-digitized. Subent 006 was split in two.   F0210001   16 
           DATA-ERR -> ERR-SYS and moved to appropriated Subents. F0210001   17 
           (20251210U) SD: Small corrections in all Subents.      F0210001   18 
ENDBIB              16          0                                 F0210001   19 
COMMON               1          3                                 F0210001   20 
E-LVL                                                             F0210001   21 
MEV                                                               F0210001   22 
 0.0                                                              F0210001   23 
ENDCOMMON            3          0                                 F0210001   24 
ENDSUBENT           23          0                                 F021000199999 
SUBENT        F0210002   20251210                             F103F0210002    1 
BIB                  4          7                                 F0210002    2 
REACTION   (4-BE-9(HE3,A)4-BE-8,PAR,DA)                           F0210002    3 
ERR-ANALYS (ERR-S) Statistical error                              F0210002    4 
           (ERR-SYS) Systematic error                             F0210002    5 
STATUS     (CURVE,,B.Bilwes+,J,JPR,39,805,1978) Fig.3             F0210002    6 
HISTORY    (20190718A) SD: SF9=EXP deleted from REACTION code.    F0210002    7 
           DATA-ERR1->ERR-S. Data re-digitized. ERR-ANALYS updatedF0210002    8 
           (20251210U) SD: STATUS updated.                        F0210002    9 
ENDBIB               7          0                                 F0210002   10 
COMMON               4          3                                 F0210002   11 
EN-ERR     ERR-SYS    EN-ERR-DIG ERR-DIG                          F0210002   12 
MEV        PER-CENT   MEV        MB/SR                            F0210002   13 
 0.05        15.         0.012      0.0017                        F0210002   14 
ENDCOMMON            3          0                                 F0210002   15 
DATA                 4         99                                 F0210002   16 
ANG        EN         DATA       ERR-S                            F0210002   17 
ADEG       MEV        MB/SR      MB/SR                            F0210002   18 
       40.0      2.466     0.3350     0.0331                      F0210002   19 
       40.0      2.971     0.2181     0.0375                      F0210002   20 
       40.0      3.219     0.3547     0.0375                      F0210002   21 
       40.0      3.451     0.5089     0.0331                      F0210002   22 
       40.0      3.708     0.5089     0.0331                      F0210002   23 
       40.0      3.973     0.6653     0.0397                      F0210002   24 
       40.0      4.213     0.8570     0.0705                      F0210002   25 
       40.0      4.478     0.8327     0.0507                      F0210002   26 
       40.0      4.486     0.7622     0.0573                      F0210002   27 
       40.0      4.487     0.8635     0.0485                      F0210002   28 
       40.0      4.577     0.6982     0.0441                      F0210002   29 
       40.0      4.734     0.6431     0.0375                      F0210002   30 
       40.0      4.734     0.5660     0.0441                      F0210002   31 
       40.0      4.966     0.6012     0.0727                      F0210002   32 
       40.0      4.974     0.6475     0.0639                      F0210002   33 
       40.0      5.222     0.6276     0.0397                      F0210002   34 
       40.0      5.479     0.5835     0.0551                      F0210002   35 
       40.0      5.487     0.4733     0.0661                      F0210002   36 
       40.0      5.983     0.4732     0.0309                      F0210002   37 
       40.0      5.991     0.3938     0.0375                      F0210002   38 
       40.0      6.479     0.3673     0.0309                      F0210002   39 
       40.0      7.000     0.2152     0.0242                      F0210002   40 
       40.0      7.497     0.2085     0.0176                      F0210002   41 
       40.0      7.993     0.2414     0.0220                      F0210002   42 
       40.0      8.514     0.1951     0.0220                      F0210002   43 
       40.0      8.994     0.2699     0.0309                      F0210002   44 
       40.0      9.491     0.3051     0.0286                      F0210002   45 
       40.0      9.996     0.3138     0.0353                      F0210002   46 
       90.0      2.499     0.1357     0.0284                      F0210002   47 
       90.0      2.971     0.3259     0.0350                      F0210002   48 
       90.0      3.220     0.4178     0.0394                      F0210002   49 
       90.0      3.468     0.4768     0.0459                      F0210002   50 
       90.0      3.716     0.4964     0.0394                      F0210002   51 
       90.0      3.982     0.7523     0.0613                      F0210002   52 
       90.0      4.221     0.7019     0.0547                      F0210002   53 
       90.0      4.478     0.6297     0.0547                      F0210002   54 
       90.0      4.486     0.7369     0.0656                      F0210002   55 
       90.0      4.734     0.5815     0.0394                      F0210002   56 
       90.0      4.735     0.7500     0.0613                      F0210002   57 
       90.0      4.990     0.5290     0.0350                      F0210002   58 
       90.0      5.231     0.6164     0.0481                      F0210002   59 
       90.0      5.462     0.4545     0.0678                      F0210002   60 
       90.0      5.487     0.4414     0.0481                      F0210002   61 
       90.0      5.999     0.3363     0.0591                      F0210002   62 
       90.0      5.999     0.3647     0.0438                      F0210002   63 
       90.0      6.471     0.1874     0.0263                      F0210002   64 
       90.0      7.009     0.2529     0.0306                      F0210002   65 
       90.0      7.505     0.2157     0.0263                      F0210002   66 
       90.0      7.993     0.2527     0.0306                      F0210002   67 
       90.0      8.514     0.2242     0.0263                      F0210002   68 
       90.0      9.036     0.2088     0.0263                      F0210002   69 
       90.0      9.515     0.1715     0.0284                      F0210002   70 
       90.0     10.012     0.2283     0.0284                      F0210002   71 
      125.0      2.498     0.1740     0.0262                      F0210002   72 
      125.0      2.978     0.2874     0.0393                      F0210002   73 
      125.0      3.218     0.3507     0.0414                      F0210002   74 
      125.0      3.475     0.4008     0.0480                      F0210002   75 
      125.0      3.731     0.4117     0.0305                      F0210002   76 
      125.0      3.980     0.3790     0.0262                      F0210002   77 
      125.0      4.236     0.4619     0.0436                      F0210002   78 
      125.0      4.476     0.4924     0.0371                      F0210002   79 
      125.0      4.484     0.4684     0.0480                      F0210002   80 
      125.0      4.592     0.4182     0.0305                      F0210002   81 
      125.0      4.733     0.4531     0.0305                      F0210002   82 
      125.0      4.741     0.4270     0.0393                      F0210002   83 
      125.0      4.964     0.4771     0.0480                      F0210002   84 
      125.0      4.989     0.4662     0.0458                      F0210002   85 
      125.0      5.237     0.4095     0.0349                      F0210002   86 
      125.0      5.494     0.4727     0.0458                      F0210002   87 
      125.0      6.015     0.3790     0.0480                      F0210002   88 
      125.0      6.470     0.1805     0.0349                      F0210002   89 
      125.0      7.016     0.2219     0.0218                      F0210002   90 
      125.0      8.026     0.0889     0.0218                      F0210002   91 
      125.0      8.497     0.0300     0.0218                      F0210002   92 
      125.0      9.035     0.0256     0.0218                      F0210002   93 
      125.0      9.523     0.0191     0.0218                      F0210002   94 
      125.0     10.053     0.0213     0.0218                      F0210002   95 
      150.0      2.498     0.2180     0.0241                      F0210002   96 
      150.0      2.994     0.3564     0.0219                      F0210002   97 
      150.0      3.226     0.4990     0.0285                      F0210002   98 
      150.0      3.466     0.5430     0.0329                      F0210002   99 
      150.0      3.722     0.5342     0.0329                      F0210002  100 
      150.0      3.987     0.6001     0.0329                      F0210002  101 
      150.0      4.235     0.6242     0.0329                      F0210002  102 
      150.0      4.500     0.5584     0.0461                      F0210002  103 
      150.0      4.583     0.6199     0.0329                      F0210002  104 
      150.0      4.740     0.5102     0.0329                      F0210002  105 
      150.0      4.997     0.4290     0.0417                      F0210002  106 
      150.0      4.997     0.4663     0.0549                      F0210002  107 
      150.0      5.253     0.4180     0.0307                      F0210002  108 
      150.0      5.485     0.4466     0.0351                      F0210002  109 
      150.0      5.493     0.4707     0.0505                      F0210002  110 
      150.0      6.006     0.5476     0.0307                      F0210002  111 
      150.0      6.023     0.4927     0.0307                      F0210002  112 
      150.0      6.511     0.5871     0.0395                      F0210002  113 
      150.0      8.530     0.4754     0.0307                      F0210002  114 
      150.0      9.043     0.6422     0.0307                      F0210002  115 
      150.0      9.514     0.6137     0.0351                      F0210002  116 
      150.0     10.036     0.5106     0.0263                      F0210002  117 
ENDDATA            101          0                                 F0210002  118 
ENDSUBENT          117          0                                 F021000299999 
SUBENT        F0210003   20251210                             F103F0210003    1 
BIB                  5         10                                 F0210003    2 
REACTION   (4-BE-9(HE3,A)4-BE-8,PAR,DA)                           F0210003    3 
MONITOR     Part of the spectrum of the fixed detector (90. degr) F0210003    4 
           was used as monitor                                    F0210003    5 
ERR-ANALYS (ERR-S) Statistical error                              F0210003    6 
           (ERR-SYS) Systematic error                             F0210003    7 
STATUS     (CURVE,,B.Bilwes+,J,JPR,39,805,1978) Fig.4             F0210003    8 
HISTORY    (20190718A) SD: SF9=EXP deleted from REACTION code.    F0210003    9 
           DATA-ERR1->ERR-S. Data re-digitized. COMMENT, MONITOR  F0210003   10 
           added.                                                 F0210003   11 
           (20251210U) SD: STATUS updated.                        F0210003   12 
ENDBIB              10          0                                 F0210003   13 
COMMON               2          3                                 F0210003   14 
ANG-ERR-D  ERR-DIG                                                F0210003   15 
ADEG       MB/SR                                                  F0210003   16 
   0.25      0.0036                                               F0210003   17 
ENDCOMMON            3          0                                 F0210003   18 
DATA                 5        109                                 F0210003   19 
