ENTRY            F0116   20251209                             F103F0116000    1 
SUBENT        F0116001   20251209                             F103F0116001    1 
BIB                  8         17                                 F0116001    2 
TITLE      The angular distribution and excitation of the long    F0116001    3 
           -range protons from the 9Be(d,p)10Be reaction.         F0116001    4 
AUTHOR     (F.L.Canavan)                                          F0116001    5 
INSTITUTE  (1USACUA)                                              F0116001    6 
REFERENCE  (J,PR,87,136,1952)                                     F0116001    7 
FACILITY   (VDG,1USACAW) Statitron.                               F0116001    8 
SAMPLE     Thin films of beryllium evaporated on 1-mil tungsten   F0116001    9 
           foils.                                                 F0116001   10 
DETECTOR   (PLATE) Eastman NTA plates with an emulsion 25 microns F0116001   11 
           thick.                                                 F0116001   12 
HISTORY    (19840516C)                                            F0116001   13 
           (19990407U) CNPD: corrected 4-dig. year and lower casesF0116001   14 
           (20110311A) Author's list was corrected. ERR-ANALYSIS  F0116001   15 
           codes in Sub 002, 004 were changed. FACILITY code in   F0116001   16 
           Sub 001 was added.                                     F0116001   17 
           (20200507A) SD: Corrections in all Subents.            F0116001   18 
           (20251209U) SD: Corrections in all Subents.            F0116001   19 
ENDBIB              17          0                                 F0116001   20 
NOCOMMON             0          0                                 F0116001   21 
ENDSUBENT           20          0                                 F011600199999 
SUBENT        F0116002   20251209                             F103F0116002    1 
BIB                  4         13                                 F0116002    2 
REACTION   (4-BE-9(D,P)4-BE-10,,DA,,REL)                          F0116002    3 
           No explanation of relative units is given.             F0116002    4 
ERR-ANALYS (ERR-T) Errors include both the statistical and        F0116002    5 
           systematic errors                                      F0116002    6 
           (ERR-1) The error introduced by multiple, small-angle, F0116002    7 
           Coulomb scattering at the absorbing foils              F0116002    8 
           (ERR-2) Possible displacement of the target from the   F0116002    9 
           geometrical center                                     F0116002   10 
           (ERR-3) Possible movement of the emulsion              F0116002   11 
           (ERR-4) Errors in counting                             F0116002   12 
STATUS     (CURVE,,F.L.Canavan,J,PR,87,136,1952) Fig. 4           F0116002   13 
HISTORY    (20200507U) SD: ERR-ANALYS, STATUS updated.            F0116002   14 
           (20251206U) SD: STATUS updated. DATA-ERR -> ERR-T.     F0116002   15 
ENDBIB              13          0                                 F0116002   16 
COMMON               5          3                                 F0116002   17 
COS-ERR-D  ERR-1      ERR-2      ERR-3      ERR-4                 F0116002   18 
NO-DIM     PER-CENT   PER-CENT   PER-CENT   PER-CENT              F0116002   19 
 0.010      2.         1.         1.         1.                   F0116002   20 
ENDCOMMON            3          0                                 F0116002   21 
DATA                 4        151                                 F0116002   22 
       1.25      0.954      1.363      0.147                      F0116002   71 
       1.25      0.985      1.281      0.131                      F0116002   72 
       1.25      0.986      1.330      0.147                      F0116002   73 
        1.5     -0.893      1.734      0.095                      F0116002   74 
        1.5     -0.827      1.732      0.109                      F0116002   75 
        1.5     -0.800      1.731      0.095                      F0116002   76 
        1.5     -0.720      1.729      0.109                      F0116002   77 
        1.5     -0.641      1.659      0.095                      F0116002   78 
        1.5     -0.588      1.644      0.108                      F0116002   79 
        1.5     -0.370      1.313      0.136                      F0116002   80 
        1.5     -0.223      1.309      0.108                      F0116002   81 
        1.5     -0.118      1.211      0.109                      F0116002   82 
        1.5     -0.042      1.073      0.081                      F0116002   83 
        1.5      0.024      1.017      0.054                      F0116002   84 
        1.5      0.140      0.878      0.068                      F0116002   85 
        1.5      0.205      0.782      0.095                      F0116002   86 
        1.5      0.295      0.671      0.068                      F0116002   87 
        1.5      0.402      0.654      0.095                      F0116002   88 
        1.5      0.552      0.773      0.081                      F0116002   89 
        1.5      0.611      0.988      0.081                      F0116002   90 
        1.5      0.710      1.189      0.095                      F0116002   91 
        1.5      0.795      1.404      0.109                      F0116002   92 
        1.5      0.850      1.457      0.149                      F0116002   93 
        1.5      0.905      1.523      0.109                      F0116002   94 
        1.5      0.943      1.441      0.122                      F0116002   95 
        1.5      0.976      1.155      0.108                      F0116002   96 
        1.5      0.980      1.290      0.136                      F0116002   97 
        1.5      1.003      1.168      0.122                      F0116002   98 
        1.5      1.031      1.194      0.095                      F0116002   99 
       1.75     -0.953      1.535      0.096                      F0116002  100 
       1.75     -0.921      1.518      0.080                      F0116002  101 
       1.75     -0.874      1.437      0.112                      F0116002  102 
       1.75     -0.823      1.548      0.112                      F0116002  103 
       1.75     -0.745      1.466      0.096                      F0116002  104 
       1.75     -0.680      1.464      0.096                      F0116002  105 
       1.75     -0.617      1.415      0.096                      F0116002  106 
       1.75     -0.474      1.332      0.096                      F0116002  107 
       1.75     -0.408      1.362      0.096                      F0116002  108 
       1.75     -0.251      1.214      0.080                      F0116002  109 
       1.75     -0.141      1.068      0.064                      F0116002  110 
       1.75     -0.061      1.050      0.080                      F0116002  111 
       1.75      0.002      1.000      0.080                      F0116002  112 
       1.75      0.110      0.805      0.064                      F0116002  113 
       1.75      0.187      0.660      0.064                      F0116002  114 
       1.75      0.282      0.594      0.080                      F0116002  115 
       1.75      0.363      0.608      0.048                      F0116002  116 
       1.75      0.526      0.683      0.048                      F0116002  117 
