ENTRY            F0695   20251222                             F107F0695000    1 
SUBENT        F0695001   20251222                             F107F0695001    1 
BIB                 10         22                                 F0695001    2 
TITLE      Prevalence of the 8Be formation in the                 F0695001    3 
           7Li(d,alpha alpha n) reaction at Ed = 7.0 MeV          F0695001    4 
AUTHOR     (N.Arena,Seb.Cavallaro,R.Potenza,V.D.Amigo,G.Fazio,    F0695001    5 
           S.Femino,G.Giardina,S.Jannelli,M.Lombardi)             F0695001    6 
INSTITUTE  (2ITYCAT,2ITYLNS,2ITYSIC,2ITYMES,2ITYPAD)              F0695001    7 
REFERENCE  (J,NCL,23,1,1978)                                      F0695001    8 
FACILITY   (VDG,2ITYPAD) 7.5 MV                                   F0695001    9 
DETECTOR   (SIBAR) Two ORTEC surface barrier detectors were used. F0695001   10 
           One of these reminded in a fixed position at polar     F0695001   11 
           angle of 82 degrees and azimuth angle of 0 degree and  F0695001   12 
           also acted as a beam monitor. The other detector was   F0695001   13 
           allowed to rotate between 50 and 90 degrees at azimuth F0695001   14 
           angle of 180 degrees.                                  F0695001   15 
METHOD     (BCINT,COINC)                                          F0695001   16 
SAMPLE     (3-LI-7,ENR=0.999) A 7LiF target 0.5 mg/cm2 thick.     F0695001   17 
           The target (placed at 45 degrees with respect to the   F0695001   18 
           beam) was obtained by vacuum evaporation of 7LiF,      F0695001   19 
           enriched to 99.9% in 7Li, onto a carbon backing of     F0695001   20 
           40 ug/cm2.                                             F0695001   21 
ERR-ANALYS (DATA-ERR) No information about source of uncertainty  F0695001   22 
HISTORY    (20010514C)                                            F0695001   23 
           (20251222A) SD: Small corrections in all Subents.      F0695001   24 
ENDBIB              22          0                                 F0695001   25 
COMMON               1          3                                 F0695001   26 
EN                                                                F0695001   27 
MEV                                                               F0695001   28 
 7.                                                               F0695001   29 
ENDCOMMON            3          0                                 F0695001   30 
ENDSUBENT           29          0                                 F069500199999 
SUBENT        F0695002   20251222                             F107F0695002    1 
BIB                  6         14                                 F0695002    2 
REACTION   (3-LI-7(D,N+A)2-HE-4,,DA/DA/DE,A/A/A+A,REL)            F0695002    3 
            No information about units.                           F0695002    4 
ANG-SEC    (ANG1,A)                                               F0695002    5 
           ANG1 is a polar angle of the first alpha-particle      F0695002    6 
            detected.                                             F0695002    7 
           (ANG2,A)                                               F0695002    8 
           ANG2 is a polar angle of the second alpha-particle     F0695002    9 
            detected.                                             F0695002   10 
EN-SEC     (S,A) the kinematic locus of the energies of the       F0695002   11 
           2 alpha particles.                                     F0695002   12 
ERR-ANALYS (E-ERR-DIG) Digitizing error in the kinematic locus of F0695002   13 
            the energies of the 2 alpha particles.                F0695002   14 
STATUS     (CURVE,,N.Arena+,J,NCL,23,1,1978) Fig.1                F0695002   15 
HISTORY    (20251222A) SD: BIB updated. DATA-ERR1 -> E-ERR-DIG.   F0695002   16 
ENDBIB              14          0                                 F0695002   17 
COMMON               3          3                                 F0695002   18 
ANG1       E-ERR-DIG  ERR-DIG                                     F0695002   19 
ADEG       MEV        ARB-UNITS                                   F0695002   20 
       -82.       0.02      0.001                                 F0695002   21 
ENDCOMMON            3          0                                 F0695002   22 
DATA                 4         86                                 F0695002   23 
        72.      20.23      0.107      0.008                      F0695002   87 
        72.      20.77      0.152      0.009                      F0695002   88 
        72.      21.41      0.146      0.010                      F0695002   89 
        72.      21.99      0.074      0.008                      F0695002   90 
        72.      22.55      0.029      0.007                      F0695002   91 
        72.      23.14      0.018      0.005                      F0695002   92 
        78.       9.56      0.737      0.301                      F0695002   93 
        78.      10.18      0.591      0.245                      F0695002   94 
        78.      10.72      0.322      0.145                      F0695002   95 
        78.      11.38      3.628      0.356                      F0695002   96 
        78.      11.93      9.674      0.713                      F0695002   97 
        78.      12.52     16.265      1.125                      F0695002   98 
        78.      13.18     12.210      0.891                      F0695002   99 
        78.      13.72      6.518      0.535                      F0695002  100 
        78.      14.37      2.597      0.545                      F0695002  101 
        78.      15.13      3.108      0.490                      F0695002  102 
        78.      16.20      2.793      0.479                      F0695002  103 
        78.      16.77      4.207      0.490                      F0695002  104 
        78.      17.37      8.426      0.757                      F0695002  105 
        78.      17.94     13.146      1.102                      F0695002  106 
        78.      18.50      9.949      0.858                      F0695002  107 
        78.      19.11      4.034      0.434                      F0695002  108 
        78.      19.66      0.871      0.212                      F0695002  109 
        78.      20.25      0.379      0.423                      F0695002  110 
        78.      20.79      0.529      0.373                      F0695002  111 
ENDDATA             88          0                                 F0695002  112 
ENDSUBENT          111          0                                 F069500299999 
SUBENT        F0695003   20251222                             F107F0695003    1 
BIB                  4         11                                 F0695003    2 
REACTION   (3-LI-7(D,N+A)2-HE-4,,DA/DA,A/A,REL)                   F0695003    3 
            No information about units.                           F0695003    4 
ANG-SEC    (ANG1,A)                                               F0695003    5 
           ANG1 is a polar angle of the first alpha-particle      F0695003    6 
            detected.                                             F0695003    7 
           (ANG2,A)                                               F0695003    8 
           ANG2 is a polar angle of the second alpha-particle     F0695003    9 
            detected.                                             F0695003   10 
STATUS     (CURVE,,N.Arena+,J,NCL,23,1,1978) Fig.2                F0695003   11 
HISTORY    (20251222A) SD: SF7=A/A+A -> A/A in REACTION code.     F0695003   12 
           BIB updated.                                           F0695003   13 
ENDBIB              11          0                                 F0695003   14 
COMMON               3          3                                 F0695003   15 
ANG1       ANG-ERR-D  ERR-DIG                                     F0695003   16 
ADEG       ADEG       ARB-UNITS                                   F0695003   17 
      -82.0       0.03      0.002                                 F0695003   18 
ENDCOMMON            3          0                                 F0695003   19 
DATA                 3         15                                 F0695003   20 
ANG2       DATA       DATA-ERR                                    F0695003   21 
ADEG       ARB-UNITS  ARB-UNITS                                   F0695003   22 
      52.20      1.972      0.048                                 F0695003   23 
      53.96      1.735      0.051                                 F0695003   24 
      56.16      1.520      0.048                                 F0695003   25 
      58.15      1.164      0.039                                 F0695003   26 
      60.13      1.129      0.041                                 F0695003   27 
      62.59      1.530      0.054                                 F0695003   28 
      64.18      1.753      0.044                                 F0695003   29 
      66.18      1.962      0.049                                 F0695003   30 
      68.11      1.966      0.049                                 F0695003   31 
      70.16      1.948      0.048                                 F0695003   32 
      72.29      1.640      0.047                                 F0695003   33 
      74.12      1.536      0.047                                 F0695003   34 
      76.06      1.407      0.048                                 F0695003   35 
      78.06      1.515      0.044                                 F0695003   36 
      80.11      2.203      0.055                                 F0695003   37 
ENDDATA             17          0                                 F0695003   38 
ENDSUBENT           37          0                                 F069500399999 
ENDENTRY             3          0                                 F069599999999 
