ENTRY            F0711   20251224                             F107F0711000    1 
SUBENT        F0711001   20251224                             F107F0711001    1 
BIB                 15         31                                 F0711001    2 
TITLE      Spectroscopic factors derived from 16O(d,n)17F         F0711001    3 
           measurements                                           F0711001    4 
AUTHOR     (C.J.Oliver,P.D.Forsyth,J.L.Hutton,G.Kaye,J.R.Mines)   F0711001    5 
INSTITUTE  (2UK LVP)                                              F0711001    6 
REFERENCE  (J,NP/A,127,567,1969)                                  F0711001    7 
FACILITY   (VDGT,2UK LVP)                                         F0711001    8 
INC-SOURCE Deuteron beam entered through a 7.5 um thick           F0711001    9 
           tantalum window. At 7 MeV the energy loss was 420 keV  F0711001   10 
           with a straggle of about 40 keV and at 11 and 12 MeV   F0711001   11 
           the energy loss was 300 keV. The beam was stop in a    F0711001   12 
           0.025 cm tantalum lining to the cell.                  F0711001   13 
SAMPLE     Gaseous target of spectroscopically pure natural oxygenF0711001   14 
           was used. The target chamber consisted of a piece of   F0711001   15 
           2.5 cm diameter 25 um thick stainless steel tube.      F0711001   16 
DETECTOR   (SPEC) Neutron time-of-flight spectrometer.            F0711001   17 
METHOD     (TOF) Neutron flight path of 3.46 m was used for the   F0711001   18 
           7.73 and 11 MeV measurements and a 6 m flight path was F0711001   19 
           used for the 12 MeV measurements.                      F0711001   20 
           Measurements were taken at a gas pressure of 60 cm Hg. F0711001   21 
ANALYSIS   Neutron spectra were analyzed using a peak fitting     F0711001   22 
           program, based on that of Tepel (see REL-REF).         F0711001   23 
REL-REF    (M,,J.W.Tepel,J,NIM,40,100,1966)                       F0711001   24 
MONITOR    (1-H-2(D,N)2-HE-3,,DA) Relative detector efficiency as F0711001   25 
           a function of neutron energy and the absolute cross    F0711001   26 
           sections were obtained.                                F0711001   27 
MONIT-REF  (,J.B.Marion+,B,FAST N.PH.,,80,1960)                   F0711001   28 
ERR-ANALYS Energy resolution was about 3.5% for neutrons 5-8 MeV  F0711001   29 
           and about 2% for 10 MeV neutrons.                      F0711001   30 
           (ERR-1) Uncertainty in normalization                   F0711001   31 
HISTORY    (20050406C)                                            F0711001   32 
           (20251224U) SD: Small corrections in all Subents.      F0711001   33 
ENDBIB              31          0                                 F0711001   34 
COMMON               1          3                                 F0711001   35 
ERR-1                                                             F0711001   36 
PER-CENT                                                          F0711001   37 
         5.                                                       F0711001   38 
ENDCOMMON            3          0                                 F0711001   39 
ENDSUBENT           38          0                                 F071100199999 
SUBENT        F0711002   20251224                             F107F0711002    1 
BIB                  3          3                                 F0711002    2 
REACTION   (8-O-16(D,N)9-F-17,PAR,DA)                             F0711002    3 
STATUS     (TABLE,,C.J.Oliver+,J,NP/A,127,567,1969) Table 1       F0711002    4 
HISTORY    (20251224U) SD: STATUS updated.                        F0711002    5 
ENDBIB               3          0                                 F0711002    6 
NOCOMMON             0          0                                 F0711002    7 
DATA                 4        164                                 F0711002    8 
EN         E-LVL      ANG        DATA                             F0711002    9 
MEV        MEV        ADEG       MB/SR                            F0711002   10 
       7.73         0.         0.       249.                      F0711002   11 
       7.73         0.         0.       36.4                      F0711002   12 
       7.73         0.         5.       224.                      F0711002   13 
       7.73         0.         5.       40.4                      F0711002   14 
       7.73         0.        10.       160.                      F0711002   15 
       7.73         0.        10.       43.8                      F0711002   16 
       7.73         0.        15.        88.                      F0711002   17 
       7.73         0.        15.       51.5                      F0711002   18 
       7.73         0.        20.       43.8                      F0711002   19 
       7.73         0.        20.       58.2                      F0711002   20 
       7.73         0.        25.       20.9                      F0711002   21 
       7.73         0.        25.       60.2                      F0711002   22 
       7.73         0.        30.       11.6                      F0711002   23 
       7.73         0.        30.       56.5                      F0711002   24 
       7.73         0.        35.       13.3                      F0711002   25 
       7.73         0.        35.       49.6                      F0711002   26 
       7.73         0.        40.       42.4                      F0711002   27 
       7.73         0.        40.       15.7                      F0711002   28 
       7.73         0.        45.       32.1                      F0711002   29 
       7.73         0.        45.       15.2                      F0711002   30 
       7.73         0.        50.       12.8                      F0711002   31 
       7.73         0.        50.       23.6                      F0711002   32 
       7.73         0.        55.        9.6                      F0711002   33 
       7.73         0.        55.       16.9                      F0711002   34 
       7.73         0.        60.       12.3                      F0711002   35 
       7.73         0.        60.       6.58                      F0711002   36 
       7.73         0.        65.       4.81                      F0711002   37 
       7.73         0.        65.        9.7                      F0711002   38 
       7.73         0.        70.       8.01                      F0711002   39 
       7.73         0.        70.       3.53                      F0711002   40 
       7.73         0.        75.       3.01                      F0711002   41 
       7.73         0.        75.       7.73                      F0711002   42 
       7.73         0.        80.        7.8                      F0711002   43 
       7.73         0.        80.       3.11                      F0711002   44 
       7.73         0.        85.       7.78                      F0711002   45 
       7.73         0.        85.       3.39                      F0711002   46 
       7.73         0.        90.       8.27                      F0711002   47 
       7.73         0.        90.       3.54                      F0711002   48 
       7.73         0.        95.       8.35                      F0711002   49 
       7.73         0.        95.       3.82                      F0711002   50 
       7.73         0.       100.       8.07                      F0711002   51 
       7.73         0.       100.       3.77                      F0711002   52 
       7.73         0.       105.       8.25                      F0711002   53 
       7.73         0.       105.       3.85                      F0711002   54 
       7.73         0.       110.       7.96                      F0711002   55 
       7.73         0.       110.       3.78                      F0711002   56 
       7.73         0.       115.       7.39                      F0711002   57 
       7.73         0.       115.       3.63                      F0711002   58 
       7.73         0.       120.       6.95                      F0711002   59 
       7.73         0.       120.       3.27                      F0711002   60 
       7.73         0.       125.       6.28                      F0711002   61 
       7.73         0.       125.       3.33                      F0711002   62 
       7.73         0.       130.       5.51                      F0711002   63 
       7.73         0.       130.       3.13                      F0711002   64 
       7.73         0.       135.       4.86                      F0711002   65 
       7.73         0.       135.       2.77                      F0711002   66 
       7.73         0.       140.       3.99                      F0711002   67 
       7.73         0.       140.       2.74                      F0711002   68 
       7.73         0.       150.       2.93                      F0711002   69 
       7.73         0.       150.       2.64                      F0711002   70 
       7.73         0.       160.         3.                      F0711002   71 
       7.73         0.       160.        2.5                      F0711002   72 
      11.0          0.         0.       169.                      F0711002   73 
      11.0          0.         0.       59.4                      F0711002   74 
      11.0          0.         5.       147.                      F0711002   75 
      11.0          0.         5.       56.2                      F0711002   76 
      11.0          0.        10.        92.                      F0711002   77 
      11.0          0.        10.        56.                      F0711002   78 
      11.0          0.        15.       54.2                      F0711002   79 
      11.0          0.        15.       42.9                      F0711002   80 
      11.0          0.        20.       15.1                      F0711002   81 
      11.0          0.        20.       48.1                      F0711002   82 
      11.0          0.        25.       6.04                      F0711002   83 
      11.0          0.        25.       42.7                      F0711002   84 
      11.0          0.        30.       32.7                      F0711002   85 
      11.0          0.        30.        6.6                      F0711002   86 
      11.0          0.        35.       26.2                      F0711002   87 
      11.0          0.        35.       9.48                      F0711002   88 
      11.0          0.        40.       8.86                      F0711002   89 
      11.0          0.        40.        17.                      F0711002   90 
      11.0          0.        45.       7.22                      F0711002   91 
      11.0          0.        45.       11.4                      F0711002   92 
      11.0          0.        50.        7.4                      F0711002   93 
      11.0          0.        50.       5.75                      F0711002   94 
      11.0          0.        55.       5.95                      F0711002   95 
      11.0          0.        55.       3.76                      F0711002   96 
      11.0          0.        60.       5.19                      F0711002   97 
      11.0          0.        60.       2.81                      F0711002   98 
      11.0          0.        70.       5.14                      F0711002   99 
