ENTRY            K2777   20260503                             K024K277700000001 
SUBENT        K2777001   20260503                             K024K277700100001 
BIB                 11         22                                 K277700100002 
TITLE      Experimental study of photoneutron spectra from        K277700100003 
           tantalum, tungsten, and bismuth targets for 16.6 MeV   K277700100004 
           polarized photons                                      K277700100005 
AUTHOR     (T.H.T.Nguyen, T.Sanami, H.Yamazaki, T.Itoga,          K277700100006 
            Y.Kirihara, K.Sugihara, T.K.Tuyet, M.F.B.M.Zin,       K277700100007 
            S.Miyamoto, S.Hashimoto, Y.Asano)                     K277700100008 
INSTITUTE  (2JPNSOK,2JPNKEK,2JPNJSR,2JPNJAE,2JPNOSA,2JPNHIT)      K277700100009 
REFERENCE  (J,NST,61,261,2024)                                    K277700100010 
INC-SOURCE (LCS)                                                  K277700100011 
SAMPLE     - Chemical-form of target is element.                  K277700100012 
           - Physical-form of target is solid.                    K277700100013 
METHOD     (TOF)                                                  K277700100014 
           (PSD) to separate the neutrons from gamma rays         K277700100015 
FACILITY   (SRING,2JPNHIT) NewSUBARU                              K277700100016 
DETECTOR   (SCIN) Organic liquid scintillators (NE213)            K277700100017 
ERR-ANALYS (ERR-T) Total uncertainty                              K277700100018 
           (ERR-1) Number of photons                              K277700100019 
           (ERR-2) Detection efficiency                           K277700100020 
           (ERR-3) Solid angle                                    K277700100021 
           (ERR-S,4.,15.) neutron counting (4-15%)                K277700100022 
HISTORY    (20240703C) Y. O                                       K277700100023 
           (20250730R) Received by e-mail from Dr. T. Nguyen.     K277700100024 
ENDBIB              22          0                                 K277700100025 
COMMON               4          3                                 K277700100026 
EN         ERR-1      ERR-2      ERR-3                            K277700100027 
MEV        PER-CENT   PER-CENT   PER-CENT                         K277700100028 
 16.6       5.         5.         0.2                             K277700100029 
ENDCOMMON            3          0                                 K277700100030 
ENDSUBENT           29          0                                 K277700199999 
SUBENT        K2777002   20260503                             K024K277700200001 
BIB                  5         10                                 K277700200002 
REACTION   (73-TA-181(G,X)0-NN-1,,DA/DE,,MSC)                     K277700200003 
           The polarization direction was in the plane of the     K277700200004 
           incident photon direction with phi values of 0 and 90  K277700200005 
           degrees for the horizontal and vertical detectors,     K277700200006 
           respectively.                                          K277700200007 
ANG-SEC    (ANG,N)                                                K277700200008 
EN-SEC     (E,N)                                                  K277700200009 
SAMPLE     Target-thickness: Diameter 1.0 cm, Thickness 1.0 cm,   K277700200010 
           Weight 13.46 g                                         K277700200011 
STATUS     (TABLE,,T.H.T.Nguyen+,J,NST,61,261,2024) Fig. 4        K277700200012 
ENDBIB              10          0                                 K277700200013 
NOCOMMON             0          0                                 K277700200014 
DATA                 5        120                                 K277700200015 
ANG        ANG-AZ-RL  E          DATA       ERR-T                 K277700200016 
ADEG       ADEG       MEV        MB/SR/MEV  MB/SR/MEV             K277700200017 
        30.         0.   2.40E+00   7.38E+00   7.02E-01           K277700200018 
        30.         0.   2.80E+00   5.57E+00   5.40E-01           K277700200019 
        30.         0.   3.20E+00   3.58E+00   3.67E-01           K277700200020 
        30.         0.   3.60E+00   2.81E+00   3.00E-01           K277700200021 
        30.         0.   4.00E+00   2.18E+00   2.43E-01           K277700200022 
        30.         0.   4.40E+00   2.06E+00   2.32E-01           K277700200023 
        30.         0.   4.80E+00   1.78E+00   2.09E-01           K277700200024 
        30.         0.   5.20E+00   1.83E+00   2.14E-01           K277700200025 
        30.         0.   5.60E+00   2.01E+00   2.33E-01           K277700200026 
        30.         0.   6.00E+00   1.62E+00   1.99E-01           K277700200027 
        30.         0.   6.40E+00   1.94E+00   2.29E-01           K277700200028 
        30.         0.   6.80E+00   1.60E+00   1.97E-01           K277700200029 
        30.         0.   7.20E+00   1.76E+00   2.14E-01           K277700200030 
        30.         0.   7.60E+00   1.43E+00   1.85E-01           K277700200031 
        30.         0.   8.00E+00   1.21E+00   1.66E-01           K277700200032 
        30.         0.   8.40E+00   1.13E+00   1.58E-01           K277700200033 
        30.         0.   8.80E+00   6.90E-01   1.15E-01           K277700200034 
        30.         0.   9.20E+00   6.42E-01   1.13E-01           K277700200035 
        30.         0.   9.60E+00   2.55E-01   6.57E-02           K277700200036 
        30.         0.   1.00E+01   1.21E-01   4.41E-02           K277700200037 
        60.         0.   2.40E+00   7.99E+00   8.29E-01           K277700200038 
        60.         0.   2.80E+00   5.72E+00   6.05E-01           K277700200039 
        60.         0.   3.20E+00   4.07E+00   4.44E-01           K277700200040 
        60.         0.   3.60E+00   2.92E+00   3.31E-01           K277700200041 
        60.         0.   4.00E+00   2.55E+00   2.95E-01           K277700200042 
        60.         0.   4.40E+00   2.22E+00   2.62E-01           K277700200043 
        60.         0.   4.80E+00   2.09E+00   2.49E-01           K277700200044 
        60.         0.   5.20E+00   2.32E+00   2.74E-01           K277700200045 
        60.         0.   5.60E+00   2.62E+00   3.06E-01           K277700200046 
        60.         0.   6.00E+00   2.56E+00   3.01E-01           K277700200047 
        60.         0.   6.40E+00   2.72E+00   3.18E-01           K277700200048 
        60.         0.   6.80E+00   2.19E+00   2.65E-01           K277700200049 
        60.         0.   7.20E+00   1.85E+00   2.31E-01           K277700200050 
        60.         0.   7.60E+00   1.69E+00   2.18E-01           K277700200051 
        60.         0.   8.00E+00   1.73E+00   2.23E-01           K277700200052 
        60.         0.   8.40E+00   1.13E+00   1.62E-01           K277700200053 
        60.         0.   8.80E+00   1.10E+00   1.60E-01           K277700200054 
