ENTRY            K2780   20250714                             K023K278000000001 
SUBENT        K2780001   20250714                             K023K278000100001 
BIB                 12         32                                 K278000100002 
TITLE      Photoneutron emission cross sections for 13C           K278000100003 
AUTHOR     (H.Utsunomiya, S.Goriely, M.Kimura, N.Shimizu,         K278000100004 
            Y.Utsuno, G.M.Tveten, T.Renstrom, T.Ari-izumi,        K278000100005 
            S.Miyamoto)                                           K278000100006 
INSTITUTE  (2JPNKON,2BLGBRU,2JPNIPC,2JPNTSU,2JPNJAE,2JPNTOK,      K278000100007 
           2NOROSL,2JPNHIT,2JPNOSA)                               K278000100008 
           (3CPRCPR) Shanghai Advanced Research Institute,        K278000100009 
                     Chinese Academy of Sciences, Shanghai        K278000100010 
           (2NORNOR) Expert Analytics AS, OSLO                    K278000100011 
           (2JPNJPN) Kansai Photon Science Institute, Kizugawa    K278000100012 
REFERENCE  (J,PR/C,109,014617,2024)                               K278000100013 
PART-DET   (N)                                                    K278000100014 
INC-SOURCE (LCS)                                                  K278000100015 
SAMPLE     - Chemical-form of target is element.                  K278000100016 
           - Physical-form of target is solid.                    K278000100017 
           - Target-thickness is 2940 mg/cm2.                     K278000100018 
           - Backing: Aluminum cylindrical containers with the    K278000100019 
             entrance and exit windows of Kapton foils.           K278000100020 
           (6-C-13,ENR=0.99)                                      K278000100021 
FACILITY   (SRING,2JPNJSR) NewSUBARU                              K278000100022 
ANALYSIS   (UNFLD)                                                K278000100023 
DETECTOR   (NAICR) NaI(Tl) detector to monitor gamma-ray flux     K278000100024 
           (LABR3) LaBr3(Ce) detector to measure response         K278000100025 
                   functions                                      K278000100026 
           (HE3SP) to detect photoneutrons                        K278000100027 
ERR-ANALYS (ERR-1) detector efficiency                            K278000100028 
           (ERR-S) Uncertainties were estimated by the error      K278000100029 
                   propagation of the statistical 1-sigma         K278000100030 
                   uncertainty for the monochromatic cross        K278000100031 
                   section through the unfolding procedure.       K278000100032 
HISTORY    (20240624C) S. W                                       K278000100033 
           (20240702R) Received by e-mail from H. Utsunomiya.     K278000100034 
ENDBIB              32          0                                 K278000100035 
COMMON               1          3                                 K278000100036 
ERR-1                                                             K278000100037 
PER-CENT                                                          K278000100038 
 2.2                                                              K278000100039 
ENDCOMMON            3          0                                 K278000100040 
ENDSUBENT           39          0                                 K278000199999 
SUBENT        K2780002   20250714                             K023K278000200001 
BIB                  2          2                                 K278000200002 
REACTION   (6-C-13(G,X)0-NN-1,,SIG)                               K278000200003 
STATUS     (TABLE,,H.Utsunomiya+,J,PR/C,109,014617,2024) Fig. 3   K278000200004 
ENDBIB               2          0                                 K278000200005 
NOCOMMON             0          0                                 K278000200006 
DATA                 4         57                                 K278000200007 
EN         DATA       +ERR-S     -ERR-S                           K278000200008 
MEV        MB         MB         MB                               K278000200009 
       9.50      0.719      0.053      0.052                      K278000200010 
       9.77      1.156      0.074      0.070                      K278000200011 
      10.00      0.577      0.015      0.019                      K278000200012 
      10.24      0.299      0.026      0.023                      K278000200013 
      10.49      1.317      0.059      0.057                      K278000200014 
      10.76      1.044      0.055      0.055                      K278000200015 
      11.01      2.469      0.114      0.112                      K278000200016 
      11.26      1.714      0.088      0.094                      K278000200017 
      11.51      1.023      0.039      0.040                      K278000200018 
      11.74      2.248      0.110      0.106                      K278000200019 
      12.00      1.260      0.057      0.056                      K278000200020 
      12.26      2.392      0.195      0.075                      K278000200021 
      12.49      2.730      0.041      0.168                      K278000200022 
      12.76      1.485      0.120      0.040                      K278000200023 
      12.99      3.504      0.125      0.174                      K278000200024 
      13.23      1.851      0.100      0.081                      K278000200025 
      13.51      3.898      0.166      0.176                      K278000200026 
      13.75      1.057      0.050      0.041                      K278000200027 
      14.00      2.523      0.109      0.122                      K278000200028 
      14.24      2.643      0.151      0.118                      K278000200029 
      14.49      3.086      0.384      0.128                      K278000200030 
      14.74      0.504      0.054      0.219                      K278000200031 
      15.02      4.981      0.416      0.191                      K278000200032 
      15.25     -0.011      0.014      0.140                      K278000200033 
      15.50      2.638      0.223      0.114                      K278000200034 
      15.76      1.078      0.032      0.027                      K278000200035 
      16.01      2.375      0.164      0.132                      K278000200036 
      16.24      2.104      0.049      0.052                      K278000200037 
      16.50      2.354      0.162      0.148                      K278000200038 
      16.73      2.060      0.186      0.071                      K278000200039 
      16.93      0.504      0.044      0.259                      K278000200040 
      17.23      3.096      0.362      0.206                      K278000200041 
      17.50      1.350      0.010      0.073                      K278000200042 
      17.74      1.489      0.173      0.116                      K278000200043 
      18.01      1.574      0.016      0.045                      K278000200044 
      18.26      2.794      0.150      0.157                      K278000200045 
      18.51      3.282      0.123      0.125                      K278000200046 
      18.75      2.706      0.165      0.101                      K278000200047 
      19.01      3.553      0.127      0.208                      K278000200048 
      19.26      3.912      0.214      0.138                      K278000200049 
      19.48      3.471      0.091      0.149                      K278000200050 
      19.74      4.563      0.298      0.289                      K278000200051 
      20.00      5.065      0.178      0.034                      K278000200052 
      20.26      5.057      0.248      0.181                      K278000200053 
      20.49      6.385      0.479      0.571                      K278000200054 
      20.76      5.203      0.132      0.206                      K278000200055 
      20.99      5.205      0.406      0.625                      K278000200056 
      21.26      3.959      0.083      0.004                      K278000200057 
      21.50      3.270      0.023      0.222                      K278000200058 
      21.73      3.656      0.046      0.275                      K278000200059 
      22.01      4.940      0.088      0.052                      K278000200060 
      22.25      5.133      0.218      0.058                      K278000200061 
      22.49      5.818      0.365      0.300                      K278000200062 
      22.73      7.191      0.710      0.762                      K278000200063 
      23.02      7.847      0.939      1.209                      K278000200064 
      23.27      6.415      0.953      1.148                      K278000200065 
      23.47      8.049      2.197      2.030                      K278000200066 
ENDDATA             59          0                                 K278000200067 
ENDSUBENT           66          0                                 K278000299999 
ENDENTRY             2          0                                 K278099999999 
