ENTRY            23663   20240712                             23212366300000001 
SUBENT        23663001   20240712                             23212366300100001 
BIB                 13         46                                 2366300100002 
TITLE      Challenging microscopic structure and reaction models  2366300100003 
            for nucleon scattering off nuclei in the A=208 mass   2366300100004 
            region                                                2366300100005 
AUTHOR     (M.Dupuis, G.Haouat, J.-P.Delaroche, E.Bauge,          2366300100006 
            J.Lachkar)                                            2366300100007 
INSTITUTE  (2FR BRC)                                              2366300100008 
REFERENCE  (J,PR/C,100,044607,2019)                               2366300100009 
           (R,CEA-N-2200,1981)                                    2366300100010 
            206,208Pb,209Bi(n,n0) and 208Pb(n,n1) at 7.5, 9.5,    2366300100011 
            11.5, 13.5 MeV                                        2366300100012 
           (C,84OHIO,,320,1984)                                   2366300100013 
            208Pb(n,n0) and (n,n1) data at 9.5 MeV in fig         2366300100014 
           (C,79SMOLENIC,,333,1979)                               2366300100015 
            208Pb(n,n1) data at 7.5, 9.5, 11.5, 13.5 MeV in fig   2366300100016 
REL-REF    (M,21782001,G.Haouat+,J,NSE,81,491,1982)               2366300100017 
            Details of data reduction procedure                   2366300100018 
FACILITY   (VDGT,2FR BRC) 7 MV EN tandem Van de Graaff            2366300100019 
INC-SOURCE (D-D) 4.5 to 12.6 MeV and 3.0 to 5.5 uA deuteron beams 2366300100020 
DETECTOR   Recoil proton detectors                                2366300100021 
METHOD     Neutron production was monitored by detection of       2366300100022 
           . neutrons by an auxiliary TOF detector (recoil proton 2366300100023 
             detector) at 55 deg and 8.00 m from the deuteron gas 2366300100024 
             target                                               2366300100025 
           . 2H(d,p)3H protons by two surface-barrier diodes      2366300100026 
           (TOF) flight path of 8.00+/-0.02 m, repetition rate of 2366300100027 
            2.5 MHz and pulse width of 1.0 ns.                    2366300100028 
           Scattered-neutron overall energy resolution of 240 keV 2366300100029 
            (FWHM) at Einc=7.5 MeV and increasing almost linearly 2366300100030 
            with energy up to 380 keV (FWHM) at Einc=15.5 MeV.    2366300100031 
CORRECTION Corrected for                                          2366300100032 
           . dead time in counting electronics                    2366300100033 
           . time-independent background                          2366300100034 
           . neutron detection efficiency (inelastic scattering)  2366300100035 
           . anisotropy of neutron flux on the sample             2366300100036 
           . angular resolution due to finite geometry of neutron 2366300100037 
             sources                                              2366300100038 
           . neutron attenuation by sample                        2366300100039 
           . multiple scattering in sample                        2366300100040 
ERR-ANALYS (ERR-T)         Total uncertainty                      2366300100041 
           (ERR-1,0.4,0.8) flight path length  (0.4-0.8%)         2366300100042 
           (ERR-2,1.,3.)   sample corrections      (1-3%)         2366300100043 
           (ERR-3)         sample number of atoms (~0.1%)         2366300100044 
           (ERR-4,1.,2.)   monitor indications     (1-2%)         2366300100045 
           (ERR-5,1.,2.)   geometric factors       (1-2%)         2366300100046 
STATUS     (APRVD) Proof-ready by Marc Dupuis (2024-07-26)        2366300100047 
HISTORY    (20240709R) On. Received from M.Dupuis via R.Capote    2366300100048 
ENDBIB              46          0                                 2366300100049 
COMMON               3          3                                 2366300100050 
EN-RSL-FW  ANG-ERR    ERR-3                                       2366300100051 
KEV        ADEG       PER-CENT                                    2366300100052 
 150.       0.2        0.1                                        2366300100053 
ENDCOMMON            3          0                                 2366300100054 
ENDSUBENT           53          0                                 2366300199999 
SUBENT        23663002   20240712                             23212366300200001 
BIB                  4          6                                 2366300200002 
REACTION   (82-PB-206(N,EL)82-PB-206,,DA)                         2366300200003 
SAMPLE     (82-PB-206,ENR=0.991)                                  2366300200004 
            15.0 mm diameter, 32.0 mm height, 64.18 g, 0.312 mol  2366300200005 
ERR-ANALYS (ERR-S,2.,15.) counting statistics, background         2366300200006 
            subtraction, unfolding procedures (2-15%)             2366300200007 
STATUS     (TABLE,,M.Dupuis+,J,PR/C,100,044607,2019) Fig.2(b)     2366300200008 
ENDBIB               6          0                                 2366300200009 
NOCOMMON             0          0                                 2366300200010 
DATA                 4        114                                 2366300200011 
EN         ANG-CM     DATA-CM    ERR-T                            2366300200012 
MEV        ADEG       MB/SR      MB/SR                            2366300200013 
  7.5        20.1      2424.84    160.039                         2366300200014 
  7.5        25.1       969.74     64.0028                        2366300200015 
  7.5        30.1       354.78     24.4798                        2366300200016 
  7.5        35.2       222.12     15.1042                        2366300200017 
  7.5        40.2       208.32     14.3741                        2366300200018 
  7.5        45.2       147.7      10.0436                        2366300200019 
  7.5        50.2        84.47      6.08184                       2366300200020 
  7.5        55.2        53.26      4.04776                       2366300200021 
  7.5        60.2        26.15      2.11815                       2366300200022 
  7.5        65.3        17.13      1.33614                       2366300200023 
  7.5        70.3        37.3       2.8348                        2366300200024 
  7.5        75.3       104.93      7.55496                       2366300200025 
  7.5        80.3       147.07     10.2949                        2366300200026 
  7.5        85.3       118.92      8.64548                       2366300200027 
  7.5        90.3        78.75      5.75662                       2366300200028 
  7.5        95.3        46.71      3.64338                       2366300200029 
  7.5       100.3        19.06      1.54386                       2366300200030 
  7.5       105.3        13.48      1.22668                       2366300200031 
  7.5       110.3        21.73      1.65148                       2366300200032 
  7.5       115.3        34.51      2.79876                       2366300200033 
  7.5       120.2        40.27      3.07663                       2366300200034 
  7.5       125.2        45.06      3.56875                       2366300200035 
  7.5       130.2        39.43      2.88233                       2366300200036 
  7.5       135.2        32.25      2.66385                       2366300200037 
  7.5       140.2        25.29      2.04849                       2366300200038 
  7.5       145.2        16.13      1.4517                        2366300200039 
  7.5       150.1         8.05      0.66815                       2366300200040 
  7.5       155.1         7.2       0.7272                        2366300200041 
  7.5       160.1        20.26      1.70184                       2366300200042 
  9.5        20.1      1658.04    111.089                         2366300200043 
  9.5        25.1       460.75     30.8703                        2366300200044 
  9.5        30.1       121.68      8.39592                       2366300200045 
  9.5        35.2       205.64     14.3948                        2366300200046 
  9.5        40.2       329.6      22.7424                        2366300200047 
  9.5        45.2       304.15     20.6822                        2366300200048 
  9.5        50.2       198.92     13.7255                        2366300200049 
  9.5        55.2        86.11      6.37214                       2366300200050 
  9.5        60.2        48.21      3.66396                       2366300200051 
  9.5        65.3        61.76      4.57024                       2366300200052 
  9.5        70.3       100.58      7.14118                       2366300200053 
  9.5        75.3       130.48      9.39456                       2366300200054 
  9.5        80.3       144.47     10.2574                        2366300200055 
  9.5        85.3        92.13      6.81762                       2366300200056 
  9.5        90.3        52.51      3.99076                       2366300200057 
  9.5        95.3        29.27      2.45868                       2366300200058 
  9.5       100.3        16.47      1.20231                       2366300200059 
  9.5       105.3        22.2       1.9536                        2366300200060 
  9.5       110.3        34.27      2.70733                       2366300200061 
  9.5       115.3        51.8       4.0922                        2366300200062 
  9.5       120.2        45.88      3.25748                       2366300200063 
  9.5       125.2        32.91      2.73153                       2366300200064 
  9.5       130.2        16.87      1.43395                       2366300200065 
  9.5       135.2        13.62      1.2939                        2366300200066 
  9.5       140.2        10.41      0.79116                       2366300200067 
  9.5       145.2        13.48      1.30756                       2366300200068 
  9.5       150.1        12.46      1.1214                        2366300200069 
  9.5       155.1        17.75      1.633                         2366300200070 
  9.5       160.1        21.96      1.60308                       2366300200071 
 11.5        20.1      1169.06     77.158                         2366300200072 
 11.5        25.1       129.93      9.0951                        2366300200073 
 11.5        30.1        55.95      4.0284                        2366300200074 
 11.5        35.2       302.26     21.1582                        2366300200075 
 11.5        40.2       651.63     43.6592                        2366300200076 
 11.5        45.2       457.62     30.6605                        2366300200077 
 11.5        50.2       173.42     11.966                         2366300200078 
 11.5        55.2        66.91      5.08516                       2366300200079 
 11.5        60.2        56.86      4.32136                       2366300200080 
 11.5        65.3       118.3       8.5176                        2366300200081 
 11.5        70.3       116.79      8.29209                       2366300200082 
 11.5        75.3       106.19      7.96425                       2366300200083 
 11.5        80.3        86.61      6.32253                       2366300200084 
 11.5        85.3        43.11      3.70746                       2366300200085 
 11.5        90.3        17.65      1.5532                        2366300200086 
