ENTRY            S0301   20251024                             S035S030100000001 
SUBENT        S0301001   20251024                             S035S030100100001 
BIB                  8         24                                 S030100100002 
TITLE      Astrophysical 15N(n, g)16N reaction rate from          S030100100003 
            precision measurement of the 15N(d, p)16N angular     S030100100004 
            distributions                                         S030100100005 
AUTHOR     (X.Y.Li, B.Guo, Z.H.Li, Y.J.Li, J.Su, D.Y.Pang,        S030100100006 
            J.J.He, S.Q.Yan, Q.W.Fan, J.C.Liu, L.Gan, Z.Y.Han,    S030100100007 
            E.T.Li, G.Lian, Y.P.Shen, Y.B.Wang, S.Zeng, W.P.Liu)  S030100100008 
INSTITUTE  (3CPRAEP,3CPRBNU,3CPRBHN,3CPRSZN)                      S030100100009 
           (3CPRCPR) Beijing Radiation Center                     S030100100010 
REFERENCE  (J,PR/C,106,025807,2022)                               S030100100011 
           #doi:10.1103/PhysRevC.106.025807                       S030100100012 
           (J,CST,55,391,2021) In Chinese                         S030100100013 
           #doi:10.7538/yzk.2020.youxian.0313                     S030100100014 
FACILITY   (VDGT,3CPRAEP) HI-13 Tandem accelerator                S030100100015 
SAMPLE     Melamine C3N3(15NH2) 3 with 15N isotopic enrichment    S030100100016 
            of 99.35% in the aminos and thickness of 15.7 ug/cm2  S030100100017 
            was evaporated on a carbon foil.                      S030100100018 
DETECTOR   (MAGSP,SISD) The reaction products were analyzed with  S030100100019 
            the Q3D magnetic spectrograph and then recorded by an S030100100020 
            array of movable double-sided strip silicon detectors S030100100021 
            with active area of 50 mm x 50 mm on the focal plane  S030100100022 
            of the spectrograph. The three detectors were placed  S030100100023 
            with gaps of about 30 mm.                             S030100100024 
HISTORY    (20250117R) Data received from X.Y.Li                  S030100100025 
           (20251024C) Wang Jimin                                 S030100100026 
ENDBIB              24          0                                 S030100100027 
COMMON               1          3                                 S030100100028 
EN                                                                S030100100029 
MEV                                                               S030100100030 
        15.                                                       S030100100031 
ENDCOMMON            3          0                                 S030100100032 
ENDSUBENT           31          0                                 S030100199999 
SUBENT        S0301002   20251024                             S035S030100200001 
BIB                  3          3                                 S030100200002 
REACTION   (7-N-15(D,EL)7-N-15,,DA)                               S030100200003 
ERR-ANALYS (DATA-ERR) No information                              S030100200004 
STATUS     (TABLE,,X.Y.Li+,J,PR/C,106,025807,2022) Fig.2          S030100200005 
ENDBIB               3          0                                 S030100200006 
NOCOMMON             0          0                                 S030100200007 
DATA                 3         13                                 S030100200008 
ANG-CM     DATA-CM    DATA-ERR                                    S030100200009 
ADEG       MB/SR      MB/SR                                       S030100200010 
       11.3   3582.046     437.91                                 S030100200011 
       15.9   1435.807     124.23                                 S030100200012 
       20.4    892.020      72.76                                 S030100200013 
       24.9    423.143      34.36                                 S030100200014 
       29.3    122.554       9.89                                 S030100200015 
       33.8     20.701       1.75                                 S030100200016 
       38.3      3.190       0.28                                 S030100200017 
       42.7     14.786       1.25                                 S030100200018 
       47.2     26.473       2.22                                 S030100200019 
       51.5     29.314       2.45                                 S030100200020 
       55.9     23.523       1.99                                 S030100200021 
       60.2     16.362       1.39                                 S030100200022 
       64.5     11.435       0.99                                 S030100200023 
ENDDATA             15          0                                 S030100200024 
ENDSUBENT           23          0                                 S030100299999 
SUBENT        S0301003   20251024                             S035S030100300001 
BIB                  3          5                                 S030100300002 
REACTION   (7-N-15(D,P)7-N-16,PAR,DA)                             S030100300003 
ERR-ANALYS (DATA-ERR) The experimental uncertainty                S030100300004 
           (ERR-S) The statistical uncertainty                    S030100300005 
           (ERR-1) The uncertainty of the target thickness        S030100300006 
STATUS     (TABLE,,X.Y.Li+,J,PR/C,106,025807,2022) Fig.3          S030100300007 
ENDBIB               5          0                                 S030100300008 
COMMON               1          3                                 S030100300009 
ERR-1                                                             S030100300010 
PER-CENT                                                          S030100300011 
         8.                                                       S030100300012 
ENDCOMMON            3          0                                 S030100300013 
DATA                 5         91                                 S030100300014 
E-LVL      ANG-CM     DATA-CM    DATA-ERR   ERR-S                 S030100300015 
MEV        ADEG       MB/SR      MB/SR      PER-CENT              S030100300016 
      0.000        8.7     45.022       3.68         4.           S030100300017 
      0.000       11.0     40.206       3.29         4.           S030100300018 
      0.000       13.1     38.819       3.19         4.           S030100300019 
      0.000       15.3     37.159       3.03         4.           S030100300020 
      0.000       17.4     32.196       2.64         4.           S030100300021 
      0.000       21.8     27.201       2.21         4.           S030100300022 
      0.000       26.1     20.820       1.70         4.           S030100300023 
      0.000       30.4     15.074       1.23         4.           S030100300024 
      0.000       34.8      9.901       0.82         4.           S030100300025 
      0.000       39.1      5.387       0.46         4.           S030100300026 
      0.000       43.4      3.503       0.30         4.           S030100300027 
      0.000       47.6      2.543       0.22         4.           S030100300028 
      0.000       51.9      2.187       0.18         4.           S030100300029 
      0.000       56.1      1.990       0.17         4.           S030100300030 
      0.000       60.3      2.074       0.17         4.           S030100300031 
      0.000       64.5      1.944       0.16         4.           S030100300032 
      0.000       69.2      1.773       0.15         4.           S030100300033 
      0.000       72.8      1.574       0.13         4.           S030100300034 
      0.000       77.0      1.326       0.11         4.           S030100300035 
      0.000       81.1      0.921       0.08         4.           S030100300036 
      0.000       85.1      0.843       0.08         4.           S030100300037 
      0.000       89.2      0.635       0.06         4.           S030100300038 
      0.000       93.2      0.806       0.07         4.           S030100300039 
      0.120        8.7     30.392       2.50         8.           S030100300040 
      0.120       11.0     19.885       1.66         8.           S030100300041 
      0.120       13.1     13.562       1.15         8.           S030100300042 
      0.120       15.3      8.215       0.70         8.           S030100300043 
      0.120       17.4      4.491       0.40         8.           S030100300044 
      0.120       26.1      2.336       0.21         8.           S030100300045 
      0.120       30.5      2.800       0.24         8.           S030100300046 
      0.120       34.8      2.963       0.25         8.           S030100300047 
      0.120       39.1      2.446       0.21         8.           S030100300048 
      0.120       43.4      1.692       0.15         8.           S030100300049 
      0.120       47.6      0.895       0.08         8.           S030100300050 
      0.120       51.9      0.499       0.05         8.           S030100300051 
      0.120       56.1      0.280       0.03         8.           S030100300052 
      0.120       60.3      0.224       0.02         8.           S030100300053 
      0.120       64.5      0.385       0.04         8.           S030100300054 
      0.120       69.2      0.543       0.05         8.           S030100300055 
      0.120       72.9      0.659       0.06         8.           S030100300056 
      0.120       77.0      0.708       0.06         8.           S030100300057 
      0.120       81.1      0.686       0.08         8.           S030100300058 
      0.120       85.2      0.480       0.06         8.           S030100300059 
      0.120       89.2      0.364       0.06         8.           S030100300060 
      0.120       93.2      0.357       0.05         8.           S030100300061 
      0.298        8.7     53.641       4.36         3.           S030100300062 
      0.298       11.0     49.915       4.07         3.           S030100300063 
      0.298       13.1     48.151       3.92         3.           S030100300064 
      0.298       15.3     45.156       3.66         3.           S030100300065 
      0.298       17.5     39.627       3.21         3.           S030100300066 
      0.298       21.8     33.725       2.73         3.           S030100300067 
      0.298       26.1     25.862       2.09         3.           S030100300068 
      0.298       30.5     19.273       1.56         3.           S030100300069 
      0.298       34.8     11.864       0.96         3.           S030100300070 
      0.298       39.1      7.403       0.61         3.           S030100300071 
      0.298       43.4      4.568       0.38         3.           S030100300072 
      0.298       47.7      3.345       0.28         3.           S030100300073 
      0.298       51.9      3.009       0.25         3.           S030100300074 
      0.298       56.2      2.747       0.23         3.           S030100300075 
      0.298       60.4      2.561       0.21         3.           S030100300076 
      0.298       64.6      2.423       0.20         3.           S030100300077 
      0.298       69.3      2.201       0.18         3.           S030100300078 
      0.298       72.9      1.942       0.16         3.           S030100300079 
      0.298       77.0      1.708       0.14         3.           S030100300080 
      0.298       81.1      1.434       0.12         3.           S030100300081 
      0.298       85.2      1.249       0.11         3.           S030100300082 
      0.298       89.3      1.113       0.10         3.           S030100300083 
      0.298       93.3      1.299       0.11         3.           S030100300084 
      0.397        8.7     78.224       6.33         4.           S030100300085 
      0.397       11.0     51.111       4.16         4.           S030100300086 
      0.397       13.1     33.242       2.73         4.           S030100300087 
      0.397       15.3     19.222       1.58         4.           S030100300088 
