ENTRY            S0263   20251023                             S035S026300000001 
SUBENT        S0263001   20251023                             S035S026300100001 
BIB                 12         39                                 S026300100002 
TITLE      Production and Utilization of 22Na Secondary Beam      S026300100003 
AUTHOR     (Jin Sunjun,Wang Youbao,Su Jun,Yan Shengquan,          S026300100004 
            Li Yunju,Guo Bing,Li Zhihong,Zeng Sheng,Lian Gang,    S026300100005 
            Bai Xixiang,Liu Weiping,H.Yamaguchi, S.Kubono,Hu Jun, S026300100006 
            D.Kahl,Jung Hyosoon, Moon Jungyoung,T.Teranishi,      S026300100007 
            Wang Hongwei, H.Ishiyama,N.Iwasa,T.Komatsubara,       S026300100008 
            Li Ertao,Zhang Jian)                                  S026300100009 
INSTITUTE  (3CPRAEP,2JPNTOK,3CPRIMP,3KORCHA,2JPNKYU,3CPRNRS,      S026300100010 
           2JPNKEK,2JPNTOH,2JPNTSU,3CPRSZN)                       S026300100011 
           (3CPRCPR) National Institute of Metrology, Beijing     S026300100012 
REFERENCE  (J,CST,48,2182,2014)                                   S026300100013 
           #doi:10.7538/yzk.2014.48.12.2182                       S026300100014 
           (J,CNPR,32,274,2015) Only ST1 results                  S026300100015 
           #doi:10.11804/NuclPhysRev.32.03.274                    S026300100016 
FACILITY   (CYCLO,2JPNIPC) CNS Radioactive Ion Beam Separator     S026300100017 
INC-SOURCE A primary beam of 22Ne7+ at 6.0 AMeV bombarded a 1H2   S026300100018 
            gas target with thickness of 1.15 mg/cm2.             S026300100019 
           After the separation and purification with the         S026300100020 
            electric-magnetic system of the separator, a high     S026300100021 
            quality 22Na secondary beam was delivered with energy S026300100022 
            of 78.3+-1.0 MeV, intensity of about 2.5E5 s-l and    S026300100023 
            purity better than 90%.                               S026300100024 
SAMPLE     The 4He gas target was maintained within 53.33+-0.53   S026300100025 
            kPa by a gas-flow system.                             S026300100026 
DETECTOR   (TELES,SI) Three ST (silicon-detector telescope) at    S026300100027 
            different deg. The ST1 was located at the 0 deg       S026300100028 
            direction.                                            S026300100029 
           (PPAC,SI) A parallel plate avalanche counter and a     S026300100030 
            single-pad silicon detector to monitor the beam spot  S026300100031 
            size, location distribution and energy of the         S026300100032 
            secondary beam.                                       S026300100033 
METHOD     (EDE) Particle identification achieved by a dE-E       S026300100034 
            silicon detector telescope. The dE detector is a      S026300100035 
            double-sided silicon strip detector. The E detector   S026300100036 
            is a single-pad silicon detector.                     S026300100037 
ERR-ANALYS (DATA-ERR) No information                              S026300100038 
STATUS     (TABLE,,Jin Sunjun+,J,CST,48,2182,2014) Fig.5          S026300100039 
HISTORY    (20250117R) Data received from Jin Sunjun              S026300100040 
           (20251023C) Wang Jimin                                 S026300100041 
ENDBIB              39          0                                 S026300100042 
NOCOMMON             0          0                                 S026300100043 
ENDSUBENT           42          0                                 S026300199999 
SUBENT        S0263002   20251023                             S035S026300200001 
BIB                  1          2                                 S026300200002 
REACTION   ((2-HE-4(11-NA-22,EL)2-HE-4,,DA)=                      S026300200003 
           (11-NA-22(A,EL)11-NA-22,,DA))                          S026300200004 
ENDBIB               2          0                                 S026300200005 
NOCOMMON             0          0                                 S026300200006 
DATA                 4        107                                 S026300200007 
ANG        EN-CM      DATA       DATA-ERR                         S026300200008 
ADEG       MEV        MB/SR      MB/SR                            S026300200009 
        0.0      4.020   11.46834    0.63433                      S026300200010 
        0.0      4.060   12.92337    0.67901                      S026300200011 
        0.0      4.100   11.18890    0.63551                      S026300200012 
        0.0      4.140   12.20791    0.66906                      S026300200013 
        0.0      4.180   14.57063    0.73732                      S026300200014 
        0.0      4.220   18.26225    0.83321                      S026300200015 
        0.0      4.260   17.27383    0.81542                      S026300200016 
        0.0      4.300   16.74732    0.80816                      S026300200017 
        0.0      4.340   17.20845    0.82503                      S026300200018 
        0.0      4.380   17.12668    0.82864                      S026300200019 
        0.0      4.420   14.20243    0.75857                      S026300200020 
        0.0      4.460   17.38534    0.84632                      S026300200021 
        0.0      4.500   15.76659    0.81075                      S026300200022 
        0.0      4.540   15.55484    0.81063                      S026300200023 
        0.0      4.580   14.06520    0.77550                      S026300200024 
        0.0      4.620   14.02858    0.77965                      S026300200025 
        0.0      4.660   11.46819    0.70890                      S026300200026 
        0.0      4.700   11.12256    0.70270                      S026300200027 
        0.0      4.740    7.72967    0.58897                      S026300200028 
        0.0      4.780    9.35280    0.65253                      S026300200029 
        0.0      4.820    9.18392    0.65084                      S026300200030 
        0.0      4.860    7.24256    0.58140                      S026300200031 
        0.0      4.900    9.34281    0.66509                      S026300200032 
        0.0      4.940   13.02324    0.79116                      S026300200033 
        0.0      4.980   13.17343    0.80084                      S026300200034 
        0.0      5.020    9.11355    0.66961                      S026300200035 
        0.0      5.060   10.45017    0.72186                      S026300200036 
        0.0      5.100    3.47951    0.41845                      S026300200037 
        0.0      5.140    3.24744    0.40681                      S026300200038 
        0.0      5.180    3.31779    0.41380                      S026300200039 
        0.0      5.220    2.81511    0.38352                      S026300200040 
        0.0      5.260    3.62005    0.43770                      S026300200041 
        0.0      5.300    5.51461    0.54379                      S026300200042 
        0.0      5.340    3.01346    0.40427                      S026300200043 
        0.0      5.380    0.99755    0.23394                      S026300200044 
       12.9      4.025   16.47525    0.81154                      S026300200045 
       12.9      4.075   16.15452    0.80787                      S026300200046 
       12.9      4.125   16.77109    0.82801                      S026300200047 
       12.9      4.175   17.06835    0.84005                      S026300200048 
       12.9      4.225   17.63715    0.85890                      S026300200049 
       12.9      4.275   16.52312    0.83534                      S026300200050 
       12.9      4.325   17.77758    0.87181                      S026300200051 
       12.9      4.375   17.63742    0.87302                      S026300200052 
       12.9      4.425   18.22684    0.89257                      S026300200053 
       12.9      4.475   16.41569    0.85089                      S026300200054 
       12.9      4.525   15.59972    0.83365                      S026300200055 
       12.9      4.575   15.41507    0.83312                      S026300200056 
       12.9      4.625   15.70034    0.84546                      S026300200057 
       12.9      4.675   13.46668    0.78649                      S026300200058 
       12.9      4.725   12.23039    0.75319                      S026300200059 
       12.9      4.775   13.01265    0.78136                      S026300200060 
       12.9      4.825   12.04566    0.75554                      S026300200061 
       12.9      4.875   12.21861    0.76510                      S026300200062 
       12.9      4.925   12.15804    0.76729                      S026300200063 
       12.9      4.975   12.53028    0.78322                      S026300200064 
       12.9      5.025   12.90869    0.79930                      S026300200065 
