ENTRY            O2629   20240808                             O100O262900000001 
SUBENT        O2629001   20240808                             O100O262900100001 
BIB                 10         20                                 O262900100002 
TITLE      Investigation of pair-correlated 0+ states in 134Ba viaO262900100003 
           the 136Ba(p,t) reaction                                O262900100004 
AUTHOR     (J.C.Nzobadila Ondze, B.M.Rebeiro, S.Triambak, L.Atar, O262900100005 
            G.C.Ball, V.Bildstein, C.Burbadge, A.Diaz Varela,     O262900100006 
            T.Faestermann, P.E.Garrett, R.Hertenberger, M.Kamil,  O262900100007 
            R.Lindsay, J.N.Orce, A.Radich, H.-F.Wirth)            O262900100008 
INSTITUTE  (3SAFUWC,1CANGUE,1CANTMF,2GERMUN)                      O262900100009 
REFERENCE  (J,PR/C,103,034329,2021)                               O262900100010 
FACILITY   (VDGT,2GERLMU) Maier-Leibnitz-Laboratorium tandem      O262900100011 
           accelerator                                            O262900100012 
DETECTOR   (MAGSP,PROPC,SCIN) High-resolution Q3D magnetic        O262900100013 
           spectrograph. The detector placed at the focal plane   O262900100014 
           of the Q3D spectrograph consisted of two gas           O262900100015 
           proportional counters and one 7-mm-thick plastic       O262900100016 
           scintillator.                                          O262900100017 
METHOD     (BCINT)                                                O262900100018 
ERR-ANALYS (DATA-ERR) No information on source of uncertainties.  O262900100019 
STATUS     (CURVE,,J.C.Nzobadila Ondz+,J,PR/C,103,034329,2021)    O262900100020 
              Fig.4                                               O262900100021 
HISTORY    (20240808C) VT                                         O262900100022 
ENDBIB              20          0                                 O262900100023 
COMMON               2          3                                 O262900100024 
EN         E-RSL-FW                                               O262900100025 
MEV        KEV                                                    O262900100026 
        22.        10.                                            O262900100027 
ENDCOMMON            3          0                                 O262900100028 
ENDSUBENT           27          0                                 O262900199999 
SUBENT        O2629002   20240808                             O100O262900200001 
BIB                  2          3                                 O262900200002 
REACTION   (56-BA-136(P,T)56-BA-134,PAR,DA)                       O262900200003 
SAMPLE     (56-BA-136,ENR=0.93) 136BaO target of 40 ug/cm2 thick, O262900200004 
           evaporated on a thin carbon foil.                      O262900200005 
ENDBIB               3          0                                 O262900200006 
NOCOMMON             0          0                                 O262900200007 
DATA                 4         69                                 O262900200008 
E-LVL      ANG-CM     DATA-CM    DATA-ERR                         O262900200009 
KEV        ADEG       MB/SR      MB/SR                            O262900200010 
         0.        9.7  3.366E+00  1.593E-01                      O262900200011 
         0.       14.2  1.921E+00  1.453E-01                      O262900200012 
         0.       18.7  3.028E-01  1.433E-02                      O262900200013 
         0.       23.2  5.153E-01  2.553E-02                      O262900200014 
         0.       27.8  1.174E+00  5.830E-02                      O262900200015 
         0.       32.5  1.037E+00  7.283E-02                      O262900200016 
         0.       37.0  8.726E-01  6.599E-02                      O262900200017 
         0.       41.7  3.721E-01  3.795E-02                      O262900200018 
         0.       46.1  1.103E-01  5.494E-03                      O262900200019 
         0.       50.7  1.369E-01  1.397E-02                      O262900200020 
      1760.        9.5  1.728E-01  1.411E-02                      O262900200021 
      1760.       14.0  1.076E-01  1.187E-02                      O262900200022 
      1760.       18.7  1.508E-02  1.498E-03                      O262900200023 
      1760.       23.1  8.239E-03  1.152E-03                      O262900200024 
      1760.       27.6  2.885E-02  3.179E-03                      O262900200025 
      1760.       32.3  3.456E-02  3.810E-03                      O262900200026 
      1760.       36.9  2.518E-02  2.780E-03                      O262900200027 
      1760.       41.3  1.741E-02  1.424E-03                      O262900200028 
      1760.       45.9  1.002E-02  8.185E-04                      O262900200029 
      2159.        9.3  2.255E-01  1.631E-02                      O262900200030 
      2159.       13.8  1.119E-01  1.178E-02                      O262900200031 
      2159.       18.9  2.495E-02  2.626E-03                      O262900200032 
      2159.       23.5  9.633E-02  6.965E-03                      O262900200033 
      2159.       28.2  1.893E-01  1.475E-02                      O262900200034 
      2159.       32.9  1.474E-01  1.066E-02                      O262900200035 
      2159.       37.3  8.716E-02  6.793E-03                      O262900200036 
      2159.       41.7  3.631E-02  2.830E-03                      O262900200037 
      2159.       46.5  1.714E-02  1.804E-03                      O262900200038 
      2159.       51.1  2.315E-02  2.436E-03                      O262900200039 
      2488.        9.5  7.665E-02  9.308E-03                      O262900200040 
      2488.       14.0  4.348E-02  2.908E-03                      O262900200041 
      2488.       18.6  9.963E-03  1.379E-03                      O262900200042 
      2488.       23.4  1.592E-02  1.628E-03                      O262900200043 
