ENTRY            O2612   20240528                             O100O261200000001 
SUBENT        O2612001   20240528                             O100O261200100001 
BIB                 11         19                                 O261200100002 
TITLE      Revisiting cross sections for proton induced           O261200100003 
            reactions on natural lead between 10 and 80 MeV       O261200100004 
AUTHOR     (S.Guelez, B.Pandey, E.Strub)                          O261200100005 
INSTITUTE  (2GERKLN)                                              O261200100006 
           (3INDIND) G.B.Pant University, Pantnagar, Uttarakhand  O261200100007 
REFERENCE  (J,RCA,109,233,2021)                                   O261200100008 
FACILITY   (CYCLO,2SWTPSI) Injector I cyclotron                   O261200100009 
SAMPLE     The stack contained 87 targets: 50 pure Pb and 37      O261200100010 
           elemental Cu (both 99.99% metal).                      O261200100011 
DETECTOR   (GELI)                                                 O261200100012 
METHOD     (ACTIV,STTA)                                           O261200100013 
ERR-ANALYS (ERR-T) Total uncertainty                              O261200100014 
           - The energy uncertainty was determined from SRIM      O261200100015 
               proton energy distribution.                        O261200100016 
           - Statistical uncertainty                              O261200100017 
           (ERR-1) flux density 5%                                O261200100018 
HISTORY    (20240528C) VT                                         O261200100019 
STATUS     (APRVD) Proof-read by T.Sounalet (2024-03-13)          O261200100020 
           (TABLE,,S.Guelez+,J,RCA,109,233,2021) Table 2          O261200100021 
ENDBIB              19          0                                 O261200100022 
COMMON               1          3                                 O261200100023 
ERR-1                                                             O261200100024 
PER-CENT                                                          O261200100025 
         5.                                                       O261200100026 
ENDCOMMON            3          0                                 O261200100027 
ENDSUBENT           26          0                                 O261200199999 
SUBENT        O2612002   20240528                             O100O261200200001 
BIB                  2          3                                 O261200200002 
REACTION   (82-PB-0(P,X)83-BI-207,,SIG)                           O261200200003 
DECAY-DATA (83-BI-207,31.55YR,DG,569.7,0.9774,                    O261200200004 
                              DG,1063.6,0.745)                    O261200200005 
ENDBIB               3          0                                 O261200200006 
NOCOMMON             0          0                                 O261200200007 
DATA                 4         42                                 O261200200008 
EN         EN-ERR     DATA       ERR-T                            O261200200009 
MEV        MEV        MB         MB                               O261200200010 
       43.7        0.1        35.        2.9                      O261200200011 
       42.8        0.2        39.        3.3                      O261200200012 
       41.7        0.2        42.        3.6                      O261200200013 
       41.4        0.2        40.        3.4                      O261200200014 
        41.        0.2        42.        3.6                      O261200200015 
       40.6        0.2        41.        3.5                      O261200200016 
       39.3        0.2        46.        3.9                      O261200200017 
        39.        0.3        45.        3.8                      O261200200018 
       38.7        0.2        46.        3.9                      O261200200019 
       38.4        0.3        48.        4.0                      O261200200020 
        37.        0.2        51.        4.3                      O261200200021 
       36.8        0.3        50.        4.2                      O261200200022 
       36.4        0.7        48.        4.1                      O261200200023 
       36.1        0.3        53.        4.5                      O261200200024 
       34.9        0.3        57.        4.8                      O261200200025 
       34.5        0.4        51.        4.2                      O261200200026 
       34.1        0.4        58.        4.8                      O261200200027 
       33.7        0.4        60.        5.0                      O261200200028 
       32.3        0.4        66.        5.5                      O261200200029 
       31.5        0.4        59.        4.8                      O261200200030 
        31.        0.4        77.        6.3                      O261200200031 
       29.5        0.4        95.        7.9                      O261200200032 
       29.2        0.5        96.        7.8                      O261200200033 
       28.8        0.5       104.        8.5                      O261200200034 
       28.2        0.6       107.        8.8                      O261200200035 
        26.        0.4       168.        14.                      O261200200036 
       25.7        0.5       178.        14.                      O261200200037 
       25.0        0.6       202.        16.                      O261200200038 
        23.        0.5       318.        26.                      O261200200039 
       22.3        0.6       361.        29.                      O261200200040 
       21.7        0.7       418.        34.                      O261200200041 
       19.9        0.8       498.        41.                      O261200200042 
       19.3        0.8       468.        40.                      O261200200043 
       18.1        0.8       437.        37.                      O261200200044 
       15.8        0.8       350.        31.                      O261200200045 
        15.        1.1       301.        30.                      O261200200046 
       14.2         1.       254.        20.                      O261200200047 
       13.8        0.8       220.        18.                      O261200200048 
       10.8        1.2        49.        3.9                      O261200200049 
        9.8        1.6        25.        2.0                      O261200200050 
        8.4        1.5        11.        0.9                      O261200200051 
        7.5        1.7         3.        0.3                      O261200200052 
ENDDATA             44          0                                 O261200200053 
ENDSUBENT           52          0                                 O261200299999 
ENDENTRY             2          0                                 O261299999999 
