ENTRY            O2617   20240813                             O100O261700000001 
SUBENT        O2617001   20240813                             O100O261700100001 
BIB                  6         10                                 O261700100002 
TITLE       (p,gamma) cross section measurements on Sn isotopes   O261700100003 
            relevant to the p process                             O261700100004 
AUTHOR     (S.Harissopulos, E.Vagena, A.Spyrou, M.Axiotis,        O261700100005 
            Z.Kotsina, K.Tsampa, A.Lagoyannis, P.Dimitriou,       O261700100006 
            H.-W.Becker, V.Foteinou)                              O261700100007 
INSTITUTE  (2GRCATH,3ZZZIAE,2GERBOC)                              O261700100008 
REFERENCE  (J,PR/C,110,015803,2024)                               O261700100009 
FACILITY   (DYNAM,2GERTHS) 4-MV single-stage Dynamitron           O261700100010 
           (VDGT,2GRCATH) 5.5-MV Tandem accelerator               O261700100011 
HISTORY    (20240813C) VT                                         O261700100012 
ENDBIB              10          0                                 O261700100013 
NOCOMMON             0          0                                 O261700100014 
ENDSUBENT           13          0                                 O261700199999 
SUBENT        O2617002   20240813                             O100O261700200001 
BIB                  7         14                                 O261700200002 
REACTION   (50-SN-116(P,G)51-SB-117,PAR,SIG)                      O261700200003 
SAMPLE     (50-SN-116,ENR=0.9574) 122+/-8 ug/cm2                  O261700200004 
DETECTOR   (HPGE,BGO) high-purity germanium shielded with bismuth O261700200005 
            germanium oxide crystals for Compton background       O261700200006 
           suppression                                            O261700200007 
INC-SPECT  (EN-RSL-FW) Beam energy loss in the target 8.7-6.8 keV O261700200008 
METHOD     (BCINT) proton beam current 8-15 uA                    O261700200009 
ERR-ANALYS (ERR-T) Total uncertainty are due to:                  O261700200010 
            - statistical error (~16% to 48%)                     O261700200011 
           (ERR-1) accumulated charge (~3%)                       O261700200012 
           (ERR-2) detector efficiency (~5%)                      O261700200013 
           (ERR-3) target thickness (~7% or 12%) depends on targetO261700200014 
                    used.                                         O261700200015 
STATUS     (TABLE,,S.Harissopulos+,J,PR/C,110,015803,2024)Table IIO261700200016 
ENDBIB              14          0                                 O261700200017 
COMMON               3          3                                 O261700200018 
ERR-1      ERR-2      ERR-3                                       O261700200019 
PER-CENT   PER-CENT   PER-CENT                                    O261700200020 
         3.         5.         7.                                 O261700200021 
ENDCOMMON            3          0                                 O261700200022 
DATA                 4        121                                 O261700200023 
E-LVL      EN-CM      DATA       ERR-T                            O261700200024 
KEV        MEV        MICRO-B    MICRO-B                          O261700200025 
         0.      2.822        1.1        0.2                      O261700200026 
         0.      2.921        1.8        0.3                      O261700200027 
         0.      2.971        2.3        0.4                      O261700200028 
         0.      3.070        2.6        0.4                      O261700200029 
         0.      3.169        3.6        0.5                      O261700200030 
         0.      3.268        5.7        0.8                      O261700200031 
         0.      3.367        6.4        0.9                      O261700200032 
         0.      3.467        9.1        1.3                      O261700200033 
      527.3      2.276       0.27       0.12                      O261700200034 
      527.3      2.474       0.91       0.27                      O261700200035 
      527.3      2.673        2.9        0.6                      O261700200036 
      527.3      2.822        5.9        1.2                      O261700200037 
      527.3      2.921        9.4        1.8                      O261700200038 
      527.3      2.971       10.6        2.1                      O261700200039 
      527.3      3.070       16.9        3.3                      O261700200040 
      527.3      3.169       26.4        4.9                      O261700200041 
      527.3      3.268       36.2        6.9                      O261700200042 
      527.3      3.367       48.8        9.3                      O261700200043 
      527.3      3.467        78.        15.                      O261700200044 
      719.7      2.276       0.90       0.18                      O261700200045 
      719.7      2.474        2.3        0.5                      O261700200046 
      719.7      2.673        5.4        1.1                      O261700200047 
      719.7      2.822        8.9        1.8                      O261700200048 
      719.7      2.921       15.1        2.9                      O261700200049 
      719.7      2.971       14.9        2.9                      O261700200050 
      719.7      3.070       22.1        4.3                      O261700200051 
      719.7      3.169       34.3        6.5                      O261700200052 
      719.7      3.268       44.9        8.4                      O261700200053 
      719.7      3.367        59.        11.                      O261700200054 
      719.7      3.467        93.        18.                      O261700200055 
      923.9      2.276       0.36       0.12                      O261700200056 
      923.9      2.474        1.2        0.3                      O261700200057 
      923.9      2.673        3.9        0.8                      O261700200058 
      923.9      2.822        7.3        1.5                      O261700200059 
      923.9      2.921       12.7        2.5                      O261700200060 
      923.9      2.971       12.7        2.4                      O261700200061 
      923.9      3.070        20.        3.8                      O261700200062 
      923.9      3.169       31.1        5.8                      O261700200063 
      923.9      3.268       41.4        7.8                      O261700200064 
      923.9      3.367        54.        10.                      O261700200065 
      923.9      3.467        86.        16.                      O261700200066 
     1089.3      2.276       0.27       0.10                      O261700200067 
     1089.3      2.474       0.73       0.17                      O261700200068 
