ENTRY            O2617   20240813                             O100O261700000001 
SUBENT        O2617001   20240813                             O100O261700100001 
BIB                  6         10                                 O261700100002 
TITLE       (p,gamma) cross section measurements on Sn isotopes   O261700100003 
            relevant to the p process                             O261700100004 
AUTHOR     (S.Harissopulos, E.Vagena, A.Spyrou, M.Axiotis,        O261700100005 
            Z.Kotsina, K.Tsampa, A.Lagoyannis, P.Dimitriou,       O261700100006 
            H.-W.Becker, V.Foteinou)                              O261700100007 
INSTITUTE  (2GRCATH,3ZZZIAE,2GERBOC)                              O261700100008 
REFERENCE  (J,PR/C,110,015803,2024)                               O261700100009 
FACILITY   (DYNAM,2GERTHS) 4-MV single-stage Dynamitron           O261700100010 
           (VDGT,2GRCATH) 5.5-MV Tandem accelerator               O261700100011 
HISTORY    (20240813C) VT                                         O261700100012 
ENDBIB              10          0                                 O261700100013 
NOCOMMON             0          0                                 O261700100014 
ENDSUBENT           13          0                                 O261700199999 
SUBENT        O2617002   20240813                             O100O261700200001 
BIB                  7         14                                 O261700200002 
REACTION   (50-SN-116(P,G)51-SB-117,PAR,SIG)                      O261700200003 
SAMPLE     (50-SN-116,ENR=0.9574) 122+/-8 ug/cm2                  O261700200004 
DETECTOR   (HPGE,BGO) high-purity germanium shielded with bismuth O261700200005 
            germanium oxide crystals for Compton background       O261700200006 
           suppression                                            O261700200007 
INC-SPECT  (EN-RSL-FW) Beam energy loss in the target 8.7-6.8 keV O261700200008 
METHOD     (BCINT) proton beam current 8-15 uA                    O261700200009 
ERR-ANALYS (ERR-T) Total uncertainty are due to:                  O261700200010 
            - statistical error (~16% to 48%)                     O261700200011 
           (ERR-1) accumulated charge (~3%)                       O261700200012 
           (ERR-2) detector efficiency (~5%)                      O261700200013 
           (ERR-3) target thickness (~7% or 12%) depends on targetO261700200014 
                    used.                                         O261700200015 
STATUS     (TABLE,,S.Harissopulos+,J,PR/C,110,015803,2024)Table IIO261700200016 
ENDBIB              14          0                                 O261700200017 
COMMON               3          3                                 O261700200018 
ERR-1      ERR-2      ERR-3                                       O261700200019 
PER-CENT   PER-CENT   PER-CENT                                    O261700200020 
         3.         5.         7.                                 O261700200021 
ENDCOMMON            3          0                                 O261700200022 
DATA                 4        121                                 O261700200023 
     1089.3      2.673        2.2        0.5                      O261700200069 
     1089.3      2.822        4.3        0.8                      O261700200070 
     1089.3      2.921        7.1        1.4                      O261700200071 
     1089.3      2.971        7.2        1.4                      O261700200072 
     1089.3      3.070       11.6        2.2                      O261700200073 
     1089.3      3.169       17.4        3.4                      O261700200074 
     1089.3      3.268       24.5        4.6                      O261700200075 
     1089.3      3.367       32.3        6.1                      O261700200076 
     1089.3      3.467        51.        10.                      O261700200077 
     1160.0      2.474       0.32       0.12                      O261700200078 
     1160.0      2.673       0.73       0.23                      O261700200079 
     1160.0      2.822        1.3        0.4                      O261700200080 
     1160.0      2.921        1.9        0.5                      O261700200081 
     1160.0      2.971        2.1        0.5                      O261700200082 
     1160.0      3.070        3.1        0.8                      O261700200083 
     1160.0      3.169        5.1        0.9                      O261700200084 
     1160.0      3.268        6.9        1.3                      O261700200085 
     1160.0      3.367        9.7        1.9                      O261700200086 
     1160.0      3.467       16.4        3.2                      O261700200087 
     1310.5      2.474       0.30       0.13                      O261700200088 
     1310.5      2.673       0.55       0.21                      O261700200089 
     1310.5      2.822       0.54       0.19                      O261700200090 
     1310.5      2.921        1.1        0.4                      O261700200091 
     1310.5      2.971        1.3        0.4                      O261700200092 
     1310.5      3.070        1.8        0.5                      O261700200093 
     1310.5      3.169        2.9        0.7                      O261700200094 
     1310.5      3.268        4.1        0.9                      O261700200095 
     1310.5      3.367        5.9        1.2                      O261700200096 
     1310.5      3.467        8.9        1.8                      O261700200097 
     1354.5      2.474       0.30       0.14                      O261700200098 
     1354.5      2.673       0.87       0.32                      O261700200099 
     1354.5      2.822        1.2        0.4                      O261700200100 
     1354.5      2.921        2.4        0.7                      O261700200101 
     1354.5      2.971        2.5        0.6                      O261700200102 
     1354.5      3.070        3.4        0.8                      O261700200103 
     1354.5      3.169        4.9        1.1                      O261700200104 
     1354.5      3.268        6.5        1.4                      O261700200105 
     1354.5      3.367         8.        1.6                      O261700200106 
     1354.5      3.467       13.1        2.6                      O261700200107 
     1454.5      2.474       0.41       0.16                      O261700200108 
     1454.5      2.673        1.5        0.4                      O261700200109 
     1454.5      2.822        2.7        0.7                      O261700200110 
     1454.5      2.921        4.4        1.1                      O261700200111 
     1454.5      2.971        3.4        0.8                      O261700200112 
     1454.5      3.070        5.8        1.3                      O261700200113 
     1454.5      3.169        9.6        1.9                      O261700200114 
     1454.5      3.268       12.9        2.5                      O261700200115 
     1454.5      3.367       16.8        3.2                      O261700200116 
     1454.5      3.467       26.4        4.9                      O261700200117 
     1716.4      2.276       0.15       0.06                      O261700200118 
     1716.4      2.474       0.26       0.08                      O261700200119 
     1716.4      2.673        1.1        0.3                      O261700200120 
     1716.4      2.822        1.6        0.4                      O261700200121 
     1716.4      2.921        2.9        0.7                      O261700200122 
     1716.4      2.971        2.7        0.6                      O261700200123 
     1716.4      3.070        4.4        0.9                      O261700200124 
     1716.4      3.169        6.5        1.2                      O261700200125 
     1716.4      3.268        8.6        1.7                      O261700200126 
     1716.4      3.367       11.9        2.3                      O261700200127 
     1716.4      3.467       18.8        3.7                      O261700200128 
     1761.3      2.673       0.23       0.11                      O261700200129 
     1761.3      2.822       0.28       0.12                      O261700200130 
     1761.3      2.921       0.59       0.24                      O261700200131 
     1761.3      2.971       0.51       0.23                      O261700200132 
     1761.3      3.070       0.83       0.37                      O261700200133 
     1761.3      3.169        1.2        0.5                      O261700200134 
     1761.3      3.268        1.7        0.7                      O261700200135 
     1761.3      3.367        2.3        0.9                      O261700200136 
     1761.3      3.467        3.6        1.4                      O261700200137 
     2300.1      2.673       0.41       0.16                      O261700200138 
     2300.1      2.822       0.44       0.16                      O261700200139 
     2300.1      2.921       0.95       0.25                      O261700200140 
     2300.1      2.971       0.84       0.21                      O261700200141 
     2300.1      3.070        1.3        0.3                      O261700200142 
     2300.1      3.169        1.9        0.4                      O261700200143 
     2300.1      3.268        2.8        0.6                      O261700200144 
     2300.1      3.367        3.7        0.8                      O261700200145 
     2300.1      3.467        5.9        1.2                      O261700200146 
ENDDATA            123          0                                 O261700200147 
ENDSUBENT          146          0                                 O261700299999 
SUBENT        O2617003   20240813                             O100O261700300001 
BIB                  8         16                                 O261700300002 
REACTION  1(50-SN-116(P,G)51-SB-117,,SIG)                         O261700300003 
          2(50-SN-116(P,G)51-SB-117,,SIG,,SFC)                    O261700300004 
SAMPLE     (50-SN-116,ENR=0.9574) 122+/-8 ug/cm2                  O261700300005 
METHOD     (BCINT) proton beam current 8-15 uA                    O261700300006 
DETECTOR   (HPGE,BGO) high-purity germanium shielded with bismuth O261700300007 
            germanium oxide crystals for Compton background       O261700300008 
           suppression                                            O261700300009 
INC-SPECT  (EN-RSL-FW) Beam energy loss in the target 8.7-6.8 keV O261700300010 
MISC-COL   (MISC) Electron-screening correction factor            O261700300011 
ERR-ANALYS (ERR-T) Total uncertainty are due to:                  O261700300012 
            - statistical error (~16% to 48%)                     O261700300013 
           (ERR-1) accumulated charge (~3%)                       O261700300014 
           (ERR-2) detector efficiency (~5%)                      O261700300015 
           (ERR-3) target thickness (~7% or 12%) depends on targetO261700300016 
                    used.                                         O261700300017 
STATUS     (TABLE,,S.Harissopulos+,J,PR/C,110,015803,2024)Table IIO261700300018 
ENDBIB              16          0                                 O261700300019 
COMMON               3          3                                 O261700300020 
ERR-1      ERR-2      ERR-3                                       O261700300021 
PER-CENT   PER-CENT   PER-CENT                                    O261700300022 
         3.         5.         7.                                 O261700300023 
ENDCOMMON            3          0                                 O261700300024 
DATA                 6         11                                 O261700300025 
EN-CM      DATA      1ERR-T     1DATA      2ERR-T     2MISC       O261700300026 
MEV        MICRO-B    MICRO-B    B*MEV      B*MEV      NO-DIM     O261700300027 
      2.276       1.95       0.27   7.65E+08   1.06E+08      1.114O261700300028 
      2.474        6.7        0.8   7.49E+08   8.94E+07      1.100O261700300029 
      2.673       19.7        1.7   7.21E+08   6.22E+07      1.089O261700300030 
      2.822        36.         3.   6.19E+08   5.16E+07      1.081O261700300031 
      2.921        60.         5.   6.46E+08   5.38E+07      1.077O261700300032 
      2.971        61.         5.   5.23E+08   4.29E+07      1.075O261700300033 
      3.070        94.         7.   5.23E+08   3.89E+07      1.071O261700300034 
      3.169       145.        11.   5.33E+08   4.05E+07      1.068O261700300035 
      3.268       196.        15.   4.87E+08   3.72E+07      1.065O261700300036 
      3.367       259.        19.   4.42E+08   3.24E+07      1.062O261700300037 
      3.467       410.        31.   4.87E+08   3.68E+07      1.059O261700300038 
ENDDATA             13          0                                 O261700300039 
ENDSUBENT           38          0                                 O261700399999 
SUBENT        O2617004   20240813                             O100O261700400001 
BIB                  7         15                                 O261700400002 
REACTION   (50-SN-118(P,G)51-SB-119,PAR,SIG)                      O261700400003 
SAMPLE     (50-SN-118,ENR=0.9706) 168+/-20 ug/cm2                 O261700400004 
METHOD     (BCINT) proton beam current 8-16 uA                    O261700400005 
DETECTOR   (HPGE,BGO) high-purity germanium shielded with bismuth O261700400006 
            germanium oxide crystals for Compton background       O261700400007 
           suppression                                            O261700400008 
INC-SPECT  (EN-RSL-FW) Beam energy loss in the target 9.8-7.5 keV O261700400009 
ERR-ANALYS (ERR-T) Total uncertainty are due to:                  O261700400010 
            - statistical error (~9% to 48%)                      O261700400011 
           (ERR-1) accumulated charge (~3%)                       O261700400012 
           (ERR-2) detector efficiency (~5%)                      O261700400013 
           (ERR-3) target thickness (~7% or 12%) depends on targetO261700400014 
                    used.                                         O261700400015 
STATUS     (TABLE,,S.Harissopulos+,J,PR/C,110,015803,2024)        O261700400016 
            Table III                                             O261700400017 
ENDBIB              15          0                                 O261700400018 
COMMON               3          3                                 O261700400019 
ERR-1      ERR-2      ERR-3                                       O261700400020 
PER-CENT   PER-CENT   PER-CENT                                    O261700400021 
         3.         5.        12.                                 O261700400022 
ENDCOMMON            3          0                                 O261700400023 
DATA                 4        102                                 O261700400024 
E-LVL      EN-CM      DATA       ERR-T                            O261700400025 
KEV        MEV        MICRO-B    MICRO-B                          O261700400026 
         0.      2.573       0.19       0.07                      O261700400027 
         0.      2.772       0.42       0.14                      O261700400028 
         0.      2.970       0.89       0.29                      O261700400029 
         0.      3.169        2.0        0.6                      O261700400030 
         0.      3.367        3.6        0.9                      O261700400031 
         0.      3.466        4.2        0.9                      O261700400032 
      270.5      2.176       0.64       0.19                      O261700400033 
      270.5      2.374        1.4        0.4                      O261700400034 
      270.5      2.573        2.6        0.6                      O261700400035 
      270.5      2.772        6.7        1.5                      O261700400036 
      270.5      2.970       14.2        2.6                      O261700400037 
      270.5      3.169       34.7        5.8                      O261700400038 
      270.5      3.367        77.        13.                      O261700400039 
      270.5      3.466       106.        17.                      O261700400040 
      644.0      2.176       0.26       0.08                      O261700400041 
      644.0      2.374       0.81       0.23                      O261700400042 
      644.0      2.573        2.5        0.7                      O261700400043 
      644.0      2.772        6.5        1.2                      O261700400044 
      644.0      2.970       15.3        2.7                      O261700400045 
      644.0      3.169       35.6        5.9                      O261700400046 
      644.0      3.367        72.        12.                      O261700400047 
      644.0      3.466       102.        17.                      O261700400048 
      670.9      2.374       0.11       0.04                      O261700400049 
      670.9      2.573       0.14       0.05                      O261700400050 
      670.9      2.772       0.26       0.08                      O261700400051 
      670.9      2.970       0.80       0.26                      O261700400052 
      670.9      3.169        1.6        0.4                      O261700400053 
      670.9      3.367        3.6        0.7                      O261700400054 
      670.9      3.466        4.9        0.9                      O261700400055 
      699.9      2.374       0.61       0.19                      O261700400056 
      699.9      2.573        2.4        0.6                      O261700400057 
      699.9      2.772        7.2        1.4                      O261700400058 
      699.9      2.970        16.        2.9                      O261700400059 
      699.9      3.169       37.6        6.7                      O261700400060 
      699.9      3.367        78.        14.                      O261700400061 
      699.9      3.466       112.        20.                      O261700400062 
     1048.4      2.176       0.10       0.04                      O261700400063 
     1048.4      2.374       0.21       0.07                      O261700400064 
     1048.4      2.573       0.68       0.22                      O261700400065 
     1048.4      2.772        2.0        0.5                      O261700400066 
     1048.4      2.970        4.6        0.9                      O261700400067 
     1048.4      3.169       11.4        2.1                      O261700400068 
     1048.4      3.367       24.1        4.4                      O261700400069 
     1048.4      3.466       34.7        6.4                      O261700400070 
     1212.7      2.573       0.15       0.06                      O261700400071 
     1212.7      2.772       0.46       0.15                      O261700400072 
     1212.7      2.970        1.3        0.4                      O261700400073 
     1212.7      3.169        2.8        0.7                      O261700400074 
     1212.7      3.367        6.3        1.3                      O261700400075 
     1212.7      3.466        9.6        1.7                      O261700400076 
     1327.3      2.970       0.30       0.10                      O261700400077 
     1327.3      3.169       0.48       0.17                      O261700400078 
     1327.3      3.367       0.94       0.33                      O261700400079 
     1327.3      3.466        1.2        0.4                      O261700400080 
     1338.6      2.374       0.19       0.08                      O261700400081 
     1338.6      2.573       0.23       0.07                      O261700400082 
     1338.6      2.772       0.78       0.22                      O261700400083 
     1338.6      2.970        1.8        0.5                      O261700400084 
     1338.6      3.169        4.6        0.9                      O261700400085 
     1338.6      3.367        9.2        1.7                      O261700400086 
     1338.6      3.466       13.2        2.3                      O261700400087 
     1413.2      2.573       0.61       0.22                      O261700400088 
     1413.2      2.772        1.6        0.4                      O261700400089 
     1413.2      2.970        4.0        0.9                      O261700400090 
     1413.2      3.169        9.5        1.7                      O261700400091 
     1413.2      3.367       19.4        3.1                      O261700400092 
     1413.2      3.466       28.3        4.5                      O261700400093 
     1646.5      2.970       0.69       0.23                      O261700400094 
     1646.5      3.169        1.7        0.4                      O261700400095 
     1646.5      3.367        4.5        1.0                      O261700400096 
     1646.5      3.466        6.3        1.4                      O261700400097 
     1749.7      2.374       0.10       0.04                      O261700400098 
     1749.7      2.573       0.23       0.08                      O261700400099 
     1749.7      2.772        0.7       0.22                      O261700400100 
     1749.7      2.970        1.6        0.4                      O261700400101 
     1749.7      3.169        3.9        0.9                      O261700400102 
     1749.7      3.367        8.6        1.7                      O261700400103 
     1749.7      3.466       11.6        1.9                      O261700400104 
     1848.2      2.573       0.12       0.04                      O261700400105 
     1848.2      2.772       0.25       0.08                      O261700400106 
     1848.2      2.970       0.42       0.14                      O261700400107 
     1848.2      3.169       0.93       0.23                      O261700400108 
     1848.2      3.367        1.9        0.5                      O261700400109 
     1848.2      3.466        2.7        0.6                      O261700400110 
     1875.3      2.374       0.10       0.04                      O261700400111 
     1875.3      2.573       0.19       0.07                      O261700400112 
     1875.3      2.772       0.51       0.17                      O261700400113 
     1875.3      2.970        1.1        0.3                      O261700400114 
     1875.3      3.169        2.3        0.6                      O261700400115 
     1875.3      3.367        4.9        1.3                      O261700400116 
     1875.3      3.466        7.2        1.2                      O261700400117 
     2269.1      2.772       0.20       0.07                      O261700400118 
     2269.1      2.970       0.40       0.13                      O261700400119 
     2269.1      3.169       0.84       0.24                      O261700400120 
     2269.1      3.367        1.6        0.4                      O261700400121 
     2269.1      3.466        2.3        0.5                      O261700400122 
     2415.5      2.573       0.10       0.05                      O261700400123 
     2415.5      2.772       0.20       0.07                      O261700400124 
     2415.5      2.970       0.39       0.13                      O261700400125 
     2415.5      3.169       0.91       0.28                      O261700400126 
     2415.5      3.367        1.5        0.4                      O261700400127 
     2415.5      3.466        2.4        0.6                      O261700400128 
ENDDATA            104          0                                 O261700400129 
ENDSUBENT          128          0                                 O261700499999 
SUBENT        O2617005   20240813                             O100O261700500001 
BIB                  8         17                                 O261700500002 
REACTION  1(50-SN-118(P,G)51-SB-119,,SIG)                         O261700500003 
          2(50-SN-118(P,G)51-SB-119,,SIG,,SFC)                    O261700500004 
SAMPLE     (50-SN-118,ENR=0.9706) 168+/-20 ug/cm2                 O261700500005 
METHOD     (BCINT) proton beam current 8-16 uA                    O261700500006 
DETECTOR   (HPGE,BGO) high-purity germanium shielded with bismuth O261700500007 
            germanium oxide crystals for Compton background       O261700500008 
           suppression                                            O261700500009 
INC-SPECT  (EN-RSL-FW) Beam energy loss in the target 9.8-7.5 keV O261700500010 
MISC-COL   (MISC) Electron-screening correction factor            O261700500011 
ERR-ANALYS (ERR-T) Total uncertainty are due to:                  O261700500012 
            - statistical error (~9% to 48%)                      O261700500013 
           (ERR-1) accumulated charge (~3%)                       O261700500014 
           (ERR-2) detector efficiency (~5%)                      O261700500015 
           (ERR-3) target thickness (~7% or 12%) depends on targetO261700500016 
                    used.                                         O261700500017 
STATUS     (TABLE,,S.Harissopulos+,J,PR/C,110,015803,2024)        O261700500018 
            Table III                                             O261700500019 
ENDBIB              17          0                                 O261700500020 
COMMON               3          3                                 O261700500021 
ERR-1      ERR-2      ERR-3                                       O261700500022 
PER-CENT   PER-CENT   PER-CENT                                    O261700500023 
         3.         5.        12.                                 O261700500024 
ENDCOMMON            3          0                                 O261700500025 
DATA                 6          8                                 O261700500026 
EN-CM      DATA      1ERR-T     1DATA      2ERR-T     2MISC       O261700500027 
MEV        MICRO-B    MICRO-B    B*MEV      B*MEV      NO-DIM     O261700500028 
      2.176        1.0        0.2   7.91E+08   1.58E+08      1.123O261700500029 
      2.374        3.5        0.5   7.24E+08   1.03E+08      1.107O261700500030 
      2.573       10.1        1.2   6.39E+08   7.59E+07      1.094O261700500031 
      2.772       27.8        2.5   6.13E+08   5.52E+07      1.084O261700500032 
      2.970        64.         5.   5.52E+08   4.32E+07      1.075O261700500033 
      3.169       151.        11.   5.57E+08   4.06E+07      1.068O261700500034 
      3.367       317.        24.   5.42E+08   4.10E+07      1.062O261700500035 
      3.466       449.        33.   5.36E+08   3.94E+07      1.059O261700500036 
ENDDATA             10          0                                 O261700500037 
ENDSUBENT           36          0                                 O261700599999 
SUBENT        O2617006   20240813                             O100O261700600001 
BIB                  8         16                                 O261700600002 
REACTION  1(50-SN-116(P,G)51-SB-117,,SIG)                         O261700600003 
          2(50-SN-116(P,G)51-SB-117,,SIG,,SFC)                    O261700600004 
SAMPLE     (50-SN-116,ENR=0.9574) 62+/-6 ug/cm2                   O261700600005 
DETECTOR   (NAICR) 12" x 12" NaI(Tl) detector                     O261700600006 
INC-SPECT  (EN-RSL-FW) Beam energy loss in the target 3.3-2.5 keV O261700600007 
MISC-COL   (MISC) Electron-screening correction factor            O261700600008 
METHOD     4pi gamma-summing method                               O261700600009 
           (BCINT) proton beam current 9-40 nA                    O261700600010 
ERR-ANALYS (ERR-T) The total uncertainties are 13.9% and 20.3% forO261700600011 
           the S factor, caused by:                               O261700600012 
            - statistical error (<=2%)                            O261700600013 
           (ERR-1) accumulated charge (~3%)                       O261700600014 
           (ERR-2,9.,16.) absolute sum-peak efficiency (~9%-16%)  O261700600015 
           (ERR-3) target thickness (~10% or 12%) depends on      O261700600016 
                    target used.                                  O261700600017 
STATUS     (TABLE,,S.Harissopulos+,J,PR/C,110,015803,2024)Table IVO261700600018 
ENDBIB              16          0                                 O261700600019 
COMMON               2          3                                 O261700600020 
ERR-1      ERR-3                                                  O261700600021 
PER-CENT   PER-CENT                                               O261700600022 
         3.        10.                                            O261700600023 
ENDCOMMON            3          0                                 O261700600024 
DATA                 6          9                                 O261700600025 
EN-CM      DATA      1ERR-T     1DATA      2ERR-T     2MISC       O261700600026 
MEV        MICRO-B    MICRO-B    B*MEV      B*MEV      NO-DIM     O261700600027 
      3.567       418.        65.   3.51E+08   5.45E+07      1.057O261700600028 
      3.766       779.       120.   3.43E+08   5.28E+07      1.052O261700600029 
      3.964      1172.       181.   2.85E+08   4.40E+07      1.048O261700600030 
      4.162      1878.       290.   2.63E+08   4.06E+07      1.045O261700600031 
      4.361      2890.       445.   2.43E+08   3.74E+07      1.042O261700600032 
      4.559      4579.       706.   2.39E+08   3.69E+07      1.039O261700600033 
      4.757      6701.      1033.   2.24E+08   3.46E+07      1.036O261700600034 
      4.955      8741.      1349.   1.93E+08   2.97E+07      1.034O261700600035 
      5.154     13473.      2252.   2.01E+08   3.35E+07      1.032O261700600036 
ENDDATA             11          0                                 O261700600037 
ENDSUBENT           36          0                                 O261700699999 
SUBENT        O2617007   20240813                             O100O261700700001 
BIB                  8         18                                 O261700700002 
REACTION  1(50-SN-116(P,G)51-SB-117,,SIG)                         O261700700003 
          2(50-SN-116(P,G)51-SB-117,,SIG,,SFC)                    O261700700004 
SAMPLE     (50-SN-116,ENR=0.1453) 281+/-17 ug/cm2 for 2.3 MeV     O261700700005 
           (50-SN-116,ENR=0.1453) 271+/-17 ug/cm2 for 2.45 MeV    O261700700006 
           (50-SN-116,ENR=0.9574) 62+/-6 ug/cm2 for 3.5 MeV       O261700700007 
METHOD     (ACTIV) Irradiation times were 8.5 hours at 2.3 MeV,   O261700700008 
           6.3 hours at 2.45 MeV, and 6.1 hours at 3.5 MeV.       O261700700009 
           (BCINT) proton beam current ~1 uA                      O261700700010 
DETECTOR   (HPGE)                                                 O261700700011 
INC-SPECT  (EN-RSL-FW) Beam energy loss in the target             O261700700012 
MISC-COL   (MISC) Electron-screening correction factor            O261700700013 
ERR-ANALYS (ERR-T) The total uncertainties (15%-17%) are due to:  O261700700014 
            - statistical error (5-8%)                            O261700700015 
           (ERR-1) target thickness (~6%) and (10%) for the       O261700700016 
            thinner one                                           O261700700017 
           (ERR-2) current integration (3%)                       O261700700018 
           (ERR-3) absolute efficiency of the detector (12%)      O261700700019 
STATUS     (TABLE,,S.Harissopulos+,J,PR/C,110,015803,2024)Table IVO261700700020 
ENDBIB              18          0                                 O261700700021 
COMMON               2          3                                 O261700700022 
ERR-2      ERR-3                                                  O261700700023 
PER-CENT   PER-CENT                                               O261700700024 
         3.        12.                                            O261700700025 
ENDCOMMON            3          0                                 O261700700026 
DATA                 8          3                                 O261700700027 
EN-CM      EN-RSL-FW  DATA      1ERR-1      ERR-T     1DATA      2O261700700028 
ERR-T     2MISC                                                   O261700700029 
MEV        KEV        MICRO-B    PER-CENT   MICRO-B    B*MEV      O261700700030 
B*MEV      NO-DIM                                                 O261700700031 
      2.272       16.0        1.8         6.        0.3   7.24E+08O261700700032 
   1.21E+08      1.114                                            O261700700033 
      2.422       14.9        4.6         6.        0.7   7.12E+08O261700700034 
   1.07E+08      1.103                                            O261700700035 
      3.469        3.4       305.        10.        52.   3.60E+08O261700700036 
   6.13E+07      1.059                                            O261700700037 
ENDDATA             10          0                                 O261700700038 
ENDSUBENT           37          0                                 O261700799999 
SUBENT        O2617008   20240813                             O100O261700800001 
BIB                  8         16                                 O261700800002 
REACTION  1(50-SN-118(P,G)51-SB-119,,SIG)                         O261700800003 
          2(50-SN-118(P,G)51-SB-119,,SIG,,SFC)                    O261700800004 
SAMPLE     (50-SN-118,ENR=0.9706) 168+/-20 ug/cm2                 O261700800005 
DETECTOR   (NAICR) 12" x 12" NaI(Tl) detector                     O261700800006 
INC-SPECT  (EN-RSL-FW) Beam energy loss in the target 9.0-5.8 keV O261700800007 
METHOD     4pi gamma-summing method                               O261700800008 
           (BCINT) proton beam current 9-130 nA                   O261700800009 
MISC-COL   (MISC) Electron-screening correction factor            O261700800010 
ERR-ANALYS (ERR-T) The total uncertainties are 13.9% and 20.3% forO261700800011 
           the S factor, caused by:                               O261700800012 
            - statistical error (<=2%)                            O261700800013 
           (ERR-1) accumulated charge (~3%)                       O261700800014 
