ENTRY            O2589   20230120                             O100O258900000001 
SUBENT        O2589001   20230120                             O100O258900100001 
BIB                 12         27                                 O258900100002 
TITLE      Updated analysis of the 170Er(p,t)168Er reaction data  O258900100003 
AUTHOR     (D.Bucurescu, S.Pascu, G.Graw, R.Hertenberger,         O258900100004 
           H.-F.Wirth, T.Faestermann, R.Kruecken, M.Mahgoub,      O258900100005 
           J.Jolie, P.Von Brentano, S.Heinze, O.Moeller,          O258900100006 
           R.F.Casten, D.A.Meyer Brittingham)                     O258900100007 
INSTITUTE  (3RUMBUC,2GERLMU,2GERMUU,1USABRK,2GERKLN,2GERTHD,      O258900100008 
           1USAYAL)                                               O258900100009 
           (3SARSAR) Jazan University, Jazan                      O258900100010 
           (3SUDSUD) University of Science Technology, Khartoum,  O258900100011 
           Sudan                                                  O258900100012 
           (4GRGGRG) Agnes Scott College, Decatur, Georgia        O258900100013 
REFERENCE  (J,PR/C,108,014310,2023)                               O258900100014 
REL-REF    (M,D0419001,D.Bucurescu+,J,PR/C,73,064309,2006)        O258900100015 
           For experiment details.                                O258900100016 
FACILITY   (VDGT,2GERMUU) Tandem accelerator                      O258900100017 
SAMPLE     The Er2O3 target of thickness of 120 ug/cm2, deposited O258900100018 
           on a 13 ug/cm2 carbon backing.                         O258900100019 
DETECTOR   (MAGSP) Q3D spectrograph                               O258900100020 
METHOD     (EDE,BCINT) The energy calibration of the spectra was  O258900100021 
           achieved by comparing with spectra measured under      O258900100022 
           similar conditions for the 172Yb(p,t) and 208Pb(p,t)   O258900100023 
           reactions.                                             O258900100024 
ERR-ANALYS (DATA-ERR) No information on the source of uncertainty O258900100025 
STATUS     (APRVD) Approved by D.Bucurescu (2024-01-25)           O258900100026 
           (TABLE,,D.Bucurescu+,J,PR/C,108,014310,2023) Fig. 2-7  O258900100027 
HISTORY    (20240113R) Data received from D.Bucurescu (2024-01-13)O258900100028 
           (20240123C) VT                                         O258900100029 
ENDBIB              27          0                                 O258900100030 
NOCOMMON             0          0                                 O258900100031 
ENDSUBENT           30          0                                 O258900199999 
SUBENT        O2589002   20240120                             O100O258900200001 
BIB                  1          1                                 O258900200002 
REACTION   (68-ER-170(P,T)68-ER-168,PAR,DA)                       O258900200003 
ENDBIB               1          0                                 O258900200004 
COMMON               1          3                                 O258900200005 
EN                                                                O258900200006 
MEV                                                               O258900200007 
        25.                                                       O258900200008 
ENDCOMMON            3          0                                 O258900200009 
DATA                 4       1450                                 O258900200010 
E-LVL      ANG        DATA       DATA-ERR                         O258900200011 
KEV        ADEG       MU-B/SR    MU-B/SR                          O258900200012 
         0.         5.    811.268     11.806                      O258900200013 
         0.        10.    583.803      7.069                      O258900200014 
         0.        14.    180.743      2.259                      O258900200015 
         0.       17.5      27.57      0.577                      O258900200016 
         0.        23.    120.877      1.425                      O258900200017 
         0.        30.    268.366      3.517                      O258900200018 
         0.       37.5    136.383      1.774                      O258900200019 
        80.         5.    112.424      4.392                      O258900200020 
        80.        10.    154.867      3.642                      O258900200021 
        80.        14.    125.676      1.884                      O258900200022 
        80.       17.5     76.846      0.954                      O258900200023 
        80.        23.     31.828      0.734                      O258900200024 
        80.        30.     15.429      0.848                      O258900200025 
        80.       37.5     33.538      0.891                      O258900200026 
       264.         5.     40.065      1.041                      O258900200027 
       264.        10.     46.506      0.719                      O258900200028 
       264.        14.     38.517       0.55                      O258900200029 
       264.       17.5     29.337      0.589                      O258900200030 
       264.        23.     34.816      0.523                      O258900200031 
       264.        30.     26.743      0.612                      O258900200032 
       264.       37.5     23.499      0.539                      O258900200033 
       549.         5.      1.828      0.229                      O258900200034 
       549.        10.      3.337      0.138                      O258900200035 
       549.        14.      3.207      0.146                      O258900200036 
       549.       17.5      3.039        0.2                      O258900200037 
       549.        23.      3.133      0.138                      O258900200038 
       549.        30.      2.363      0.195                      O258900200039 
       549.       37.5      2.448      0.142                      O258900200040 
       821.         5.     16.579       0.66                      O258900200041 
       821.        10.     27.578      0.405                      O258900200042 
       821.        14.       24.9      0.386                      O258900200043 
       821.       17.5     16.382      0.436                      O258900200044 
       821.        23.     10.848      0.259                      O258900200045 
       821.        30.      5.616      0.292                      O258900200046 
       821.       37.5       6.88      0.232                      O258900200047 
       895.         5.      0.305      0.127                      O258900200048 
       895.        10.      0.719      0.095                      O258900200049 
       895.        14.      1.252      0.105                      O258900200050 
       895.       17.5      1.225       0.13                      O258900200051 
       895.        23.      2.387       0.12                      O258900200052 
       895.        30.      1.571      0.153                      O258900200053 
       895.       37.5      0.891       0.09                      O258900200054 
       995.         5.     15.157      0.609                      O258900200055 
       995.        10.     19.261      0.329                      O258900200056 
       995.        14.     17.064      0.328                      O258900200057 
       995.       17.5     13.673        0.4                      O258900200058 
       995.        23.     15.478      0.307                      O258900200059 
       995.        30.      9.869      0.375                      O258900200060 
       995.       37.5      5.435      0.202                      O258900200061 
      1193.         5.      4.799      0.355                      O258900200062 
