ENTRY            O2589   20230120                             O100O258900000001 
SUBENT        O2589001   20230120                             O100O258900100001 
BIB                 12         27                                 O258900100002 
TITLE      Updated analysis of the 170Er(p,t)168Er reaction data  O258900100003 
AUTHOR     (D.Bucurescu, S.Pascu, G.Graw, R.Hertenberger,         O258900100004 
           H.-F.Wirth, T.Faestermann, R.Kruecken, M.Mahgoub,      O258900100005 
           J.Jolie, P.Von Brentano, S.Heinze, O.Moeller,          O258900100006 
           R.F.Casten, D.A.Meyer Brittingham)                     O258900100007 
INSTITUTE  (3RUMBUC,2GERLMU,2GERMUU,1USABRK,2GERKLN,2GERTHD,      O258900100008 
           1USAYAL)                                               O258900100009 
           (3SARSAR) Jazan University, Jazan                      O258900100010 
           (3SUDSUD) University of Science Technology, Khartoum,  O258900100011 
           Sudan                                                  O258900100012 
           (4GRGGRG) Agnes Scott College, Decatur, Georgia        O258900100013 
REFERENCE  (J,PR/C,108,014310,2023)                               O258900100014 
REL-REF    (M,D0419001,D.Bucurescu+,J,PR/C,73,064309,2006)        O258900100015 
           For experiment details.                                O258900100016 
FACILITY   (VDGT,2GERMUU) Tandem accelerator                      O258900100017 
SAMPLE     The Er2O3 target of thickness of 120 ug/cm2, deposited O258900100018 
           on a 13 ug/cm2 carbon backing.                         O258900100019 
DETECTOR   (MAGSP) Q3D spectrograph                               O258900100020 
METHOD     (EDE,BCINT) The energy calibration of the spectra was  O258900100021 
           achieved by comparing with spectra measured under      O258900100022 
           similar conditions for the 172Yb(p,t) and 208Pb(p,t)   O258900100023 
           reactions.                                             O258900100024 
ERR-ANALYS (DATA-ERR) No information on the source of uncertainty O258900100025 
STATUS     (APRVD) Approved by D.Bucurescu (2024-01-25)           O258900100026 
           (TABLE,,D.Bucurescu+,J,PR/C,108,014310,2023) Fig. 2-7  O258900100027 
HISTORY    (20240113R) Data received from D.Bucurescu (2024-01-13)O258900100028 
           (20240123C) VT                                         O258900100029 
ENDBIB              27          0                                 O258900100030 
NOCOMMON             0          0                                 O258900100031 
ENDSUBENT           30          0                                 O258900199999 
SUBENT        O2589002   20240120                             O100O258900200001 
BIB                  1          1                                 O258900200002 
REACTION   (68-ER-170(P,T)68-ER-168,PAR,DA)                       O258900200003 
ENDBIB               1          0                                 O258900200004 
COMMON               1          3                                 O258900200005 
EN                                                                O258900200006 
MEV                                                               O258900200007 
        25.                                                       O258900200008 
ENDCOMMON            3          0                                 O258900200009 
DATA                 4       1450                                 O258900200010 
      1193.        10.      5.408      0.176                      O258900200063 
      1193.        14.      4.003       0.17                      O258900200064 
      1193.       17.5      3.062        0.2                      O258900200065 
      1193.        23.      5.105      0.186                      O258900200066 
      1193.        30.      5.629      0.292                      O258900200067 
      1193.       37.5      4.147       0.18                      O258900200068 
      1217.         5.     12.187      0.559                      O258900200069 
      1217.        10.      7.931      0.209                      O258900200070 
      1217.        14.      2.762      0.146                      O258900200071 
      1217.       17.5      1.849      0.153                      O258900200072 
      1217.        23.      5.791      0.198                      O258900200073 
      1217.        30.      5.393      0.278                      O258900200074 
      1217.       37.5      1.108      0.097                      O258900200075 
      1264.         5.      0.889      0.178                      O258900200076 
      1264.        10.      1.785      0.114                      O258900200077 
      1264.        14.      1.732      0.123                      O258900200078 
      1264.       17.5       1.46      0.141                      O258900200079 
      1264.        23.      1.185      0.096                      O258900200080 
      1264.        30.      0.528      0.097                      O258900200081 
      1264.       37.5      0.359      0.067                      O258900200082 
      1276.         5.      2.285      0.254                      O258900200083 
      1276.        10.      3.023      0.138                      O258900200084 
      1276.        14.      2.563      0.146                      O258900200085 
      1276.       17.5      1.684      0.153                      O258900200086 
      1276.        23.      1.666      0.114                      O258900200087 
      1276.        30.      0.959      0.125                      O258900200088 
      1276.       37.5      0.779       0.09                      O258900200089 
      1359.         5.       2.67      0.351                      O258900200090 
      1359.        10.      2.604      0.118                      O258900200091 
      1359.        14.      1.511      0.099                      O258900200092 
      1359.       17.5      1.003      0.087                      O258900200093 
      1359.        23.      1.911      0.186                      O258900200094 
      1359.        30.      1.656      0.249                      O258900200095 
      1359.       37.5      0.888      0.119                      O258900200096 
      1404.        10.      0.128      0.062                      O258900200097 
      1404.        14.      0.275      0.176                      O258900200098 
      1404.       17.5      0.345      0.062                      O258900200099 
      1404.        23.       0.31      0.119                      O258900200100 
      1404.        30.      0.335      0.074                      O258900200101 
      1404.       37.5      0.419      0.082                      O258900200102 
      1411.         5.      0.279      0.127                      O258900200103 
      1411.        10.      0.242      0.078                      O258900200104 
      1411.        14.      0.301      0.067                      O258900200105 
      1411.       17.5      0.354      0.067                      O258900200106 
      1411.        23.      0.513      0.064                      O258900200107 
      1411.        30.      0.316      0.074                      O258900200108 
      1422.         5.     11.171      0.533                      O258900200109 
      1422.        10.      5.941      0.276                      O258900200110 
      1422.        14.      1.007      0.246                      O258900200111 
      1422.       17.5      0.553      0.106                      O258900200112 
      1422.        23.      3.892      0.264                      O258900200113 
      1422.        30.      3.892      0.264                      O258900200114 
      1422.       37.5      1.512      0.172                      O258900200115 
      1431.         5.      4.606      0.248                      O258900200116 
      1431.        10.      9.728      0.207                      O258900200117 
      1431.        14.     11.311      0.248                      O258900200118 
      1431.       17.5      9.613      0.691                      O258900200119 
      1431.        23.      9.141      0.386                      O258900200120 
      1431.        30.      4.361      0.169                      O258900200121 
      1431.       37.5      4.383      0.263                      O258900200122 
      1449.         5.      0.855      0.114                      O258900200123 
      1449.        10.      2.939      0.108                      O258900200124 
      1449.        14.      3.526      0.138                      O258900200125 
      1449.       17.5      3.513      0.162                      O258900200126 
      1449.        23.      3.819      0.131                      O258900200127 
      1449.        30.      3.438      0.146                      O258900200128 
      1449.       37.5      5.694      0.305                      O258900200129 
      1493.         5.      2.481      0.246                      O258900200130 
      1493.        10.      5.356      0.215                      O258900200131 
      1493.        14.      5.815      0.174                      O258900200132 
      1493.       17.5      4.294      0.162                      O258900200133 
      1493.        23.      2.262       0.15                      O258900200134 
      1493.        30.      1.232      0.091                      O258900200135 
      1493.       37.5      1.909      0.089                      O258900200136 
      1541.         5.      0.613      0.114                      O258900200137 
      1541.        10.      0.573      0.063                      O258900200138 
      1541.        14.      0.355      0.067                      O258900200139 
      1541.       17.5      0.295      0.058                      O258900200140 
      1541.        23.      0.355      0.118                      O258900200141 
      1541.        30.      0.204      0.065                      O258900200142 
      1541.       37.5      0.186      0.038                      O258900200143 
      1574.         5.      2.896      0.198                      O258900200144 
      1574.        10.      3.335      0.113                      O258900200145 
      1574.        14.      2.822      0.128                      O258900200146 
      1574.       17.5      2.282      0.149                      O258900200147 
      1574.        23.      3.796      0.309                      O258900200148 
      1574.        30.      4.254      0.204                      O258900200149 
      1574.       37.5      3.588      0.119                      O258900200150 
      1618.         5.      1.039      0.131                      O258900200151 
      1618.        10.      1.179      0.076                      O258900200152 
      1618.        14.      0.594      0.071                      O258900200153 
      1618.       17.5      0.382      0.062                      O258900200154 
      1618.        23.      0.615      0.075                      O258900200155 
      1618.        30.      0.513      0.071                      O258900200156 
      1618.       37.5      0.546      0.087                      O258900200157 
      1633.         5.      5.468      0.408                      O258900200158 
      1633.        10.     11.936      0.526                      O258900200159 
      1633.        14.     15.067      0.659                      O258900200160 
      1633.       17.5     13.452      0.816                      O258900200161 
      1633.        23.     11.332      0.221                      O258900200162 
      1633.        30.      4.415      0.166                      O258900200163 
      1633.       37.5      5.714      0.171                      O258900200164 
      1655.         5.      0.759      0.174                      O258900200165 
      1655.        10.         1.      0.086                      O258900200166 
      1655.        14.       1.26      0.098                      O258900200167 
      1655.       17.5      1.156      0.142                      O258900200168 
      1655.        23.      1.634      0.101                      O258900200169 
      1655.        30.      1.069      0.112                      O258900200170 
      1655.       37.5      0.635      0.065                      O258900200171 
      1708.         5.      0.586      0.152                      O258900200172 
      1708.        10.       0.72      0.093                      O258900200173 
      1708.        14.      0.599       0.08                      O258900200174 
      1708.       17.5      0.401      0.094                      O258900200175 
      1708.        23.      0.868      0.084                      O258900200176 
      1708.        30.      1.004      0.112                      O258900200177 
      1708.       37.5      0.685      0.071                      O258900200178 
      1719.         5.      0.043      0.108                      O258900200179 
      1719.        10.      0.359      0.086                      O258900200180 
      1719.        14.      0.302      0.067                      O258900200181 
      1719.       17.5      0.212      0.083                      O258900200182 
      1719.        23.      0.345      0.067                      O258900200183 
      1719.        30.      0.269      0.074                      O258900200184 
      1719.       37.5      0.181      0.045                      O258900200185 
      1737.         5.       9.76      0.477                      O258900200186 
      1737.        10.     10.732      0.224                      O258900200187 
      1737.        14.      9.561      0.231                      O258900200188 
      1737.       17.5      7.292      0.307                      O258900200189 
      1737.        23.     10.856      0.232                      O258900200190 
      1737.        30.      8.187      0.288                      O258900200191 
      1737.       37.5      3.969      0.146                      O258900200192 
      1780.         5.      0.824      0.195                      O258900200193 
      1780.        10.      0.824      0.097                      O258900200194 
      1780.        14.      0.732      0.129                      O258900200195 
      1780.       17.5      0.944      0.142                      O258900200196 
      1780.        23.      0.893      0.211                      O258900200197 
      1780.        30.      1.087       0.13                      O258900200198 
      1780.       37.5      1.038      0.091                      O258900200199 
      1786.         5.      0.933      0.195                      O258900200200 
      1786.        10.      1.427       0.11                      O258900200201 
      1786.        14.      1.672      0.146                      O258900200202 
      1786.       17.5      1.404      0.165                      O258900200203 
      1786.        23.      1.668      0.206                      O258900200204 
      1786.        30.      1.031       0.13                      O258900200205 
      1786.       37.5      0.352      0.081                      O258900200206 
      1795.         5.      0.542      0.152                      O258900200207 
      1795.        10.      0.938      0.083                      O258900200208 
      1795.        14.      1.273      0.106                      O258900200209 
      1795.       17.5      1.027      0.142                      O258900200210 
      1795.        23.      1.251      0.109                      O258900200211 
      1795.        30.      0.864      0.112                      O258900200212 
      1795.       37.5      0.398      0.086                      O258900200213 
      1820.         5.      2.039      0.239                      O258900200214 
      1820.        10.      2.534      0.114                      O258900200215 
      1820.        14.      2.204       0.12                      O258900200216 
      1820.       17.5      1.345      0.142                      O258900200217 
      1820.        23.      1.714      0.101                      O258900200218 
      1820.        30.       1.31       0.13                      O258900200219 
      1820.       37.5      1.184      0.086                      O258900200220 
      1833.         5.      7.895      0.434                      O258900200221 
      1833.        10.      4.871      0.148                      O258900200222 
      1833.        14.      1.486      0.106                      O258900200223 
      1833.       17.5      0.472      0.106                      O258900200224 
      1833.        23.      1.912      0.105                      O258900200225 
      1833.        30.      2.016      0.167                      O258900200226 
      1833.       37.5      0.922      0.081                      O258900200227 
      1848.         5.      1.258      0.217                      O258900200228 
      1848.        10.      3.082      0.124                      O258900200229 
      1848.        14.      3.694      0.151                      O258900200230 
      1848.       17.5      2.737      0.201                      O258900200231 
      1848.        23.       2.16      0.109                      O258900200232 
      1848.        30.      1.069      0.121                      O258900200233 
      1848.       37.5      1.063      0.086                      O258900200234 
      1893.         5.      1.258      0.195                      O258900200235 
      1893.        10.      1.679        0.1                      O258900200236 
      1893.        14.      1.406      0.098                      O258900200237 
      1893.       17.5       1.05       0.13                      O258900200238 
      1893.        23.       0.96       0.08                      O258900200239 
      1893.        30.      0.567      0.093                      O258900200240 
      1893.       37.5      0.589      0.071                      O258900200241 
      1903.         5.      0.369      0.152                      O258900200242 
      1903.        10.       0.61      0.072                      O258900200243 
      1903.        14.      0.918      0.089                      O258900200244 
      1903.       17.5       0.72      0.118                      O258900200245 
      1903.        23.      0.678      0.072                      O258900200246 
      1903.        30.      0.641      0.093                      O258900200247 
      1903.       37.5      0.584      0.071                      O258900200248 
      1914.         5.       0.39      0.152                      O258900200249 
      1914.        10.      1.314       0.09                      O258900200250 
      1914.        14.         2.      0.115                      O258900200251 
      1914.       17.5      1.947      0.165                      O258900200252 
      1914.        23.      2.072      0.109                      O258900200253 
      1914.        30.      0.781      0.102                      O258900200254 
      1914.       37.5       0.72      0.075                      O258900200255 
      1930.         5.      0.217       0.13                      O258900200256 
      1930.        10.      0.493      0.072                      O258900200257 
      1930.        14.      0.612      0.106                      O258900200258 
      1930.       17.5      0.614      0.118                      O258900200259 
      1930.        23.      0.358      0.147                      O258900200260 
      1930.        30.      0.279      0.084                      O258900200261 
      1936.         5.      0.911      0.174                      O258900200262 
      1936.        10.      1.031       0.09                      O258900200263 
      1936.        14.      0.656      0.111                      O258900200264 
      1936.       17.5      0.271      0.106                      O258900200265 
      1936.        23.      0.446      0.147                      O258900200266 
      1936.        30.      0.465      0.093                      O258900200267 
      1936.       37.5      0.443      0.055                      O258900200268 
      1952.         5.      0.521      0.174                      O258900200269 
      1952.        10.      0.834      0.086                      O258900200270 
      1952.        14.      0.705      0.089                      O258900200271 
      1952.       17.5      0.637      0.106                      O258900200272 
      1952.        23.      0.497      0.063                      O258900200273 
      1952.        30.      0.465      0.084                      O258900200274 
      1952.       37.5      0.906      0.081                      O258900200275 
      1961.         5.       0.39      0.174                      O258900200276 
      1961.        10.      0.979      0.093                      O258900200277 
      1961.        14.      1.304      0.106                      O258900200278 
      1961.       17.5      0.897       0.13                      O258900200279 
      1961.        23.      0.788      0.076                      O258900200280 
      1961.        30.      0.623      0.093                      O258900200281 
      1961.       37.5       0.67      0.075                      O258900200282 
      1983.         5.      0.564      0.152                      O258900200283 
      1983.        10.      0.424      0.065                      O258900200284 
      1983.        14.      0.541      0.071                      O258900200285 
      1983.       17.5      0.496      0.106                      O258900200286 
      1983.        23.      0.564      0.067                      O258900200287 
      1983.        30.      0.585      0.093                      O258900200288 
      1983.       37.5      0.433       0.06                      O258900200289 
      2002.         5.      0.933      0.174                      O258900200290 
      2002.        10.      1.224       0.09                      O258900200291 
      2002.        14.      1.277      0.093                      O258900200292 
      2002.       17.5      1.274      0.142                      O258900200293 
      2002.        23.      1.356      0.093                      O258900200294 
      2002.        30.      1.217      1.208                      O258900200295 
      2002.       37.5      0.745      0.071                      O258900200296 
      2022.         5.      0.174       0.13                      O258900200297 
      2022.        10.      0.607      0.072                      O258900200298 
      2022.        14.      0.878      0.084                      O258900200299 
      2022.       17.5      0.873      0.118                      O258900200300 
      2022.        23.      0.868      0.076                      O258900200301 
      2022.        30.      0.372      0.074                      O258900200302 
      2022.       37.5      0.363      0.055                      O258900200303 
      2055.         5.      1.323      0.217                      O258900200304 
      2055.        10.      1.924      0.103                      O258900200305 
      2055.        14.      1.534      0.102                      O258900200306 
      2055.       17.5      1.593      0.153                      O258900200307 
      2055.        23.      2.325      0.109                      O258900200308 
      2055.        30.      2.258      0.158                      O258900200309 
      2055.       37.5      1.108      0.091                      O258900200310 
      2080.         5.      0.846      0.174                      O258900200311 
      2080.        10.      0.979      0.079                      O258900200312 
      2080.        14.      1.033      0.089                      O258900200313 
      2080.       17.5      1.038       0.13                      O258900200314 
      2080.        23.      1.074      0.084                      O258900200315 
      2080.        30.      0.725      0.102                      O258900200316 
      2080.       37.5      0.896      0.081                      O258900200317 
      2114.         5.      2.451       0.26                      O258900200318 
      2114.        10.      1.317       0.09                      O258900200319 
      2114.        14.      0.373      0.067                      O258900200320 
      2114.       17.5      0.142      0.071                      O258900200321 
      2114.        23.      0.341      0.059                      O258900200322 
      2114.        30.      0.548      0.093                      O258900200323 
      2114.       37.5      0.504      0.065                      O258900200324 
      2129.         5.      0.239       0.13                      O258900200325 
      2129.        30.      0.204      0.065                      O258900200326 
      2148.         5.      0.304       0.13                      O258900200327 
      2148.        10.      0.234      0.055                      O258900200328 
      2148.        14.       0.08      0.053                      O258900200329 
      2148.       17.5      0.153      0.071                      O258900200330 
      2148.        30.      0.121      0.065                      O258900200331 
      2148.       37.5      0.116      0.045                      O258900200332 
      2174.         5.       1.15      0.195                      O258900200333 
      2174.        10.      0.972      0.079                      O258900200334 
      2174.        14.      1.087      0.089                      O258900200335 
      2174.       17.5      0.897      0.118                      O258900200336 
      2174.        23.      0.779      0.076                      O258900200337 
      2174.        30.       0.65      0.093                      O258900200338 
      2174.       37.5      0.755      0.075                      O258900200339 
      2185.         5.      1.019      0.195                      O258900200340 
      2185.        10.      1.507      0.141                      O258900200341 
      2185.        14.       1.57      0.204                      O258900200342 
      2185.       17.5      1.345      0.153                      O258900200343 
      2185.        23.      2.261       0.16                      O258900200344 
      2185.        30.      2.286      0.167                      O258900200345 
      2185.       37.5      1.889      0.201                      O258900200346 
      2193.         5.      3.991      0.325                      O258900200347 
      2193.        10.      12.17      0.283                      O258900200348 
      2193.        14.     15.264      0.359                      O258900200349 
      2193.       17.5     11.976      0.401                      O258900200350 
      2193.        23.      7.218      0.223                      O258900200351 
      2193.        30.      3.197      0.204                      O258900200352 
      2193.       37.5      5.298      0.252                      O258900200353 
      2200.        10.      0.758      0.141                      O258900200354 
      2200.        14.      0.404      0.146                      O258900200355 
      2200.       17.5      0.071       0.13                      O258900200356 
      2200.        23.      0.307      0.088                      O258900200357 
      2200.        30.      0.325      0.102                      O258900200358 
      2200.       37.5      0.418      0.121                      O258900200359 
      2232.         5.      0.325      0.239                      O258900200360 
      2232.        10.      0.755      0.093                      O258900200361 
      2232.        14.      1.273      0.133                      O258900200362 
      2232.       17.5      1.156      0.153                      O258900200363 
      2232.        23.      1.036      0.126                      O258900200364 
      2232.        30.      0.929      0.139                      O258900200365 
      2232.       37.5      1.304      0.101                      O258900200366 
      2238.         5.      0.694       0.26                      O258900200367 
      2238.        10.      1.338      0.107                      O258900200368 
      2238.        14.      1.029      0.129                      O258900200369 
      2238.       17.5      0.767      0.142                      O258900200370 
      2238.        23.      0.779      0.122                      O258900200371 
      2238.        30.       0.79       0.13                      O258900200372 
      2238.       37.5      0.393      0.065                      O258900200373 
      2255.         5.      0.521      0.174                      O258900200374 
      2255.        10.      1.131      0.124                      O258900200375 
      2255.        14.      1.264      0.133                      O258900200376 
      2255.       17.5      1.723      0.177                      O258900200377 
      2255.        23.      2.384      0.156                      O258900200378 
      2255.        30.      2.054      0.167                      O258900200379 
      2255.       37.5      2.135      0.161                      O258900200380 
      2263.         5.      1.236      0.217                      O258900200381 
      2263.        10.      1.872      0.141                      O258900200382 
      2263.        14.      2.457       0.16                      O258900200383 
      2263.       17.5      2.443      0.201                      O258900200384 
      2263.        23.      2.729      0.164                      O258900200385 
      2263.        30.      1.487      0.149                      O258900200386 
      2263.       37.5      0.866      0.136                      O258900200387 
      2279.         5.      1.822      0.239                      O258900200388 
      2279.        10.      1.517      0.124                      O258900200389 
      2279.        14.      1.428       0.12                      O258900200390 
      2279.       17.5      1.121      0.142                      O258900200391 
      2279.        23.      1.398      0.114                      O258900200392 
      2279.        30.      0.929      0.121                      O258900200393 
      2279.       37.5      0.443      0.081                      O258900200394 
      2299.         5.      0.217       0.13                      O258900200395 
      2299.        10.      0.396       0.09                      O258900200396 
      2299.        14.      0.639      0.098                      O258900200397 
      2299.       17.5      0.814      0.118                      O258900200398 
      2299.        23.      0.665      0.093                      O258900200399 
      2299.        30.      0.632      0.102                      O258900200400 
      2299.       37.5      1.179      0.106                      O258900200401 
      2311.         5.      4.273      0.325                      O258900200402 
      2311.        10.      3.941      0.176                      O258900200403 
      2311.        14.      3.619      0.164                      O258900200404 
      2311.       17.5      3.611      0.224                      O258900200405 
      2311.        23.      5.272      0.185                      O258900200406 
      2311.        30.      3.782      0.204                      O258900200407 
      2311.       37.5       1.35      0.116                      O258900200408 
      2322.         5.      4.533      0.347                      O258900200409 
      2322.        10.      9.581      0.255                      O258900200410 
      2322.        14.     11.144      0.262                      O258900200411 
      2322.       17.5      8.791      0.342                      O258900200412 
      2322.        23.      5.719      0.194                      O258900200413 
      2322.        30.      4.135      0.214                      O258900200414 
      2322.       37.5      4.633      0.181                      O258900200415 
      2337.         5.     10.497      0.499                      O258900200416 
      2337.        10.     11.384      0.276                      O258900200417 
      2337.        14.      9.158       0.24                      O258900200418 
      2337.       17.5       7.67      0.319                      O258900200419 
      2337.        23.      8.608      0.227                      O258900200420 
      2337.        30.      7.611      0.279                      O258900200421 
      2337.       37.5       5.63      0.196                      O258900200422 
      2349.         5.     15.486      0.607                      O258900200423 
      2349.        10.     20.288      0.359                      O258900200424 
      2349.        14.     15.894       0.31                      O258900200425 
      2349.       17.5       9.18      0.342                      O258900200426 
      2349.        23.      6.881      0.206                      O258900200427 
      2349.        30.      6.886      0.269                      O258900200428 
      2349.       37.5      6.864      0.217                      O258900200429 
      2366.         5.     20.366      0.694                      O258900200430 
      2366.        10.     13.431      0.314                      O258900200431 
      2366.        14.      3.956      0.244                      O258900200432 
      2366.       17.5      1.215      0.153                      O258900200433 
      2366.        23.      2.522      0.156                      O258900200434 
      2366.        30.      3.447      0.214                      O258900200435 
      2366.       37.5      2.206      0.136                      O258900200436 
      2374.         5.      0.651       0.26                      O258900200437 
      2374.        10.      1.241      0.166                      O258900200438 
      2374.        14.      0.896      0.208                      O258900200439 
      2374.       17.5      0.472      0.118                      O258900200440 
      2374.        23.      0.619      0.114                      O258900200441 
      2374.        30.       0.92      0.158                      O258900200442 
      2374.       37.5      0.539      0.091                      O258900200443 
      2392.         5.      6.095       0.39                      O258900200444 
      2392.        10.      3.665      0.169                      O258900200445 
      2392.        14.      2.093      0.133                      O258900200446 
      2392.       17.5      1.416      0.153                      O258900200447 
      2392.        23.      1.668      0.118                      O258900200448 
      2392.        30.      1.896      0.149                      O258900200449 
      2392.       37.5      1.345      0.111                      O258900200450 
      2405.         5.      1.171      0.195                      O258900200451 
      2405.        10.      1.517      0.124                      O258900200452 
      2405.        14.       1.77      0.124                      O258900200453 
      2405.       17.5      1.593      0.153                      O258900200454 
      2405.        23.      1.916      0.122                      O258900200455 
      2405.        30.      1.859      0.149                      O258900200456 
      2405.       37.5      2.332      0.136                      O258900200457 
      2417.        10.      0.776      0.128                      O258900200458 
      2417.        14.      0.554       0.12                      O258900200459 
      2417.       17.5       0.59       0.13                      O258900200460 
      2417.        23.      0.329      0.139                      O258900200461 
      2417.       37.5      0.106      0.116                      O258900200462 
      2424.         5.      7.331      0.412                      O258900200463 
      2424.        10.      8.236      0.248                      O258900200464 
      2424.        14.      7.503      0.235                      O258900200465 
      2424.       17.5      5.923      0.283                      O258900200466 
      2424.        23.      6.485      0.232                      O258900200467 
      2424.        30.      4.981      0.232                      O258900200468 
      2424.       37.5      3.057      0.181                      O258900200469 
      2451.         5.       2.82      0.282                      O258900200470 
      2451.        10.      4.175      0.186                      O258900200471 
      2451.        14.      4.448      0.191                      O258900200472 
      2451.       17.5      3.493      0.224                      O258900200473 
      2451.        23.      3.356      0.164                      O258900200474 
      2451.        30.      2.732      0.177                      O258900200475 
      2451.       37.5      2.654      0.161                      O258900200476 
      2461.         5.      2.212       0.26                      O258900200477 
      2461.        10.      4.868      0.193                      O258900200478 
      2461.        14.       5.65        0.2                      O258900200479 
      2461.       17.5      4.425      0.248                      O258900200480 
      2461.        23.      2.796      0.143                      O258900200481 
      2461.        30.      1.756      0.149                      O258900200482 
      2461.       37.5      1.969      0.131                      O258900200483 
      2477.         5.      5.574       0.39                      O258900200484 
      2477.        10.      7.726      0.248                      O258900200485 
