ENTRY            O2630   20240927                             O100O263000000001 
SUBENT        O2630001   20240927                             O100O263000100001 
BIB                 11         22                                 O263000100002 
TITLE      Differential cross-section measurements for            O263000100003 
           3He-induced reactions and elastic scattering on 12C    O263000100004 
AUTHOR     (F.Maragkos, V.Foteinou, H.-W.Becker, M.Kokkoris,      O263000100005 
            M.Mayer, G.Provatas, D.Rogalla)                       O263000100006 
INSTITUTE  (2GERBOC,2GRCTUA,3CRORBZ)                              O263000100007 
           (2GERGAR) Max-Planck-Institute for Plasma Physics,     O263000100008 
            Garching                                              O263000100009 
REFERENCE  (J,NIM/B,556,165517,2024)                              O263000100010 
FACILITY   (VDGT,2GRCATH) 4 MV Dynamitron Tandem Accelerator      O263000100011 
SAMPLE     A thin 12C foil (~30 nm thick)                         O263000100012 
DETECTOR   (SIBAR) Five 1500 um thick silicon surface barrier     O263000100013 
           detectors were placed inside a cylindrical scattering  O263000100014 
           chamber with a high-precision goniometer (~0.1 degree) O263000100015 
           at angles of 120, 140, 150, 160, and 170 degrees.      O263000100016 
MONITOR    (79-AU-197(P,EL)79-AU-197,,DA,,RTH)                    O263000100017 
ERR-ANALYS The final estimated uncertainties of the cross-section O263000100018 
           values originate from:                                 O263000100019 
           (ERR-1) Carbon built-up correction factors (3.0%)      O263000100020 
           (ERR-2) The lateral homogeneity of the target (6.6%)   O263000100021 
STATUS     (APRVD) Proof-read by F.Maragkos (2024-10-02)          O263000100022 
HISTORY    (20240917R) Data received from F.Maragkos for IBANDL   O263000100023 
           (20240927C) VT                                         O263000100024 
ENDBIB              22          0                                 O263000100025 
COMMON               2          3                                 O263000100026 
ERR-1      ERR-2                                                  O263000100027 
PER-CENT   PER-CENT                                               O263000100028 
        3.0        6.6                                            O263000100029 
ENDCOMMON            3          0                                 O263000100030 
ENDSUBENT           29          0                                 O263000199999 
SUBENT        O2630002   20240927                             O100O263000200001 
BIB                  3          5                                 O263000200002 
REACTION   (6-C-12(HE3,EL)6-C-12,,DA)                             O263000200003 
ERR-ANALYS (ERR-T) Total uncertainties estimated (7.3-18.0%)      O263000200004 
           - Peak integration uncertainties (0.4-16.5%)           O263000200005 
STATUS     (TABLE,,F.Maragkos+,J,NIM/B,556,165517,2024) Table 2   O263000200006 
           Converted by R33 to X4 from R33 files.                 O263000200007 
ENDBIB               5          0                                 O263000200008 
NOCOMMON             0          0                                 O263000200009 
DATA                 4        213                                 O263000200010 
ANG        EN         DATA       ERR-T                            O263000200011 
ADEG       KEV        MB/SR      MB/SR                            O263000200012 
       120.     1979.9     69.000      5.000                      O263000200013 
       120.     2079.3     64.000      5.000                      O263000200014 
       120.     2178.8     52.000      4.000                      O263000200015 
       120.     2278.2     44.000      3.000                      O263000200016 
       120.     2377.1     36.000      3.000                      O263000200017 
       120.     2476.6     33.700      2.500                      O263000200018 
       120.     2526.4     32.500      2.500                      O263000200019 
       120.     2576.0     32.100      2.400                      O263000200020 
       120.     2625.7     31.700      2.400                      O263000200021 
       120.     2675.5     31.900      2.400                      O263000200022 
       120.     2725.2     32.300      2.400                      O263000200023 
       120.     2774.8     32.100      2.400                      O263000200024 
       120.     2800.2     32.500      2.400                      O263000200025 
       120.     2824.4     32.300      2.400                      O263000200026 
       120.     2874.2     32.300      2.400                      O263000200027 
       120.     2899.6     34.700      2.600                      O263000200028 
       120.     2923.9     31.200      2.300                      O263000200029 
       120.     2973.5     30.000      2.200                      O263000200030 
       120.     2999.0     30.500      2.300                      O263000200031 
       120.     3023.3     27.300      2.000                      O263000200032 
       120.     3073.0     26.500      2.000                      O263000200033 
       120.     3122.7     25.800      1.900                      O263000200034 
       120.     3172.4     25.300      1.900                      O263000200035 
       120.     3222.2     24.600      1.800                      O263000200036 
       120.     3271.7     24.600      1.800                      O263000200037 
       120.     3321.5     22.200      1.600                      O263000200038 
       120.     3364.4     22.800      1.700                      O263000200039 
       120.     3420.8     21.300      1.600                      O263000200040 
       120.     3470.5     20.700      1.500                      O263000200041 
       120.     3520.2     20.300      1.500                      O263000200042 
       120.     3569.9     20.200      1.500                      O263000200043 
       120.     3619.5     19.100      1.400                      O263000200044 
       120.     3669.2     18.700      1.400                      O263000200045 
       120.     3718.9     17.600      1.300                      O263000200046 
       120.     3768.6     16.400      1.200                      O263000200047 
       120.     3818.3     15.100      1.100                      O263000200048 
       120.     4662.6      2.690      0.240                      O263000200049 
       120.     4712.4      3.800      0.300                      O263000200050 
       120.     5507.0      3.300      0.300                      O263000200051 
       120.     5556.7      3.300      0.300                      O263000200052 
       120.     5606.3      3.700      0.300                      O263000200053 
       120.     5655.9      3.700      0.300                      O263000200054 
       120.     5705.6      3.800      0.300                      O263000200055 
       120.     5755.3      3.500      0.300                      O263000200056 
       120.     5805.0      3.270      0.250                      O263000200057 
       120.     5904.3      2.950      0.220                      O263000200058 
       120.     5953.9      2.860      0.220                      O263000200059 
       140.     1979.9     51.000      4.000                      O263000200060 
       140.     2079.3     43.000      3.000                      O263000200061 
       140.     2178.8     38.000      3.000                      O263000200062 
       140.     2278.2     31.000      2.300                      O263000200063 
       140.     2377.1     26.400      2.000                      O263000200064 
       140.     2476.6     26.100      1.900                      O263000200065 
       140.     2526.4     27.800      2.100                      O263000200066 
       140.     2576.0     27.600      2.000                      O263000200067 
       140.     2625.7     28.700      2.200                      O263000200068 
       140.     2675.5     28.800      2.100                      O263000200069 
       140.     2725.2     31.100      2.300                      O263000200070 
       140.     2774.8     31.400      2.300                      O263000200071 
       140.     2800.2     32.000      2.400                      O263000200072 
       140.     2824.4     30.100      2.200                      O263000200073 
       140.     2874.2     29.000      2.100                      O263000200074 
       140.     2899.6     31.000      2.300                      O263000200075 
       140.     2923.9     26.600      2.000                      O263000200076 
       140.     2973.5     21.700      1.600                      O263000200077 
       140.     2999.0     21.800      1.600                      O263000200078 
       140.     3023.3     16.600      1.200                      O263000200079 
       140.     3073.0     16.800      1.200                      O263000200080 
       140.     3122.7     17.600      1.300                      O263000200081 
       140.     3172.4     17.500      1.300                      O263000200082 
       140.     3222.2     17.800      1.300                      O263000200083 
       140.     3271.7     17.400      1.300                      O263000200084 
       140.     3321.5     16.400      1.200                      O263000200085 
       140.     3364.4     15.200      1.100                      O263000200086 
       140.     3420.8     15.500      1.200                      O263000200087 
       140.     3470.5     15.300      1.200                      O263000200088 
       140.     3520.2     15.000      1.100                      O263000200089 
       140.     4762.0      4.000      0.300                      O263000200090 
       140.     4811.7      5.300      0.400                      O263000200091 
       140.     4861.4      6.600      0.500                      O263000200092 
       140.     4910.9      7.000      0.500                      O263000200093 
       140.     4960.6      7.400      0.600                      O263000200094 
       140.     5010.3      7.100      0.500                      O263000200095 
       140.     5060.0      6.800      0.500                      O263000200096 
       140.     5109.7      5.800      0.400                      O263000200097 
       140.     5655.9      4.400      0.300                      O263000200098 
       140.     5705.6      3.700      0.300                      O263000200099 
       140.     5755.3      2.910      0.220                      O263000200100 
       140.     5805.0      2.960      0.230                      O263000200101 
       140.     5953.9     51.000      4.000                      O263000200102 
       150.     1979.9     45.000      3.000                      O263000200103 
       150.     2079.3     39.000      3.000                      O263000200104 
       150.     2178.8     33.600      2.500                      O263000200105 
       150.     2278.2     27.400      2.000                      O263000200106 
       150.     2377.1     23.100      1.700                      O263000200107 
       150.     2476.6     23.700      1.800                      O263000200108 
       150.     2526.4     24.700      1.900                      O263000200109 
       150.     2576.0     26.500      2.000                      O263000200110 
       150.     2625.7     28.700      2.200                      O263000200111 
       150.     2675.5     29.900      2.200                      O263000200112 
       150.     2725.2     32.000      2.400                      O263000200113 
       150.     2774.8     32.200      2.400                      O263000200114 
       150.     2800.2     32.900      2.500                      O263000200115 
       150.     2824.4     31.400      2.300                      O263000200116 
       150.     2874.2     28.900      2.100                      O263000200117 
       150.     2899.6     31.200      2.300                      O263000200118 
       150.     2923.9     25.700      1.900                      O263000200119 
       150.     2973.5     18.900      1.400                      O263000200120 
       150.     2999.0     19.500      1.500                      O263000200121 
       150.     3023.3     13.900      1.000                      O263000200122 
       150.     3073.0     14.200      1.100                      O263000200123 
       150.     3122.7     15.200      1.100                      O263000200124 
       150.     3172.4     16.100      1.200                      O263000200125 
       150.     3222.2     15.600      1.200                      O263000200126 
       150.     3271.7     15.000      1.100                      O263000200127 
       150.     3321.5     14.500      1.100                      O263000200128 
       150.     3364.4     14.100      1.100                      O263000200129 
       150.     3420.8     14.300      1.100                      O263000200130 
       150.     4612.9      2.160      0.180                      O263000200131 
       150.     4662.6      3.200      0.250                      O263000200132 
       150.     4712.4      4.100      0.300                      O263000200133 
       150.     4762.0      5.300      0.400                      O263000200134 
       150.     4811.7      6.700      0.500                      O263000200135 
       150.     4861.4      7.900      0.600                      O263000200136 
       150.     4910.9      8.300      0.600                      O263000200137 
       150.     4960.6      8.100      0.600                      O263000200138 
       150.     5010.3      8.500      0.600                      O263000200139 
       150.     5457.3      4.100      0.300                      O263000200140 
       150.     5507.0      4.800      0.400                      O263000200141 
       150.     5556.7      5.400      0.400                      O263000200142 
       150.     5606.3      7.100      0.500                      O263000200143 
       150.     5953.9     45.000      3.000                      O263000200144 
       160.     1979.9     38.000      3.000                      O263000200145 
       160.     2079.3     35.000      3.000                      O263000200146 
