ENTRY            O2623   20240801                             O100O262300000001 
SUBENT        O2623001   20240801                             O100O262300100001 
BIB                 10         20                                 O262300100002 
TITLE      Experimental study of the 30Si(3He,d)31P reaction and  O262300100003 
           thermonuclear reaction rate of 30Si(p,gamma)31P        O262300100004 
AUTHOR     (D.S.Harrouz, N.De Sereville, P.Adsley, F.Hammache,    O262300100005 
            R.Longland, B.Bastin, T.Faestermann, R.Hertenberger,  O262300100006 
            M.La Cognata, L.Lamia, A.Meyer, S.Palmerini,          O262300100007 
            R.G.Pizzone, S.Romano, A.Tumino, H.-F.Wirth)          O262300100008 
INSTITUTE  (2FR PAR,3SAFWIT,3SAFITH,1USANCS,1USATNL,2FR GAN,      O262300100009 
           2GERMUN,2ITYLNS,2ITYCAT,2ITYUPG,2ITYSIC,2ITYENN)       O262300100010 
REFERENCE  (J,PR/C,105,015805,2022)                               O262300100011 
FACILITY   (VDGT,2GERMUU) Tandem Van de Graaff accelerator        O262300100012 
DETECTOR   (MAGSP) Q3D magnetic spectrograph                      O262300100013 
           (TELES,MWPC,SCIN) The system featured a 0.9 m detector O262300100014 
           using two single-wire proportional counters with       O262300100015 
           3-mm-wide cathode strips for position (~0.1 mm) and    O262300100016 
           energy loss information, along with a scintillator for O262300100017 
           measuring the residual energy of light particles.      O262300100018 
METHOD     (BCINT)                                                O262300100019 
ERR-ANALYS (DATA-ERR) No information on source of uncertainty     O262300100020 
STATUS     (CURVE,,D.S.Harrouz+,J,PR/C,105,015805,2022) Fig.3,4   O262300100021 
HISTORY    (20240801C) VT                                         O262300100022 
ENDBIB              20          0                                 O262300100023 
COMMON               1          3                                 O262300100024 
EN                                                                O262300100025 
MEV                                                               O262300100026 
        25.                                                       O262300100027 
ENDCOMMON            3          0                                 O262300100028 
ENDSUBENT           27          0                                 O262300199999 
SUBENT        O2623002   20240801                             O100O262300200001 
BIB                  2          3                                 O262300200002 
REACTION   (14-SI-30(HE3,D)15-P-31,PAR,DA)                        O262300200003 
SAMPLE     (14-SI-30,ENR=0.95) 30SiO2 of thickness 16(3) ug/cm2   O262300200004 
           on a 40(1) ug/cm2 carbon backing.                      O262300200005 
ENDBIB               3          0                                 O262300200006 
NOCOMMON             0          0                                 O262300200007 
DATA                 5        144                                 O262300200008 
E-LVL      ANG-CM     ANG-ERR    DATA-CM    DATA-ERR              O262300200009 
MEV        ADEG       ADEG       MB/SR      MB/SR                 O262300200010 
      6.826        6.5        0.6  2.834E+00  2.765E-01           O262300200011 
      6.826       10.9        0.4  2.491E+00  2.765E-01           O262300200012 
      6.826       13.0        0.5  2.397E+00  3.073E-01           O262300200013 
      6.826       17.3        0.6  2.116E+00  2.458E-01           O262300200014 
      6.826       21.7        0.4  2.357E+00  2.459E-01           O262300200015 
      6.826       25.0        0.3  2.323E+00  1.844E-01           O262300200016 
      6.826       34.6        0.5  2.190E+00  2.456E-01           O262300200017 
      6.844        6.6        0.6  3.241E-01  6.019E-02           O262300200018 
      6.844       10.8        0.5  2.623E-01  4.290E-02           O262300200019 
      6.844       13.1        0.6  2.427E-01  3.804E-02           O262300200020 
      6.844       17.4        0.4  2.374E-01  3.885E-02           O262300200021 
      6.844       21.7        0.3  1.781E-01  2.915E-02           O262300200022 
      6.844       24.8        0.5  1.150E-01  1.615E-02           O262300200023 
      6.844       34.3        0.6  3.665E-02  6.809E-03           O262300200024 
      6.911        6.4        0.5  2.771E+00  2.705E-01           O262300200025 
      6.911       17.1        0.5  5.297E-01  8.521E-02           O262300200026 
      6.911       21.4        0.4  4.404E-01  6.142E-02           O262300200027 
      6.911       24.7        0.3  4.170E-01  6.708E-02           O262300200028 
      6.911       34.3        0.5  1.588E-01  2.214E-02           O262300200029 
      6.933        6.4        0.4  8.821E-01  1.433E-01           O262300200030 
      6.933       10.7        0.6  8.336E-01  1.174E-01           O262300200031 
      6.933       17.2        0.6  5.015E-01  7.063E-02           O262300200032 
      6.933       21.6        0.4  4.396E-01  6.191E-02           O262300200033 
      6.933       24.8        0.4  2.499E-01  3.494E-02           O262300200034 
      6.933       34.5        0.4  9.752E-02  1.585E-02           O262300200035 
      7.068        6.5        0.4  3.199E-01  4.459E-02           O262300200036 
      7.068       10.8        0.4  5.606E-01  9.072E-02           O262300200037 
      7.068       12.9        0.5  3.505E-01  4.885E-02           O262300200038 
      7.068       17.2        0.3  2.360E-01  4.036E-02           O262300200039 
      7.068       34.2        0.5  4.588E-02  6.433E-03           O262300200040 
      7.082       10.8        0.5  2.369E-01  3.689E-02           O262300200041 
      7.082       12.9        0.5  5.571E-02  1.524E-02           O262300200042 
      7.082       17.1        0.6  4.202E-02  8.486E-03           O262300200043 
      7.082       34.4        0.5  2.176E-02  3.532E-03           O262300200044 
      7.141        6.7        0.4  2.484E+00  2.645E-01           O262300200045 
      7.141       11.0        0.5  6.050E-01  7.451E-02           O262300200046 
      7.141       13.1        0.6  4.390E-01  8.094E-02           O262300200047 
      7.141       17.2        0.8  7.409E-01  1.365E-01           O262300200048 
      7.141       21.6        0.6  8.585E-01  1.207E-01           O262300200049 
      7.141       24.9        0.5  5.062E-01  8.211E-02           O262300200050 
      7.141       34.5        0.7  8.438E-02  1.368E-02           O262300200051 
      7.159       21.6        0.5  1.283E-02  2.086E-03           O262300200052 
      7.159       24.8        0.6  1.934E-02  4.449E-03           O262300200053 
      7.159       34.3        0.6  4.665E-03  1.012E-03           O262300200054 
      7.214        6.5        0.5  8.613E-01  1.394E-01           O262300200055 
      7.214       10.8        0.4  5.369E-01  5.698E-02           O262300200056 
      7.214       12.9        0.5  3.354E-01  4.700E-02           O262300200057 
      7.214       17.2        0.6  1.834E-01  2.847E-02           O262300200058 
      7.214       21.5        0.3  1.968E-01  2.343E-02           O262300200059 
      7.214       24.8        0.5  1.721E-01  2.785E-02           O262300200060 
      7.214       34.3        0.5  4.680E-02  7.573E-03           O262300200061 
      7.316        6.4        0.4  9.271E-02  1.440E-02           O262300200062 
      7.316       10.8        0.3  9.549E-02  2.077E-02           O262300200063 
      7.316       12.9        0.4  9.290E-02  1.402E-02           O262300200064 
      7.316       17.2        0.8  8.550E-02  1.860E-02           O262300200065 
      7.316       21.5        0.3  6.110E-02  1.123E-02           O262300200066 
      7.316       24.7        0.4  2.351E-02  5.763E-03           O262300200067 
      7.347        6.4        0.4  2.790E-02  6.081E-03           O262300200068 
      7.347       10.7        0.3  1.734E-02  4.973E-03           O262300200069 
      7.347       12.9        0.8  1.689E-02  4.876E-03           O262300200070 
      7.347       17.1        0.8  1.695E-02  4.284E-03           O262300200071 
      7.347       21.5        0.5  7.515E-03  1.383E-03           O262300200072 
      7.446       21.5        0.2  1.945E-03  6.960E-04           O262300200073 
      7.446       24.7        0.5  2.578E-03  8.800E-04           O262300200074 
      7.446       34.2        0.4  5.227E-03  1.872E-03           O262300200075 
      7.470       21.4        0.4  4.438E-03  9.655E-04           O262300200076 
      7.470       24.7        0.3  5.254E-03  1.325E-03           O262300200077 
      7.470       34.4        0.4  4.315E-03  1.401E-03           O262300200078 
      7.691        6.5        0.5  5.780E-02  9.798E-03           O262300200079 
      7.691       10.8        0.4  5.615E-02  1.304E-02           O262300200080 
      7.691       12.9        0.5  5.462E-02  9.254E-03           O262300200081 
      7.691       21.5        0.4  2.482E-02  2.727E-03           O262300200082 
      7.691       24.7        0.4  1.858E-02  3.726E-03           O262300200083 
      7.719        6.4        0.5  5.139E-01  7.254E-02           O262300200084 
      7.719       10.8        0.4  4.614E-01  5.139E-02           O262300200085 
      7.719       13.0        0.4  4.259E-01  4.740E-02           O262300200086 
      7.719       17.2        0.3  2.937E-01  5.040E-02           O262300200087 
      7.719       21.5        0.5  2.707E-01  3.817E-02           O262300200088 
      7.719       24.7        0.5  9.913E-02  1.399E-02           O262300200089 
      7.719       34.3        0.6  5.520E-02  9.474E-03           O262300200090 
      7.737        6.3        0.3  1.328E+00  1.929E-01           O262300200091 
      7.737       10.6        0.6  1.521E+00  1.862E-01           O262300200092 
      7.737       12.8        0.4  1.410E+00  2.045E-01           O262300200093 
      7.737       17.0        0.3  1.149E+00  1.668E-01           O262300200094 
      7.737       21.4        0.4  8.439E-01  1.224E-01           O262300200095 
      7.737       24.6        0.5  4.893E-01  4.855E-02           O262300200096 
      7.737       34.3        0.3  1.305E-01  1.598E-02           O262300200097 
      7.781        6.5        0.4  7.216E-01  1.002E-01           O262300200098 
      7.781       10.7        0.5  3.763E-01  4.127E-02           O262300200099 
      7.781       13.0        0.5  2.236E-01  3.777E-02           O262300200100 
      7.781       17.2        0.3  8.988E-02  1.496E-02           O262300200101 
      7.781       21.5        0.4  1.260E-01  1.537E-02           O262300200102 
      7.781       24.7        0.4  1.472E-01  4.374E-02           O262300200103 
      7.852        6.3        0.3  3.023E-01  4.198E-02           O262300200104 
      7.852       10.6        0.4  2.059E-01  4.113E-02           O262300200105 
      7.852       12.8        0.4  1.634E-01  3.257E-02           O262300200106 
      7.852       17.0        0.3  8.365E-02  1.915E-02           O262300200107 
      7.852       21.4        0.4  4.876E-02  6.763E-03           O262300200108 
      7.852       24.5        0.6  3.493E-02  8.074E-03           O262300200109 
      7.863        6.4        0.4  7.339E-02  1.256E-02           O262300200110 
      7.863       10.7        0.4  4.837E-02  1.134E-02           O262300200111 
      7.863       12.9        0.5  2.320E-02  7.151E-03           O262300200112 
      7.863       17.2        0.5  1.791E-02  4.849E-03           O262300200113 
      7.863       21.5        0.5  2.965E-02  5.074E-03           O262300200114 
      7.863       24.8        0.4  2.677E-02  5.645E-03           O262300200115 
      7.898        6.5        0.3  5.054E+00  5.578E-01           O262300200116 
      7.898       10.8        0.3  2.765E+00  3.051E-01           O262300200117 
      7.898       12.9        0.5  1.866E+00  2.608E-01           O262300200118 
      7.898       17.2        0.5  8.067E-01  1.371E-01           O262300200119 
      7.898       21.5        0.3  7.448E-01  8.218E-02           O262300200120 
      7.898       24.7        0.4  6.528E-01  1.312E-01           O262300200121 
      7.898       34.5        0.5  2.817E-01  4.790E-02           O262300200122 
      7.911        6.4        0.5  2.018E+00  2.236E-01           O262300200123 
      7.911       10.7        0.3  2.429E+00  3.411E-01           O262300200124 
      7.911       12.9        0.3  2.368E+00  3.327E-01           O262300200125 
      7.911       17.2        0.5  1.973E+00  3.370E-01           O262300200126 
      7.911       21.5        0.3  1.368E+00  1.920E-01           O262300200127 
      7.911       24.7        0.4  9.479E-01  1.331E-01           O262300200128 
      7.911       34.4        0.4  2.127E-01  2.986E-02           O262300200129 
      7.946        6.4        0.5  8.731E-01  1.180E-01           O262300200130 
      7.946       10.8        0.4  5.247E-01  8.626E-02           O262300200131 
      7.946       12.9        0.5  4.280E-01  9.628E-02           O262300200132 
      7.946       17.1        0.6  2.508E-01  4.875E-02           O262300200133 
      7.946       21.5        0.3  1.262E-01  1.707E-02           O262300200134 
      7.946       24.6        0.4  7.588E-02  1.707E-02           O262300200135 
      7.946       34.3        0.7  3.443E-02  6.692E-03           O262300200136 
      7.976        6.4        0.4  6.507E-01  6.960E-02           O262300200137 
      7.976       10.8        0.3  3.537E-01  4.790E-02           O262300200138 
      7.976       12.9        0.5  3.195E-01  3.417E-02           O262300200139 
      7.976       17.2        0.3  2.239E-01  4.357E-02           O262300200140 
      7.976       21.5        0.5  1.454E-01  1.969E-02           O262300200141 
      7.976       24.7        0.4  9.201E-02  9.842E-03           O262300200142 
      7.976       34.5        0.4  4.518E-02  6.119E-03           O262300200143 
      8.049       13.0        0.6  3.994E-01  5.565E-02           O262300200144 
      8.049       17.2        0.7  2.241E-01  2.741E-02           O262300200145 
      8.049       21.5        0.4  1.960E-01  3.323E-02           O262300200146 
      8.049       24.7        0.5  1.671E-01  2.829E-02           O262300200147 
      8.049       34.3        0.5  1.036E-01  2.077E-02           O262300200148 
      8.078       21.6        0.4  1.260E-02  2.514E-03           O262300200149 
      8.078       24.8        0.5  1.767E-02  2.980E-03           O262300200150 
      8.078       34.5        0.4  2.677E-02  5.339E-03           O262300200151 
      8.105       21.4        0.5  8.491E-02  1.704E-02           O262300200152 
      8.105       24.6        0.4  5.901E-02  9.860E-03           O262300200153 
      8.105       34.3        0.4  4.225E-02  7.171E-03           O262300200154 
