ENTRY            O2594   20240127                             O100O259400000001 
SUBENT        O2594001   20240127                             O100O259400100001 
BIB                 11         29                                 O259400100002 
TITLE      Differential cross-section measurements for the        O259400100003 
           proton-induced alpha and deuteron reactions and        O259400100004 
           elastic scattering on 9Be, suitable for ion beam       O259400100005 
           analysis applications                                  O259400100006 
AUTHOR     (F.Maragkos, V.Foteinou, M.Kokkoris)                   O259400100007 
INSTITUTE  (2GERBOC,2GRCTUA)                                      O259400100008 
REFERENCE  (J,NIM/B,547,165180,2024)                              O259400100009 
FACILITY   (VDGT,2GRCATH) 4 MV Tandem Accelerator                 O259400100010 
SAMPLE     (4-BE-9,ENR=0.998) thin foil of 9Be target of ~200 nm  O259400100011 
           and backing of natCu of ~100 nm thickness.             O259400100012 
DETECTOR   (SIBAR) Six 1500 um thick silicon surface barrier      O259400100013 
           detectors were positioned at backscattering angles of  O259400100014 
           120, 130, 140, 150, 160, and 170 degrees at a          O259400100015 
           distance of ~ 7.5 cm from the target.                  O259400100016 
MONITOR    (79-AU-197(P,EL)79-AU-197,,DA,,RTH)                    O259400100017 
ERR-ANALYS The final estimated uncertainties of the cross-section O259400100018 
           values originate from:                                 O259400100019 
           (EN-ERR) The beam energy uncertainty, ~2 keV, stems    O259400100020 
           from a 0.4 keV beam ripple and an average energy       O259400100021 
           straggling of the proton beam at half the target's     O259400100022 
           thickness of around 1.6 keV.                           O259400100023 
           - The statistical uncertainties from the integration   O259400100024 
           of the corresponding reaction and elastic peaks.       O259400100025 
           (ERR-1) The thickness ratio of the atomic areal        O259400100026 
                                             densities (3.6%)     O259400100027 
           (ERR-2) The lateral homogeneity of the target (3%)     O259400100028 
STATUS     (APRVD) Proof-read by F.Maragkos (2024-02-01)          O259400100029 
HISTORY    (20240112R) Data received from F.Maragkos for IBANDL   O259400100030 
           (20240125C) VT                                         O259400100031 
ENDBIB              29          0                                 O259400100032 
COMMON               3          3                                 O259400100033 
EN-ERR     ERR-1      ERR-2                                       O259400100034 
KEV        PER-CENT   PER-CENT                                    O259400100035 
         2.        3.6         3.                                 O259400100036 
ENDCOMMON            3          0                                 O259400100037 
ENDSUBENT           36          0                                 O259400199999 
SUBENT        O2594002   20240127                             O100O259400200001 
BIB                  3          6                                 O259400200002 
REACTION   (4-BE-9(P,EL)4-BE-9,,DA)                               O259400200003 
ERR-ANALYS (ERR-T) Total uncertainties estimated (4.7-6.4%)       O259400200004 
           - Statistical uncertainties from the integration for   O259400200005 
            the elastic scattering (0.3-3.3%)                     O259400200006 
STATUS     (TABLE,,F.Maragkos+,J,NIM/B,547,165180,2024) Fig.3     O259400200007 
           Converted by R33 to X4 from R33 files.                 O259400200008 
ENDBIB               6          0                                 O259400200009 
NOCOMMON             0          0                                 O259400200010 
DATA                 4        528                                 O259400200011 
ANG        EN         DATA       ERR-T                            O259400200012 
ADEG       KEV        MB/SR      MB/SR                            O259400200013 
       120.      1090.     113.79       5.23                      O259400200014 
       120.      1110.     108.89       5.03                      O259400200015 
       120.      1130.     105.20       5.06                      O259400200016 
       120.      1150.     101.91       4.95                      O259400200017 
       120.      1170.      98.00       4.80                      O259400200018 
       120.      1190.      94.40       4.50                      O259400200019 
       120.      1210.      97.00       4.70                      O259400200020 
       120.      1230.      97.80       4.80                      O259400200021 
       120.      1250.      98.90       4.80                      O259400200022 
       120.      1270.     102.50       4.90                      O259400200023 
       120.      1289.     105.57       5.19                      O259400200024 
       120.      1309.     114.50       5.60                      O259400200025 
       120.      1329.     121.30       5.90                      O259400200026 
       120.      1349.     125.92       6.09                      O259400200027 
       120.      1369.     130.92       6.26                      O259400200028 
       120.      1389.     135.80       6.50                      O259400200029 
       120.      1409.     135.10       6.40                      O259400200030 
       120.      1429.     134.00       6.40                      O259400200031 
       120.      1449.     135.90       6.50                      O259400200032 
       120.      1469.     130.74       6.24                      O259400200033 
       120.      1489.     126.76       6.03                      O259400200034 
       120.      1509.     124.28       5.97                      O259400200035 
       120.      1529.     119.80       5.70                      O259400200036 
       120.      1549.     118.40       5.70                      O259400200037 
       120.      1589.     113.10       5.40                      O259400200038 
       120.      1628.     107.24       5.14                      O259400200039 
       120.      1668.     100.70       4.80                      O259400200040 
       120.      1688.      98.50       4.70                      O259400200041 
       120.      1738.      89.10       4.40                      O259400200042 
       120.      1788.      86.24       4.27                      O259400200043 
       120.      1838.      85.31       4.23                      O259400200044 
       120.      1887.      83.76       4.14                      O259400200045 
       120.      1937.      79.00       3.90                      O259400200046 
       120.      1987.      78.10       3.90                      O259400200047 
       120.      2037.      78.06       3.97                      O259400200048 
       120.      2087.      71.30       3.70                      O259400200049 
       120.      2136.      70.60       3.60                      O259400200050 
       120.      2186.      67.60       3.60                      O259400200051 
       120.      2211.      65.00       3.50                      O259400200052 
       120.      2236.      67.10       3.80                      O259400200053 
       120.      2261.      68.60       3.40                      O259400200054 
       120.      2286.      66.50       3.70                      O259400200055 
       120.      2306.      67.90       3.50                      O259400200056 
       120.      2326.      65.60       3.40                      O259400200057 
       120.      2346.      67.20       3.50                      O259400200058 
       120.      2365.      68.20       3.50                      O259400200059 
       120.      2385.      69.90       3.60                      O259400200060 
       120.      2405.      70.70       3.60                      O259400200061 
       120.      2425.      75.00       3.80                      O259400200062 
       120.      2445.      78.27       3.97                      O259400200063 
       120.      2465.      87.35       4.35                      O259400200064 
       120.      2485.      94.90       4.70                      O259400200065 
       120.      2505.     103.19       5.12                      O259400200066 
       120.      2515.     115.20       5.70                      O259400200067 
       120.      2525.     114.30       5.70                      O259400200068 
       120.      2535.     116.10       5.90                      O259400200069 
       120.      2545.     113.40       5.60                      O259400200070 
       120.      2555.     105.83       5.32                      O259400200071 
       120.      2565.      94.90       4.80                      O259400200072 
       120.      2575.      94.30       4.80                      O259400200073 
       120.      2585.      90.30       4.50                      O259400200074 
       120.      2594.      84.48       4.24                      O259400200075 
       120.      2604.      89.40       4.40                      O259400200076 
       120.      2614.      83.89       4.27                      O259400200077 
       120.      2624.      82.23       4.10                      O259400200078 
       120.      2634.      78.84       3.96                      O259400200079 
       120.      2659.      74.70       3.70                      O259400200080 
       120.      2684.      69.00       3.50                      O259400200081 
       120.      2734.      63.23       3.24                      O259400200082 
       120.      2784.      60.27       2.98                      O259400200083 
       120.      2833.      58.27       2.98                      O259400200084 
       120.      2883.      53.00       2.70                      O259400200085 
       120.      2933.      51.80       2.60                      O259400200086 
       120.      2983.      50.10       2.60                      O259400200087 
       130.       890.      38.50       1.90                      O259400200088 
       130.       910.      34.80       1.80                      O259400200089 
       130.       930.      33.10       1.60                      O259400200090 
       130.       940.      41.37       2.09                      O259400200091 
       130.       950.      42.42       2.14                      O259400200092 
       130.       960.      49.20       2.50                      O259400200093 
       130.       970.      60.69       3.08                      O259400200094 
       130.       980.      80.94       4.01                      O259400200095 
